date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,1,0,0
2020-02-06,0,1,0
2020-02-07,0,0,0
2020-02-08,4,0,0
2020-02-09,1,1,0
2020-02-10,0,4,0
2020-02-11,1,0,0
2020-02-12,0,0,0
2020-02-13,0,1,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,1,0,0
2020-02-22,0,0,0
2020-02-23,1,0,0
2020-02-24,2,4,0
2020-02-25,5,0,0
2020-02-26,4,0,0
2020-02-27,7,0,0.1
2020-02-28,11,5,0.1
2020-02-29,5,3,0.1
2020-03-01,20,12,0.1
2020-03-02,38,4,0.2
2020-03-03,54,11,0.3
2020-03-04,49,32,0.4
2020-03-05,46,25,0.3
2020-03-06,73,39,0.5
2020-03-07,55,39,0.6
2020-03-08,50,58,0.7
2020-03-09,125,40,0.8
2020-03-10,228,46,1.1
2020-03-11,351,63,1.6
2020-03-12,415,99,2.3
2020-03-13,392,159,2.8
2020-03-14,315,201,3.3
2020-03-15,396,253,3.9
2020-03-16,543,97,4.6
2020-03-17,680,361,5.5
2020-03-18,908,625,6.5
2020-03-19,927,574,7.4
2020-03-20,1084,628,8.6
2020-03-21,1027,873,9.8
2020-03-22,1206,535,11.3
2020-03-23,2010,793,13.9
2020-03-24,2026,1258,16.2
2020-03-25,2258,1130,18.6
2020-03-26,2604,1809,21.6
2020-03-27,2649,2506,24.4
2020-03-28,2368,2139,26.8
2020-03-29,2436,2060,28.9
2020-03-30,3514,2107,31.6
2020-03-31,3780,2414,34.7
2020-04-01,4117,3630,38.0
2020-04-02,4063,3583,40.5
2020-04-03,4079,3576,43.1
2020-04-04,3376,2910,44.8
2020-04-05,3074,5107,46.0
2020-04-06,4366,3176,47.5
2020-04-07,4563,2978,48.8
2020-04-08,4285,4788,49.1
2020-04-09,4053,3798,49.2
2020-04-10,3579,4263,48.2
2020-04-11,3058,3841,47.7
2020-04-12,2937,3672,47.4
2020-04-13,3427,2999,45.8
2020-04-14,3538,3854,44.0
2020-04-15,4215,3188,43.9
2020-04-16,4344,3118,44.4
2020-04-17,4060,3985,45.3
2020-04-18,4102,3548,47.1
2020-04-19,3468,3607,48.0
2020-04-20,3671,2401,48.4
2020-04-21,3976,3087,49.3
2020-04-22,4796,3020,50.2
2020-04-23,4556,3084,50.6
2020-04-24,4346,3004,51.1
2020-04-25,3369,2826,49.8
2020-04-26,3133,2152,49.3
2020-04-27,4022,2264,49.9
2020-04-28,4105,1989,50.1
2020-04-29,4724,1403,50.0
2020-04-30,4304,2484,49.5
2020-05-01,4084,2501,49.0
2020-05-02,2742,2228,48.0
2020-05-03,2632,2019,47.0
2020-05-04,2842,1485,45.0
2020-05-05,3135,1842,43.2
2020-05-06,3259,1611,40.7
2020-05-07,3203,2133,38.7
2020-05-08,2619,1694,36.2
2020-05-09,1793,1349,34.4
2020-05-10,2001,1007,33.4
2020-05-11,3056,891,33.7
2020-05-12,2918,1067,33.3
2020-05-13,2884,1146,32.6
2020-05-14,2208,1189,31.0
2020-05-15,2129,1112,30.0
2020-05-16,1768,1136,30.0
2020-05-17,1588,788,29.2
2020-05-18,2207,816,27.8
2020-05-19,2581,857,27.2
2020-05-20,2342,824,26.3
2020-05-21,2266,854,26.3
2020-05-22,1792,1083,25.7
2020-05-23,1301,979,24.9
2020-05-24,1200,584,24.3
2020-05-25,1376,494,22.7
2020-05-26,1451,492,20.8
2020-05-27,1609,609,19.4
2020-05-28,1572,519,18.2
2020-05-29,1371,560,17.5
2020-05-30,996,715,17.0
2020-05-31,988,320,16.5
2020-06-01,1312,294,16.4
2020-06-02,1348,444,16.2
2020-06-03,1238,462,15.6
2020-06-04,1145,431,14.8
2020-06-05,1022,451,14.2
2020-06-06,727,422,13.7
2020-06-07,666,228,13.2
2020-06-08,989,92,12.7
2020-06-09,1054,651,12.1
2020-06-10,1078,63,11.8
2020-06-11,911,304,11.4
2020-06-12,942,392,11.3
