date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,3,0,2.3
2020-03-14,2,0,3.9
2020-03-15,3,0,6.2
2020-03-16,2,0,7.8
2020-03-17,1,0,8.6
2020-03-18,1,0,9.3
2020-03-19,1,0,10.1
2020-03-20,1,0,8.6
2020-03-21,4,0,10.1
2020-03-22,5,0,11.7
2020-03-23,1,0,10.9
2020-03-24,4,0,13.2
2020-03-25,2,0,14.1
2020-03-26,2,0,14.9
2020-03-27,5,0,18.0
2020-03-28,4,0,18.0
2020-03-29,4,0,17.2
2020-03-30,3,0,18.7
2020-03-31,8,0,21.9
2020-04-01,1,0,21.1
2020-04-02,7,0,24.9
2020-04-03,4,0,24.1
2020-04-04,2,0,22.6
2020-04-05,1,0,20.3
2020-04-06,4,0,21.1
2020-04-07,2,0,16.4
2020-04-08,5,0,19.5
2020-04-09,3,0,16.4
2020-04-10,2,0,14.9
2020-04-11,1,0,14.1
2020-04-12,7,0,18.7
2020-04-13,3,0,18.0
2020-04-14,3,0,18.7
2020-04-15,7,0,20.3
2020-04-16,3,0,20.3
2020-04-17,4,0,21.8
2020-04-18,0,0,21.0
2020-04-19,5,0,19.5
2020-04-20,5,0,21.0
2020-04-21,6,0,23.4
2020-04-22,12,1,27.3
2020-04-23,12,6,34.3
2020-04-24,3,3,33.6
2020-04-25,11,1,42.2
2020-04-26,7,2,43.7
2020-04-27,5,5,43.7
2020-04-28,8,2,45.3
2020-04-29,6,10,40.5
2020-04-30,3,5,33.6
2020-05-01,7,4,36.7
2020-05-02,4,3,31.2
2020-05-03,2,0,27.3
2020-05-04,12,1,32.8
2020-05-05,7,1,32.0
2020-05-06,15,1,39.1
2020-05-07,9,2,43.7
2020-05-08,13,11,48.3
2020-05-09,3,1,47.6
2020-05-10,9,2,53.1
2020-05-11,6,1,48.4
2020-05-12,3,9,45.2
2020-05-13,4,1,36.6
2020-05-14,6,0,34.3
2020-05-15,4,3,27.3
2020-05-16,3,0,27.3
2020-05-17,4,0,23.4
2020-05-18,10,1,26.5
2020-05-19,5,0,28.1
2020-05-20,8,2,31.3
2020-05-21,2,1,28.1
2020-05-22,6,1,29.7
2020-05-23,2,0,28.9
2020-05-24,3,2,28.1
2020-05-25,3,2,22.6
2020-05-26,3,0,21.1
2020-05-27,4,0,17.9
2020-05-28,5,1,20.3
2020-05-29,2,0,17.2
2020-05-30,5,1,19.5
2020-05-31,7,0,22.6
2020-06-01,13,2,30.5
2020-06-02,3,0,30.4
2020-06-03,4,1,30.4
2020-06-04,2,0,28.1
2020-06-05,4,0,29.6
2020-06-06,1,2,26.5
2020-06-07,1,0,21.9
2020-06-08,2,0,13.2
2020-06-09,1,0,11.7
2020-06-10,0,0,8.6
2020-06-11,1,2,7.8
2020-06-12,0,0,4.7
2020-06-13,3,1,6.2
2020-06-14,3,0,7.8
2020-06-15,2,1,7.8
2020-06-16,1,3,7.8
2020-06-17,3,2,10.2
2020-06-18,1,0,10.1
2020-06-19,2,1,11.7
2020-06-20,1,1,10.2
2020-06-21,0,0,7.8
2020-06-22,0,0,6.3
2020-06-23,2,0,7.1
2020-06-24,1,0,5.4
2020-06-25,1,0,5.5
2020-06-26,1,0,4.7
2020-06-27,1,0,4.7
2020-06-28,0,0,4.7
2020-06-29,0,0,4.7
2020-06-30,0,0,3.1
2020-07-01,1,217,3.2
2020-07-02,1,0,3.1
2020-07-03,1,0,3.1
2020-07-04,1,1,3.1
2020-07-05,0,1,3.1
2020-07-06,0,0,3.1
2020-07-07,2,2,4.7
2020-07-08,1,0,4.6
2020-07-09,1,2,4.7
2020-07-10,2,0,5.5
2020-07-11,0,1,4.7
2020-07-12,0,1,4.7
2020-07-13,1,1,5.5
2020-07-14,0,0,3.9
2020-07-15,1,0,3.9
2020-07-16,1,0,3.9
2020-07-17,0,0,2.3
2020-07-18,1,4,3.1
2020-07-19,0,1,3.1
2020-07-20,0,0,2.3
2020-07-21,0,0,2.3
2020-07-22,1,0,2.4
2020-07-23,5,0,5.5
2020-07-24,1,0,6.3
2020-07-25,0,0,5.5
2020-07-26,0,7,5.5
2020-07-27,0,0,5.5
2020-07-28,0,0,5.5
2020-07-29,0,0,4.7
2020-07-30,1,0,1.5
2020-07-31,0,0,0.7
2020-08-01,0,0,0.7
2020-08-02,0,1,0.7
2020-08-03,0,0,0.7
2020-08-04,1,0,1.5
2020-08-05,0,0,1.5
2020-08-06,1,0,1.6
2020-08-07,0,1,1.6
2020-08-08,0,0,1.6
2020-08-09,1,1,2.4
2020-08-10,0,0,2.4
2020-08-11,4,0,4.7
2020-08-12,0,1,4.7
2020-08-13,0,0,3.9
2020-08-14,1,2,4.7
2020-08-15,0,1,4.7
2020-08-16,1,1,4.7
2020-08-17,3,1,7.0
2020-08-18,2,0,5.5
2020-08-19,1,2,6.2
2020-08-20,0,2,6.2
2020-08-21,0,1,5.4
2020-08-22,0,2,5.4
2020-08-23,0,0,4.6
2020-08-24,0,0,2.3
2020-08-25,0,0,0.7
2020-08-26,1,0,0.8
2020-08-27,0,0,0.8
2020-08-28,0,0,0.8
2020-08-29,0,0,0.8
2020-08-30,0,0,0.8
2020-08-31,0,1,0.8
2020-09-01,0,0,0.8
2020-09-02,4,0,3.1
2020-09-03,2,0,4.7
2020-09-04,1,0,5.5
2020-09-05,6,2,10.2
2020-09-06,5,0,14.1
2020-09-07,18,8,28.1
2020-09-08,9,2,35.1
2020-09-09,4,3,35.2
2020-09-10,4,3,36.7
2020-09-11,3,14,38.2
2020-09-12,2,8,35.1
2020-09-13,3,6,33.5
2020-09-14,6,4,24.2
2020-09-15,5,4,21.1
2020-09-16,6,3,22.6
2020-09-17,4,4,22.6
2020-09-18,9,10,27.3
2020-09-19,5,6,29.6
2020-09-20,11,4,35.9
2020-09-21,12,4,40.6
2020-09-22,8,6,42.9
2020-09-23,12,20,47.6
2020-09-24,11,5,53.1
2020-09-25,6,12,50.8
2020-09-26,6,7,51.5
2020-09-27,9,13,50.0
2020-09-28,10,5,48.4
2020-09-29,8,4,48.4
2020-09-30,14,10,49.9
2020-10-01,8,10,47.6
2020-10-02,16,6,55.4
2020-10-03,7,13,56.2
2020-10-04,14,34,60.1
2020-10-05,23,13,70.2
2020-10-06,17,21,77.3
2020-10-07,19,14,81.2
2020-10-08,34,23,101.4
2020-10-09,28,17,110.8
2020-10-10,14,9,116.3
2020-10-11,12,18,114.7
2020-10-12,20,27,112.4
2020-10-13,35,38,126.4
2020-10-14,32,17,136.6
2020-10-15,31,30,134.2
2020-10-16,26,13,132.6
2020-10-17,36,37,149.8
2020-10-18,25,24,159.9
2020-10-19,70,67,199.0
2020-10-20,59,51,217.7
2020-10-21,41,49,224.7
2020-10-22,57,41,245.1
2020-10-23,52,40,265.4
2020-10-24,28,55,259.1
2020-10-25,35,58,266.9
2020-10-26,56,35,255.9
2020-10-27,58,48,255.2
2020-10-28,61,48,270.8
2020-10-29,63,52,275.4
2020-10-30,71,55,290.2
2020-10-31,47,62,305.1
2020-11-01,48,73,315.3
2020-11-02,135,62,376.9
2020-11-03,78,72,392.5
2020-11-04,103,75,425.3
2020-11-05,62,73,424.6
2020-11-06,67,66,421.4
2020-11-07,70,88,439.4
2020-11-08,53,84,443.2
2020-11-09,116,80,428.4
2020-11-10,110,94,453.4
2020-11-11,88,59,441.7
2020-11-12,76,115,452.6
2020-11-13,68,94,453.4
2020-11-14,40,52,429.9
2020-11-15,45,92,423.8
2020-11-16,78,38,394.1
2020-11-17,51,53,348.0
2020-11-18,67,50,331.6
2020-11-19,31,51,296.5
2020-11-20,50,45,282.5
2020-11-21,24,69,270.0
2020-11-22,39,26,265.3
2020-11-23,41,59,236.5
2020-11-24,60,32,243.5
2020-11-25,50,43,230.2
2020-11-26,30,39,229.4
2020-11-27,19,60,205.2
2020-11-28,12,30,195.9
2020-11-29,18,29,179.5
2020-11-30,46,13,183.4
2020-12-01,28,28,158.4
2020-12-02,40,38,150.6
2020-12-03,42,17,160.0
2020-12-04,14,37,156.1
2020-12-05,14,48,157.6
2020-12-06,26,17,163.8
2020-12-07,40,23,159.1
2020-12-08,39,20,167.8
2020-12-09,36,32,164.7
2020-12-10,30,32,155.3
2020-12-11,36,35,172.5
2020-12-12,28,44,183.4
2020-12-13,38,32,192.8
2020-12-14,58,23,206.8
2020-12-15,76,36,235.6
2020-12-16,51,43,247.3
2020-12-17,38,23,253.6
2020-12-18,43,73,259.1
2020-12-19,51,51,277.1
2020-12-20,47,52,284.0
2020-12-21,90,53,309.1
2020-12-22,77,48,309.8
2020-12-23,61,31,317.6
2020-12-24,62,71,336.3
2020-12-25,29,106,325.4
2020-12-26,58,78,330.8
2020-12-27,101,25,373.0
2020-12-28,89,82,372.2
2020-12-29,136,101,418.3
2020-12-30,111,86,457.3
2020-12-31,90,66,479.2
2021-01-01,48,117,493.9
2021-01-02,104,94,529.9
2021-01-03,101,44,529.9
2021-01-04,133,130,564.2
2021-01-05,107,120,541.6
2021-01-06,88,116,523.7
2021-01-07,74,87,511.1
2021-01-08,78,71,534.6
2021-01-09,64,115,503.3
2021-01-10,84,88,490.1
2021-01-11,103,96,466.6
2021-01-12,94,91,456.5
2021-01-13,69,57,441.6
2021-01-14,68,105,437.0
2021-01-15,71,99,431.5
2021-01-16,70,75,436.2
2021-01-17,54,63,412.8
2021-01-18,94,75,405.8
2021-01-19,104,82,413.6
2021-01-20,71,73,415.2
2021-01-21,66,92,413.6
2021-01-22,69,73,412.0
2021-01-23,57,68,401.9
2021-01-24,41,66,391.7
2021-01-25,48,55,355.9
2021-01-26,82,49,338.6
2021-01-27,64,61,333.2
2021-01-28,48,69,319.1
2021-01-29,59,75,311.4
2021-01-30,38,47,296.5
2021-01-31,42,56,297.3
2021-02-01,63,37,309.0
2021-02-02,58,54,290.3
2021-02-03,45,51,275.5
2021-02-04,39,54,268.5
2021-02-05,46,39,258.3
2021-02-06,30,46,252.1
2021-02-07,25,42,238.8
2021-02-08,41,53,221.6
2021-02-09,33,19,202.2
2021-02-10,23,36,184.9
2021-02-11,27,32,175.6
2021-02-12,25,30,159.2
2021-02-13,8,30,142.0
2021-02-14,30,16,145.9
2021-02-15,38,19,143.6
2021-02-16,18,34,131.8
2021-02-17,21,28,130.3
2021-02-18,15,14,120.9
2021-02-19,19,13,116.3
2021-02-20,13,22,120.2
2021-02-21,18,20,110.8
2021-02-22,27,18,102.2
2021-02-23,25,20,107.7
2021-02-24,29,27,114.0
2021-02-25,21,23,118.6
2021-02-26,15,17,115.4
2021-02-27,5,28,109.2
2021-02-28,7,16,100.7
2021-03-01,25,11,99.1
2021-03-02,16,20,92.1
2021-03-03,6,14,74.1
2021-03-04,6,11,62.5
2021-03-05,13,6,60.9
2021-03-06,4,4,60.1
2021-03-07,8,18,60.9
2021-03-08,14,1,52.3
2021-03-09,11,11,48.4
2021-03-10,9,14,50.7
2021-03-11,11,12,54.6
2021-03-12,4,7,47.6
2021-03-13,9,12,51.5
2021-03-14,6,5,49.9
2021-03-15,9,9,46.0
2021-03-16,8,9,43.7
2021-03-17,12,8,46.0
2021-03-18,7,12,42.9
2021-03-19,6,4,44.5
2021-03-20,7,3,43.0
2021-03-21,2,14,39.8
2021-03-22,9,5,39.8
2021-03-23,5,9,37.4
2021-03-24,17,4,41.4
2021-03-25,9,12,42.9
2021-03-26,5,11,42.1
2021-03-27,2,5,38.2
2021-03-28,6,7,41.4
2021-03-29,7,4,39.8
2021-03-30,2,4,37.5
2021-03-31,5,5,28.1
2021-04-01,1,2,21.9
2021-04-02,3,7,20.3
2021-04-03,2,1,20.3
2021-04-04,3,4,17.9
2021-04-05,0,6,12.5
2021-04-06,1,1,11.7
2021-04-07,3,0,10.1
2021-04-08,0,1,9.3
2021-04-09,3,0,9.4
2021-04-10,1,0,8.6
2021-04-11,1,1,7.0
2021-04-12,2,3,8.6
2021-04-13,2,2,9.4
2021-04-14,1,0,7.8
2021-04-15,0,1,7.8
2021-04-16,0,1,5.4
2021-04-17,1,0,5.4
2021-04-18,2,2,6.3
2021-04-19,7,2,10.2
2021-04-20,1,5,9.3
2021-04-21,3,1,11.0
2021-04-22,0,4,11.0
2021-04-23,0,0,11.0
2021-04-24,4,0,13.3
2021-04-25,1,4,12.5
2021-04-26,3,1,9.3
2021-04-27,3,2,11.0
2021-04-28,2,2,10.1
2021-04-29,0,2,10.1
2021-04-30,0,1,10.1
2021-05-01,2,0,8.6
2021-05-02,1,1,8.6
2021-05-03,0,2,6.3
2021-05-04,1,0,4.6
2021-05-05,1,1,3.9
2021-05-06,0,1,3.9
2021-05-07,1,0,4.7
2021-05-08,2,0,4.7
2021-05-09,1,1,4.6
2021-05-10,0,3,4.6
2021-05-11,0,0,3.9
