date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,1,0,0.6
2020-03-15,0,0,0.6
2020-03-16,0,0,0.6
2020-03-17,0,0,0.6
2020-03-18,1,0,1.2
2020-03-19,0,0,1.2
2020-03-20,1,0,1.9
2020-03-21,1,0,1.9
2020-03-22,1,0,2.5
2020-03-23,1,0,3.1
2020-03-24,2,0,4.4
2020-03-25,2,0,5.0
2020-03-26,2,0,6.3
2020-03-27,3,0,7.4
2020-03-28,4,0,9.3
2020-03-29,1,0,9.3
2020-03-30,2,0,10.0
2020-03-31,4,0,11.2
2020-04-01,0,0,10.0
2020-04-02,2,0,9.9
2020-04-03,2,0,9.4
2020-04-04,5,0,10.0
2020-04-05,2,0,10.6
2020-04-06,6,0,13.0
2020-04-07,3,0,12.4
2020-04-08,3,0,14.3
2020-04-09,4,0,15.6
2020-04-10,3,0,16.1
2020-04-11,4,0,15.5
2020-04-12,5,0,17.4
2020-04-13,7,0,18.1
2020-04-14,3,0,18.1
2020-04-15,9,0,21.8
2020-04-16,12,0,26.7
2020-04-17,6,0,28.6
2020-04-18,5,0,29.3
2020-04-19,3,0,28.0
2020-04-20,2,0,24.9
2020-04-21,2,0,24.2
2020-04-22,2,3,19.9
2020-04-23,11,0,19.3
2020-04-24,8,2,20.6
2020-04-25,5,1,20.5
2020-04-26,4,6,21.2
2020-04-27,6,5,23.6
2020-04-28,12,4,29.9
2020-04-29,1,2,29.2
2020-04-30,12,2,29.9
2020-05-01,7,7,29.2
2020-05-02,5,1,29.2
2020-05-03,4,3,29.2
2020-05-04,1,3,26.1
2020-05-05,7,3,23.0
2020-05-06,7,1,26.7
2020-05-07,28,2,36.7
2020-05-08,11,0,39.2
2020-05-09,1,0,36.7
2020-05-10,4,0,36.7
2020-05-11,7,1,40.5
2020-05-12,6,0,39.8
2020-05-13,1,5,36.1
2020-05-14,3,0,20.5
2020-05-15,1,0,14.3
2020-05-16,9,2,19.3
2020-05-17,0,0,16.8
2020-05-18,3,0,14.3
2020-05-19,2,0,11.8
2020-05-20,5,0,14.3
2020-05-21,1,0,13.1
2020-05-22,0,1,12.5
2020-05-23,1,7,7.5
2020-05-24,2,0,8.7
2020-05-25,1,0,7.4
2020-05-26,1,0,6.9
2020-05-27,0,1,3.8
2020-05-28,1,0,3.7
2020-05-29,1,0,4.3
2020-05-30,1,0,4.3
2020-05-31,0,1,3.1
2020-06-01,4,0,5.0
2020-06-02,1,1,4.9
2020-06-03,2,0,6.2
2020-06-04,1,0,6.2
2020-06-05,1,0,6.2
2020-06-06,1,0,6.2
2020-06-07,1,0,6.9
2020-06-08,1,0,5.0
2020-06-09,0,0,4.4
2020-06-10,1,0,3.7
2020-06-11,1,0,3.7
2020-06-12,0,0,3.1
2020-06-13,0,0,2.5
2020-06-14,0,0,1.8
2020-06-15,2,0,2.5
2020-06-16,0,0,2.5
2020-06-17,3,0,3.7
2020-06-18,0,0,3.1
2020-06-19,0,0,3.1
2020-06-20,0,0,3.1
2020-06-21,0,0,3.1
2020-06-22,2,0,3.1
2020-06-23,0,0,3.1
