date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-14,3,0,0.0
2020-03-15,3,0,2.4
2020-03-16,1,0,3.2
2020-03-17,0,0,3.2
2020-03-18,2,0,4.7
2020-03-19,0,0,4.7
2020-03-20,0,0,4.7
2020-03-21,4,0,7.8
2020-03-22,1,0,6.2
2020-03-23,0,0,5.4
2020-03-24,3,0,7.7
2020-03-25,2,0,7.8
2020-03-26,6,0,12.5
2020-03-27,8,0,18.7
2020-03-28,2,0,17.2
2020-03-29,2,0,17.9
2020-03-30,4,0,21.0
2020-03-31,3,0,21.1
2020-04-01,5,0,23.4
2020-04-02,10,0,26.5
2020-04-03,4,0,23.4
2020-04-04,4,0,24.9
2020-04-05,6,0,28.1
2020-04-06,5,0,28.9
2020-04-07,5,0,30.4
2020-04-08,4,0,29.6
2020-04-09,4,0,24.9
2020-04-10,3,0,24.1
2020-04-11,7,0,26.5
2020-04-12,13,0,31.9
2020-04-13,7,0,33.5
2020-04-14,17,0,42.8
2020-04-15,12,0,49.1
2020-04-16,14,0,56.9
2020-04-17,22,0,71.7
2020-04-18,12,0,75.6
2020-04-19,11,0,74.1
2020-04-20,4,0,71.7
2020-04-21,8,0,64.7
2020-04-22,16,3,67.8
2020-04-23,17,5,70.1
2020-04-24,7,5,58.5
2020-04-25,8,7,55.3
2020-04-26,8,1,52.9
2020-04-27,7,0,55.3
2020-04-28,8,2,55.3
2020-04-29,17,3,56.1
2020-04-30,9,4,49.9
2020-05-01,11,3,53.0
2020-05-02,6,2,51.4
2020-05-03,17,3,58.5
2020-05-04,7,1,58.4
2020-05-05,4,5,55.3
2020-05-06,16,1,54.5
2020-05-07,7,2,53.0
2020-05-08,7,2,49.8
2020-05-09,4,2,48.3
2020-05-10,2,1,36.6
2020-05-11,12,3,40.6
2020-05-12,3,0,39.8
2020-05-13,7,2,32.7
2020-05-14,4,7,30.4
2020-05-15,3,0,27.3
2020-05-16,5,1,28.1
2020-05-17,5,0,30.4
2020-05-18,10,1,28.8
2020-05-19,4,1,29.6
2020-05-20,6,0,28.9
2020-05-21,1,6,26.5
2020-05-22,3,3,26.5
2020-05-23,2,0,24.1
2020-05-24,6,0,24.9
2020-05-25,4,1,20.2
2020-05-26,3,1,19.5
2020-05-27,15,0,26.5
2020-05-28,10,1,33.5
2020-05-29,2,1,32.7
2020-05-30,3,0,33.6
2020-05-31,8,1,35.1
2020-06-01,4,1,35.1
2020-06-02,9,0,39.7
2020-06-03,4,0,31.1
2020-06-04,5,2,27.2
2020-06-05,8,0,32.0
2020-06-06,0,1,29.6
2020-06-07,1,0,24.1
2020-06-08,1,0,21.8
2020-06-09,0,0,14.8
2020-06-10,0,0,11.7
2020-06-11,4,1,10.9
2020-06-12,0,0,4.6
2020-06-13,1,1,5.4
2020-06-14,0,0,4.7
2020-06-15,0,0,3.9
2020-06-16,0,1,3.9
2020-06-17,3,0,6.3
2020-06-18,0,0,3.2
2020-06-19,1,0,3.9
2020-06-20,1,0,3.9
2020-06-21,0,0,3.9
2020-06-22,0,0,3.9
2020-06-23,0,0,3.9
2020-06-24,0,0,1.5
2020-06-25,2,0,3.1
2020-06-26,1,0,3.2
2020-06-27,0,0,2.4
2020-06-28,1,0,3.1
2020-06-29,1,0,3.9
2020-06-30,1,0,4.7
2020-07-01,0,312,4.7
2020-07-02,3,1,5.4
2020-07-03,0,2,4.6
2020-07-04,2,0,6.2
2020-07-05,0,0,5.5
2020-07-06,0,3,4.7
2020-07-07,0,0,3.9
2020-07-08,0,0,3.9
2020-07-09,2,1,3.1
2020-07-10,2,0,4.7
2020-07-11,0,0,3.1
2020-07-12,0,2,3.1
2020-07-13,1,0,3.9
2020-07-14,1,0,4.7
2020-07-15,0,2,4.7
2020-07-16,0,1,3.2
2020-07-17,0,1,1.6
2020-07-18,0,0,1.6
2020-07-19,1,0,2.3
2020-07-20,0,0,1.5
2020-07-21,1,0,1.5
2020-07-22,0,0,1.5
2020-07-23,0,1,1.5
2020-07-24,0,0,1.5
2020-07-25,1,2,2.3
2020-07-26,0,0,1.6
2020-07-27,0,0,1.6
2020-07-28,0,0,0.8
2020-07-29,1,0,1.6
2020-07-30,1,0,2.4
2020-07-31,0,0,2.4
2020-08-01,0,1,1.6
2020-08-02,1,1,2.3
2020-08-03,1,0,3.1
2020-08-04,1,1,3.9
2020-08-05,1,1,3.9
2020-08-06,1,0,3.9
2020-08-07,0,0,3.9
2020-08-08,0,0,3.9
2020-08-09,0,1,3.2
2020-08-10,1,2,3.1
2020-08-11,3,0,4.7
2020-08-12,2,0,5.4
2020-08-13,5,0,8.5
2020-08-14,3,3,10.9
2020-08-15,0,7,10.9
2020-08-16,2,0,12.4
2020-08-17,0,2,11.7
2020-08-18,0,2,9.3
2020-08-19,0,1,7.8
2020-08-20,1,1,4.7
2020-08-21,0,0,2.3
2020-08-22,0,0,2.3
2020-08-23,1,0,1.6
2020-08-24,1,0,2.4
2020-08-25,0,1,2.4
2020-08-26,0,1,2.4
2020-08-27,0,1,1.6
2020-08-28,1,0,2.3
2020-08-29,3,0,4.7
2020-08-30,1,1,4.7
2020-08-31,0,1,3.9
2020-09-01,7,0,9.3
2020-09-02,5,0,13.2
2020-09-03,6,3,17.9
2020-09-04,11,2,25.7
2020-09-05,5,2,27.2
2020-09-06,5,12,30.3
2020-09-07,10,4,38.1
2020-09-08,10,3,40.5
2020-09-09,14,2,47.5
2020-09-10,3,7,45.2
2020-09-11,1,10,37.5
2020-09-12,4,14,36.7
2020-09-13,2,9,34.3
2020-09-14,6,5,31.2
2020-09-15,2,5,25.0
2020-09-16,5,6,18.0
2020-09-17,8,2,21.8
2020-09-18,6,5,25.7
2020-09-19,3,3,24.9
2020-09-20,7,1,28.9
2020-09-21,7,10,29.6
2020-09-22,6,4,32.7
2020-09-23,12,7,38.1
2020-09-24,12,8,41.3
2020-09-25,5,15,40.5
2020-09-26,10,6,46.0
2020-09-27,8,10,46.7
2020-09-28,17,7,54.6
2020-09-29,21,9,66.2
2020-09-30,22,8,74.1
2020-10-01,15,6,76.3
2020-10-02,21,8,88.8
2020-10-03,20,19,96.6
2020-10-04,9,48,97.4
2020-10-05,20,18,99.7
2020-10-06,27,27,104.4
2020-10-07,31,10,111.4
2020-10-08,35,26,127.1
2020-10-09,28,21,132.5
2020-10-10,24,23,135.6
2020-10-11,21,17,144.9
2020-10-12,52,32,169.9
2020-10-13,30,45,172.2
2020-10-14,53,27,189.3
2020-10-15,50,57,201.0
2020-10-16,36,10,207.2
2020-10-17,41,54,220.5
2020-10-18,36,37,232.2
2020-10-19,78,79,252.4
2020-10-20,67,54,281.3
2020-10-21,67,51,292.2
2020-10-22,65,75,303.9
2020-10-23,64,50,325.7
2020-10-24,41,73,325.7
2020-10-25,46,60,333.5
2020-10-26,58,61,317.9
2020-10-27,60,61,312.5
2020-10-28,77,42,320.3
2020-10-29,68,72,322.6
2020-10-30,92,52,344.5
2020-10-31,36,76,340.5
2020-11-01,34,73,331.2
2020-11-02,90,48,356.1
2020-11-03,50,52,348.3
2020-11-04,66,40,339.7
2020-11-05,56,61,330.3
2020-11-06,60,55,305.4
2020-11-07,40,64,308.6
2020-11-08,45,61,317.1
2020-11-09,55,50,289.9
2020-11-10,67,67,303.1
2020-11-11,71,28,307.0
2020-11-12,61,79,310.9
2020-11-13,48,62,301.5
2020-11-14,40,60,301.5
2020-11-15,25,48,286.0
2020-11-16,74,55,300.8
2020-11-17,69,47,302.3
2020-11-18,44,55,281.3
2020-11-19,38,47,263.4
2020-11-20,40,45,257.2
2020-11-21,33,58,251.7
2020-11-22,38,39,261.8
2020-11-23,39,46,234.5
2020-11-24,41,30,212.7
2020-11-25,34,36,204.9
2020-11-26,33,39,201.0
2020-11-27,25,35,189.3
2020-11-28,18,39,177.7
2020-11-29,26,19,168.3
2020-11-30,21,24,154.3
2020-12-01,20,22,138.0
2020-12-02,33,28,137.2
2020-12-03,23,9,129.4
2020-12-04,30,38,133.3
2020-12-05,21,30,135.5
2020-12-06,21,32,131.7
2020-12-07,42,15,148.0
2020-12-08,39,24,162.8
2020-12-09,31,28,161.3
2020-12-10,36,44,171.4
2020-12-11,35,34,175.3
2020-12-12,27,40,180.0
2020-12-13,38,35,193.2
2020-12-14,50,23,199.5
2020-12-15,36,35,197.2
2020-12-16,43,28,206.5
2020-12-17,65,33,229.1
2020-12-18,58,51,247.0
2020-12-19,24,26,244.7
2020-12-20,43,63,248.6
2020-12-21,84,45,275.1
2020-12-22,57,35,291.4
2020-12-23,64,38,307.7
2020-12-24,39,78,287.5
2020-12-25,13,67,252.5
2020-12-26,55,63,276.6
2020-12-27,75,20,301.6
2020-12-28,114,67,324.9
2020-12-29,151,70,398.1
2020-12-30,137,111,455.1
2020-12-31,106,132,507.3
2021-01-01,53,133,538.4
2021-01-02,121,90,589.9
2021-01-03,105,47,613.2
2021-01-04,157,147,646.7
2021-01-05,95,102,603.1
2021-01-06,104,134,577.4
2021-01-07,101,83,573.5
2021-01-08,98,107,608.5
2021-01-09,97,122,589.8
2021-01-10,71,114,563.3
2021-01-11,118,121,533.0
2021-01-12,124,98,555.6
2021-01-13,98,102,550.9
2021-01-14,82,109,536.1
2021-01-15,80,121,522.1
2021-01-16,46,72,482.3
2021-01-17,83,69,491.7
2021-01-18,123,77,495.6
