date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,0.7
2020-03-13,1,0,1.5
2020-03-14,1,0,2.3
2020-03-15,1,0,3.0
2020-03-16,0,0,3.0
2020-03-17,0,0,3.0
2020-03-18,2,0,4.5
2020-03-19,1,0,4.6
2020-03-20,1,0,4.6
2020-03-21,0,0,3.8
2020-03-22,1,0,3.8
2020-03-23,6,0,8.4
2020-03-24,1,0,9.2
2020-03-25,3,0,10.0
2020-03-26,4,0,12.2
2020-03-27,2,0,12.9
2020-03-28,8,0,19.1
2020-03-29,5,0,22.2
2020-03-30,6,0,22.1
2020-03-31,13,0,31.3
2020-04-01,12,0,38.1
2020-04-02,3,0,37.4
2020-04-03,3,0,38.2
2020-04-04,8,0,38.1
2020-04-05,10,0,41.9
2020-04-06,20,0,52.7
2020-04-07,8,0,48.8
2020-04-08,14,0,50.4
2020-04-09,10,0,55.7
2020-04-10,17,0,66.4
2020-04-11,4,0,63.4
2020-04-12,19,0,70.3
2020-04-13,7,0,60.3
2020-04-14,3,0,56.5
2020-04-15,29,0,67.9
2020-04-16,28,0,81.7
2020-04-17,36,0,96.2
2020-04-18,15,0,104.5
2020-04-19,15,0,101.5
2020-04-20,16,0,108.4
2020-04-21,22,0,122.9
2020-04-22,32,15,125.2
2020-04-23,14,13,114.5
2020-04-24,24,31,105.3
2020-04-25,28,34,115.3
2020-04-26,13,16,113.7
2020-04-27,25,10,120.6
2020-04-28,12,0,112.9
2020-04-29,35,0,115.3
2020-04-30,29,3,126.7
2020-05-01,13,1,118.3
2020-05-02,22,0,113.7
2020-05-03,16,12,116.0
2020-05-04,21,19,112.9
2020-05-05,22,6,120.6
2020-05-06,21,112,109.9
2020-05-07,18,18,101.5
2020-05-08,12,9,100.8
2020-05-09,11,13,92.4
2020-05-10,6,11,84.7
2020-05-11,16,8,81.0
2020-05-12,20,12,79.4
2020-05-13,14,11,74.0
2020-05-14,17,5,73.3
2020-05-15,14,9,74.8
2020-05-16,9,9,73.2
2020-05-17,14,7,79.4
2020-05-18,25,11,86.2
2020-05-19,35,6,97.7
2020-05-20,20,9,102.3
2020-05-21,12,11,98.4
2020-05-22,23,19,105.3
2020-05-23,4,9,101.5
2020-05-24,12,3,100.0
2020-05-25,14,12,91.6
2020-05-26,14,15,75.6
2020-05-27,10,11,67.9
2020-05-28,10,2,66.4
2020-05-29,5,20,52.7
2020-05-30,21,1,65.7
2020-05-31,9,9,63.4
