date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-14,1,0,0.0
2020-03-15,1,0,1.1
2020-03-16,0,0,1.1
2020-03-17,0,0,1.1
2020-03-18,2,0,3.2
2020-03-19,0,0,3.2
2020-03-20,0,0,3.2
2020-03-21,1,0,4.3
2020-03-22,0,0,3.2
2020-03-23,3,0,6.4
2020-03-24,0,0,6.4
2020-03-25,0,0,4.3
2020-03-26,1,0,5.4
2020-03-27,3,0,8.6
2020-03-28,1,0,8.6
2020-03-29,2,0,10.8
2020-03-30,2,0,9.7
2020-03-31,3,0,13.0
2020-04-01,4,0,17.3
2020-04-02,4,0,20.5
2020-04-03,4,0,21.6
2020-04-04,1,0,21.6
2020-04-05,2,0,21.5
2020-04-06,3,0,22.7
2020-04-07,2,0,21.5
2020-04-08,3,0,20.5
2020-04-09,1,0,17.2
2020-04-10,1,0,14.0
2020-04-11,2,0,15.1
2020-04-12,2,0,15.1
2020-04-13,2,0,14.0
2020-04-14,1,0,13.0
2020-04-15,3,0,12.9
2020-04-16,11,0,23.8
2020-04-17,3,0,25.9
2020-04-18,14,0,38.8
2020-04-19,3,0,39.9
2020-04-20,6,0,44.2
2020-04-21,1,0,44.2
2020-04-22,6,1,47.5
2020-04-23,9,15,45.3
2020-04-24,6,2,48.5
2020-04-25,3,1,36.7
2020-04-26,2,1,35.6
2020-04-27,4,5,33.4
2020-04-28,7,4,39.9
2020-04-29,4,2,37.7
2020-04-30,5,1,33.4
2020-05-01,10,0,37.8
2020-05-02,4,2,38.8
2020-05-03,2,4,38.8
2020-05-04,3,4,37.8
2020-05-05,2,1,32.3
2020-05-06,6,2,34.5
2020-05-07,7,1,36.7
2020-05-08,1,2,26.9
2020-05-09,1,5,23.7
2020-05-10,2,1,23.8
2020-05-11,4,8,24.8
2020-05-12,4,1,27.0
2020-05-13,2,1,22.6
2020-05-14,3,1,18.3
2020-05-15,1,0,18.4
2020-05-16,3,0,20.5
2020-05-17,1,0,19.4
2020-05-18,4,1,19.4
2020-05-19,2,1,17.2
2020-05-20,3,0,18.4
2020-05-21,3,1,18.3
2020-05-22,10,0,28.0
2020-05-23,0,1,24.8
2020-05-24,2,0,25.9
2020-05-25,0,7,21.6
2020-05-26,4,1,23.8
2020-05-27,1,0,21.5
2020-05-28,1,0,19.4
2020-05-29,1,1,9.7
2020-05-30,0,0,9.7
2020-05-31,3,0,10.7
2020-06-01,9,1,20.4
2020-06-02,3,1,19.4
2020-06-03,2,1,20.5
2020-06-04,2,1,21.6
2020-06-05,0,0,20.5
2020-06-06,1,0,21.6
2020-06-07,1,1,19.5
2020-06-08,1,0,10.8
2020-06-09,0,0,7.5
2020-06-10,0,0,5.4
2020-06-11,0,0,3.2
2020-06-12,0,1,3.2
2020-06-13,0,0,2.1
2020-06-14,0,0,1.0
2020-06-15,0,0,0.0
2020-06-16,1,0,1.1
2020-06-17,0,0,1.1
2020-06-18,0,0,1.1
2020-06-19,0,1,1.1
2020-06-20,0,0,1.1
2020-06-21,2,0,3.3
2020-06-22,0,0,3.3
2020-06-23,2,0,4.3
2020-06-24,2,0,6.5
2020-06-25,0,0,6.5
2020-06-26,0,0,6.5
2020-06-27,0,0,6.5
2020-06-28,0,0,4.3
2020-06-29,0,0,4.3
2020-06-30,0,2,2.2
2020-07-01,0,102,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,1,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,0,0,0.0
2020-07-11,0,0,0.0
2020-07-12,0,0,0.0
2020-07-13,1,0,1.1
2020-07-14,1,0,2.1
2020-07-15,0,0,2.1
2020-07-16,0,1,2.1
2020-07-17,0,0,2.1
2020-07-18,0,1,2.1
2020-07-19,0,0,2.1
2020-07-20,1,0,2.1
2020-07-21,1,0,2.2
2020-07-22,0,0,2.2
2020-07-23,1,1,3.3
2020-07-24,1,0,4.3
2020-07-25,0,0,4.3
2020-07-26,0,1,4.3
2020-07-27,0,0,3.2
2020-07-28,1,1,3.2
2020-07-29,0,1,3.2
2020-07-30,0,1,2.1
2020-07-31,0,0,1.1
2020-08-01,2,1,3.3
2020-08-02,1,0,4.4
2020-08-03,0,1,4.4
2020-08-04,1,0,4.3
2020-08-05,3,0,7.6
2020-08-06,1,2,8.7
2020-08-07,1,1,9.7
2020-08-08,0,0,7.5
2020-08-09,0,1,6.4
2020-08-10,0,1,6.4
2020-08-11,0,2,5.4
2020-08-12,1,1,3.2
2020-08-13,0,0,2.1
2020-08-14,0,0,1.1
2020-08-15,0,0,1.1
2020-08-16,0,0,1.1
2020-08-17,0,1,1.1
2020-08-18,0,0,1.1
2020-08-19,0,0,0.0
2020-08-20,0,0,0.0
2020-08-21,0,0,0.0
2020-08-22,0,0,0.0
2020-08-23,1,0,1.1
2020-08-24,2,0,3.2
2020-08-25,2,1,5.4
