date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,1,0,0.5
2020-03-12,2,0,1.6
2020-03-13,1,0,2.1
2020-03-14,0,0,2.1
2020-03-15,0,0,2.1
2020-03-16,1,0,2.6
2020-03-17,0,0,2.6
2020-03-18,5,0,4.7
2020-03-19,3,0,5.1
2020-03-20,3,0,6.2
2020-03-21,1,0,6.7
2020-03-22,2,0,7.7
2020-03-23,4,0,9.3
2020-03-24,3,0,10.9
2020-03-25,4,0,10.3
2020-03-26,5,0,11.4
2020-03-27,4,0,11.9
2020-03-28,2,0,12.4
2020-03-29,6,0,14.5
2020-03-30,5,0,15.0
2020-03-31,1,0,13.9
2020-04-01,5,0,14.5
2020-04-02,4,0,14.0
2020-04-03,4,0,13.9
2020-04-04,1,0,13.5
2020-04-05,5,0,13.0
2020-04-06,11,0,16.0
2020-04-07,7,0,19.2
2020-04-08,8,0,20.7
2020-04-09,11,0,24.3
2020-04-10,16,0,30.6
2020-04-11,10,0,35.1
2020-04-12,2,0,33.6
2020-04-13,6,0,31.1
2020-04-14,9,0,32.0
2020-04-15,8,0,32.1
2020-04-16,5,0,29.0
2020-04-17,6,17,23.8
2020-04-18,5,5,21.3
2020-04-19,10,5,25.3
2020-04-20,4,6,24.3
2020-04-21,5,7,22.3
2020-04-22,9,3,22.7
2020-04-23,6,5,23.2
2020-04-24,8,5,24.3
2020-04-25,3,6,23.2
2020-04-26,7,3,21.8
2020-04-27,4,0,21.7
2020-04-28,3,2,20.7
2020-04-29,8,0,20.2
2020-04-30,11,3,22.8
2020-05-01,5,5,21.2
2020-05-02,8,1,23.8
2020-05-03,4,0,22.2
2020-05-04,3,3,21.8
2020-05-05,4,2,22.2
2020-05-06,3,2,19.7
2020-05-07,2,1,15.0
2020-05-08,2,0,13.5
2020-05-09,0,1,9.4
2020-05-10,4,1,9.3
2020-05-11,7,1,11.3
2020-05-12,2,1,10.4
2020-05-13,1,1,9.3
2020-05-14,1,0,8.8
2020-05-15,0,1,7.7
2020-05-16,3,1,9.3
2020-05-17,3,0,8.8
2020-05-18,0,1,5.2
2020-05-19,0,2,4.1
2020-05-20,6,0,6.7
2020-05-21,5,0,8.8
2020-05-22,2,0,9.8
2020-05-23,1,0,8.8
2020-05-24,0,2,7.3
2020-05-25,1,0,7.8
2020-05-26,0,0,7.8
2020-05-27,2,0,5.7
2020-05-28,1,0,3.6
2020-05-29,1,1,3.1
2020-05-30,2,0,3.6
2020-05-31,3,0,5.1
2020-06-01,1,1,5.2
2020-06-02,0,1,5.2
2020-06-03,1,1,4.7
2020-06-04,0,0,4.2
2020-06-05,0,1,3.7
2020-06-06,0,0,2.6
2020-06-07,1,0,1.6
2020-06-08,0,0,1.0
2020-06-09,0,1,1.0
2020-06-10,0,0,0.5
2020-06-11,0,0,0.5
2020-06-12,0,0,0.5
2020-06-13,2,0,1.5
2020-06-14,0,0,1.0
2020-06-15,3,0,2.6
2020-06-16,0,0,2.6
2020-06-17,0,0,2.6
2020-06-18,0,0,2.6
2020-06-19,0,0,2.6
2020-06-20,0,0,1.6
2020-06-21,0,0,1.6
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
