date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,2,0,0.0
2020-03-10,2,0,0.8
2020-03-11,4,0,2.4
2020-03-12,5,0,4.4
2020-03-13,5,0,6.4
2020-03-14,3,0,7.6
2020-03-15,1,0,8.0
2020-03-16,4,0,9.6
2020-03-17,6,0,11.2
2020-03-18,7,0,12.4
2020-03-19,5,0,12.4
2020-03-20,9,0,14.1
2020-03-21,4,0,14.5
2020-03-22,10,0,18.1
2020-03-23,17,0,23.3
2020-03-24,12,0,25.7
2020-03-25,19,0,30.5
2020-03-26,12,0,33.3
2020-03-27,19,0,37.3
2020-03-28,10,0,39.7
2020-03-29,14,0,41.3
2020-03-30,16,0,40.9
2020-03-31,21,0,44.5
2020-04-01,30,0,49.0
2020-04-02,26,0,54.6
2020-04-03,32,0,59.7
2020-04-04,28,0,67.0
2020-04-05,20,0,69.4
2020-04-06,24,0,72.6
2020-04-07,47,0,83.1
2020-04-08,16,0,77.4
2020-04-09,19,0,74.6
2020-04-10,19,0,69.4
2020-04-11,17,0,64.9
2020-04-12,12,0,61.8
2020-04-13,12,0,57.0
2020-04-14,25,0,48.1
2020-04-15,19,0,49.3
2020-04-16,23,0,50.9
2020-04-17,19,18,51.0
2020-04-18,10,11,48.2
2020-04-19,21,10,51.7
2020-04-20,15,12,52.9
2020-04-21,15,28,48.9
2020-04-22,18,8,48.6
2020-04-23,12,11,44.2
2020-04-24,19,1,44.1
2020-04-25,15,15,46.1
2020-04-26,6,5,40.1
2020-04-27,14,11,39.7
2020-04-28,16,4,40.1
2020-04-29,18,1,40.1
2020-04-30,16,11,41.7
2020-05-01,17,5,40.9
2020-05-02,17,9,41.7
2020-05-03,8,12,42.5
2020-05-04,9,4,40.5
2020-05-05,6,3,36.5
2020-05-06,14,5,34.9
2020-05-07,11,7,32.9
2020-05-08,8,8,29.3
2020-05-09,4,3,24.1
2020-05-10,8,2,24.1
2020-05-11,7,0,23.3
2020-05-12,11,5,25.3
2020-05-13,6,0,22.0
2020-05-14,11,3,22.0
2020-05-15,2,6,19.6
2020-05-16,1,5,18.4
2020-05-17,6,3,17.6
2020-05-18,8,5,18.1
2020-05-19,3,1,14.9
2020-05-20,6,1,14.9
2020-05-21,15,6,16.5
2020-05-22,8,1,18.9
2020-05-23,2,2,19.3
2020-05-24,1,2,17.3
2020-05-25,0,6,14.0
2020-05-26,4,1,14.4
2020-05-27,3,1,13.2
2020-05-28,6,0,9.6
2020-05-29,2,2,7.2
2020-05-30,5,1,8.4
2020-05-31,3,0,9.2
2020-06-01,2,3,10.0
2020-06-02,2,4,9.2
2020-06-03,4,3,9.6
2020-06-04,0,0,7.2
2020-06-05,1,1,6.8
2020-06-06,0,1,4.8
2020-06-07,3,0,4.8
2020-06-08,2,0,4.8
2020-06-09,3,2,5.2
2020-06-10,3,2,4.8
2020-06-11,1,0,5.2
2020-06-12,2,0,5.6
2020-06-13,1,2,6.1
2020-06-14,0,0,4.9
2020-06-15,1,2,4.5
2020-06-16,1,0,3.7
2020-06-17,0,1,2.5
2020-06-18,1,0,2.5
2020-06-19,3,0,2.9
2020-06-20,4,0,4.0
2020-06-21,1,0,4.4
2020-06-22,1,2,4.4
2020-06-23,2,3,4.8
2020-06-24,0,0,4.8
2020-06-25,3,2,5.6
2020-06-26,1,0,4.8
2020-06-27,0,0,3.2
2020-06-28,1,1,3.2
2020-06-29,0,0,2.8
2020-06-30,4,2,3.6
2020-07-01,1,296,4.0
2020-07-02,2,1,3.6
2020-07-03,0,2,3.2
2020-07-04,0,2,3.2
2020-07-05,4,1,4.4
2020-07-06,1,0,4.8
2020-07-07,1,0,3.6
2020-07-08,6,1,5.6
2020-07-09,3,5,6.0
2020-07-10,1,2,6.4
2020-07-11,1,3,6.8
2020-07-12,3,3,6.4
2020-07-13,2,0,6.8
2020-07-14,2,2,7.2
2020-07-15,0,4,4.8
2020-07-16,3,1,4.8
2020-07-17,3,0,5.6
2020-07-18,0,2,5.2
2020-07-19,4,3,5.6
2020-07-20,4,1,6.4
2020-07-21,0,5,5.6
2020-07-22,4,2,7.2
2020-07-23,4,2,7.6
2020-07-24,2,1,7.2
2020-07-25,4,5,8.8
2020-07-26,0,3,7.2
2020-07-27,4,3,7.2
2020-07-28,0,0,7.2
2020-07-29,2,7,6.4
2020-07-30,1,0,5.2
2020-07-31,1,4,4.8
2020-08-01,0,2,3.2
2020-08-02,0,0,3.2
2020-08-03,0,0,1.6
2020-08-04,0,0,1.6
2020-08-05,2,0,1.6
2020-08-06,2,1,2.1
2020-08-07,2,1,2.5
2020-08-08,1,2,2.9
2020-08-09,1,1,3.3
2020-08-10,2,3,4.1
2020-08-11,2,2,4.9
2020-08-12,3,1,5.3
2020-08-13,3,0,5.6
2020-08-14,2,7,5.6
2020-08-15,0,0,5.2
2020-08-16,1,3,5.2
2020-08-17,1,1,4.8
2020-08-18,4,1,5.6
2020-08-19,4,0,6.0
2020-08-20,7,3,7.6
2020-08-21,1,1,7.2
2020-08-22,3,8,8.4
2020-08-23,2,0,8.8
2020-08-24,2,3,9.2
2020-08-25,2,3,8.4
2020-08-26,3,2,8.0
2020-08-27,4,3,6.8
2020-08-28,7,2,9.2
2020-08-29,8,3,11.2
2020-08-30,6,8,12.8
2020-08-31,8,8,15.2
2020-09-01,3,1,15.6
2020-09-02,5,5,16.4
2020-09-03,1,6,15.3
2020-09-04,8,5,15.7
2020-09-05,1,2,12.9
2020-09-06,1,1,10.9
2020-09-07,11,3,12.1
2020-09-08,4,5,12.5
2020-09-09,6,5,12.9
2020-09-10,4,6,14.0
2020-09-11,8,6,14.0
2020-09-12,1,6,14.0
2020-09-13,0,3,13.6
2020-09-14,7,5,12.0
2020-09-15,5,4,12.4
2020-09-16,2,3,10.8
2020-09-17,6,6,11.6
2020-09-18,11,2,12.8
2020-09-19,10,4,16.4
2020-09-20,18,5,23.7
2020-09-21,16,5,27.3
2020-09-22,12,16,30.1
2020-09-23,12,20,34.1
2020-09-24,9,12,35.3
2020-09-25,3,13,32.1
2020-09-26,7,6,30.9
2020-09-27,8,3,26.8
2020-09-28,17,5,27.3
2020-09-29,18,5,29.7
2020-09-30,13,10,30.1
2020-10-01,38,14,41.7
2020-10-02,19,11,48.2
2020-10-03,15,23,51.4
2020-10-04,18,40,55.4
2020-10-05,26,20,58.9
2020-10-06,14,16,57.3
2020-10-07,27,32,63.0
2020-10-08,25,17,57.8
2020-10-09,26,30,60.5
2020-10-10,27,21,65.4
2020-10-11,9,10,61.8
2020-10-12,30,22,63.4
2020-10-13,30,20,69.8
2020-10-14,26,45,69.4
2020-10-15,34,25,73.0
2020-10-16,15,28,68.6
2020-10-17,22,24,66.5
2020-10-18,40,38,79.0
2020-10-19,49,21,86.6
2020-10-20,49,33,94.3
2020-10-21,59,62,107.5
2020-10-22,57,25,116.7
2020-10-23,33,49,124.0
2020-10-24,39,49,130.8
2020-10-25,29,48,126.3
2020-10-26,62,30,131.6
2020-10-27,58,53,135.2
2020-10-28,61,58,135.9
2020-10-29,65,48,139.2
2020-10-30,58,81,149.2
2020-10-31,38,30,148.8
2020-11-01,36,81,151.7
2020-11-02,110,37,170.9
2020-11-03,71,57,176.1
2020-11-04,85,64,185.8
2020-11-05,89,70,195.4
2020-11-06,105,72,214.2
2020-11-07,50,110,219.0
2020-11-08,65,62,230.6
2020-11-09,103,94,227.8
2020-11-10,107,56,242.2
2020-11-11,132,59,261.1
2020-11-12,116,115,271.9
2020-11-13,99,122,269.5
2020-11-14,84,120,283.2
2020-11-15,64,126,282.8
2020-11-16,111,87,286.0
2020-11-17,95,69,281.2
2020-11-18,100,67,268.3
2020-11-19,81,87,254.3
2020-11-20,80,89,246.7
2020-11-21,44,90,230.7
2020-11-22,46,109,223.4
2020-11-23,103,57,220.2
2020-11-24,77,81,213.0
2020-11-25,68,99,200.2
2020-11-26,98,62,207.0
2020-11-27,85,62,209.0
2020-11-28,64,110,217.0
2020-11-29,45,60,216.6
2020-11-30,103,90,216.6
2020-12-01,103,53,227.1
2020-12-02,123,105,249.1
2020-12-03,90,97,245.9
2020-12-04,120,110,259.9
2020-12-05,64,85,259.9
2020-12-06,84,112,275.6
2020-12-07,122,89,283.2
2020-12-08,128,86,293.2
2020-12-09,168,93,311.3
2020-12-10,212,136,360.2
2020-12-11,236,162,406.8
2020-12-12,161,188,445.7
2020-12-13,208,132,495.4
2020-12-14,289,275,562.4
2020-12-15,323,153,640.6
2020-12-16,403,256,734.8
2020-12-17,369,141,797.8
2020-12-18,399,312,863.2
2020-12-19,318,193,926.1
2020-12-20,338,513,978.3
2020-12-21,526,431,1073.4
2020-12-22,496,397,1142.8
2020-12-23,442,414,1158.5
2020-12-24,288,393,1126.0
2020-12-25,136,402,1020.4
2020-12-26,441,248,1069.8
2020-12-27,458,279,1117.9
2020-12-28,320,450,1035.3
2020-12-29,662,621,1101.9
2020-12-30,548,368,1144.4
2020-12-31,388,473,1184.5
2021-01-01,194,357,1207.8
2021-01-02,459,467,1215.0
2021-01-03,468,434,1219.1
2021-01-04,569,412,1318.9
2021-01-05,501,543,1254.3
2021-01-06,392,456,1191.7
2021-01-07,353,328,1177.7
2021-01-08,317,547,1227.0
2021-01-09,229,506,1134.8
2021-01-10,235,304,1041.3
2021-01-11,288,328,928.6
2021-01-12,236,235,822.3
2021-01-13,213,280,750.5
2021-01-14,218,253,696.3
2021-01-15,238,259,664.7
2021-01-16,172,236,641.8
2021-01-17,140,277,603.7
2021-01-18,229,148,580.0
2021-01-19,185,167,559.5
2021-01-20,148,194,533.5
2021-01-21,155,202,508.3
2021-01-22,136,175,467.3
2021-01-23,102,159,439.2
2021-01-24,106,143,425.5
2021-01-25,116,104,380.3
2021-01-26,83,102,339.4
2021-01-27,129,99,331.7
2021-01-28,88,104,304.8
2021-01-29,69,146,278.0
2021-01-30,63,83,262.4
2021-01-31,44,94,237.5
2021-02-01,60,61,215.0
2021-02-02,81,46,214.2
2021-02-03,71,48,190.9
2021-02-04,62,76,180.5
2021-02-05,52,82,173.7
2021-02-06,41,60,164.8
2021-02-07,31,49,159.7
2021-02-08,39,54,151.2
2021-02-09,29,35,130.3
2021-02-10,38,22,117.2
2021-02-11,50,27,112.3
2021-02-12,27,46,102.3
2021-02-13,21,49,94.3
2021-02-14,38,18,97.0
2021-02-15,33,28,94.7
2021-02-16,33,36,96.3
2021-02-17,26,38,91.4
2021-02-18,40,33,87.5
2021-02-19,17,42,83.4
2021-02-20,23,33,84.2
2021-02-21,14,17,74.6
2021-02-22,32,21,74.2
2021-02-23,21,30,69.4
2021-02-24,15,27,65.0
2021-02-25,17,23,55.7
2021-02-26,12,14,53.7
2021-02-27,5,17,46.6
2021-02-28,11,9,45.4
2021-03-01,15,8,38.5
2021-03-02,12,14,34.9
2021-03-03,10,11,32.9
2021-03-04,8,14,29.3
2021-03-05,10,9,28.5
2021-03-06,6,17,28.8
2021-03-07,12,2,29.2
2021-03-08,15,10,29.3
2021-03-09,15,22,30.5
2021-03-10,8,8,29.7
2021-03-11,8,19,29.7
2021-03-12,10,0,29.7
2021-03-13,7,9,30.1
2021-03-14,6,7,27.7
2021-03-15,9,8,25.2
2021-03-16,8,11,22.4
2021-03-17,7,6,22.1
2021-03-18,15,8,24.9
2021-03-19,11,12,25.3
2021-03-20,13,7,27.7
2021-03-21,17,12,32.1
2021-03-22,27,15,39.3
2021-03-23,8,24,39.4
2021-03-24,34,18,50.1
2021-03-25,36,17,58.5
2021-03-26,15,38,60.1
2021-03-27,12,20,59.8
2021-03-28,27,17,63.8
2021-03-29,13,24,58.2
2021-03-30,17,15,61.7
2021-03-31,19,19,55.7
2021-04-01,14,18,47.0
2021-04-02,8,22,44.2
2021-04-03,12,11,44.1
2021-04-04,4,10,34.9
2021-04-05,3,7,30.9
2021-04-06,8,6,27.3
2021-04-07,8,1,22.9
2021-04-08,4,7,18.8
2021-04-09,4,0,17.2
2021-04-10,9,6,16.0
2021-04-11,5,5,16.4
2021-04-12,5,8,17.2
2021-04-13,5,0,16.0
2021-04-14,6,6,15.3
2021-04-15,8,8,16.9
2021-04-16,5,9,17.3
2021-04-17,4,9,15.3
2021-04-18,4,3,14.9
2021-04-19,9,8,16.5
2021-04-20,9,9,18.1
2021-04-21,6,11,18.0
2021-04-22,4,8,16.4
2021-04-23,4,7,16.0
2021-04-24,3,3,15.6
2021-04-25,2,1,14.8
2021-04-26,5,2,13.2
2021-04-27,3,5,10.8
2021-04-28,8,6,11.6
2021-04-29,5,5,12.0
2021-04-30,4,4,12.0
2021-05-01,4,6,12.5
2021-05-02,7,4,14.5
2021-05-03,5,5,14.5
2021-05-04,5,8,15.3
2021-05-05,5,6,14.1
2021-05-06,8,7,15.3
2021-05-07,1,7,14.1
2021-05-08,5,6,14.4
2021-05-09,1,4,12.0
2021-05-10,4,4,11.6
2021-05-11,6,5,12.0
2021-05-12,4,3,11.6
2021-05-13,8,10,11.6
2021-05-14,4,5,12.8
2021-05-15,2,11,11.6
2021-05-16,4,1,12.8
2021-05-17,6,2,13.6
2021-05-18,10,0,15.2
2021-05-19,4,0,15.3
2021-05-20,9,3,15.7
2021-05-21,4,4,15.7
2021-05-22,4,11,16.5
2021-05-23,3,8,16.1
2021-05-24,11,2,18.1
2021-05-25,6,7,16.5
2021-05-26,13,5,20.0
2021-05-27,2,9,17.2
2021-05-28,5,6,17.6
2021-05-29,14,8,21.6
2021-05-30,5,5,22.4
2021-05-31,5,11,20.0
2021-06-01,6,4,20.0
2021-06-02,10,6,18.9
2021-06-03,11,6,22.5
2021-06-04,10,11,24.5
2021-06-05,10,16,22.9
2021-06-06,10,8,24.9
2021-06-07,12,7,27.7
2021-06-08,18,11,32.5
2021-06-09,10,12,32.4
2021-06-10,17,16,34.9
2021-06-11,16,10,37.3
2021-06-12,11,17,37.7
2021-06-13,14,17,39.3
2021-06-14,18,14,41.7
2021-06-15,18,12,41.8
2021-06-16,16,16,44.2
2021-06-17,26,21,47.7
2021-06-18,21,13,49.7
2021-06-19,16,27,51.7
2021-06-20,33,23,59.4
2021-06-21,22,20,61.0
2021-06-22,22,25,62.5
2021-06-23,33,27,69.4
2021-06-24,32,28,71.8
2021-06-25,44,34,81.1
2021-06-26,34,38,88.3
2021-06-27,34,30,88.6
2021-06-28,64,36,105.5
2021-06-29,73,38,126.0
2021-06-30,54,67,134.3
2021-07-01,69,61,149.2
2021-07-02,69,44,159.2
2021-07-03,68,57,172.9
2021-07-04,73,43,188.6
2021-07-05,104,106,204.6
2021-07-06,103,95,216.6
2021-07-07,122,105,243.9
2021-07-08,83,78,249.5
2021-07-09,65,67,247.9
2021-07-10,69,133,248.3
2021-07-11,88,43,254.3
2021-07-12,131,112,265.1
2021-07-13,153,92,285.2
2021-07-14,196,139,314.9
2021-07-15,235,157,375.9
2021-07-16,231,194,442.4
2021-07-17,171,198,483.3
2021-07-18,158,189,511.4
2021-07-19,200,85,539.1
2021-07-20,175,302,547.9
2021-07-21,136,169,523.9
2021-07-22,127,177,480.5
2021-07-23,109,155,431.6
2021-07-24,98,128,402.3
2021-07-25,94,116,376.7
2021-07-26,99,97,336.2
2021-07-27,95,90,304.1
2021-07-28,110,91,293.6
2021-07-29,110,113,286.8
2021-07-30,84,93,276.8
2021-07-31,59,107,261.2
2021-08-01,59,86,247.0
2021-08-02,96,67,245.8
2021-08-03,95,54,245.9
2021-08-04,94,102,239.5
2021-08-05,114,91,241.1
2021-08-06,86,123,241.9
2021-08-07,81,105,250.7
2021-08-08,85,77,261.2
2021-08-09,113,82,268.0
2021-08-10,121,81,278.3
2021-08-11,88,122,275.9
2021-08-12,98,108,269.5
2021-08-13,75,104,265.1
2021-08-14,87,81,267.5
2021-08-15,74,82,263.1
2021-08-16,88,80,253.1
2021-08-17,87,81,239.5
2021-08-18,92,87,241.1
2021-08-19,110,66,245.9
2021-08-20,72,114,244.7
2021-08-21,69,100,237.5
2021-08-22,68,75,235.1
2021-08-23,103,79,241.1
2021-08-24,106,65,248.7
2021-08-25,59,93,235.5
2021-08-26,95,108,229.5
2021-08-27,81,62,233.1
2021-08-28,81,88,237.9
2021-08-29,63,82,235.8
2021-08-30,90,79,230.6
2021-08-31,102,72,229.0
2021-09-01,113,85,250.7
2021-09-02,103,86,253.9
2021-09-03,95,113,259.5
2021-09-04,58,113,250.3
2021-09-05,81,85,257.5
2021-09-06,113,79,266.8
2021-09-07,106,100,268.4
2021-09-08,73,106,252.3
2021-09-09,103,94,252.3
2021-09-10,77,70,245.1
2021-09-11,65,97,247.8
2021-09-12,55,75,237.5
2021-09-13,81,66,224.6
2021-09-14,72,63,211.0
2021-09-15,61,69,206.1
2021-09-16,54,86,186.5
2021-09-17,56,61,178.1
2021-09-18,54,55,173.7
2021-09-19,61,53,176.1
2021-09-20,84,74,177.3
2021-09-21,76,52,178.9
2021-09-22,79,76,186.2
2021-09-23,100,50,204.6
2021-09-24,72,86,211.0
2021-09-25,60,106,213.4
2021-09-26,85,73,223.0
2021-09-27,76,98,219.8
2021-09-28,84,80,223.0
2021-09-29,92,72,228.2
2021-09-30,65,66,214.2
2021-10-01,58,60,208.5
2021-10-02,52,66,205.4
2021-10-03,76,79,201.8
2021-10-04,92,83,208.2
2021-10-05,82,79,207.4
2021-10-06,63,77,195.8
2021-10-07,87,70,204.6
2021-10-08,77,78,212.2
2021-10-09,66,71,217.8
2021-10-10,63,79,212.6
2021-10-11,122,82,224.6
2021-10-12,87,78,226.6
2021-10-13,108,101,244.6
2021-10-14,107,73,252.7
2021-10-15,76,89,252.3
2021-10-16,78,128,257.1
2021-10-17,105,79,273.9
2021-10-18,131,109,277.6
2021-10-19,143,103,300.1
2021-10-20,144,119,314.5
2021-10-21,146,126,330.1
2021-10-22,100,119,339.8
2021-10-23,77,181,339.4
2021-10-24,82,96,330.2
2021-10-25,136,69,332.1
2021-10-26,116,107,321.3
2021-10-27,114,127,309.3
2021-10-28,115,100,296.8
2021-10-29,103,117,298.0
2021-10-30,94,132,304.8
2021-10-31,106,93,314.5
2021-11-01,130,108,312.1
2021-11-02,85,101,299.6
2021-11-03,125,119,304.0
2021-11-04,87,77,292.8
2021-11-05,92,114,288.4
2021-11-06,74,111,280.4
2021-11-07,114,84,283.5
2021-11-08,112,91,276.4
2021-11-09,124,112,292.0
2021-11-10,114,114,287.6
2021-11-11,134,117,306.5
2021-11-12,112,101,314.5
2021-11-13,102,144,325.7
2021-11-14,92,103,316.9
2021-11-15,166,106,338.5
2021-11-16,139,102,344.6
2021-11-17,111,112,343.4
2021-11-18,150,142,349.8
2021-11-19,119,138,352.6
2021-11-20,100,110,351.8
2021-11-21,115,150,361.0
2021-11-22,160,128,358.6
2021-11-23,146,125,361.4
2021-11-24,154,140,378.7
2021-11-25,155,142,380.6
2021-11-26,143,158,390.3
2021-11-27,139,158,405.9
2021-11-28,130,136,412.0
2021-11-29,240,146,444.1
2021-11-30,217,159,472.5
2021-12-01,203,230,492.1
2021-12-02,191,207,506.6
2021-12-03,164,196,515.0
2021-12-04,155,169,521.5
2021-12-05,142,158,526.3
2021-12-06,269,179,537.9
2021-12-07,228,172,542.3
2021-12-08,287,242,576.0
2021-12-09,256,208,602.1
2021-12-10,243,257,633.8
2021-12-11,264,279,677.5
2021-12-12,283,277,734.0
2021-12-13,473,264,815.8
2021-12-14,652,316,986.0
2021-12-15,639,447,1127.2
2021-12-16,666,544,1291.6
2021-12-17,618,675,1442.0
2021-12-18,546,587,1555.1
2021-12-19,590,619,1678.3
2021-12-20,827,541,1820.3
2021-12-21,897,633,1918.5
2021-12-22,878,786,2014.4
2021-12-23,908,731,2111.5
2021-12-24,723,543,2153.7
2021-12-25,335,1025,2069.0
2021-12-26,531,582,2045.3
2021-12-27,790,771,2030.5
2021-12-28,836,762,2006.0
2021-12-29,1008,804,2058.2
2021-12-30,894,705,2052.6
2021-12-31,605,800,2005.2
