date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,1,0,1
2020-03-06,0,0,1
2020-03-07,0,0,1
2020-03-08,0,0,1
2020-03-09,0,0,1
2020-03-10,0,0,1
2020-03-11,1,0,2
2020-03-12,0,0,1
2020-03-13,0,0,1
2020-03-14,0,0,1
2020-03-15,2,0,2.9
2020-03-16,2,0,4.9
2020-03-17,0,0,4.9
2020-03-18,2,0,5.9
2020-03-19,1,0,6.9
2020-03-20,3,0,9.8
2020-03-21,2,0,11.8
2020-03-22,7,0,16.8
2020-03-23,3,0,17.7
2020-03-24,1,0,18.7
2020-03-25,0,0,16.7
2020-03-26,4,0,19.7
2020-03-27,3,0,19.7
2020-03-28,3,0,20.7
2020-03-29,1,0,14.8
2020-03-30,0,0,11.9
2020-03-31,4,0,14.8
2020-04-01,8,0,22.7
2020-04-02,2,0,20.6
2020-04-03,6,0,23.7
2020-04-04,0,0,20.7
2020-04-05,3,0,22.6
2020-04-06,8,0,30.5
2020-04-07,2,0,28.6
2020-04-08,2,0,22.6
2020-04-09,5,0,25.7
2020-04-10,4,0,23.6
2020-04-11,2,0,25.6
2020-04-12,3,0,25.6
2020-04-13,3,0,20.7
2020-04-14,1,0,19.7
2020-04-15,5,0,22.7
2020-04-16,4,0,21.6
2020-04-17,14,0,31.5
2020-04-18,4,0,33.5
2020-04-19,8,0,38.4
2020-04-20,2,0,37.4
2020-04-21,6,0,42.3
2020-04-22,13,4,50.2
2020-04-23,2,5,48.3
2020-04-24,2,1,36.5
2020-04-25,5,5,37.4
2020-04-26,0,1,29.6
2020-04-27,4,2,31.5
2020-04-28,4,3,29.6
2020-04-29,8,2,24.6
2020-04-30,11,1,33.5
2020-05-01,6,1,37.4
2020-05-02,3,5,35.4
2020-05-03,2,0,37.4
2020-05-04,7,4,40.4
2020-05-05,2,6,38.4
2020-05-06,10,2,40.4
2020-05-07,8,6,37.4
2020-05-08,6,1,37.4
2020-05-09,3,3,37.5
2020-05-10,2,2,37.4
2020-05-11,6,1,36.5
2020-05-12,3,4,37.4
2020-05-13,7,1,34.5
2020-05-14,5,1,31.5
2020-05-15,4,5,29.6
2020-05-16,18,1,44.3
2020-05-17,7,1,49.3
2020-05-18,12,6,55.1
2020-05-19,13,4,65.0
2020-05-20,5,10,63.0
2020-05-21,6,4,64.1
2020-05-22,4,2,64.0
2020-05-23,0,2,46.3
2020-05-24,4,2,43.3
2020-05-25,7,0,38.4
2020-05-26,4,0,29.6
2020-05-27,9,0,33.5
2020-05-28,5,0,32.5
2020-05-29,3,2,31.5
2020-05-30,1,1,32.5
2020-05-31,4,2,32.5
2020-06-01,1,0,26.6
2020-06-02,3,2,25.6
2020-06-03,2,1,18.7
2020-06-04,1,1,14.7
2020-06-05,2,0,13.8
2020-06-06,1,0,13.8
2020-06-07,2,1,11.9
2020-06-08,8,0,18.7
2020-06-09,3,0,18.7
2020-06-10,1,0,17.8
2020-06-11,4,2,20.7
2020-06-12,9,0,27.6
2020-06-13,7,1,33.5
2020-06-14,7,1,38.4
2020-06-15,3,3,33.5
2020-06-16,4,1,34.5
2020-06-17,3,1,36.4
2020-06-18,5,1,37.4
2020-06-19,2,1,30.5
2020-06-20,9,0,32.5
2020-06-21,1,1,26.6
2020-06-22,4,1,27.6
2020-06-23,3,0,26.6
