date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,1,0,0.0
2020-03-12,1,0,1.5
2020-03-13,2,0,4.3
2020-03-14,1,0,5.7
2020-03-15,3,0,10.0
2020-03-16,0,0,10.0
2020-03-17,3,0,14.3
2020-03-18,1,0,15.7
2020-03-19,2,0,17.1
2020-03-20,8,0,25.7
2020-03-21,2,0,27.2
2020-03-22,3,0,27.2
2020-03-23,3,0,31.4
2020-03-24,4,0,32.9
2020-03-25,5,0,38.6
2020-03-26,6,0,44.3
2020-03-27,5,0,40.0
2020-03-28,3,0,41.4
2020-03-29,6,0,45.7
2020-03-30,9,0,54.3
2020-03-31,15,0,69.9
2020-04-01,6,0,71.4
2020-04-02,8,0,74.2
2020-04-03,9,0,80.0
2020-04-04,12,0,92.8
2020-04-05,4,0,89.9
2020-04-06,16,0,100.0
2020-04-07,5,0,85.7
2020-04-08,15,0,98.5
2020-04-09,7,0,97.1
2020-04-10,5,0,91.4
2020-04-11,10,0,88.6
2020-04-12,2,0,85.7
2020-04-13,8,0,74.3
2020-04-14,9,0,80.0
2020-04-15,10,0,72.9
2020-04-16,10,0,77.2
2020-04-17,10,0,84.2
2020-04-18,9,0,82.8
2020-04-19,2,0,82.9
2020-04-20,7,0,81.4
2020-04-21,0,0,68.6
2020-04-22,8,0,65.7
2020-04-23,3,0,55.7
2020-04-24,5,0,48.6
2020-04-25,6,0,44.3
2020-04-26,2,0,44.2
2020-04-27,1,0,35.7
2020-04-28,2,0,38.5
2020-04-29,2,0,30.0
2020-04-30,2,0,28.5
2020-05-01,2,0,24.3
2020-05-02,9,0,28.5
2020-05-03,2,0,28.6
2020-05-04,1,0,28.5
2020-05-05,7,0,35.7
2020-05-06,4,0,38.5
2020-05-07,7,0,45.7
2020-05-08,0,0,42.8
2020-05-09,3,0,34.3
2020-05-10,0,0,31.4
2020-05-11,1,0,31.4
2020-05-12,0,0,21.4
2020-05-13,0,0,15.7
2020-05-14,0,0,5.7
2020-05-15,4,0,11.5
2020-05-16,4,0,12.9
2020-05-17,3,0,17.2
2020-05-18,1,0,17.2
2020-05-19,1,0,18.6
2020-05-20,2,0,21.5
2020-05-21,0,0,21.5
2020-05-22,1,0,17.1
2020-05-23,1,0,12.8
2020-05-24,0,0,8.5
2020-05-25,2,0,10.0
2020-05-26,0,0,8.6
2020-05-27,5,0,12.8
2020-05-28,1,0,14.2
2020-05-29,0,0,12.8
2020-05-30,2,2,14.3
2020-05-31,2,0,17.2
2020-06-01,0,0,14.3
2020-06-02,0,0,14.3
2020-06-03,0,2,7.2
2020-06-04,0,0,5.8
2020-06-05,0,0,5.8
2020-06-06,1,0,4.3
2020-06-07,1,0,2.8
2020-06-08,1,0,4.2
2020-06-09,0,0,4.2
2020-06-10,0,0,4.2
2020-06-11,0,0,4.2
2020-06-12,1,6,5.7
2020-06-13,0,0,4.3
2020-06-14,1,0,4.3
2020-06-15,2,0,5.8
2020-06-16,0,2,5.8
2020-06-17,1,0,7.2
2020-06-18,1,0,8.6
2020-06-19,0,4,7.1
2020-06-20,0,0,7.1
2020-06-21,1,2,7.1
2020-06-22,0,0,4.2
2020-06-23,2,6,7.1
2020-06-24,0,0,5.7
2020-06-25,0,0,4.3
2020-06-26,2,2,7.2
2020-06-27,0,0,7.2
2020-06-28,0,2,5.8
2020-06-29,2,0,8.6
2020-06-30,0,0,5.7
2020-07-01,2,1,8.6
2020-07-02,1,0,10.0
2020-07-03,1,4,8.5
2020-07-04,0,3,8.5
2020-07-05,0,0,8.5
2020-07-06,1,0,7.2
2020-07-07,0,0,7.2
2020-07-08,1,2,5.7
2020-07-09,1,0,5.7
2020-07-10,0,0,4.3
