date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,1,0,1.2
2020-03-05,0,0,1.2
2020-03-06,0,0,1.2
2020-03-07,0,0,1.2
2020-03-08,0,0,1.2
2020-03-09,0,0,1.2
2020-03-10,0,0,1.2
2020-03-11,1,0,1.3
2020-03-12,0,0,1.3
2020-03-13,0,0,1.3
2020-03-14,0,0,1.3
2020-03-15,1,0,2.5
2020-03-16,1,0,3.8
2020-03-17,0,0,3.8
2020-03-18,2,0,4.9
2020-03-19,0,0,4.9
2020-03-20,0,0,4.9
2020-03-21,0,0,4.9
2020-03-22,2,0,6.2
2020-03-23,2,0,7.4
2020-03-24,1,0,8.7
2020-03-25,3,0,10.0
2020-03-26,3,0,13.7
2020-03-27,3,0,17.4
2020-03-28,4,0,22.4
2020-03-29,0,0,19.9
2020-03-30,6,0,24.8
2020-03-31,3,0,27.3
2020-04-01,5,0,29.8
2020-04-02,3,0,29.8
2020-04-03,2,0,28.6
2020-04-04,6,0,31.0
2020-04-05,0,0,31.0
2020-04-06,2,0,26.1
2020-04-07,6,0,29.8
2020-04-08,4,0,28.5
2020-04-09,6,0,32.3
2020-04-10,1,0,31.0
2020-04-11,2,0,26.1
2020-04-12,3,0,29.8
2020-04-13,3,0,31.0
2020-04-14,3,0,27.3
2020-04-15,4,0,27.3
2020-04-16,3,0,23.6
2020-04-17,7,0,31.0
2020-04-18,5,0,34.7
2020-04-19,3,0,34.8
2020-04-20,2,0,33.6
2020-04-21,11,0,43.4
2020-04-22,9,1,49.7
2020-04-23,8,3,55.8
2020-04-24,3,7,50.9
2020-04-25,8,2,54.7
2020-04-26,11,0,64.5
2020-04-27,4,0,67.0
2020-04-28,5,0,59.6
2020-04-29,4,13,53.4
2020-04-30,5,3,49.7
2020-05-01,9,2,57.1
2020-05-02,3,2,50.9
2020-05-03,1,2,38.5
2020-05-04,5,0,39.7
2020-05-05,11,2,47.2
2020-05-06,4,4,47.1
2020-05-07,6,1,48.4
2020-05-08,4,2,42.2
2020-05-09,2,2,40.9
2020-05-10,0,0,39.7
2020-05-11,9,8,44.7
2020-05-12,6,0,38.4
2020-05-13,4,1,38.5
2020-05-14,3,1,34.7
2020-05-15,2,1,32.3
2020-05-16,4,1,34.8
2020-05-17,6,1,42.2
2020-05-18,5,2,37.2
2020-05-19,5,1,36.0
2020-05-20,5,2,37.2
2020-05-21,3,0,37.3
2020-05-22,1,1,36.0
2020-05-23,7,0,39.7
2020-05-24,1,0,33.5
2020-05-25,2,1,29.8
2020-05-26,3,0,27.3
2020-05-27,4,1,26.1
2020-05-28,5,1,28.5
2020-05-29,4,0,32.3
2020-05-30,1,0,24.8
2020-05-31,3,2,27.3
2020-06-01,3,0,28.6
2020-06-02,4,0,29.8
2020-06-03,2,1,27.3
2020-06-04,2,1,23.6
2020-06-05,0,1,18.6
2020-06-06,1,0,18.6
2020-06-07,1,0,16.2
2020-06-08,3,0,16.1
2020-06-09,0,0,11.2
2020-06-10,1,0,9.9
2020-06-11,3,0,11.2
2020-06-12,0,1,11.2
2020-06-13,3,0,13.7
2020-06-14,0,0,12.4
2020-06-15,2,0,11.2
2020-06-16,0,0,11.2
2020-06-17,2,0,12.5
2020-06-18,2,0,11.1
2020-06-19,0,0,11.1
2020-06-20,0,0,7.4
2020-06-21,2,0,9.9
2020-06-22,1,0,8.7
