date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,1,0,0.3
2020-03-02,0,0,0.3
2020-03-03,0,0,0.3
2020-03-04,0,0,0.3
2020-03-05,1,0,0.7
2020-03-06,0,0,0.7
2020-03-07,1,0,1
2020-03-08,0,0,0.7
2020-03-09,0,0,0.7
2020-03-10,0,0,0.7
2020-03-11,2,0,1.4
2020-03-12,1,0,1.4
2020-03-13,1,0,1.7
2020-03-14,0,0,1.4
2020-03-15,2,0,2.1
2020-03-16,3,0,3.2
2020-03-17,1,0,3.5
2020-03-18,3,0,3.9
2020-03-19,2,0,4.2
2020-03-20,2,0,4.6
2020-03-21,1,0,4.9
2020-03-22,3,0,5.2
2020-03-23,2,0,4.8
2020-03-24,5,0,6.3
2020-03-25,5,0,6.9
2020-03-26,6,0,8.3
2020-03-27,7,0,10
2020-03-28,11,0,13.6
2020-03-29,3,0,13.6
2020-03-30,17,0,18.8
2020-03-31,22,0,24.7
2020-04-01,25,0,31.7
2020-04-02,17,0,35.5
2020-04-03,35,0,45.3
2020-04-04,24,0,49.7
2020-04-05,15,0,53.9
2020-04-06,32,0,59.1
2020-04-07,24,0,59.8
2020-04-08,45,0,66.7
2020-04-09,42,0,75.4
2020-04-10,29,0,73.3
2020-04-11,30,0,75.5
2020-04-12,25,0,79.0
2020-04-13,35,0,80.0
2020-04-14,31,0,82.4
2020-04-15,41,0,81.1
2020-04-16,37,0,79.3
2020-04-17,26,35,78.3
2020-04-18,34,30,79.6
2020-04-19,35,33,83.1
2020-04-20,28,14,80.7
2020-04-21,29,23,80.0
2020-04-22,51,19,83.4
2020-04-23,37,22,83.5
2020-04-24,32,20,85.5
2020-04-25,16,16,79.3
2020-04-26,16,39,72.7
2020-04-27,15,13,68.2
2020-04-28,42,6,72.7
2020-04-29,42,15,69.6
2020-04-30,29,7,66.8
2020-05-01,35,24,67.8
2020-05-02,17,19,68.2
2020-05-03,21,25,69.9
2020-05-04,17,12,70.6
2020-05-05,25,14,64.7
2020-05-06,29,9,60.1
2020-05-07,13,23,54.6
2020-05-08,14,10,47.3
2020-05-09,7,6,43.8
2020-05-10,18,9,42.7
2020-05-11,20,13,43.8
2020-05-12,17,1,41.0
2020-05-13,11,9,34.8
2020-05-14,14,9,35.1
2020-05-15,23,7,38.3
2020-05-16,21,6,43.1
2020-05-17,13,5,41.4
2020-05-18,18,14,40.7
2020-05-19,33,5,46.3
2020-05-20,17,11,48.4
2020-05-21,12,8,47.6
2020-05-22,10,8,43.1
2020-05-23,10,7,39.3
2020-05-24,9,6,37.9
2020-05-25,9,2,34.8
2020-05-26,14,0,28.1
2020-05-27,22,6,29.9
2020-05-28,16,2,31.3
2020-05-29,10,4,31.3
2020-05-30,9,3,30.9
2020-05-31,7,2,30.3
2020-06-01,12,1,31.3
2020-06-02,13,5,31.0
2020-06-03,30,1,33.7
2020-06-04,13,3,32.7
2020-06-05,6,4,31.3
2020-06-06,1,2,28.6
2020-06-07,4,4,27.5
2020-06-08,3,0,24.3
2020-06-09,5,0,21.5
2020-06-10,9,1,14.3
2020-06-11,11,0,13.6
2020-06-12,4,0,12.9
2020-06-13,6,1,14.6
2020-06-14,4,4,14.6
2020-06-15,6,0,15.6
2020-06-16,5,1,15.7
2020-06-17,12,1,16.7
2020-06-18,6,1,14.9
2020-06-19,2,1,14.2
2020-06-20,9,2,15.3
2020-06-21,6,2,16.0
2020-06-22,14,2,18.8
