date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,1,0,0.2
2020-03-07,1,0,0.4
2020-03-08,0,0,0.4
2020-03-09,0,0,0.4
2020-03-10,1,0,0.7
2020-03-11,0,0,0.7
2020-03-12,1,0,0.9
2020-03-13,3,0,1.3
2020-03-14,2,0,1.5
2020-03-15,1,0,1.8
2020-03-16,0,0,1.8
2020-03-17,3,0,2.1
2020-03-18,7,0,3.6
2020-03-19,2,0,3.8
2020-03-20,4,0,4.1
2020-03-21,8,0,5.4
2020-03-22,5,0,6.2
2020-03-23,10,0,8.3
2020-03-24,4,0,8.6
2020-03-25,12,0,9.7
2020-03-26,14,0,12.3
2020-03-27,13,0,14.2
2020-03-28,10,0,14.6
2020-03-29,12,0,16.1
2020-03-30,17,0,17.6
2020-03-31,18,0,20.6
2020-04-01,17,0,21.6
2020-04-02,14,0,21.7
2020-04-03,20,0,23.1
2020-04-04,10,0,23.2
2020-04-05,14,0,23.6
2020-04-06,13,0,22.8
2020-04-07,22,0,23.6
2020-04-08,28,0,26.0
2020-04-09,17,0,26.6
2020-04-10,18,0,26.2
2020-04-11,26,0,29.6
2020-04-12,15,0,29.8
2020-04-13,16,0,30.5
2020-04-14,17,0,29.4
2020-04-15,22,0,28.1
2020-04-16,28,0,30.5
2020-04-17,14,39,29.7
2020-04-18,14,25,27.1
2020-04-19,15,16,27.1
2020-04-20,21,15,28.1
2020-04-21,20,8,28.8
2020-04-22,38,19,32.2
2020-04-23,25,23,31.5
2020-04-24,39,24,36.9
2020-04-25,12,16,36.5
2020-04-26,23,12,38.2
2020-04-27,30,5,40.1
2020-04-28,34,8,43.1
2020-04-29,31,9,41.7
2020-04-30,22,8,41.0
2020-05-01,29,7,38.8
2020-05-02,13,8,39.0
2020-05-03,10,10,36.3
2020-05-04,21,8,34.4
2020-05-05,12,0,29.6
2020-05-06,22,6,27.7
2020-05-07,15,11,26.2
2020-05-08,18,6,23.9
2020-05-09,10,10,23.2
2020-05-10,26,3,26.6
2020-05-11,17,2,25.7
2020-05-12,8,0,24.9
2020-05-13,4,7,21.0
2020-05-14,11,2,20.2
2020-05-15,2,1,16.7
2020-05-16,7,4,16.1
2020-05-17,6,1,11.8
2020-05-18,9,0,10.1
2020-05-19,19,0,12.5
2020-05-20,13,1,14.4
2020-05-21,9,3,13.9
2020-05-22,9,1,15.5
2020-05-23,1,1,14.2
2020-05-24,10,1,15.0
2020-05-25,3,0,13.8
2020-05-26,5,2,10.7
2020-05-27,32,2,14.8
2020-05-28,26,0,18.5
2020-05-29,11,3,18.8
2020-05-30,4,1,19.5
2020-05-31,12,2,20.0
