date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,1.1
2020-03-13,1,0,2.1
2020-03-14,1,0,3.1
2020-03-15,2,0,5.2
2020-03-16,0,0,5.2
2020-03-17,1,0,6.2
2020-03-18,4,0,10.3
2020-03-19,1,0,10.2
2020-03-20,1,0,10.3
2020-03-21,6,0,15.4
2020-03-22,6,0,19.5
2020-03-23,4,0,23.6
2020-03-24,2,0,24.7
2020-03-25,4,0,24.7
2020-03-26,8,0,31.9
2020-03-27,2,0,32.9
2020-03-28,6,0,32.9
2020-03-29,4,0,30.8
2020-03-30,6,0,32.9
2020-03-31,7,0,38.0
2020-04-01,7,0,41.1
2020-04-02,5,0,38.0
2020-04-03,6,0,42.1
2020-04-04,4,0,40.1
2020-04-05,4,0,40.1
2020-04-06,4,0,38.0
2020-04-07,4,0,35.0
2020-04-08,9,0,37.0
2020-04-09,6,0,38.1
2020-04-10,4,0,36.0
2020-04-11,2,0,33.9
2020-04-12,3,0,32.9
2020-04-13,6,0,35.0
2020-04-14,2,0,32.8
2020-04-15,7,0,30.8
2020-04-16,2,0,26.7
2020-04-17,3,0,25.7
2020-04-18,6,0,29.9
2020-04-19,6,0,32.9
2020-04-20,4,0,30.8
2020-04-21,4,0,32.9
2020-04-22,6,4,31.9
2020-04-23,7,3,37.0
2020-04-24,5,4,39.0
2020-04-25,3,2,35.9
2020-04-26,4,1,33.9
2020-04-27,3,1,32.9
2020-04-28,7,0,36.0
2020-04-29,7,3,37.0
2020-04-30,5,2,35.0
2020-05-01,5,2,35.0
2020-05-02,1,2,32.9
2020-05-03,1,1,29.9
2020-05-04,0,4,26.8
2020-05-05,11,0,30.9
2020-05-06,6,2,29.8
2020-05-07,3,0,27.7
2020-05-08,0,1,22.6
2020-05-09,0,9,21.6
2020-05-10,1,0,21.5
2020-05-11,2,0,23.6
2020-05-12,1,1,13.3
2020-05-13,4,1,11.3
2020-05-14,0,0,8.2
2020-05-15,2,0,10.3
2020-05-16,2,0,12.3
2020-05-17,0,2,11.3
2020-05-18,0,0,9.2
2020-05-19,1,0,9.3
2020-05-20,0,0,5.2
2020-05-21,1,0,6.2
2020-05-22,1,0,5.1
2020-05-23,2,1,5.2
2020-05-24,1,0,6.2
2020-05-25,1,0,7.2
2020-05-26,2,0,8.2
2020-05-27,1,1,9.2
2020-05-28,2,1,10.3
2020-05-29,1,1,10.3
2020-05-30,0,1,8.2
2020-05-31,0,0,7.2
2020-06-01,0,0,6.2
2020-06-02,0,0,4.1
2020-06-03,1,0,4.1
2020-06-04,0,0,2.0
2020-06-05,0,0,1.0
2020-06-06,0,0,1.0
2020-06-07,0,0,1.0
2020-06-08,1,0,2.1
2020-06-09,3,0,5.2
2020-06-10,1,0,5.2
2020-06-11,1,0,6.2
2020-06-12,1,0,7.2
2020-06-13,0,0,7.2
2020-06-14,0,1,7.2
2020-06-15,1,0,7.2
2020-06-16,0,0,4.1
2020-06-17,1,0,4.1
2020-06-18,0,0,3.1
2020-06-19,2,1,4.1
2020-06-20,0,0,4.1
2020-06-21,0,0,4.1
2020-06-22,1,0,4.1
2020-06-23,0,0,4.1
2020-06-24,0,0,3.1
2020-06-25,0,0,3.1
2020-06-26,0,0,1.1
2020-06-27,0,0,1.1
2020-06-28,0,0,1.1
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,86,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,1,0,1.0
2020-07-07,0,0,1.0
2020-07-08,2,1,3.1
2020-07-09,4,0,7.2
2020-07-10,0,1,7.2
2020-07-11,0,2,7.2
2020-07-12,0,2,7.2
2020-07-13,1,1,7.2
2020-07-14,0,0,7.2
2020-07-15,0,1,5.1
2020-07-16,1,0,2.0
2020-07-17,1,1,3.1
2020-07-18,0,0,3.1
2020-07-19,0,0,3.1
2020-07-20,0,0,2.1
2020-07-21,1,0,3.1
2020-07-22,0,0,3.1
2020-07-23,1,1,3.1
2020-07-24,1,0,3.0
2020-07-25,0,2,3.0
2020-07-26,1,0,4.1
2020-07-27,1,0,5.1
2020-07-28,1,1,5.1
2020-07-29,0,1,5.1
2020-07-30,0,1,4.1
2020-07-31,1,1,4.2
2020-08-01,0,0,4.2
2020-08-02,1,0,4.1
2020-08-03,1,0,4.1
2020-08-04,1,0,4.1
2020-08-05,0,2,4.1
2020-08-06,0,1,4.1
2020-08-07,1,0,4.1
2020-08-08,0,1,4.1
2020-08-09,0,1,3.1
2020-08-10,0,0,2.1
2020-08-11,2,0,3.1
2020-08-12,0,0,3.1
2020-08-13,1,0,4.1
2020-08-14,0,0,3.0
2020-08-15,0,0,3.0
