date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,1,0,0.8
2020-03-11,0,0,0.8
2020-03-12,3,0,3.5
2020-03-13,0,0,3.5
2020-03-14,1,0,4.3
2020-03-15,0,0,4.3
2020-03-16,1,0,5.2
2020-03-17,0,0,4.4
2020-03-18,2,0,6.2
2020-03-19,2,0,5.2
2020-03-20,2,0,6.9
2020-03-21,2,0,7.9
2020-03-22,2,0,9.6
2020-03-23,1,0,9.6
2020-03-24,3,0,12.2
2020-03-25,2,0,12.2
2020-03-26,4,0,14.0
2020-03-27,7,0,18.4
2020-03-28,5,0,20.9
2020-03-29,7,0,25.3
2020-03-30,3,0,27.0
2020-03-31,2,0,26.2
2020-04-01,7,0,30.5
2020-04-02,2,0,28.7
2020-04-03,7,0,28.8
2020-04-04,2,0,26.2
2020-04-05,4,0,23.6
2020-04-06,7,0,27.1
2020-04-07,7,0,31.4
2020-04-08,9,0,33.1
2020-04-09,10,0,40.2
2020-04-10,3,0,36.6
2020-04-11,4,0,38.4
2020-04-12,7,0,41.0
2020-04-13,7,0,41.0
2020-04-14,11,0,44.5
2020-04-15,6,0,41.9
2020-04-16,9,0,41.0
2020-04-17,4,0,41.9
2020-04-18,7,0,44.5
2020-04-19,6,0,43.6
2020-04-20,12,0,48.0
2020-04-21,5,0,42.7
2020-04-22,10,12,46.3
2020-04-23,14,2,50.6
2020-04-24,13,0,58.4
2020-04-25,3,15,54.9
2020-04-26,1,5,50.6
2020-04-27,16,0,54.1
2020-04-28,9,0,57.6
2020-04-29,18,0,64.5
2020-04-30,6,17,57.6
2020-05-01,6,10,51.5
2020-05-02,5,1,53.2
2020-05-03,5,3,56.7
2020-05-04,1,0,43.6
2020-05-05,7,1,41.9
2020-05-06,2,1,27.9
2020-05-07,6,2,27.9
2020-05-08,7,0,28.8
2020-05-09,5,0,28.8
2020-05-10,2,1,26.2
2020-05-11,6,0,30.5
2020-05-12,9,0,32.3
2020-05-13,6,1,35.8
2020-05-14,4,3,34.0
2020-05-15,9,1,35.7
2020-05-16,0,0,31.4
2020-05-17,1,2,30.5
2020-05-18,3,1,27.9
2020-05-19,7,1,26.1
2020-05-20,6,0,26.2
2020-05-21,1,4,23.5
2020-05-22,3,0,18.4
2020-05-23,2,2,20.1
2020-05-24,2,0,21.0
2020-05-25,1,0,19.2
2020-05-26,3,0,15.7
2020-05-27,1,0,11.3
2020-05-28,3,0,13.1
2020-05-29,0,1,10.4
2020-05-30,1,0,9.6
2020-05-31,0,0,7.8
2020-06-01,0,0,7.0
2020-06-02,5,0,8.8
2020-06-03,0,1,7.9
2020-06-04,3,1,7.9
2020-06-05,4,0,11.4
2020-06-06,2,0,12.2
2020-06-07,0,0,12.2
2020-06-08,6,0,17.5
2020-06-09,0,2,13.1
2020-06-10,0,0,13.1
2020-06-11,1,0,11.3
2020-06-12,0,0,7.8
2020-06-13,0,0,6.1
2020-06-14,1,0,7.0
2020-06-15,1,0,2.6
2020-06-16,2,1,4.3
2020-06-17,0,0,4.3
2020-06-18,0,1,3.5
2020-06-19,1,0,4.4
2020-06-20,0,0,4.4
2020-06-21,0,0,3.5
2020-06-22,0,0,2.6
2020-06-23,0,0,0.9
2020-06-24,0,0,0.9
2020-06-25,0,1,0.9
2020-06-26,2,0,1.7
2020-06-27,1,0,2.6
2020-06-28,0,0,2.6
2020-06-29,0,0,2.6
2020-06-30,1,0,3.5
2020-07-01,1,177,4.4
2020-07-02,1,0,5.2
2020-07-03,0,0,3.5
2020-07-04,0,2,2.6
2020-07-05,0,1,2.6
2020-07-06,2,0,4.4
2020-07-07,0,1,3.5
2020-07-08,1,1,3.4
2020-07-09,1,0,3.5
2020-07-10,0,1,3.5
2020-07-11,0,0,3.5
2020-07-12,1,1,4.4
2020-07-13,1,0,3.5
2020-07-14,0,1,3.5
2020-07-15,1,1,3.5
2020-07-16,0,0,2.6
2020-07-17,0,0,2.6
2020-07-18,0,1,2.6
2020-07-19,1,0,2.6
2020-07-20,1,0,2.6
2020-07-21,0,1,2.6
2020-07-22,1,0,2.6
2020-07-23,0,1,2.6
2020-07-24,1,1,3.5
2020-07-25,2,0,5.3
2020-07-26,0,1,4.4
2020-07-27,0,0,3.5
2020-07-28,0,0,3.5
2020-07-29,0,0,2.7
2020-07-30,0,2,2.7
2020-07-31,0,0,1.8
2020-08-01,0,0,0.0
2020-08-02,0,0,0.0
2020-08-03,0,0,0.0
2020-08-04,1,0,0.8
2020-08-05,0,0,0.8
2020-08-06,1,0,1.7
2020-08-07,1,0,2.6
2020-08-08,0,1,2.6
2020-08-09,0,1,2.6
2020-08-10,1,0,3.5
2020-08-11,0,1,2.7
2020-08-12,2,0,4.4
2020-08-13,2,0,5.2
2020-08-14,3,3,7.0
2020-08-15,0,2,7.0
2020-08-16,0,1,7.0
2020-08-17,2,2,7.8
2020-08-18,0,0,7.8
2020-08-19,1,2,7.0
2020-08-20,3,0,7.9
2020-08-21,3,1,7.8
2020-08-22,2,4,9.6
2020-08-23,1,1,10.4
2020-08-24,2,2,10.5
2020-08-25,1,3,11.3
2020-08-26,3,1,13.1
2020-08-27,2,1,12.2
2020-08-28,1,3,10.5
2020-08-29,1,1,9.6
2020-08-30,8,0,15.7
2020-08-31,2,2,15.7
2020-09-01,13,6,26.2
2020-09-02,8,3,30.5
2020-09-03,6,10,34.0
2020-09-04,4,6,36.6
2020-09-05,8,4,42.7
2020-09-06,3,4,38.4
2020-09-07,13,7,48.0
2020-09-08,7,6,42.8
2020-09-09,5,7,40.1
2020-09-10,1,4,35.8
2020-09-11,9,7,40.2
2020-09-12,2,12,34.9
2020-09-13,4,6,35.8
2020-09-14,1,2,25.3
2020-09-15,7,6,25.3
2020-09-16,4,7,24.5
2020-09-17,1,5,24.4
2020-09-18,4,4,20.0
2020-09-19,10,6,27.0
2020-09-20,11,1,33.1
2020-09-21,9,5,40.1
2020-09-22,5,9,38.4
2020-09-23,4,5,38.3
2020-09-24,9,7,45.4
2020-09-25,10,9,50.6
2020-09-26,10,11,50.6
2020-09-27,15,5,54.1
2020-09-28,17,13,61.1
2020-09-29,19,7,73.2
2020-09-30,35,8,100.4
2020-10-01,47,10,133.5
2020-10-02,43,11,162.3
2020-10-03,54,28,200.7
2020-10-04,50,76,231.2
2020-10-05,50,19,259.9
2020-10-06,56,33,292.3
2020-10-07,60,39,314.0
2020-10-08,49,72,315.8
2020-10-09,67,66,336.7
2020-10-10,45,37,328.9
2020-10-11,32,33,313.2
2020-10-12,62,49,323.7
2020-10-13,63,42,329.7
2020-10-14,49,78,320.2
2020-10-15,44,86,315.8
2020-10-16,55,22,305.4
2020-10-17,44,32,304.4
2020-10-18,42,48,313.2
2020-10-19,85,89,333.2
2020-10-20,80,82,348.1
2020-10-21,60,62,357.7
2020-10-22,57,63,369.0
2020-10-23,47,57,362.0
2020-10-24,32,69,351.6
2020-10-25,32,42,342.8
2020-10-26,84,43,342.0
2020-10-27,54,48,319.3
2020-10-28,53,64,313.2
2020-10-29,42,68,300.1
2020-10-30,54,43,306.2
2020-10-31,38,60,311.5
2020-11-01,34,63,313.2
2020-11-02,90,34,318.4
2020-11-03,53,48,317.6
2020-11-04,35,46,301.8
2020-11-05,40,43,300.1
2020-11-06,37,46,285.3
2020-11-07,40,53,287.0
2020-11-08,34,35,287.0
2020-11-09,51,45,253.0
2020-11-10,39,55,240.8
2020-11-11,52,23,255.6
2020-11-12,29,57,246.0
2020-11-13,28,41,238.2
2020-11-14,28,36,227.7
2020-11-15,26,43,220.8
2020-11-16,40,85,211.2
2020-11-17,23,38,197.1
2020-11-18,35,21,182.4
2020-11-19,15,18,170.1
2020-11-20,22,30,164.8
2020-11-21,23,30,160.5
2020-11-22,17,20,152.6
2020-11-23,26,28,140.4
2020-11-24,17,21,135.2
2020-11-25,29,22,129.9
2020-11-26,32,24,144.9
2020-11-27,19,17,142.2
2020-11-28,12,39,132.6
2020-11-29,17,11,132.6
2020-11-30,24,22,130.9
2020-12-01,23,26,136.1
2020-12-02,18,18,126.5
2020-12-03,14,15,110.8
2020-12-04,12,23,104.7
2020-12-05,19,20,110.8
2020-12-06,27,11,119.6
2020-12-07,26,29,121.2
2020-12-08,17,8,116.1
2020-12-09,23,23,120.4
2020-12-10,20,25,125.6
2020-12-11,31,21,142.2
2020-12-12,19,13,142.2
2020-12-13,23,27,138.7
2020-12-14,27,25,139.6
2020-12-15,30,20,150.9
2020-12-16,28,18,155.3
2020-12-17,27,19,161.4
2020-12-18,43,42,171.9
2020-12-19,22,13,174.5
2020-12-20,30,34,180.6
2020-12-21,43,33,194.6
2020-12-22,38,34,201.5
2020-12-23,33,34,205.9
2020-12-24,25,29,204.1
2020-12-25,12,42,177.1
2020-12-26,35,33,188.4
2020-12-27,47,17,203.2
2020-12-28,62,39,219.8
2020-12-29,77,43,253.9
2020-12-30,68,59,284.4
2020-12-31,72,66,325.4
2021-01-01,23,61,335.0
2021-01-02,63,67,359.4
2021-01-03,56,18,367.3
2021-01-04,86,78,388.2
2021-01-05,58,65,371.6
2021-01-06,51,60,356.8
2021-01-07,83,50,366.4
2021-01-08,49,73,389.1
2021-01-09,37,89,366.4
2021-01-10,41,34,353.3
2021-01-11,69,64,338.5
2021-01-12,84,50,361.2
2021-01-13,65,56,373.4
2021-01-14,60,64,353.3
2021-01-15,60,98,362.9
2021-01-16,40,54,365.6
2021-01-17,43,41,367.3
2021-01-18,74,54,371.7
2021-01-19,75,49,363.8
2021-01-20,62,63,361.2
2021-01-21,56,76,357.7
2021-01-22,53,68,351.6
2021-01-23,42,49,353.3
2021-01-24,24,51,336.7
2021-01-25,40,39,307.0
2021-01-26,50,34,285.3
2021-01-27,61,46,284.4
2021-01-28,46,48,275.7
2021-01-29,35,63,259.9
2021-01-30,31,44,250.4
2021-01-31,26,35,252.2
2021-02-01,48,36,259.1
2021-02-02,28,27,239.9
2021-02-03,25,38,208.5
2021-02-04,39,28,202.4
2021-02-05,31,24,198.9
2021-02-06,25,34,193.7
2021-02-07,21,39,189.3
2021-02-08,31,28,174.5
2021-02-09,38,29,183.2
2021-02-10,23,27,181.4
2021-02-11,16,31,161.4
2021-02-12,27,32,157.9
2021-02-13,16,18,150.0
2021-02-14,22,35,150.9
2021-02-15,46,16,164.0
2021-02-16,42,18,167.5
2021-02-17,32,38,175.4
2021-02-18,25,49,183.2
2021-02-19,12,24,170.2
2021-02-20,24,23,177.1
2021-02-21,20,20,175.3
2021-02-22,31,26,162.3
2021-02-23,28,17,150.0
2021-02-24,22,23,141.3
2021-02-25,20,37,137.0
2021-02-26,12,23,136.9
2021-02-27,11,20,125.6
2021-02-28,5,12,112.6
2021-03-01,16,9,99.4
2021-03-02,15,13,88.1
2021-03-03,11,18,78.5
2021-03-04,9,13,68.9
2021-03-05,14,6,70.7
2021-03-06,3,11,63.7
2021-03-07,6,10,64.5
2021-03-08,8,8,57.6
2021-03-09,13,9,55.9
2021-03-10,9,3,54.1
2021-03-11,9,18,54.1
2021-03-12,5,13,46.2
2021-03-13,11,5,53.2
2021-03-14,6,8,53.3
2021-03-15,15,8,59.3
2021-03-16,25,10,69.8
2021-03-17,22,17,81.1
2021-03-18,14,26,85.5
2021-03-19,12,11,91.6
2021-03-20,7,15,88.1
2021-03-21,12,17,93.3
2021-03-22,11,11,89.9
2021-03-23,24,10,88.9
2021-03-24,9,14,77.7
2021-03-25,21,17,83.7
2021-03-26,9,23,81.2
2021-03-27,6,11,80.3
2021-03-28,13,9,81.1
2021-03-29,5,8,75.9
2021-03-30,5,11,59.4
2021-03-31,10,5,60.2
2021-04-01,13,9,53.2
2021-04-02,3,5,47.9
2021-04-03,2,14,44.5
2021-04-04,0,6,33.2
2021-04-05,2,2,30.5
2021-04-06,3,4,28.8
2021-04-07,0,1,20.1
2021-04-08,7,2,14.9
2021-04-09,3,0,14.9
2021-04-10,1,6,13.9
2021-04-11,4,0,17.4
2021-04-12,1,4,16.6
2021-04-13,1,4,14.8
2021-04-14,2,0,16.5
2021-04-15,1,2,11.3
2021-04-16,1,2,9.6
2021-04-17,2,1,10.5
2021-04-18,5,0,11.4
2021-04-19,0,7,10.5
2021-04-20,2,4,11.3
2021-04-21,1,1,10.5
2021-04-22,1,2,10.5
2021-04-23,1,1,10.4
2021-04-24,0,3,8.7
2021-04-25,1,0,5.2
2021-04-26,2,0,7.0
2021-04-27,1,2,6.1
2021-04-28,3,1,7.8
2021-04-29,4,3,10.4
2021-04-30,4,2,13.1
2021-05-01,2,4,14.9
2021-05-02,1,5,14.8
2021-05-03,2,0,14.8
2021-05-04,7,3,20.1
2021-05-05,3,8,20.1
2021-05-06,4,7,20.1
2021-05-07,4,5,20.1
2021-05-08,1,1,19.2
2021-05-09,3,3,21.0
2021-05-10,4,4,22.7
2021-05-11,6,4,21.8
2021-05-12,8,6,26.2
2021-05-13,4,4,26.2
2021-05-14,5,6,27.0
2021-05-15,3,7,28.8
2021-05-16,7,4,32.3
2021-05-17,2,5,30.5
2021-05-18,2,0,27.0
2021-05-19,7,0,26.2
2021-05-20,10,8,31.4
2021-05-21,2,4,28.8
2021-05-22,0,5,26.1
2021-05-23,3,3,22.6
2021-05-24,3,0,23.6
2021-05-25,1,3,22.7
2021-05-26,2,4,18.3
2021-05-27,2,0,11.3
2021-05-28,2,1,11.4
2021-05-29,0,3,11.4
2021-05-30,3,2,11.4
2021-05-31,5,2,13.0
2021-06-01,2,0,14.0
2021-06-02,4,4,15.7
2021-06-03,6,1,19.2
2021-06-04,3,7,20.0
2021-06-05,3,4,22.6
2021-06-06,4,4,23.5
2021-06-07,9,4,27.1
2021-06-08,6,7,30.5
2021-06-09,14,5,39.2
2021-06-10,12,11,44.5
2021-06-11,11,10,51.5
2021-06-12,10,10,57.6
2021-06-13,11,11,63.7
2021-06-14,15,15,68.9
2021-06-15,12,11,74.2
2021-06-16,16,9,75.9
2021-06-17,24,9,86.4
2021-06-18,13,25,88.1
2021-06-19,7,12,85.5
2021-06-20,16,8,89.9
2021-06-21,30,25,103.0
2021-06-22,29,18,117.8
2021-06-23,30,24,130.0
2021-06-24,19,31,125.6
2021-06-25,14,21,126.5
2021-06-26,28,23,144.8
2021-06-27,31,15,157.9
2021-06-28,51,41,176.2
2021-06-29,50,32,194.5
2021-06-30,34,47,198.1
2021-07-01,57,46,231.2
2021-07-02,58,40,269.6
2021-07-03,43,48,282.7
2021-07-04,72,53,318.4
2021-07-05,86,59,348.9
2021-07-06,88,85,382.1
2021-07-07,93,60,433.5
2021-07-08,86,76,458.9
2021-07-09,88,94,485.0
2021-07-10,58,92,498.1
2021-07-11,89,94,513.0
2021-07-12,113,78,536.6
2021-07-13,116,93,561.0
2021-07-14,105,102,571.5
2021-07-15,120,93,601.0
2021-07-16,99,120,610.7
2021-07-17,86,109,635.1
2021-07-18,79,108,626.4
2021-07-19,106,97,620.2
2021-07-20,85,75,593.2
2021-07-21,71,112,563.5
2021-07-22,50,71,502.5
2021-07-23,50,71,459.8
2021-07-24,28,56,409.2
2021-07-25,29,44,365.5
2021-07-26,52,30,318.5
2021-07-27,54,33,291.4
2021-07-28,65,58,286.2
2021-07-29,46,47,282.7
2021-07-30,52,60,284.4
2021-07-31,46,52,300.1
2021-08-01,37,40,307.1
2021-08-02,58,50,312.3
2021-08-03,44,35,303.6
2021-08-04,66,60,304.4
2021-08-05,57,58,314.1
2021-08-06,57,56,318.4
2021-08-07,27,49,301.8
2021-08-08,44,61,307.9
2021-08-09,60,27,309.7
2021-08-10,42,48,307.9
2021-08-11,52,59,295.8
2021-08-12,52,45,291.3
2021-08-13,35,57,272.2
2021-08-14,37,36,281.0
2021-08-15,45,31,281.8
2021-08-16,72,42,292.2
2021-08-17,53,45,301.9
2021-08-18,47,74,297.5
2021-08-19,64,59,308.0
2021-08-20,50,42,321.0
2021-08-21,64,51,344.5
2021-08-22,64,54,361.2
2021-08-23,74,83,362.9
2021-08-24,44,51,355.0
2021-08-25,71,69,376.0
2021-08-26,54,48,367.3
2021-08-27,62,71,377.8
2021-08-28,64,55,377.8
2021-08-29,46,62,362.0
2021-08-30,56,63,346.4
2021-08-31,62,52,362.1
2021-09-01,55,56,348.1
2021-09-02,63,42,355.9
2021-09-03,63,67,356.8
2021-09-04,45,53,340.2
2021-09-05,47,65,341.1
2021-09-06,65,51,348.9
2021-09-07,64,57,350.7
2021-09-08,62,45,356.8
2021-09-09,56,77,350.7
2021-09-10,32,68,323.6
2021-09-11,34,48,314.1
2021-09-12,32,35,301.0
2021-09-13,49,31,287.1
2021-09-14,45,37,270.4
2021-09-15,45,48,255.6
2021-09-16,61,46,260.0
2021-09-17,42,38,268.7
2021-09-18,53,64,285.3
2021-09-19,68,48,316.7
2021-09-20,66,61,331.5
2021-09-21,100,59,379.5
2021-09-22,67,74,398.7
2021-09-23,79,91,414.4
2021-09-24,70,56,438.8
2021-09-25,55,69,440.5
2021-09-26,48,70,423.1
2021-09-27,86,77,440.5
2021-09-28,60,66,405.7
2021-09-29,64,68,403.0
2021-09-30,73,54,397.8
2021-10-01,55,67,384.8
2021-10-02,59,77,388.2
2021-10-03,65,64,403.0
2021-10-04,96,71,411.8
2021-10-05,84,48,432.7
2021-10-06,90,89,455.4
2021-10-07,66,98,449.3
2021-10-08,67,63,459.7
2021-10-09,60,69,460.7
2021-10-10,61,84,457.2
2021-10-11,69,56,433.6
2021-10-12,52,60,405.6
2021-10-13,61,68,380.4
2021-10-14,59,60,374.2
2021-10-15,68,43,375.2
2021-10-16,61,60,376.0
2021-10-17,47,77,363.8
2021-10-18,79,61,372.5
2021-10-19,80,48,397.0
2021-10-20,97,53,428.3
2021-10-21,69,90,437.1
2021-10-22,59,82,429.2
2021-10-23,62,97,430.1
2021-10-24,45,59,428.3
2021-10-25,79,59,428.3
2021-10-26,52,47,403.9
2021-10-27,79,80,388.2
2021-10-28,63,54,383.0
2021-10-29,62,70,385.6
2021-10-30,60,71,383.8
2021-10-31,44,57,383.0
2021-11-01,64,74,369.9
2021-11-02,65,43,381.2
2021-11-03,54,48,359.4
2021-11-04,60,64,356.8
2021-11-05,62,55,356.8
2021-11-06,62,62,358.6
2021-11-07,62,69,374.3
2021-11-08,66,63,376.0
2021-11-09,85,76,393.5
2021-11-10,66,61,404.0
2021-11-11,70,63,412.6
2021-11-12,71,68,420.5
2021-11-13,49,74,409.1
2021-11-14,53,46,401.3
2021-11-15,70,82,404.8
2021-11-16,76,52,396.9
2021-11-17,67,63,397.8
2021-11-18,86,72,411.8
2021-11-19,67,46,408.3
2021-11-20,60,69,417.9
2021-11-21,59,58,423.1
2021-11-22,84,106,435.3
2021-11-23,83,78,441.5
2021-11-24,85,68,457.1
2021-11-25,87,92,458.0
2021-11-26,66,93,457.1
2021-11-27,65,88,461.5
2021-11-28,69,46,470.2
2021-11-29,95,80,479.9
2021-11-30,104,77,498.1
2021-12-01,99,83,510.4
2021-12-02,112,96,532.2
2021-12-03,114,88,574.0
2021-12-04,90,116,595.8
2021-12-05,99,115,622.0
2021-12-06,117,128,641.2
2021-12-07,106,77,642.9
2021-12-08,109,94,651.6
2021-12-09,100,118,641.2
2021-12-10,88,115,618.6
2021-12-11,96,84,623.8
2021-12-12,92,82,617.7
2021-12-13,189,98,680.4
2021-12-14,190,126,753.8
2021-12-15,202,171,834.9
2021-12-16,213,186,933.4
2021-12-17,180,162,1013.7
2021-12-18,168,202,1076.5
2021-12-19,181,167,1154.1
2021-12-20,252,198,1209.2
2021-12-21,274,219,1282.4
2021-12-22,278,247,1348.7
2021-12-23,318,229,1440.4
2021-12-24,265,287,1514.5
2021-12-25,113,304,1466.5
2021-12-26,181,217,1466.5
2021-12-27,329,210,1533.7
2021-12-28,307,213,1562.5
2021-12-29,443,290,1706.4
2021-12-30,333,288,1719.5
2021-12-31,303,342,1752.6
2022-01-01,191,313,1820.7
2022-01-02,271,254,1899.2
2022-01-03,305,371,1878.2
2022-01-04,386,288,1947.2
2022-01-05,282,313,1806.8
2022-01-06,207,268,1696.8
2022-01-07,177,208,1586.9
2022-01-08,119,185,1524.1
2022-01-09,125,293,1396.7
2022-01-10,213,170,1316.5
2022-01-11,128,191,1091.3
2022-01-12,110,181,941.3
2022-01-13,60,169,813.0
2022-01-14,0,124,813.0
