date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-19,1,0,0.0
2020-03-20,0,0,0.0
2020-03-21,0,0,0.0
2020-03-22,0,0,0.0
2020-03-23,1,0,1.1
2020-03-24,3,0,4.5
2020-03-25,1,0,5.6
2020-03-26,0,0,5.6
2020-03-27,4,0,10.1
2020-03-28,2,0,12.3
2020-03-29,0,0,12.3
2020-03-30,7,0,19.1
2020-03-31,5,0,21.3
2020-04-01,7,0,28.0
2020-04-02,8,0,37.0
2020-04-03,6,0,39.2
2020-04-04,5,0,42.6
2020-04-05,10,0,53.8
2020-04-06,9,0,55.9
2020-04-07,10,0,61.5
2020-04-08,5,0,59.3
2020-04-09,10,0,61.5
2020-04-10,4,0,59.3
2020-04-11,5,0,59.3
2020-04-12,6,0,54.8
2020-04-13,5,0,50.4
2020-04-14,6,0,45.9
2020-04-15,3,0,43.7
2020-04-16,3,0,35.8
2020-04-17,1,0,32.4
2020-04-18,10,0,38.0
2020-04-19,3,0,34.7
2020-04-20,1,0,30.2
2020-04-21,5,0,29.1
2020-04-22,12,1,39.1
2020-04-23,4,1,40.3
2020-04-24,8,3,48.2
2020-04-25,4,5,41.5
2020-04-26,2,3,40.3
2020-04-27,6,5,45.9
2020-04-28,2,1,42.5
2020-04-29,7,0,37.0
2020-04-30,7,3,40.3
2020-05-01,5,1,36.9
2020-05-02,3,3,35.8
2020-05-03,7,4,41.4
2020-05-04,4,1,39.2
2020-05-05,6,0,43.7
2020-05-06,7,3,43.6
2020-05-07,2,3,38.1
2020-05-08,6,3,39.2
2020-05-09,6,2,42.5
2020-05-10,2,1,36.9
2020-05-11,5,0,38.0
2020-05-12,10,2,42.5
2020-05-13,5,0,40.3
2020-05-14,8,3,47.0
2020-05-15,0,2,40.3
2020-05-16,7,1,41.4
2020-05-17,2,1,41.5
2020-05-18,2,0,38.1
2020-05-19,5,1,32.5
2020-05-20,9,0,37.0
2020-05-21,3,0,31.3
2020-05-22,6,3,38.0
2020-05-23,5,1,35.8
2020-05-24,4,1,38.0
2020-05-25,3,1,39.2
2020-05-26,3,0,36.9
2020-05-27,4,1,31.3
2020-05-28,3,0,31.4
2020-05-29,2,0,26.9
2020-05-30,3,1,24.7
2020-05-31,1,0,21.3
2020-06-01,11,0,30.2
2020-06-02,1,0,28.0
2020-06-03,3,0,26.9
2020-06-04,5,0,29.1
2020-06-05,4,0,31.3
2020-06-06,10,0,39.1
2020-06-07,4,1,42.5
2020-06-08,8,1,39.2
2020-06-09,5,0,43.7
2020-06-10,1,0,41.4
2020-06-11,1,0,36.9
2020-06-12,3,1,35.9
2020-06-13,1,0,25.8
2020-06-14,4,0,25.7
2020-06-15,2,0,19.0
2020-06-16,6,1,20.1
2020-06-17,1,0,20.1
2020-06-18,5,1,24.6
2020-06-19,1,0,22.3
2020-06-20,2,1,23.5
2020-06-21,1,1,20.2
2020-06-22,5,0,23.5
2020-06-23,0,0,16.8
2020-06-24,2,0,17.9
2020-06-25,3,0,15.7
2020-06-26,2,0,16.8
2020-06-27,3,0,17.9
