date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,2,0,0.9
2020-03-12,0,0,0.9
2020-03-13,0,0,0.9
2020-03-14,0,0,0.9
2020-03-15,0,0,0.9
2020-03-16,2,0,1.9
2020-03-17,0,0,1.9
2020-03-18,0,0,1.0
2020-03-19,0,0,1.0
2020-03-20,0,0,1.0
2020-03-21,2,0,1.9
2020-03-22,0,0,1.9
2020-03-23,2,0,1.9
2020-03-24,1,0,2.3
2020-03-25,4,0,4.2
2020-03-26,6,0,7.1
2020-03-27,6,0,9.9
2020-03-28,5,0,11.4
2020-03-29,9,0,15.6
2020-03-30,12,0,20.3
2020-03-31,5,0,22.3
2020-04-01,6,0,23.2
2020-04-02,11,0,25.5
2020-04-03,12,0,28.4
2020-04-04,8,0,29.8
2020-04-05,3,0,27.0
2020-04-06,10,0,26.0
2020-04-07,7,0,26.9
2020-04-08,10,0,28.8
2020-04-09,6,0,26.5
2020-04-10,12,0,26.5
2020-04-11,3,0,24.1
2020-04-12,8,0,26.5
2020-04-13,6,0,24.6
2020-04-14,8,0,25.1
2020-04-15,19,0,29.4
2020-04-16,11,0,31.7
2020-04-17,14,9,32.6
2020-04-18,6,6,34.0
2020-04-19,5,6,32.6
2020-04-20,5,1,32.2
2020-04-21,13,6,34.5
2020-04-22,16,4,33.1
2020-04-23,9,4,32.1
2020-04-24,9,6,29.8
2020-04-25,7,6,30.3
2020-04-26,4,2,29.8
2020-04-27,7,11,30.7
2020-04-28,15,2,31.7
2020-04-29,4,0,26.0
2020-04-30,18,7,30.3
2020-05-01,20,3,35.5
2020-05-02,5,4,34.5
2020-05-03,7,7,35.9
2020-05-04,6,3,35.5
2020-05-05,16,4,35.9
2020-05-06,4,1,35.9
2020-05-07,15,2,34.5
2020-05-08,4,8,26.9
2020-05-09,1,3,25.1
2020-05-10,11,1,27.0
2020-05-11,12,0,29.8
2020-05-12,14,2,28.9
2020-05-13,9,2,31.2
2020-05-14,6,0,27.0
2020-05-15,5,1,27.4
2020-05-16,4,0,28.8
2020-05-17,8,4,27.4
2020-05-18,6,0,24.6
2020-05-19,7,2,21.3
2020-05-20,6,0,19.9
2020-05-21,1,2,17.5
2020-05-22,5,1,17.5
2020-05-23,10,2,20.4
2020-05-24,3,0,18.0
2020-05-25,4,1,17.0
2020-05-26,6,0,16.5
2020-05-27,6,0,16.6
2020-05-28,2,1,17.0
2020-05-29,2,1,15.7
2020-05-30,2,1,11.8
2020-05-31,0,0,10.4
2020-06-01,4,0,10.4
2020-06-02,0,0,7.6
2020-06-03,4,2,6.6
2020-06-04,5,0,8.0
2020-06-05,3,0,8.5
2020-06-06,1,1,8.0
2020-06-07,5,0,10.4
2020-06-08,5,0,10.9
2020-06-09,2,1,11.8
2020-06-10,4,1,11.8
2020-06-11,3,0,10.9
2020-06-12,7,0,12.7
2020-06-13,2,0,13.3
2020-06-14,1,0,11.4
2020-06-15,4,0,10.8
2020-06-16,2,1,10.9
2020-06-17,5,0,11.4
2020-06-18,8,0,13.7
2020-06-19,0,2,10.4
2020-06-20,4,0,11.3
2020-06-21,3,0,12.3
2020-06-22,2,0,11.4
2020-06-23,10,0,15.1
2020-06-24,3,0,14.1
2020-06-25,4,1,12.3
2020-06-26,10,0,17.1
2020-06-27,4,0,17.1
2020-06-28,5,0,17.9
2020-06-29,5,2,19.4
2020-06-30,5,0,17.1
2020-07-01,2,338,16.6
2020-07-02,2,10,15.6
2020-07-03,3,1,12.3
2020-07-04,3,3,11.8
2020-07-05,3,3,10.9
2020-07-06,6,5,11.3
2020-07-07,12,1,14.6
2020-07-08,3,3,15.1
2020-07-09,5,8,16.6
2020-07-10,9,3,19.4
2020-07-11,7,14,21.3
2020-07-12,5,10,22.2
2020-07-13,8,3,23.2
2020-07-14,7,3,20.8
2020-07-15,13,4,25.6
2020-07-16,5,7,25.5
2020-07-17,6,12,24.1
2020-07-18,5,5,23.1
2020-07-19,5,9,23.2
2020-07-20,3,9,20.8
2020-07-21,10,3,22.3
2020-07-22,14,5,22.7
2020-07-23,6,9,23.2
2020-07-24,8,12,24.1
2020-07-25,8,10,25.6
2020-07-26,15,6,30.3
2020-07-27,13,9,35.0
2020-07-28,29,14,43.9
2020-07-29,15,11,44.4
2020-07-30,4,19,43.5
2020-07-31,1,15,40.2
2020-08-01,6,7,39.2
2020-08-02,16,11,39.7
2020-08-03,27,5,46.4
2020-08-04,13,15,38.8
2020-08-05,9,30,36.0
2020-08-06,18,12,42.6
2020-08-07,13,10,48.2
2020-08-08,9,5,49.7
2020-08-09,6,13,44.9
2020-08-10,13,14,38.3
2020-08-11,15,14,39.3
2020-08-12,18,15,43.5
2020-08-13,13,0,41.1
2020-08-14,12,26,40.7
2020-08-15,7,10,39.7
2020-08-16,6,12,39.8
2020-08-17,6,5,36.4
2020-08-18,9,11,33.6
2020-08-19,14,9,31.7
2020-08-20,9,12,29.8
2020-08-21,11,7,29.3
2020-08-22,10,13,30.8
2020-08-23,3,8,29.3
2020-08-24,15,3,33.6
2020-08-25,4,12,31.2
2020-08-26,3,7,26.0
2020-08-27,7,9,25.1
2020-08-28,6,5,22.7
2020-08-29,4,7,19.8
2020-08-30,10,5,23.2
2020-08-31,9,3,20.3
2020-09-01,10,11,23.1
2020-09-02,20,13,31.2
2020-09-03,16,7,35.5
2020-09-04,10,9,37.4
2020-09-05,10,5,40.2
2020-09-06,17,19,43.5
2020-09-07,23,19,50.1
