date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,1,0,0.8
2020-03-12,2,0,2.4
2020-03-13,0,0,2.4
2020-03-14,0,0,2.4
2020-03-15,1,0,3.2
2020-03-16,0,0,3.2
2020-03-17,0,0,3.2
2020-03-18,1,0,3.2
2020-03-19,1,0,2.4
2020-03-20,3,0,4.8
2020-03-21,1,0,5.6
2020-03-22,1,0,5.6
2020-03-23,2,0,7.2
2020-03-24,4,0,10.4
2020-03-25,2,0,11.2
2020-03-26,3,0,12.8
2020-03-27,5,0,14.4
2020-03-28,2,0,15.2
2020-03-29,1,0,15.2
2020-03-30,5,0,17.6
2020-03-31,2,0,16.0
2020-04-01,3,0,16.8
2020-04-02,1,0,15.2
2020-04-03,4,0,14.4
2020-04-04,5,0,16.8
2020-04-05,7,0,21.6
2020-04-06,4,0,20.8
2020-04-07,8,0,25.6
2020-04-08,9,0,30.4
2020-04-09,8,0,36.0
2020-04-10,6,0,37.6
2020-04-11,4,0,36.8
2020-04-12,4,0,34.4
2020-04-13,3,0,33.6
2020-04-14,3,0,29.6
2020-04-15,7,0,28.0
2020-04-16,6,0,26.4
2020-04-17,10,0,29.5
2020-04-18,2,0,27.9
2020-04-19,6,0,29.5
2020-04-20,4,0,30.3
2020-04-21,4,0,31.1
2020-04-22,9,6,32.7
2020-04-23,8,4,34.3
2020-04-24,4,3,29.6
2020-04-25,2,1,29.6
2020-04-26,3,5,27.2
2020-04-27,4,7,27.2
2020-04-28,6,4,28.8
2020-04-29,4,1,24.8
2020-04-30,11,1,27.2
2020-05-01,10,3,32.0
2020-05-02,2,3,32.0
2020-05-03,0,6,29.6
2020-05-04,6,5,31.2
2020-05-05,5,1,30.4
2020-05-06,6,1,32.0
2020-05-07,8,2,29.6
2020-05-08,0,4,21.6
2020-05-09,7,5,25.6
2020-05-10,2,2,27.2
2020-05-11,8,0,28.8
2020-05-12,1,1,25.6
2020-05-13,7,8,26.4
2020-05-14,1,1,20.8
2020-05-15,4,10,24.0
2020-05-16,0,1,18.4
2020-05-17,1,2,17.6
2020-05-18,4,2,14.4
2020-05-19,1,0,14.4
2020-05-20,5,1,12.8
2020-05-21,5,0,16.0
2020-05-22,1,1,13.6
2020-05-23,1,1,14.4
2020-05-24,0,2,13.6
2020-05-25,3,0,12.8
2020-05-26,1,0,12.8
2020-05-27,2,1,10.4
2020-05-28,1,0,7.2
2020-05-29,3,1,8.8
2020-05-30,1,0,8.8
2020-05-31,0,1,8.8
2020-06-01,1,0,7.2
2020-06-02,5,2,10.4
2020-06-03,3,0,11.2
2020-06-04,0,0,10.4
2020-06-05,0,4,8.0
2020-06-06,1,2,8.0
2020-06-07,1,0,8.8
