date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,2,0,0.0
2020-03-04,0,0,0.0
2020-03-05,1,0,1.0
2020-03-06,0,0,1.0
2020-03-07,0,0,1.0
2020-03-08,0,0,1.0
2020-03-09,1,0,1.9
2020-03-10,0,0,1.9
2020-03-11,1,0,2.8
2020-03-12,0,0,1.8
2020-03-13,2,0,3.7
2020-03-14,1,0,4.6
2020-03-15,0,0,4.6
2020-03-16,4,0,7.4
2020-03-17,0,0,7.4
2020-03-18,2,0,8.3
2020-03-19,1,0,9.2
2020-03-20,1,0,8.2
2020-03-21,0,0,7.3
2020-03-22,1,0,8.3
2020-03-23,7,0,11.0
2020-03-24,9,0,19.3
2020-03-25,7,0,24.0
2020-03-26,7,0,29.5
2020-03-27,11,0,38.7
2020-03-28,9,0,47.0
2020-03-29,4,0,49.7
2020-03-30,13,0,55.3
2020-03-31,11,0,57.1
2020-04-01,10,0,59.9
2020-04-02,12,0,64.5
2020-04-03,13,0,66.4
2020-04-04,4,0,61.8
2020-04-05,2,0,59.9
2020-04-06,14,0,60.8
2020-04-07,16,0,65.5
2020-04-08,27,0,81.0
2020-04-09,25,0,93.1
2020-04-10,11,0,91.2
2020-04-11,5,0,92.1
2020-04-12,2,0,92.2
2020-04-13,8,0,86.6
2020-04-14,16,0,86.6
2020-04-15,10,0,71.0
2020-04-16,7,0,54.3
2020-04-17,6,0,49.8
2020-04-18,2,0,47.0
2020-04-19,3,0,47.9
2020-04-20,16,0,55.3
2020-04-21,3,0,43.3
2020-04-22,5,1,38.7
2020-04-23,11,10,42.4
2020-04-24,11,7,47.0
2020-04-25,11,8,55.3
2020-04-26,16,9,67.2
2020-04-27,17,13,68.2
2020-04-28,14,5,78.3
2020-04-29,45,5,115.2
2020-04-30,15,5,118.9
2020-05-01,20,44,127.1
2020-05-02,4,3,120.7
2020-05-03,6,10,111.5
2020-05-04,3,1,98.6
2020-05-05,18,3,102.3
2020-05-06,13,0,72.8
2020-05-07,25,17,82.0
2020-05-08,7,7,70.1
2020-05-09,0,26,66.4
2020-05-10,4,4,64.5
2020-05-11,6,0,67.3
2020-05-12,3,0,53.4
2020-05-13,3,0,44.2
2020-05-14,2,1,23.0
2020-05-15,0,5,16.5
2020-05-16,4,2,20.2
2020-05-17,3,0,19.4
2020-05-18,6,1,19.3
2020-05-19,9,2,24.9
2020-05-20,1,3,23.0
2020-05-21,2,4,23.1
2020-05-22,8,1,30.5
2020-05-23,1,3,27.7
2020-05-24,0,1,24.9
2020-05-25,0,2,19.4
2020-05-26,3,1,13.8
2020-05-27,0,0,12.9
2020-05-28,3,0,13.8
2020-05-29,0,0,6.4
2020-05-30,0,0,5.5
2020-05-31,1,0,6.4
2020-06-01,0,0,6.4
2020-06-02,2,1,5.6
2020-06-03,0,0,5.6
2020-06-04,1,1,3.7
2020-06-05,0,0,3.7
2020-06-06,0,0,3.7
2020-06-07,0,0,2.8
2020-06-08,0,0,2.8
2020-06-09,2,0,2.7
2020-06-10,0,0,2.7
2020-06-11,1,0,2.8
2020-06-12,0,1,2.8
2020-06-13,0,0,2.8
2020-06-14,0,1,2.8
2020-06-15,1,0,3.7
2020-06-16,2,0,3.7
2020-06-17,1,1,4.6
2020-06-18,1,1,4.6
2020-06-19,1,0,5.5
2020-06-20,2,2,7.3
2020-06-21,0,0,7.3
2020-06-22,0,1,6.4
2020-06-23,2,0,6.5
2020-06-24,1,0,6.5
2020-06-25,0,0,5.5
2020-06-26,3,2,7.4
2020-06-27,3,1,8.3
2020-06-28,1,2,9.2
2020-06-29,2,0,11.1
2020-06-30,9,3,17.5
2020-07-01,4,129,20.3
2020-07-02,0,3,20.3
2020-07-03,0,7,17.5
2020-07-04,1,3,15.7
2020-07-05,4,0,18.5
2020-07-06,10,0,25.8
2020-07-07,4,1,21.2
2020-07-08,0,6,17.5
2020-07-09,2,10,19.3
2020-07-10,1,1,20.2
2020-07-11,3,1,22.1
2020-07-12,1,2,19.3
2020-07-13,6,3,15.6
2020-07-14,3,1,14.7
2020-07-15,6,5,20.2
2020-07-16,3,3,21.2
2020-07-17,4,5,24.0
2020-07-18,4,4,24.9
2020-07-19,1,3,24.9
2020-07-20,4,5,23.1
2020-07-21,3,1,23.0
2020-07-22,1,4,18.5
2020-07-23,0,2,15.7
2020-07-24,3,1,14.7
2020-07-25,0,0,11.0
2020-07-26,6,2,15.7
2020-07-27,1,1,12.9
2020-07-28,5,5,14.8
2020-07-29,6,2,19.3
2020-07-30,3,4,22.1
2020-07-31,3,5,22.1
2020-08-01,0,2,22.1
2020-08-02,3,4,19.3
2020-08-03,5,3,23.0
2020-08-04,3,2,21.2
2020-08-05,2,1,17.5
2020-08-06,7,7,21.2
2020-08-07,6,6,24.0
2020-08-08,4,7,27.7
2020-08-09,1,3,25.8
2020-08-10,3,2,24.0
2020-08-11,1,1,22.1
2020-08-12,1,4,21.2
2020-08-13,0,0,14.7
2020-08-14,4,3,12.9
2020-08-15,1,0,10.1
2020-08-16,1,0,10.1
2020-08-17,3,7,10.1
2020-08-18,1,3,10.1
2020-08-19,7,2,15.7
2020-08-20,0,0,15.7
2020-08-21,1,5,12.9
