date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,2,0,0.0
2020-03-10,0,0,0.0
2020-03-11,1,0,0.5
2020-03-12,2,0,1.5
2020-03-13,3,0,3.1
2020-03-14,0,0,3.1
2020-03-15,0,0,3.1
2020-03-16,1,0,3.6
2020-03-17,0,0,3.6
2020-03-18,2,0,4.2
2020-03-19,1,0,3.7
2020-03-20,2,0,3.2
2020-03-21,4,0,5.3
2020-03-22,2,0,6.3
2020-03-23,10,0,11.1
2020-03-24,5,0,13.7
2020-03-25,3,0,14.2
2020-03-26,9,0,18.4
2020-03-27,6,0,20.5
2020-03-28,7,0,22.1
2020-03-29,8,0,25.3
2020-03-30,16,0,28.4
2020-03-31,21,0,36.8
2020-04-01,13,0,42.1
2020-04-02,9,0,42.1
2020-04-03,15,0,46.8
2020-04-04,16,0,51.5
2020-04-05,26,0,61.0
2020-04-06,16,0,61.0
2020-04-07,17,0,59.0
2020-04-08,22,0,63.6
2020-04-09,12,0,65.3
2020-04-10,15,0,65.2
2020-04-11,13,0,63.7
2020-04-12,11,0,55.8
2020-04-13,20,0,57.9
2020-04-14,13,0,55.7
2020-04-15,16,0,52.7
2020-04-16,17,0,55.2
2020-04-17,28,0,62.1
2020-04-18,10,0,60.5
2020-04-19,16,0,63.1
2020-04-20,11,0,58.4
2020-04-21,7,0,55.3
2020-04-22,6,0,49.9
2020-04-23,10,0,46.3
2020-04-24,7,0,35.3
2020-04-25,5,0,32.6
2020-04-26,8,0,28.4
2020-04-27,11,0,28.4
2020-04-28,7,0,28.4
2020-04-29,8,0,29.5
2020-04-30,10,0,29.5
2020-05-01,6,0,28.9
2020-05-02,0,0,26.3
2020-05-03,1,0,22.6
2020-05-04,7,0,20.5
2020-05-05,6,0,20.0
2020-05-06,23,0,27.9
2020-05-07,16,0,31.0
2020-05-08,6,0,31.1
2020-05-09,4,0,33.2
2020-05-10,7,0,36.3
2020-05-11,8,0,36.9
2020-05-12,29,0,48.9
2020-05-13,15,0,44.7
2020-05-14,10,0,41.6
2020-05-15,12,0,44.7
2020-05-16,9,0,47.3
2020-05-17,5,0,46.3
2020-05-18,9,0,46.8
2020-05-19,25,0,44.7
2020-05-20,26,0,50.5
2020-05-21,2,0,46.3
2020-05-22,5,0,42.6
2020-05-23,1,0,38.4
2020-05-24,1,0,36.3
2020-05-25,2,0,32.6
2020-05-26,1,0,20.0
2020-05-27,1,0,6.8
2020-05-28,6,0,8.9
2020-05-29,1,0,6.8
2020-05-30,1,0,6.9
2020-05-31,1,4,6.9
2020-06-01,0,6,5.8
2020-06-02,2,6,6.3
2020-06-03,0,4,5.8
2020-06-04,0,0,2.6
2020-06-05,1,2,2.7
2020-06-06,1,2,2.6
2020-06-07,1,1,2.6
2020-06-08,2,0,3.7
2020-06-09,1,2,3.2
2020-06-10,1,2,3.7
2020-06-11,3,0,5.3
2020-06-12,6,2,7.9
2020-06-13,1,8,7.9
2020-06-14,1,0,7.9
2020-06-15,2,3,7.9
2020-06-16,0,13,7.4
2020-06-17,1,4,7.4
2020-06-18,4,0,7.9
2020-06-19,2,3,5.7
2020-06-20,0,1,5.2
2020-06-21,0,3,4.7
2020-06-22,0,0,3.6
2020-06-23,3,2,5.2
2020-06-24,0,0,4.7
2020-06-25,3,0,4.2
2020-06-26,0,4,3.2
2020-06-27,1,3,3.7
2020-06-28,4,5,5.8
2020-06-29,5,1,8.5
2020-06-30,5,1,9.5
2020-07-01,0,4,9.5
2020-07-02,1,6,8.4
2020-07-03,0,0,8.4
2020-07-04,0,7,7.9
2020-07-05,1,0,6.3
2020-07-06,2,0,4.7
2020-07-07,2,2,3.1
2020-07-08,0,0,3.1
2020-07-09,0,0,2.6
2020-07-10,0,0,2.6
2020-07-11,0,0,2.6
2020-07-12,1,0,2.7
2020-07-13,0,0,1.6
2020-07-14,1,30,1.1
2020-07-15,0,2,1.1
2020-07-16,1,1,1.6
2020-07-17,0,6,1.6
2020-07-18,0,0,1.6
2020-07-19,0,2,1.0
2020-07-20,0,0,1.0
2020-07-21,2,0,1.6
2020-07-22,0,0,1.6
2020-07-23,1,1,1.6
2020-07-24,0,2,1.6
2020-07-25,0,0,1.6
2020-07-26,1,0,2.1
2020-07-27,0,0,2.1
2020-07-28,3,2,2.6
2020-07-29,0,2,2.6
2020-07-30,1,0,2.6
2020-07-31,1,0,3.2
2020-08-01,0,2,3.2
2020-08-02,0,4,2.7
2020-08-03,1,2,3.2
2020-08-04,2,0,2.6
2020-08-05,1,2,3.2
2020-08-06,0,2,2.7
2020-08-07,2,2,3.1
2020-08-08,0,0,3.1
2020-08-09,0,2,3.1
2020-08-10,3,4,4.2
2020-08-11,4,0,5.3
2020-08-12,0,2,4.7
2020-08-13,1,4,5.2
2020-08-14,1,2,4.7
2020-08-15,0,3,4.7
2020-08-16,0,6,4.7
2020-08-17,0,0,3.1
2020-08-18,0,2,1.0
2020-08-19,0,0,1.0
2020-08-20,3,0,2.1
2020-08-21,1,0,2.2
2020-08-22,0,0,2.2
2020-08-23,0,2,2.2
2020-08-24,2,0,3.2
2020-08-25,3,4,4.8
2020-08-26,3,4,6.4
2020-08-27,2,2,5.8
2020-08-28,3,2,6.8
2020-08-29,0,3,6.8
2020-08-30,0,5,6.8
2020-08-31,1,2,6.3
2020-09-01,1,2,5.2
2020-09-02,2,0,4.7
2020-09-03,6,2,6.9
2020-09-04,5,1,7.9
2020-09-05,2,2,8.9
2020-09-06,6,11,12.1
2020-09-07,6,8,14.7
2020-09-08,3,5,15.8
2020-09-09,4,8,16.8
2020-09-10,6,14,16.8
2020-09-11,1,9,14.7
2020-09-12,0,8,13.7
2020-09-13,3,2,12.1
2020-09-14,2,4,10.0
2020-09-15,7,4,12.1
2020-09-16,13,2,16.9
2020-09-17,15,6,21.6
2020-09-18,20,20,31.6
2020-09-19,15,15,39.5
2020-09-20,13,34,44.7
2020-09-21,18,24,53.2
2020-09-22,19,32,59.5
2020-09-23,23,31,64.7
2020-09-24,20,50,67.3
2020-09-25,18,22,66.3
2020-09-26,17,29,67.3
2020-09-27,13,53,67.4
2020-09-28,21,36,68.9
2020-09-29,27,32,73.1
2020-09-30,12,30,67.3
2020-10-01,19,28,66.8
2020-10-02,12,32,63.6
2020-10-03,14,42,62.1
2020-10-04,13,8,62.0
2020-10-05,21,40,62.1
2020-10-06,18,8,57.4
2020-10-07,23,50,63.2
2020-10-08,38,38,73.1
2020-10-09,25,46,80.0
2020-10-10,17,44,81.5
2020-10-11,16,20,83.2
2020-10-12,22,12,83.6
2020-10-13,19,46,84.1
2020-10-14,17,60,81.0
2020-10-15,20,60,71.6
2020-10-16,31,53,74.7
2020-10-17,18,36,75.3
2020-10-18,24,38,79.4
2020-10-19,37,19,87.4
2020-10-20,30,72,93.2
2020-10-21,34,54,102.0
2020-10-22,36,64,110.5
2020-10-23,50,46,120.5
2020-10-24,36,78,129.9
2020-10-25,29,23,132.6
2020-10-26,31,143,129.4
2020-10-27,48,88,138.8
2020-10-28,85,82,165.8
2020-10-29,58,58,177.3
2020-10-30,46,116,175.2
2020-10-31,36,116,175.2
2020-11-01,23,112,172.0
2020-11-02,50,97,182.0
2020-11-03,62,72,189.5
2020-11-04,45,86,168.3
2020-11-05,33,74,155.2
2020-11-06,31,150,147.3
2020-11-07,46,58,152.6
2020-11-08,30,56,156.3
2020-11-09,55,129,158.9
2020-11-10,39,14,146.7
2020-11-11,43,96,145.8
2020-11-12,39,74,148.9
2020-11-13,43,68,155.2
2020-11-14,36,128,149.9
2020-11-15,35,106,152.6
2020-11-16,46,83,147.9
2020-11-17,66,91,162.1
2020-11-18,64,88,173.1
2020-11-19,67,84,187.8
2020-11-20,57,126,195.2
2020-11-21,39,129,196.8
2020-11-22,53,126,206.2
2020-11-23,50,84,208.3
2020-11-24,64,64,207.3
2020-11-25,75,142,213.0
2020-11-26,45,128,201.5
2020-11-27,53,128,199.4
2020-11-28,57,130,208.9
2020-11-29,70,92,217.8
2020-11-30,79,88,233.1
2020-12-01,97,86,250.4
2020-12-02,66,180,245.7
2020-12-03,91,168,269.9
2020-12-04,88,170,288.3
2020-12-05,89,163,305.1
2020-12-06,103,224,322.5
2020-12-07,132,196,350.4
2020-12-08,152,94,379.3
2020-12-09,196,245,447.7
2020-12-10,183,203,496.1
2020-12-11,211,278,560.8
2020-12-12,169,350,602.9
2020-12-13,187,0,647.1
2020-12-14,212,120,689.2
2020-12-15,210,48,719.7
2020-12-16,231,54,738.2
2020-12-17,222,1684,758.7
2020-12-18,167,438,735.5
2020-12-19,126,406,712.9
2020-12-20,125,346,680.3
2020-12-21,134,318,639.2
2020-12-22,141,364,603.0
2020-12-23,152,372,561.3
2020-12-24,93,210,493.5
2020-12-25,25,0,418.8
2020-12-26,97,212,403.6
2020-12-27,136,506,409.3
2020-12-28,117,196,400.4
2020-12-29,185,222,423.5
2020-12-30,150,374,422.5
2020-12-31,87,174,419.3
2021-01-01,66,0,440.9
2021-01-02,90,208,437.2
2021-01-03,72,414,403.5
2021-01-04,104,232,396.7
2021-01-05,122,188,363.5
2021-01-06,62,166,317.3
2021-01-07,83,148,315.1
2021-01-08,90,218,327.8
2021-01-09,53,154,308.3
2021-01-10,69,162,306.8
2021-01-11,78,182,293.0
2021-01-12,136,166,300.5
2021-01-13,70,180,304.6
2021-01-14,79,172,302.5
2021-01-15,55,246,284.1
2021-01-16,40,92,277.2
2021-01-17,37,92,260.4
2021-01-18,69,154,255.7
2021-01-19,71,110,221.4
2021-01-20,74,140,223.6
2021-01-21,54,124,210.5
2021-01-22,43,86,204.1
2021-01-23,25,170,196.3
2021-01-24,16,52,185.2
2021-01-25,43,96,171.5
2021-01-26,57,48,164.2
2021-01-27,50,50,151.5
2021-01-28,36,70,142.0
2021-01-29,45,84,143.1
2021-01-30,33,122,147.3
2021-01-31,49,62,164.7
2021-02-01,38,94,162.0
2021-02-02,32,114,148.9
2021-02-03,34,66,140.5
2021-02-04,30,63,137.4
2021-02-05,17,50,122.6
2021-02-06,24,54,117.8
2021-02-07,11,38,97.8
2021-02-08,18,76,87.4
2021-02-09,22,32,82.1
2021-02-10,19,22,74.2
2021-02-11,20,26,68.9
2021-02-12,29,56,75.2
2021-02-13,9,42,67.4
2021-02-14,19,54,71.6
2021-02-15,25,34,75.2
2021-02-16,19,19,73.6
2021-02-17,16,34,72.0
2021-02-18,21,30,72.6
2021-02-19,26,46,71.1
2021-02-20,10,44,71.5
2021-02-21,17,27,70.5
2021-02-22,9,32,62.1
2021-02-23,14,26,59.5
2021-02-24,15,9,59.0
2021-02-25,15,11,55.7
2021-02-26,15,40,49.9
2021-02-27,6,20,47.9
2021-02-28,7,14,42.6
2021-03-01,16,26,46.3
2021-03-02,14,13,46.3
2021-03-03,8,18,42.6
2021-03-04,9,42,39.5
2021-03-05,7,11,35.3
2021-03-06,5,11,34.7
2021-03-07,9,6,35.8
2021-03-08,7,7,31.0
2021-03-09,4,16,25.7
2021-03-10,6,13,24.7
2021-03-11,8,6,24.2
2021-03-12,16,4,28.9
2021-03-13,8,13,30.5
2021-03-14,10,22,31.0
2021-03-15,9,32,32.1
2021-03-16,11,18,35.8
2021-03-17,7,10,36.3
2021-03-18,7,20,35.8
2021-03-19,6,16,30.5
2021-03-20,3,12,27.9
2021-03-21,9,8,27.4
2021-03-22,11,7,28.4
2021-03-23,5,8,25.3
2021-03-24,6,9,24.7
2021-03-25,4,20,23.1
2021-03-26,3,10,21.6
2021-03-27,5,8,22.6
2021-03-28,2,5,18.9
2021-03-29,6,9,16.4
2021-03-30,9,2,18.4
2021-03-31,4,2,17.4
2021-04-01,5,18,17.9
2021-04-02,1,0,16.8
2021-04-03,1,5,14.8
2021-04-04,4,0,15.8
2021-04-05,1,20,13.1
2021-04-06,1,5,8.9
2021-04-07,3,6,8.4
2021-04-08,2,2,6.9
2021-04-09,6,3,9.5
2021-04-10,3,6,10.5
2021-04-11,2,3,9.4
2021-04-12,2,8,10.0
2021-04-13,0,0,9.5
2021-04-14,3,9,9.5
2021-04-15,1,2,8.9
2021-04-16,4,2,7.9
2021-04-17,0,0,6.3
2021-04-18,2,3,6.4
2021-04-19,4,8,7.4
2021-04-20,4,2,9.5
2021-04-21,3,2,9.4
2021-04-22,6,7,12.1
2021-04-23,0,5,10.0
2021-04-24,1,0,10.5
2021-04-25,1,12,10.0
2021-04-26,4,0,10.0
2021-04-27,4,1,10.0
2021-04-28,1,1,9.0
2021-04-29,0,11,5.8
2021-04-30,0,0,5.8
2021-05-01,3,0,6.9
2021-05-02,4,2,8.4
2021-05-03,2,0,7.3
2021-05-04,0,3,5.2
2021-05-05,3,14,6.3
2021-05-06,6,0,9.5
2021-05-07,3,3,11.0
2021-05-08,2,0,10.5
2021-05-09,2,4,9.4
2021-05-10,4,20,10.5
2021-05-11,4,2,12.7
2021-05-12,1,2,11.6
2021-05-13,2,10,9.4
2021-05-14,2,4,9.0
2021-05-15,2,0,8.9
2021-05-16,0,2,7.9
2021-05-17,3,10,7.4
2021-05-18,0,0,5.2
2021-05-19,2,4,5.8
2021-05-20,3,2,6.3
2021-05-21,1,0,5.8
2021-05-22,2,0,5.8
2021-05-23,0,8,5.8
2021-05-24,4,5,6.3
2021-05-25,2,2,7.4
2021-05-26,3,1,7.9
2021-05-27,1,7,6.9
2021-05-28,1,2,6.8
2021-05-29,2,0,6.9
2021-05-30,1,7,7.4
2021-05-31,2,0,6.3
2021-06-01,7,6,8.9
2021-06-02,1,6,7.9
2021-06-03,6,4,10.5
2021-06-04,6,11,13.2
2021-06-05,3,0,13.6
2021-06-06,9,4,17.9
2021-06-07,2,4,17.9
2021-06-08,2,0,15.3
2021-06-09,5,37,17.3
2021-06-10,1,6,14.7
2021-06-11,3,6,13.1
2021-06-12,4,0,13.7
2021-06-13,3,5,10.5
2021-06-14,2,14,10.6
2021-06-15,6,3,12.6
2021-06-16,6,2,13.2
2021-06-17,5,3,15.3
2021-06-18,5,8,16.3
2021-06-19,10,0,19.5
2021-06-20,2,11,18.9
2021-06-21,6,26,21.0
2021-06-22,5,6,20.5
2021-06-23,8,3,21.5
2021-06-24,18,10,28.4
2021-06-25,11,7,31.6
2021-06-26,12,0,32.6
2021-06-27,19,20,41.6
2021-06-28,11,33,44.2
2021-06-29,33,10,59.0
2021-06-30,20,46,65.3
2021-07-01,33,17,73.1
2021-07-02,16,66,75.8
2021-07-03,16,0,77.9
2021-07-04,16,38,76.3
2021-07-05,24,122,83.1
2021-07-06,22,40,77.3
2021-07-07,22,26,78.4
2021-07-08,29,28,76.3
2021-07-09,40,46,88.9
2021-07-10,15,0,88.4
2021-07-11,14,23,87.3
2021-07-12,24,95,87.4
2021-07-13,25,41,88.9
2021-07-14,17,78,86.2
2021-07-15,33,44,88.4
2021-07-16,52,33,94.7
2021-07-17,16,0,95.2
2021-07-18,10,41,93.1
2021-07-19,23,122,92.5
2021-07-20,24,64,92.1
2021-07-21,29,28,98.4
2021-07-22,20,22,91.6
2021-07-23,25,44,77.3
2021-07-24,25,0,82.1
2021-07-25,16,94,85.3
2021-07-26,22,72,84.8
2021-07-27,36,66,91.0
2021-07-28,15,30,83.7
2021-07-29,33,44,90.4
2021-07-30,22,36,88.9
2021-07-31,11,0,81.5
2021-08-01,20,33,83.6
2021-08-02,30,86,87.8
2021-08-03,19,41,78.9
2021-08-04,31,19,87.3
2021-08-05,42,54,92.1
2021-08-06,20,50,91.0
2021-08-07,28,0,100.0
2021-08-08,27,72,103.7
2021-08-09,38,120,107.9
2021-08-10,27,50,112.1
2021-08-11,31,0,112.1
2021-08-12,39,126,110.5
2021-08-13,45,60,123.7
