date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,2,0,0.7
2020-03-11,1,0,1.1
2020-03-12,0,0,1.1
2020-03-13,3,0,2.1
2020-03-14,0,0,2.1
2020-03-15,5,0,3.8
2020-03-16,0,0,3.8
2020-03-17,0,0,3.1
2020-03-18,6,0,4.7
2020-03-19,4,0,6.1
2020-03-20,2,0,5.8
2020-03-21,3,0,6.8
2020-03-22,6,0,7.1
2020-03-23,10,0,10.5
2020-03-24,9,0,13.6
2020-03-25,6,0,13.6
2020-03-26,8,0,14.9
2020-03-27,12,0,18.3
2020-03-28,10,0,20.7
2020-03-29,5,0,20.4
2020-03-30,11,0,20.8
2020-03-31,19,0,24.1
2020-04-01,15,0,27.2
2020-04-02,22,0,32.0
2020-04-03,14,0,32.7
2020-04-04,12,0,33.3
2020-04-05,16,0,37.1
2020-04-06,20,0,40.1
2020-04-07,18,0,39.8
2020-04-08,16,0,40.1
2020-04-09,17,0,38.4
2020-04-10,18,0,39.7
2020-04-11,14,0,40.5
2020-04-12,18,0,41.1
2020-04-13,9,0,37.4
2020-04-14,16,0,36.7
2020-04-15,17,0,37.1
2020-04-16,9,0,34.4
2020-04-17,24,26,36.4
2020-04-18,16,17,37.1
2020-04-19,7,8,33.4
2020-04-20,13,12,34.7
2020-04-21,30,7,39.5
2020-04-22,25,13,42.2
2020-04-23,26,29,47.9
2020-04-24,16,6,45.3
2020-04-25,25,12,48.3
2020-04-26,13,2,50.3
2020-04-27,33,10,57.1
2020-04-28,9,5,50.0
2020-04-29,14,1,46.2
2020-04-30,12,14,41.5
2020-05-01,23,26,43.8
2020-05-02,24,5,43.5
2020-05-03,8,7,41.8
2020-05-04,20,3,37.4
2020-05-05,9,1,37.4
2020-05-06,15,4,37.8
2020-05-07,13,4,38.1
2020-05-08,9,22,33.3
2020-05-09,5,4,26.8
2020-05-10,10,2,27.5
2020-05-11,12,4,24.8
2020-05-12,17,0,27.5
2020-05-13,24,12,30.6
2020-05-14,15,3,31.3
2020-05-15,11,5,32.0
2020-05-16,7,3,32.7
2020-05-17,8,0,32.0
2020-05-18,16,1,33.3
2020-05-19,15,1,32.6
2020-05-20,5,15,26.1
2020-05-21,13,2,25.5
2020-05-22,8,19,24.5
2020-05-23,11,5,25.8
2020-05-24,8,1,25.8
2020-05-25,13,0,24.9
2020-05-26,17,6,25.5
2020-05-27,14,8,28.6
2020-05-28,22,3,31.6
2020-05-29,19,4,35.3
2020-05-30,3,1,32.7
2020-05-31,12,1,34.0
2020-06-01,7,0,31.9
2020-06-02,7,9,28.6
2020-06-03,10,1,27.2
2020-06-04,7,2,22.1
2020-06-05,7,18,18.1
2020-06-06,11,4,20.7
2020-06-07,1,0,17.0
2020-06-08,7,1,17.0
2020-06-09,9,5,17.7
2020-06-10,10,3,17.7
2020-06-11,6,9,17.3
2020-06-12,3,4,15.9
2020-06-13,10,6,15.6
2020-06-14,5,0,17.0
2020-06-15,9,0,17.7
2020-06-16,6,11,16.6
2020-06-17,12,4,17.3
2020-06-18,8,9,18.0
2020-06-19,7,2,19.4
2020-06-20,2,10,16.7
2020-06-21,6,6,17.0
2020-06-22,6,2,16.0
2020-06-23,5,10,15.7
2020-06-24,4,2,13.0
2020-06-25,1,7,10.6
2020-06-26,1,2,8.5
2020-06-27,0,2,7.8
2020-06-28,5,3,7.5
2020-06-29,2,2,6.1
2020-06-30,2,3,5.1
2020-07-01,3,424,4.7
2020-07-02,4,2,5.8
2020-07-03,3,4,6.5
2020-07-04,2,1,7.2
2020-07-05,0,2,5.5
2020-07-06,4,2,6.1
2020-07-07,2,6,6.1
2020-07-08,2,4,5.8
2020-07-09,1,1,4.7
2020-07-10,3,4,4.8
2020-07-11,1,1,4.4
2020-07-12,1,4,4.7
2020-07-13,6,1,5.5
2020-07-14,3,0,5.8
2020-07-15,3,2,6.1
2020-07-16,2,2,6.5
2020-07-17,4,6,6.8
2020-07-18,1,5,6.8
2020-07-19,0,4,6.5
2020-07-20,7,0,6.8
2020-07-21,0,0,5.8
2020-07-22,2,1,5.5
2020-07-23,1,7,5.1
2020-07-24,2,1,4.4
2020-07-25,0,1,4.1
2020-07-26,2,2,4.8
2020-07-27,0,1,2.4
2020-07-28,1,0,2.7
2020-07-29,8,2,4.7
2020-07-30,2,2,5.1
2020-07-31,2,0,5.1
2020-08-01,2,6,5.8
2020-08-02,1,0,5.4
2020-08-03,1,4,5.7
2020-08-04,2,3,6.1
2020-08-05,3,1,4.4
2020-08-06,1,1,4.1
2020-08-07,3,3,4.4
2020-08-08,0,2,3.7
2020-08-09,0,5,3.4
2020-08-10,3,2,4.1
2020-08-11,3,0,4.4
2020-08-12,8,2,6.2
2020-08-13,4,0,7.1
2020-08-14,2,9,6.8
2020-08-15,2,3,7.5
2020-08-16,1,3,7.8
2020-08-17,4,2,8.2
2020-08-18,2,2,7.9
2020-08-19,1,3,5.4
2020-08-20,3,2,5.1
2020-08-21,3,1,5.4
2020-08-22,5,5,6.4
2020-08-23,4,3,7.5
2020-08-24,6,6,8.1
2020-08-25,3,2,8.5
2020-08-26,2,5,8.8
2020-08-27,4,3,9.2
2020-08-28,2,2,8.9
2020-08-29,1,2,7.5
2020-08-30,5,5,7.8
2020-08-31,3,1,6.8
2020-09-01,3,5,6.8
2020-09-02,9,2,9.2
2020-09-03,8,5,10.5
2020-09-04,4,6,11.2
2020-09-05,5,3,12.6
2020-09-06,2,3,11.6
2020-09-07,2,4,11.3
2020-09-08,6,2,12.2
2020-09-09,7,2,11.6
2020-09-10,8,4,11.6
2020-09-11,7,5,12.6
2020-09-12,7,9,13.3
2020-09-13,5,6,14.3
2020-09-14,4,1,14.9
2020-09-15,13,9,17.3
2020-09-16,8,8,17.7
2020-09-17,12,3,19.0
2020-09-18,19,8,23.1
2020-09-19,3,8,21.7
2020-09-20,11,12,23.8
2020-09-21,7,12,24.8
2020-09-22,8,10,23.2
2020-09-23,6,6,22.4
2020-09-24,12,20,22.5
2020-09-25,12,12,20.1
2020-09-26,5,9,20.8
2020-09-27,5,13,18.7
2020-09-28,16,7,21.8
2020-09-29,9,2,22.1
2020-09-30,17,6,25.8
2020-10-01,11,8,25.5
2020-10-02,15,9,26.5
2020-10-03,11,13,28.5
2020-10-04,18,36,32.9
2020-10-05,16,10,33.0
2020-10-06,17,9,35.7
2020-10-07,27,35,39.1
2020-10-08,16,24,40.8
2020-10-09,22,16,43.2
2020-10-10,14,17,44.2
2020-10-11,18,11,44.2
2020-10-12,33,16,50.0
2020-10-13,31,23,54.7
2020-10-14,22,31,53.1
2020-10-15,16,39,53.0
2020-10-16,27,16,54.7
2020-10-17,15,20,55.1
2020-10-18,22,26,56.5
2020-10-19,35,27,57.1
2020-10-20,18,28,52.7
2020-10-21,40,51,58.8
2020-10-22,53,24,71.4
2020-10-23,31,23,72.8
2020-10-24,24,47,75.8
2020-10-25,18,27,74.5
2020-10-26,41,34,76.5
2020-10-27,27,28,79.6
2020-10-28,38,43,78.9
2020-10-29,51,37,78.2
2020-10-30,52,42,85.3
2020-10-31,40,55,90.8
2020-11-01,30,46,94.8
2020-11-02,56,39,100.0
2020-11-03,62,36,111.8
2020-11-04,49,44,115.6
2020-11-05,31,51,108.8
2020-11-06,41,41,105.1
2020-11-07,46,54,107.1
2020-11-08,54,30,115.3
2020-11-09,76,55,122.0
2020-11-10,60,40,121.4
2020-11-11,61,65,125.5
2020-11-12,52,97,132.7
2020-11-13,46,60,134.3
2020-11-14,38,56,131.6
2020-11-15,29,47,123.1
2020-11-16,46,0,112.9
2020-11-17,52,41,110.2
2020-11-18,40,17,103.0
2020-11-19,22,63,92.8
2020-11-20,31,29,87.7
2020-11-21,15,42,79.9
2020-11-22,38,40,82.9
2020-11-23,27,28,76.5
2020-11-24,47,36,74.8
2020-11-25,39,29,74.5
2020-11-26,41,40,80.9
2020-11-27,23,25,78.2
2020-11-28,23,40,81.0
2020-11-29,28,28,77.6
2020-11-30,50,40,85.4
2020-12-01,41,26,83.3
2020-12-02,52,52,87.7
2020-12-03,47,29,89.8
2020-12-04,60,56,102.4
2020-12-05,49,44,111.1
2020-12-06,62,69,122.7
2020-12-07,120,60,146.5
2020-12-08,104,78,168.0
2020-12-09,101,66,184.6
2020-12-10,133,115,213.9
2020-12-11,140,106,241.1
2020-12-12,94,127,256.4
2020-12-13,119,123,275.8
2020-12-14,155,122,287.7
2020-12-15,156,106,305.3
2020-12-16,207,92,341.4
2020-12-17,201,155,364.5
2020-12-18,235,193,396.8
2020-12-19,148,150,415.2
2020-12-20,171,173,432.8
2020-12-21,264,151,469.9
2020-12-22,258,222,504.6
2020-12-23,274,221,527.4
2020-12-24,162,254,514.1
2020-12-25,68,257,457.3
2020-12-26,233,179,486.2
2020-12-27,252,90,513.8
2020-12-28,205,239,493.7
2020-12-29,524,305,584.2
2020-12-30,290,315,589.6
2020-12-31,214,172,607.3
2021-01-01,137,365,630.7
2021-01-02,256,197,638.6
2021-01-03,237,243,633.5
2021-01-04,329,270,675.6
2021-01-05,297,295,598.4
2021-01-06,203,251,568.9
2021-01-07,203,213,565.1
2021-01-08,152,281,570.3
2021-01-09,176,296,543.0
2021-01-10,158,175,516.1
2021-01-11,238,208,485.3
2021-01-12,165,223,440.4
2021-01-13,206,162,441.3
2021-01-14,224,152,448.5
2021-01-15,175,282,456.3
2021-01-16,101,220,430.8
2021-01-17,115,105,416.2
2021-01-18,209,167,406.3
2021-01-19,171,137,408.3
2021-01-20,151,234,389.7
2021-01-21,162,86,368.6
2021-01-22,125,190,351.6
2021-01-23,88,154,347.2
2021-01-24,67,126,330.9
2021-01-25,103,97,294.8
2021-01-26,121,59,277.8
2021-01-27,104,104,261.8
2021-01-28,109,157,243.8
2021-01-29,125,115,243.8
2021-01-30,82,113,241.7
2021-01-31,64,88,240.7
2021-02-01,86,98,234.9
2021-02-02,89,71,224.1
2021-02-03,72,68,213.2
2021-02-04,70,83,199.9
2021-02-05,67,80,180.2
2021-02-06,45,50,167.7
2021-02-07,55,71,164.6
2021-02-08,67,69,158.2
2021-02-09,65,53,150.0
2021-02-10,50,74,142.5
2021-02-11,49,40,135.3
2021-02-12,52,78,130.2
2021-02-13,31,39,125.4
2021-02-14,31,30,117.3
2021-02-15,40,38,108.1
2021-02-16,39,43,99.3
2021-02-17,52,53,99.9
2021-02-18,37,33,95.9
2021-02-19,35,44,90.1
2021-02-20,32,31,90.5
2021-02-21,26,39,88.7
2021-02-22,44,43,90.1
2021-02-23,41,38,90.7
2021-02-24,29,33,83.0
2021-02-25,24,47,78.6
2021-02-26,21,27,73.8
2021-02-27,8,24,65.6
2021-02-28,22,17,64.3
2021-03-01,26,11,58.1
2021-03-02,26,23,53.1
2021-03-03,15,26,48.3
2021-03-04,27,23,49.3
2021-03-05,18,25,48.3
2021-03-06,7,17,48.0
2021-03-07,18,21,46.6
2021-03-08,21,17,44.9
2021-03-09,30,19,46.2
2021-03-10,25,19,49.6
2021-03-11,18,31,46.5
2021-03-12,12,27,44.5
