date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,1,0,0.9
2020-03-05,0,0,0.9
2020-03-06,0,0,0.9
2020-03-07,0,0,0.9
2020-03-08,0,0,0.9
2020-03-09,0,0,0.9
2020-03-10,0,0,0.9
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,1,0,0.8
2020-03-14,0,0,0.8
2020-03-15,0,0,0.8
2020-03-16,1,0,1.7
2020-03-17,0,0,1.7
2020-03-18,4,0,5.1
2020-03-19,0,0,5.1
2020-03-20,3,0,6.9
2020-03-21,1,0,7.8
2020-03-22,0,0,7.8
2020-03-23,4,0,10.3
2020-03-24,5,0,14.6
2020-03-25,8,0,18.1
2020-03-26,4,0,21.5
2020-03-27,5,0,23.2
2020-03-28,2,0,24.0
2020-03-29,2,0,25.8
2020-03-30,12,0,32.7
2020-03-31,10,0,37.0
2020-04-01,12,0,40.4
2020-04-02,15,0,49.9
2020-04-03,8,0,52.5
2020-04-04,8,0,57.6
2020-04-05,14,0,67.9
2020-04-06,8,0,64.5
2020-04-07,9,0,63.6
2020-04-08,10,0,61.9
2020-04-09,10,0,57.6
2020-04-10,15,0,63.6
2020-04-11,7,0,62.8
2020-04-12,13,0,61.9
2020-04-13,9,0,62.7
2020-04-14,9,0,62.8
2020-04-15,15,0,67.1
2020-04-16,14,0,70.5
2020-04-17,4,0,61.0
2020-04-18,6,0,60.2
2020-04-19,1,0,49.9
2020-04-20,6,0,47.3
2020-04-21,4,0,42.9
2020-04-22,7,2,36.1
2020-04-23,9,5,31.8
2020-04-24,8,7,35.3
2020-04-25,6,6,35.2
2020-04-26,3,3,36.9
2020-04-27,7,6,37.8
2020-04-28,6,7,39.6
2020-04-29,6,3,38.7
2020-04-30,4,2,34.4
2020-05-01,7,6,33.5
2020-05-02,5,2,32.7
2020-05-03,2,0,31.8
2020-05-04,4,2,29.3
2020-05-05,3,3,26.7
2020-05-06,4,0,24.9
2020-05-07,1,5,22.4
2020-05-08,3,4,18.9
2020-05-09,2,1,16.4
2020-05-10,1,0,15.5
2020-05-11,13,0,23.2
2020-05-12,10,2,29.2
2020-05-13,4,0,29.2
2020-05-14,1,0,29.2
2020-05-15,2,0,28.4
2020-05-16,0,1,26.6
2020-05-17,2,0,27.5
2020-05-18,2,0,18.0
2020-05-19,2,1,11.2
2020-05-20,2,0,9.5
2020-05-21,1,0,9.4
2020-05-22,1,0,8.6
2020-05-23,1,0,9.5
2020-05-24,2,1,9.5
2020-05-25,3,0,10.4
2020-05-26,1,1,9.4
2020-05-27,3,0,10.3
2020-05-28,0,0,9.5
2020-05-29,2,0,10.3
2020-05-30,1,1,10.3
2020-05-31,1,0,9.4
2020-06-01,3,0,9.4
2020-06-02,0,0,8.6
2020-06-03,1,1,6.9
2020-06-04,3,0,9.5
2020-06-05,0,0,7.8
2020-06-06,0,0,6.9
2020-06-07,0,0,6.1
2020-06-08,0,0,3.5
2020-06-09,0,0,3.5
2020-06-10,1,0,3.4
2020-06-11,1,0,1.7
2020-06-12,2,0,3.4
2020-06-13,0,0,3.4
2020-06-14,0,1,3.4
2020-06-15,0,0,3.4
2020-06-16,1,0,4.3
2020-06-17,0,0,3.5
2020-06-18,1,1,3.4
2020-06-19,0,0,1.7
2020-06-20,0,0,1.7
2020-06-21,0,0,1.7
2020-06-22,1,0,2.6
