date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,0,0,0.0
2020-03-11,1,0,0.6
2020-03-12,1,0,1.3
2020-03-13,1,0,1.9
2020-03-14,0,0,1.9
2020-03-15,2,0,3.3
2020-03-16,0,0,3.3
2020-03-17,1,0,3.9
2020-03-18,0,0,3.3
2020-03-19,2,0,3.9
2020-03-20,2,0,4.6
2020-03-21,0,0,4.6
2020-03-22,3,0,5.2
2020-03-23,8,0,10.5
2020-03-24,5,0,13.2
2020-03-25,3,0,15.2
2020-03-26,3,0,15.8
2020-03-27,0,0,14.5
2020-03-28,5,0,17.8
2020-03-29,5,0,19.1
2020-03-30,6,0,17.8
2020-03-31,5,0,17.8
2020-04-01,10,0,22.3
2020-04-02,10,0,27.0
2020-04-03,18,0,38.9
2020-04-04,12,0,43.5
2020-04-05,14,0,49.4
2020-04-06,8,0,50.7
2020-04-07,21,0,61.2
2020-04-08,16,0,65.2
2020-04-09,15,0,68.5
2020-04-10,5,0,59.9
2020-04-11,6,0,56.0
2020-04-12,5,0,50.1
2020-04-13,10,0,51.3
2020-04-14,9,0,43.5
2020-04-15,8,0,38.2
2020-04-16,6,0,32.3
2020-04-17,10,0,35.6
2020-04-18,13,0,40.1
2020-04-19,12,0,44.7
2020-04-20,5,0,41.5
2020-04-21,4,0,38.2
2020-04-22,17,11,44.2
2020-04-23,8,2,45.4
2020-04-24,18,3,50.7
2020-04-25,8,8,47.5
2020-04-26,17,9,50.8
2020-04-27,12,5,55.4
2020-04-28,9,12,58.6
2020-04-29,9,7,53.3
2020-04-30,7,6,52.7
2020-05-01,12,2,48.7
2020-05-02,8,2,48.7
2020-05-03,6,6,41.4
2020-05-04,21,1,47.4
2020-05-05,12,7,49.4
2020-05-06,12,0,51.4
2020-05-07,12,7,54.7
2020-05-08,10,7,53.4
2020-05-09,8,7,53.3
2020-05-10,3,1,51.4
2020-05-11,21,6,51.3
2020-05-12,11,8,50.7
2020-05-13,9,0,48.7
2020-05-14,4,5,43.4
2020-05-15,10,5,43.4
2020-05-16,4,0,40.9
2020-05-17,5,8,42.2
2020-05-18,12,5,36.3
2020-05-19,5,6,32.3
2020-05-20,11,3,33.6
2020-05-21,7,6,35.6
2020-05-22,7,1,33.6
2020-05-23,8,7,36.2
2020-05-24,7,2,37.5
2020-05-25,5,0,32.9
2020-05-26,5,0,32.9
2020-05-27,5,1,29.0
2020-05-28,5,1,27.7
2020-05-29,7,3,27.7
2020-05-30,4,1,25.0
2020-05-31,0,1,20.4
2020-06-01,3,1,19.1
2020-06-02,4,0,18.4
2020-06-03,1,0,15.8
2020-06-04,1,3,13.1
2020-06-05,4,0,11.2
2020-06-06,0,1,8.6
2020-06-07,3,0,10.5
2020-06-08,1,0,9.2
2020-06-09,2,0,7.9
2020-06-10,2,0,8.5
2020-06-11,1,0,8.6
2020-06-12,5,0,9.2
2020-06-13,1,0,9.9
2020-06-14,1,2,8.6
2020-06-15,5,1,11.2
2020-06-16,2,1,11.2
2020-06-17,1,0,10.6
2020-06-18,0,2,9.9
2020-06-19,2,0,7.9
2020-06-20,2,0,8.5
2020-06-21,0,1,7.9
2020-06-22,0,0,4.6
2020-06-23,0,0,3.3
2020-06-24,0,0,2.6
2020-06-25,1,0,3.3
2020-06-26,2,0,3.3
2020-06-27,0,0,2.0
2020-06-28,1,1,2.6
2020-06-29,3,0,4.6
2020-06-30,5,0,7.9
2020-07-01,2,258,9.2
2020-07-02,0,2,8.5
2020-07-03,1,4,7.9
2020-07-04,0,1,7.9
2020-07-05,0,0,7.3
2020-07-06,0,0,5.3
2020-07-07,0,1,2.0
2020-07-08,0,0,0.7
2020-07-09,1,0,1.3
2020-07-10,0,0,0.6
2020-07-11,1,1,1.3
2020-07-12,0,0,1.3
2020-07-13,1,0,2.0
2020-07-14,3,1,3.9
2020-07-15,2,1,5.3
2020-07-16,2,0,6.0
2020-07-17,0,1,6.0
2020-07-18,1,3,5.9
2020-07-19,0,2,5.9
2020-07-20,1,0,5.9
2020-07-21,1,0,4.7
2020-07-22,0,1,3.3
2020-07-23,2,0,3.3
2020-07-24,0,1,3.3
2020-07-25,0,3,2.7
2020-07-26,2,0,4.0
2020-07-27,2,0,4.6
2020-07-28,0,2,3.9
2020-07-29,0,1,3.9
2020-07-30,3,0,4.6
2020-07-31,1,2,5.2
2020-08-01,0,0,5.2
2020-08-02,1,1,4.6
2020-08-03,0,1,3.3
2020-08-04,0,2,3.3
2020-08-05,0,0,3.3
2020-08-06,2,0,2.6
2020-08-07,4,1,4.6
2020-08-08,0,1,4.6
2020-08-09,1,3,4.6
2020-08-10,5,1,7.9
2020-08-11,0,2,7.9
2020-08-12,1,2,8.6
2020-08-13,3,0,9.2
2020-08-14,1,4,7.3
2020-08-15,1,0,8.0
2020-08-16,1,2,7.9
2020-08-17,1,1,5.3
2020-08-18,2,2,6.6
2020-08-19,0,1,5.9
2020-08-20,5,0,7.3
2020-08-21,4,2,9.2
2020-08-22,1,3,9.2
2020-08-23,1,5,9.2
2020-08-24,2,2,9.8
2020-08-25,0,2,8.5
2020-08-26,3,0,10.5
2020-08-27,0,2,7.2
2020-08-28,0,3,4.6
2020-08-29,0,0,3.9
2020-08-30,2,0,4.6
2020-08-31,3,0,5.3
2020-09-01,2,2,6.6
2020-09-02,0,1,4.6
2020-09-03,0,1,4.6
2020-09-04,3,0,6.6
2020-09-05,4,1,9.2
2020-09-06,2,3,9.3
2020-09-07,2,2,8.6
2020-09-08,3,6,9.3
2020-09-09,3,1,11.2
2020-09-10,5,2,14.5
2020-09-11,5,3,15.8
2020-09-12,4,5,15.8
2020-09-13,1,3,15.1
2020-09-14,6,3,17.8
2020-09-15,6,2,19.7
2020-09-16,4,4,20.4
2020-09-17,4,7,19.8
2020-09-18,2,4,17.8
2020-09-19,5,5,18.5
2020-09-20,2,3,19.1
2020-09-21,3,3,17.1
2020-09-22,2,1,14.5
2020-09-23,5,2,15.2
2020-09-24,2,5,13.8
2020-09-25,2,2,13.8
2020-09-26,2,1,11.8
2020-09-27,3,4,12.5
2020-09-28,4,1,13.2
2020-09-29,5,4,15.1
2020-09-30,12,4,19.7
2020-10-01,6,7,22.4
2020-10-02,11,3,28.3
2020-10-03,8,11,32.3
2020-10-04,13,19,38.9
2020-10-05,9,10,42.1
2020-10-06,17,13,50.1
2020-10-07,11,24,49.4
2020-10-08,18,19,57.3
2020-10-09,27,23,67.9
2020-10-10,9,10,68.5
2020-10-11,10,8,66.5
2020-10-12,20,19,73.8
2020-10-13,19,23,75.1
2020-10-14,17,29,79.1
2020-10-15,15,25,77.0
2020-10-16,13,8,67.8
2020-10-17,12,12,69.8
2020-10-18,10,18,69.8
2020-10-19,30,26,76.4
2020-10-20,49,15,96.1
2020-10-21,48,32,116.5
2020-10-22,36,42,130.4
2020-10-23,30,11,141.6
2020-10-24,25,56,150.2
2020-10-25,17,32,154.8
2020-10-26,34,42,157.3
2020-10-27,29,30,144.2
2020-10-28,32,40,133.7
2020-10-29,40,27,136.4
2020-10-30,45,31,146.2
2020-10-31,28,32,148.1
2020-11-01,18,48,148.8
2020-11-02,35,29,149.5
2020-11-03,37,26,154.8
2020-11-04,38,21,158.7
2020-11-05,34,35,154.7
2020-11-06,41,39,152.1
2020-11-07,24,40,149.5
2020-11-08,38,11,162.7
2020-11-09,44,41,168.6
2020-11-10,33,42,166.0
2020-11-11,45,30,170.6
2020-11-12,31,70,168.6
2020-11-13,33,25,163.3
2020-11-14,25,30,164.0
2020-11-15,18,31,150.8
2020-11-16,27,0,139.6
2020-11-17,16,26,128.4
2020-11-18,20,10,112.0
2020-11-19,28,28,110.0
2020-11-20,18,20,100.1
2020-11-21,20,19,96.8
2020-11-22,21,28,98.8
2020-11-23,28,22,99.5
2020-11-24,17,24,100.1
2020-11-25,15,21,96.8
2020-11-26,9,30,84.3
2020-11-27,20,12,85.7
2020-11-28,12,5,80.4
2020-11-29,11,17,73.7
2020-11-30,23,18,70.5
2020-12-01,11,10,66.5
2020-12-02,30,22,76.4
2020-12-03,18,16,82.3
2020-12-04,24,15,84.9
2020-12-05,12,19,84.9
2020-12-06,12,30,85.6
2020-12-07,27,18,88.2
2020-12-08,40,12,107.3
2020-12-09,35,20,110.6
2020-12-10,40,37,125.1
2020-12-11,41,28,136.3
2020-12-12,35,47,151.5
2020-12-13,45,32,173.2
2020-12-14,67,43,199.5
2020-12-15,79,42,225.3
2020-12-16,84,44,257.5
2020-12-17,97,70,295.1
2020-12-18,116,82,344.5
2020-12-19,64,71,363.5
2020-12-20,69,115,379.4
2020-12-21,156,58,438.0
2020-12-22,117,107,462.9
2020-12-23,124,108,489.3
2020-12-24,94,131,487.3
2020-12-25,32,111,432.0
2020-12-26,119,103,468.3
2020-12-27,137,40,513.0
2020-12-28,138,86,501.2
2020-12-29,303,186,623.7
2020-12-30,246,77,704.0
2020-12-31,231,194,794.2
2021-01-01,118,284,850.8
2021-01-02,230,117,923.9
2021-01-03,216,187,976.0
2021-01-04,280,216,1069.5
2021-01-05,225,228,1018.1
2021-01-06,176,227,972.0
2021-01-07,167,306,929.9
2021-01-08,132,209,939.2
2021-01-09,91,239,847.6
2021-01-10,100,83,771.1
2021-01-11,162,110,693.4
2021-01-12,131,121,631.6
2021-01-13,132,107,602.6
2021-01-14,120,112,571.7
2021-01-15,117,175,561.7
2021-01-16,64,112,544.0
