date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,1,0,0.2
2020-03-11,1,0,0.5
2020-03-12,3,0,1.3
2020-03-13,2,0,1.8
2020-03-14,3,0,2.6
2020-03-15,1,0,2.8
2020-03-16,0,0,2.8
2020-03-17,4,0,3.7
2020-03-18,4,0,4.4
2020-03-19,4,0,4.6
2020-03-20,1,0,4.4
2020-03-21,3,0,4.4
2020-03-22,5,0,5.5
2020-03-23,2,0,6.0
2020-03-24,7,0,6.7
2020-03-25,12,0,8.9
2020-03-26,11,0,10.7
2020-03-27,14,0,14.1
2020-03-28,8,0,15.3
2020-03-29,13,0,17.4
2020-03-30,13,0,20.3
2020-03-31,18,0,23.2
2020-04-01,31,0,28.1
2020-04-02,28,0,32.6
2020-04-03,14,0,32.5
2020-04-04,19,0,35.4
2020-04-05,28,0,39.3
2020-04-06,33,0,44.5
2020-04-07,28,0,47.1
2020-04-08,33,0,47.6
2020-04-09,39,0,50.5
2020-04-10,29,0,54.4
2020-04-11,29,0,57.1
2020-04-12,19,0,54.7
2020-04-13,32,0,54.4
2020-04-14,28,0,54.4
2020-04-15,30,0,53.6
2020-04-16,42,0,54.4
2020-04-17,31,29,54.9
2020-04-18,37,65,57.0
2020-04-19,27,17,59.1
2020-04-20,35,16,59.9
2020-04-21,29,20,60.2
2020-04-22,37,30,62.0
2020-04-23,56,35,65.6
2020-04-24,36,13,66.9
2020-04-25,39,32,67.4
2020-04-26,26,23,67.2
2020-04-27,38,25,67.9
2020-04-28,29,30,67.9
2020-04-29,42,1,69.2
2020-04-30,61,38,70.5
2020-05-01,41,18,71.9
2020-05-02,31,19,69.8
2020-05-03,27,20,70.0
2020-05-04,28,17,67.5
2020-05-05,35,12,69.0
2020-05-06,49,16,70.8
2020-05-07,29,13,62.5
2020-05-08,25,14,58.3
2020-05-09,16,38,54.4
2020-05-10,14,3,51.0
2020-05-11,29,10,51.3
2020-05-12,26,10,48.9
2020-05-13,69,9,54.2
2020-05-14,24,16,52.8
2020-05-15,23,5,52.3
2020-05-16,16,11,52.3
2020-05-17,16,11,52.8
2020-05-18,27,9,52.3
2020-05-19,29,17,53.1
2020-05-20,29,8,42.7
2020-05-21,30,5,44.3
2020-05-22,17,24,42.7
2020-05-23,13,14,41.9
2020-05-24,15,16,41.7
2020-05-25,14,2,38.2
2020-05-26,24,13,37.0
2020-05-27,18,3,34.1
2020-05-28,21,10,31.7
2020-05-29,20,7,32.5
2020-05-30,13,4,32.5
2020-05-31,12,6,31.8
2020-06-01,13,7,31.5
2020-06-02,9,3,27.6
2020-06-03,15,8,26.8
2020-06-04,30,3,29.2
2020-06-05,10,3,26.6
2020-06-06,4,2,24.2
2020-06-07,11,2,23.9
2020-06-08,9,1,22.9
2020-06-09,19,9,25.5
2020-06-10,10,4,24.2
2020-06-11,8,9,18.5
2020-06-12,12,5,19.0
2020-06-13,6,7,19.6
2020-06-14,14,5,20.3
2020-06-15,12,4,21.1
2020-06-16,13,6,19.5
2020-06-17,10,8,19.5
2020-06-18,8,8,19.5
2020-06-19,12,4,19.5
2020-06-20,1,0,18.2
2020-06-21,3,4,15.4
2020-06-22,8,5,14.3
2020-06-23,4,4,12.0
2020-06-24,11,1,12.3
2020-06-25,12,1,13.3
2020-06-26,5,6,11.5
2020-06-27,3,4,12.0
2020-06-28,4,2,12.2
2020-06-29,3,0,11.0
2020-06-30,3,0,10.7
2020-07-01,6,814,9.3
2020-07-02,2,4,6.7
2020-07-03,4,5,6.5
2020-07-04,3,0,6.5
2020-07-05,4,4,6.5
2020-07-06,2,6,6.2
2020-07-07,1,2,5.7
2020-07-08,3,2,5.0
2020-07-09,4,2,5.5
2020-07-10,0,2,4.4
2020-07-11,1,4,3.9
2020-07-12,2,1,3.4
2020-07-13,5,2,4.2
2020-07-14,2,1,4.4
2020-07-15,4,1,4.7
2020-07-16,5,5,5.0
2020-07-17,4,3,6.0
2020-07-18,1,6,6.0
2020-07-19,0,4,5.5
2020-07-20,1,1,4.4
2020-07-21,0,1,3.9
2020-07-22,2,0,3.3
2020-07-23,1,1,2.3
2020-07-24,1,1,1.6
2020-07-25,1,2,1.5
2020-07-26,2,0,2.0
2020-07-27,6,1,3.4
2020-07-28,1,2,3.7
2020-07-29,9,4,5.5
2020-07-30,4,1,6.2
2020-07-31,3,4,6.7
2020-08-01,2,4,7.1
2020-08-02,2,9,7.1
2020-08-03,11,4,8.3
2020-08-04,2,2,8.6
2020-08-05,3,7,7.0
2020-08-06,5,5,7.3
2020-08-07,2,2,7.1
2020-08-08,3,5,7.2
2020-08-09,1,1,7.0
2020-08-10,5,4,5.5
2020-08-11,9,4,7.2
2020-08-12,7,3,8.4
2020-08-13,5,0,8.4
2020-08-14,7,12,9.6
2020-08-15,5,8,10.2
2020-08-16,1,5,10.2
2020-08-17,7,6,10.7
2020-08-18,4,5,9.4
2020-08-19,3,3,8.3
2020-08-20,6,6,8.6
2020-08-21,4,5,7.8
2020-08-22,7,2,8.3
2020-08-23,1,5,8.3
2020-08-24,9,3,8.8
2020-08-25,4,4,8.9
2020-08-26,4,6,9.1
2020-08-27,5,6,8.8
2020-08-28,7,5,9.6
2020-08-29,7,3,9.7
2020-08-30,9,9,11.7
2020-08-31,8,8,11.5
2020-09-01,16,6,14.5
2020-09-02,20,8,18.7
2020-09-03,19,7,22.4
2020-09-04,11,13,23.5
2020-09-05,8,9,23.6
2020-09-06,9,19,23.7
2020-09-07,27,14,28.6
2020-09-08,11,12,27.4
2020-09-09,12,10,25.3
2020-09-10,14,12,23.9
2020-09-11,15,12,24.9
2020-09-12,15,11,26.9
2020-09-13,6,14,26.0
2020-09-14,18,23,23.7
2020-09-15,11,12,23.7
2020-09-16,19,21,25.5
2020-09-17,21,14,27.4
2020-09-18,22,24,29.2
2020-09-19,16,12,29.4
2020-09-20,19,13,32.8
2020-09-21,22,22,33.8
2020-09-22,28,18,38.2
2020-09-23,40,32,43.7
2020-09-24,29,37,45.8
2020-09-25,33,30,48.7
2020-09-26,30,26,52.3
2020-09-27,28,29,54.7
2020-09-28,64,24,65.6
2020-09-29,70,40,76.6
2020-09-30,59,40,81.5
2020-10-01,57,31,88.8
2020-10-02,76,28,99.9
2020-10-03,60,79,107.8
2020-10-04,60,192,116.1
2020-10-05,81,66,120.6
2020-10-06,87,106,124.9
2020-10-07,110,87,138.2
2020-10-08,79,110,143.9
2020-10-09,70,52,142.4
2020-10-10,73,86,145.7
2020-10-11,68,78,147.8
2020-10-12,114,98,156.4
2020-10-13,89,101,157.0
2020-10-14,98,126,153.9
2020-10-15,93,108,157.5
2020-10-16,76,103,159.1
2020-10-17,89,86,163.3
2020-10-18,69,59,163.5
2020-10-19,136,109,169.2
2020-10-20,136,134,181.4
2020-10-21,140,154,192.4
2020-10-22,109,96,196.5
2020-10-23,140,99,213.2
2020-10-24,106,112,217.6
2020-10-25,83,104,221.3
2020-10-26,150,131,224.9
2020-10-27,122,166,221.3
2020-10-28,120,137,216.0
2020-10-29,96,123,212.7
2020-10-30,119,126,207.2
2020-10-31,103,114,206.4
2020-11-01,68,101,202.5
2020-11-02,165,104,206.5
2020-11-03,126,93,207.5
2020-11-04,106,150,203.9
2020-11-05,133,113,213.5
2020-11-06,144,104,220.0
2020-11-07,99,149,218.9
2020-11-08,105,111,228.6
2020-11-09,220,108,242.8
2020-11-10,134,114,244.9
2020-11-11,137,154,253.0
2020-11-12,130,188,252.2
2020-11-13,110,125,243.4
2020-11-14,71,135,236.1
2020-11-15,70,127,227.0
2020-11-16,127,0,202.8
2020-11-17,145,73,205.7
2020-11-18,123,99,202.0
2020-11-19,80,123,189.0
2020-11-20,62,129,176.4
2020-11-21,55,96,172.4
2020-11-22,59,62,169.4
2020-11-23,66,59,153.6
2020-11-24,87,49,138.4
2020-11-25,83,83,128.1
2020-11-26,84,86,129.1
2020-11-27,66,66,130.2
2020-11-28,32,70,124.1
2020-11-29,57,68,123.7
2020-11-30,85,52,128.6
2020-12-01,78,72,126.3
2020-12-02,57,81,119.4
2020-12-03,53,60,111.4
2020-12-04,57,60,109.1
2020-12-05,39,61,110.9
2020-12-06,48,47,108.5
2020-12-07,82,48,107.8
2020-12-08,56,56,102.0
2020-12-09,68,49,104.9
2020-12-10,85,61,113.3
2020-12-11,82,71,119.7
2020-12-12,50,94,122.6
2020-12-13,56,75,124.7
2020-12-14,107,40,131.2
2020-12-15,111,61,145.6
2020-12-16,138,114,163.8
2020-12-17,100,96,167.6
2020-12-18,115,109,176.2
2020-12-19,89,118,186.4
2020-12-20,105,101,199.1
2020-12-21,185,124,219.4
2020-12-22,165,136,233.5
2020-12-23,149,154,236.3
2020-12-24,127,132,243.4
2020-12-25,59,143,228.9
2020-12-26,165,91,248.6
2020-12-27,208,142,275.5
2020-12-28,195,156,278.0
2020-12-29,339,243,323.3
2020-12-30,369,186,380.6
2020-12-31,244,247,411.0
2021-01-01,138,234,431.6
2021-01-02,283,231,462.3
2021-01-03,250,337,473.2
2021-01-04,290,279,498.0
2021-01-05,289,180,484.9
2021-01-06,249,214,453.8
2021-01-07,203,265,443.1
2021-01-08,145,280,444.8
2021-01-09,158,244,412.4
2021-01-10,158,248,388.4
2021-01-11,255,201,379.3
2021-01-12,207,188,358.0
2021-01-13,157,175,333.9
2021-01-14,176,241,326.9
2021-01-15,179,193,335.8
2021-01-16,137,158,330.3
2021-01-17,122,123,321.0
2021-01-18,205,175,307.9
2021-01-19,174,124,299.3
2021-01-20,137,229,294.2
2021-01-21,100,158,274.4
2021-01-22,111,157,256.7
2021-01-23,79,124,241.6
2021-01-24,88,105,232.7
2021-01-25,129,68,213.0
2021-01-26,147,103,205.9
2021-01-27,110,118,198.9
2021-01-28,93,131,197.1
2021-01-29,101,138,194.5
2021-01-30,86,99,196.3
2021-01-31,89,113,196.5
2021-02-01,123,102,194.9
2021-02-02,102,85,183.3
2021-02-03,113,97,184.0
2021-02-04,119,116,190.8
2021-02-05,84,108,186.4
2021-02-06,54,102,178.0
2021-02-07,54,117,169.0
2021-02-08,87,49,159.6
2021-02-09,71,43,151.5
2021-02-10,76,74,141.9
2021-02-11,75,77,130.4
2021-02-12,61,66,124.4
2021-02-13,46,78,122.4
2021-02-14,45,68,120.0
2021-02-15,72,57,116.1
2021-02-16,83,58,119.2
2021-02-17,68,66,117.1
2021-02-18,46,67,109.6
2021-02-19,53,66,107.5
2021-02-20,31,50,103.6
2021-02-21,32,37,100.2
2021-02-22,77,56,101.5
2021-02-23,49,38,92.7
2021-02-24,54,46,89.0
2021-02-25,58,65,92.1
2021-02-26,24,61,84.6
2021-02-27,26,49,83.3
2021-02-28,28,28,82.3
2021-03-01,40,22,72.7
2021-03-02,45,35,71.6
2021-03-03,41,46,68.3
2021-03-04,35,49,62.3
2021-03-05,26,39,62.7
2021-03-06,24,35,62.2
2021-03-07,35,28,64.0
2021-03-08,31,30,61.7
2021-03-09,27,43,57.0
2021-03-10,21,22,51.8
2021-03-11,38,32,52.5
2021-03-12,32,26,54.2
2021-03-13,14,22,51.5
2021-03-14,27,31,49.4
2021-03-15,50,23,54.4
2021-03-16,36,39,56.7
2021-03-17,26,42,58.0
2021-03-18,23,37,54.2
2021-03-19,23,6,51.8
2021-03-20,13,29,51.6
2021-03-21,24,31,50.8
2021-03-22,30,32,45.5
2021-03-23,29,16,43.8
2021-03-24,32,26,45.3
2021-03-25,27,29,46.3
2021-03-26,16,39,44.5
2021-03-27,15,22,45.0
2021-03-28,17,8,43.2
2021-03-29,13,27,38.8
2021-03-30,14,13,34.8
2021-03-31,19,20,31.5
2021-04-01,15,14,28.4
2021-04-02,8,21,26.3
2021-04-03,13,15,25.8
2021-04-04,6,8,22.9
2021-04-05,12,8,22.7
2021-04-06,5,13,20.4
2021-04-07,8,8,17.4
2021-04-08,11,9,16.4
2021-04-09,7,0,16.1
2021-04-10,6,9,14.3
2021-04-11,12,1,15.9
2021-04-12,13,13,16.1
2021-04-13,9,15,17.1
2021-04-14,10,6,17.7
2021-04-15,11,8,17.7
2021-04-16,7,11,17.7
2021-04-17,5,6,17.4
2021-04-18,12,13,17.4
2021-04-19,17,16,18.5
2021-04-20,6,12,17.7
2021-04-21,8,5,17.2
2021-04-22,10,11,16.9
2021-04-23,8,10,17.2
2021-04-24,3,13,16.7
2021-04-25,19,3,18.5
2021-04-26,14,17,17.7
2021-04-27,9,9,18.5
2021-04-28,13,11,19.8
2021-04-29,15,14,21.1
2021-04-30,6,14,20.6
2021-05-01,7,10,21.6
2021-05-02,3,10,17.5
2021-05-03,11,2,16.6
2021-05-04,4,13,15.4
2021-05-05,0,5,15.4
2020-03-07,1,0,-5450.4
2020-03-08,0,0,-5452.0
2020-03-09,0,0,-5453.8
2020-03-10,1,0,-5454.4
2020-03-11,1,0,-5456.9
2020-03-12,3,0,-5457.2
2020-03-13,2,0,2.1
2020-03-14,3,0,2.6
2020-03-15,1,0,2.8
2020-03-16,0,0,2.8
2020-03-17,4,0,3.7
2020-03-18,4,0,4.4
2020-03-19,4,0,4.6
2020-03-20,1,0,4.4
2020-03-21,3,0,4.4
2020-03-22,5,0,5.5
2020-03-23,2,0,6.0
2020-03-24,7,0,6.7
2020-03-25,12,0,8.9
2020-03-26,11,0,10.7
2020-03-27,14,0,14.1
2020-03-28,8,0,15.3
2020-03-29,13,0,17.4
2020-03-30,13,0,20.3
2020-03-31,18,0,23.2
2020-04-01,31,0,28.1
2020-04-02,28,0,32.6
2020-04-03,14,0,32.5
2020-04-04,19,0,35.4
2020-04-05,28,0,39.3
2020-04-06,33,0,44.5
2020-04-07,28,0,47.1
2020-04-08,33,0,47.6
2020-04-09,39,0,50.5
2020-04-10,29,0,54.4
2020-04-11,29,0,57.1
2020-04-12,19,0,54.7
2020-04-13,32,0,54.4
2020-04-14,28,0,54.4
2020-04-15,30,0,53.6
2020-04-16,42,0,54.4
2020-04-17,31,0,54.9
2020-04-18,37,0,57.0
2020-04-19,27,0,59.1
2020-04-20,35,0,59.9
2020-04-21,29,0,60.2
2020-04-22,37,30,62.0
2020-04-23,56,35,65.6
2020-04-24,36,13,66.9
2020-04-25,39,32,67.4
2020-04-26,26,23,67.2
2020-04-27,38,25,67.9
2020-04-28,29,30,67.9
2020-04-29,42,1,69.2
2020-04-30,61,38,70.5
2020-05-01,41,18,71.9
2020-05-02,31,19,69.8
2020-05-03,27,20,70.0
2020-05-04,28,17,67.5
2020-05-05,35,12,69.0
2020-05-06,49,16,70.8
2020-05-07,29,13,62.5
2020-05-08,25,14,58.3
2020-05-09,16,38,54.4
2020-05-10,14,3,51.0
2020-05-11,29,10,51.3
2020-05-12,26,10,48.9
2020-05-13,69,9,54.2
2020-05-14,24,16,52.8
2020-05-15,23,5,52.3
2020-05-16,16,11,52.3
2020-05-17,16,11,52.8
2020-05-18,27,9,52.3
2020-05-19,29,17,53.1
2020-05-20,29,8,42.7
2020-05-21,30,5,44.3
2020-05-22,17,24,42.7
2020-05-23,13,14,41.9
2020-05-24,15,16,41.7
2020-05-25,14,2,38.2
2020-05-26,24,13,37.0
2020-05-27,18,3,34.1
2020-05-28,21,10,31.7
2020-05-29,20,7,32.5
2020-05-30,13,4,32.5
2020-05-31,12,6,31.8
2020-06-01,13,7,31.5
2020-06-02,9,3,27.6
2020-06-03,15,8,26.8
2020-06-04,30,3,29.2
2020-06-05,10,3,26.6
2020-06-06,4,2,24.2
2020-06-07,11,2,23.9
2020-06-08,9,1,22.9
2020-06-09,19,9,25.5
2020-06-10,10,4,24.2
2020-06-11,8,9,18.5
2020-06-12,12,5,19.0
2020-06-13,6,7,19.6
2020-06-14,14,5,20.3
2020-06-15,12,4,21.1
2020-06-16,13,6,19.5
2020-06-17,10,8,19.5
2020-06-18,8,8,19.5
2020-06-19,12,4,19.5
2020-06-20,1,0,18.2
2020-06-21,3,4,15.4
2020-06-22,8,5,14.3
2020-06-23,4,4,12.0
2020-06-24,11,1,12.3
2020-06-25,12,1,13.3
2020-06-26,5,6,11.5
2020-06-27,3,4,12.0
2020-06-28,4,2,12.2
2020-06-29,3,0,11.0
2020-06-30,3,0,10.7
2020-07-01,6,814,9.3
2020-07-02,2,4,6.7
2020-07-03,4,5,6.5
2020-07-04,3,0,6.5
2020-07-05,4,4,6.5
2020-07-06,2,6,6.2
2020-07-07,1,2,5.7
2020-07-08,3,2,5.0
2020-07-09,4,2,5.5
2020-07-10,0,2,4.4
2020-07-11,1,4,3.9
2020-07-12,2,1,3.4
2020-07-13,5,2,4.2
2020-07-14,2,1,4.4
2020-07-15,4,1,4.7
2020-07-16,5,5,5.0
2020-07-17,4,3,6.0
2020-07-18,1,6,6.0
2020-07-19,0,4,5.5
2020-07-20,1,1,4.4
2020-07-21,0,1,3.9
2020-07-22,2,0,3.3
2020-07-23,1,1,2.3
2020-07-24,1,1,1.6
2020-07-25,1,2,1.5
2020-07-26,2,0,2.0
2020-07-27,6,1,3.4
2020-07-28,1,2,3.7
2020-07-29,9,4,5.5
2020-07-30,4,1,6.2
2020-07-31,3,4,6.7
2020-08-01,2,4,7.1
2020-08-02,2,9,7.1
2020-08-03,11,4,8.3
2020-08-04,2,2,8.6
2020-08-05,3,7,7.0
2020-08-06,5,5,7.3
2020-08-07,2,2,7.1
2020-08-08,3,5,7.2
2020-08-09,1,1,7.0
2020-08-10,5,4,5.5
2020-08-11,9,4,7.2
2020-08-12,7,3,8.4
2020-08-13,5,0,8.4
2020-08-14,7,12,9.6
2020-08-15,5,8,10.2
2020-08-16,1,5,10.2
2020-08-17,7,6,10.7
2020-08-18,4,5,9.4
2020-08-19,3,3,8.3
2020-08-20,6,6,8.6
2020-08-21,4,5,7.8
2020-08-22,7,2,8.3
2020-08-23,1,5,8.3
2020-08-24,9,3,8.8
2020-08-25,4,4,8.9
2020-08-26,4,6,9.1
2020-08-27,5,6,8.8
2020-08-28,7,5,9.6
2020-08-29,7,3,9.7
2020-08-30,9,9,11.7
2020-08-31,8,8,11.5
2020-09-01,16,6,14.5
2020-09-02,20,8,18.7
2020-09-03,19,7,22.4
2020-09-04,11,13,23.5
2020-09-05,8,9,23.6
2020-09-06,9,19,23.7
2020-09-07,27,14,28.6
2020-09-08,11,12,27.4
2020-09-09,12,10,25.3
2020-09-10,14,12,23.9
2020-09-11,15,12,24.9
2020-09-12,15,11,26.9
2020-09-13,6,14,26.0
2020-09-14,18,23,23.7
2020-09-15,11,12,23.7
2020-09-16,19,21,25.5
2020-09-17,21,14,27.4
2020-09-18,22,24,29.2
2020-09-19,16,12,29.4
2020-09-20,19,13,32.8
2020-09-21,22,22,33.8
2020-09-22,28,18,38.2
2020-09-23,40,32,43.7
2020-09-24,29,37,45.8
2020-09-25,33,30,48.7
2020-09-26,30,26,52.3
2020-09-27,28,29,54.7
2020-09-28,64,24,65.6
2020-09-29,70,40,76.6
2020-09-30,59,40,81.5
2020-10-01,57,31,88.8
2020-10-02,76,28,99.9
2020-10-03,60,79,107.8
2020-10-04,60,192,116.1
2020-10-05,81,66,120.6
2020-10-06,87,106,124.9
2020-10-07,110,87,138.2
2020-10-08,79,110,143.9
2020-10-09,70,52,142.4
2020-10-10,73,86,145.7
2020-10-11,68,78,147.8
2020-10-12,114,98,156.4
2020-10-13,89,101,157.0
2020-10-14,98,126,153.9
2020-10-15,93,108,157.5
2020-10-16,76,103,159.1
2020-10-17,89,86,163.3
2020-10-18,69,59,163.5
2020-10-19,136,109,169.2
2020-10-20,136,134,181.4
2020-10-21,140,154,192.4
2020-10-22,109,96,196.5
2020-10-23,140,99,213.2
2020-10-24,106,112,217.6
2020-10-25,83,104,221.3
2020-10-26,150,131,224.9
2020-10-27,122,166,221.3
2020-10-28,120,137,216.0
2020-10-29,96,123,212.7
2020-10-30,119,126,207.2
2020-10-31,103,114,206.4
2020-11-01,68,101,202.5
2020-11-02,165,104,206.5
2020-11-03,126,93,207.5
2020-11-04,106,150,203.9
2020-11-05,133,113,213.5
2020-11-06,144,104,220.0
2020-11-07,99,149,218.9
2020-11-08,105,111,228.6
2020-11-09,220,108,242.8
2020-11-10,134,114,244.9
2020-11-11,137,154,253.0
2020-11-12,130,188,252.2
2020-11-13,110,125,243.4
2020-11-14,71,135,236.1
2020-11-15,70,127,227.0
2020-11-16,127,0,202.8
2020-11-17,145,73,205.7
2020-11-18,123,99,202.0
2020-11-19,80,123,189.0
2020-11-20,62,129,176.4
2020-11-21,55,96,172.4
2020-11-22,59,62,169.4
2020-11-23,66,59,153.6
2020-11-24,87,49,138.4
2020-11-25,83,83,128.1
2020-11-26,84,86,129.1
2020-11-27,66,66,130.2
2020-11-28,32,70,124.1
2020-11-29,57,68,123.7
2020-11-30,85,52,128.6
2020-12-01,78,72,126.3
2020-12-02,57,81,119.4
2020-12-03,53,60,111.4
2020-12-04,57,60,109.1
2020-12-05,39,61,110.9
2020-12-06,48,47,108.5
2020-12-07,82,48,107.8
2020-12-08,56,56,102.0
2020-12-09,68,49,104.9
2020-12-10,85,61,113.3
2020-12-11,82,71,119.7
2020-12-12,50,94,122.6
2020-12-13,56,75,124.7
2020-12-14,107,40,131.2
2020-12-15,111,61,145.6
2020-12-16,138,114,163.8
2020-12-17,100,96,167.6
2020-12-18,115,109,176.2
2020-12-19,89,118,186.4
2020-12-20,105,101,199.1
2020-12-21,185,124,219.4
2020-12-22,165,136,233.5
2020-12-23,149,154,236.3
2020-12-24,127,132,243.4
2020-12-25,59,143,228.9
2020-12-26,165,91,248.6
2020-12-27,208,142,275.5
2020-12-28,195,156,278.0
2020-12-29,339,243,323.3
2020-12-30,369,186,380.6
2020-12-31,244,247,411.0
2021-01-01,138,234,431.6
2021-01-02,283,231,462.3
2021-01-03,250,337,473.2
2021-01-04,290,279,498.0
2021-01-05,289,180,484.9
2021-01-06,249,214,453.8
2021-01-07,203,265,443.1
2021-01-08,145,280,444.8
2021-01-09,158,244,412.4
2021-01-10,158,248,388.4
