date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,1,0,0.2
2020-03-10,0,0,0.2
2020-03-11,5,0,1.5
2020-03-12,8,0,3.6
2020-03-13,4,0,4.6
2020-03-14,14,0,8.2
2020-03-15,7,0,10.0
2020-03-16,13,0,13.1
2020-03-17,21,0,18.5
2020-03-18,15,0,21.1
2020-03-19,9,0,21.3
2020-03-20,27,0,27.3
2020-03-21,26,0,30.4
2020-03-22,24,0,34.7
2020-03-23,34,0,40.2
2020-03-24,27,0,41.7
2020-03-25,44,0,49.2
2020-03-26,44,0,58.2
2020-03-27,43,0,62.3
2020-03-28,22,0,61.2
2020-03-29,26,0,61.8
2020-03-30,57,0,67.7
2020-03-31,49,0,73.4
2020-04-01,58,0,76.9
2020-04-02,84,0,87.2
2020-04-03,49,0,88.7
2020-04-04,49,0,95.7
2020-04-05,35,0,98.1
2020-04-06,40,0,93.7
2020-04-07,45,0,92.6
2020-04-08,59,0,92.9
2020-04-09,44,0,82.6
2020-04-10,25,0,76.5
2020-04-11,24,0,70.1
2020-04-12,31,0,68.9
2020-04-13,26,0,65.3
2020-04-14,52,0,67.2
2020-04-15,42,0,62.8
2020-04-16,33,0,60.0
2020-04-17,34,32,62.3
2020-04-18,31,58,64.0
2020-04-19,14,30,59.7
2020-04-20,25,17,59.5
2020-04-21,24,27,52.2
2020-04-22,28,12,48.7
2020-04-23,34,27,48.9
2020-04-24,24,15,46.3
2020-04-25,15,12,42.2
2020-04-26,22,30,44.3
2020-04-27,35,15,46.8
2020-04-28,32,0,48.9
2020-04-29,18,11,46.3
2020-04-30,26,22,44.3
2020-05-01,18,21,42.7
2020-05-02,19,5,43.8
2020-05-03,7,4,39.9
2020-05-04,15,6,34.8
2020-05-05,10,26,29.1
2020-05-06,10,10,27.0
2020-05-07,10,10,22.9
2020-05-08,13,6,21.6
2020-05-09,6,6,18.3
2020-05-10,3,2,17.2
2020-05-11,5,1,14.6
2020-05-12,10,2,14.7
2020-05-13,8,2,14.2
2020-05-14,9,11,13.9
2020-05-15,10,1,13.1
2020-05-16,10,5,14.1
2020-05-17,2,2,13.9
2020-05-18,6,7,14.2
2020-05-19,6,5,13.1
2020-05-20,12,2,14.1
2020-05-21,9,0,14.1
2020-05-22,3,0,12.4
2020-05-23,8,5,11.9
2020-05-24,3,0,12.1
2020-05-25,5,4,11.8
2020-05-26,5,0,11.6
2020-05-27,5,3,9.8
2020-05-28,1,0,7.7
2020-05-29,5,1,8.2
2020-05-30,0,6,6.1
2020-05-31,1,1,5.7
2020-06-01,1,2,4.6
2020-06-02,5,0,4.6
2020-06-03,1,0,3.6
2020-06-04,2,1,3.9
2020-06-05,3,1,3.4
2020-06-06,2,1,3.9
2020-06-07,1,0,3.9
2020-06-08,2,1,4.2
2020-06-09,3,2,3.6
2020-06-10,0,1,3.3
2020-06-11,3,1,3.6
2020-06-12,0,0,2.8
2020-06-13,0,1,2.3
2020-06-14,1,2,2.3
2020-06-15,0,1,1.8
2020-06-16,0,0,1.1
2020-06-17,1,0,1.3
2020-06-18,2,0,1.0
2020-06-19,0,0,1.0
2020-06-20,2,0,1.6
2020-06-21,1,0,1.5
2020-06-22,1,0,1.8
2020-06-23,1,0,2.0
2020-06-24,4,0,2.9
2020-06-25,2,0,2.9
2020-06-26,3,0,3.6
2020-06-27,1,0,3.3
2020-06-28,0,0,3.1
2020-06-29,0,2,2.8
2020-06-30,2,1,3.1
2020-07-01,0,319,2.0
2020-07-02,1,0,1.8
2020-07-03,1,2,1.3
2020-07-04,0,1,1.0
2020-07-05,2,0,1.5
2020-07-06,7,2,3.3
2020-07-07,0,1,2.8
2020-07-08,1,0,3.1
2020-07-09,2,4,3.3
2020-07-10,1,0,3.4
2020-07-11,1,3,3.6
2020-07-12,1,2,3.4
2020-07-13,0,2,1.6
2020-07-14,2,1,2.1
2020-07-15,2,0,2.3
2020-07-16,2,0,2.3
2020-07-17,1,1,2.3
2020-07-18,0,3,2.1
2020-07-19,1,2,2.0
2020-07-20,2,0,2.6
2020-07-21,1,0,2.3
2020-07-22,3,0,2.6
2020-07-23,0,2,2.1
2020-07-24,1,3,2.1
2020-07-25,2,0,2.6
2020-07-26,2,1,2.9
2020-07-27,4,4,3.3
2020-07-28,2,1,3.6
2020-07-29,3,4,3.6
2020-07-30,2,4,4.1
2020-07-31,0,1,3.8
2020-08-01,0,1,3.3
2020-08-02,0,1,2.8
2020-08-03,4,2,2.8
2020-08-04,3,1,3.1
2020-08-05,1,2,2.6
2020-08-06,0,3,2.1
2020-08-07,5,2,3.4
2020-08-08,2,2,3.9
2020-08-09,1,3,4.1
2020-08-10,4,2,4.2
2020-08-11,2,3,3.9
2020-08-12,5,2,4.9
2020-08-13,2,0,5.4
2020-08-14,4,4,5.1
2020-08-15,0,0,4.6
2020-08-16,2,4,4.9
2020-08-17,11,4,6.6
2020-08-18,6,4,7.7
2020-08-19,5,5,7.7
2020-08-20,7,8,9.0
2020-08-21,2,2,8.5
2020-08-22,1,7,8.8
2020-08-23,2,5,8.8
2020-08-24,13,1,9.3
2020-08-25,4,4,8.7
2020-08-26,3,4,8.2
2020-08-27,5,7,7.7
2020-08-28,8,6,9.3
2020-08-29,4,3,10.0
2020-08-30,4,4,10.5
2020-08-31,9,2,9.5
2020-09-01,13,8,11.9
2020-09-02,20,17,16.2
2020-09-03,10,6,17.5
2020-09-04,15,10,19.3
2020-09-05,8,5,20.3
2020-09-06,5,11,20.6
2020-09-07,12,9,21.4
2020-09-08,17,12,22.4
2020-09-09,8,8,19.3
2020-09-10,12,5,19.8
2020-09-11,7,17,17.7
2020-09-12,3,14,16.5
2020-09-13,4,7,16.2
2020-09-14,6,8,14.7
2020-09-15,7,9,12.1
2020-09-16,8,4,12.1
2020-09-17,10,5,11.6
2020-09-18,18,9,14.4
2020-09-19,5,7,14.9
2020-09-20,6,9,15.5
2020-09-21,12,11,17.0
2020-09-22,11,4,18.0
2020-09-23,13,7,19.3
2020-09-24,21,24,22.1
2020-09-25,24,15,23.7
2020-09-26,24,3,28.6
2020-09-27,23,15,32.9
2020-09-28,28,10,37.0
2020-09-29,28,25,41.4
2020-09-30,52,16,51.5
2020-10-01,32,17,54.3
2020-10-02,44,32,59.5
2020-10-03,26,28,60.0
2020-10-04,26,80,60.7
2020-10-05,44,54,64.9
2020-10-06,36,33,66.9
2020-10-07,32,34,61.8
2020-10-08,41,60,64.1
2020-10-09,48,35,65.1
2020-10-10,27,25,65.3
2020-10-11,30,30,66.4
2020-10-12,49,21,67.7
2020-10-13,32,48,66.7
2020-10-14,45,63,70.0
2020-10-15,50,61,72.3
2020-10-16,52,29,73.3
2020-10-17,32,39,74.7
2020-10-18,40,41,77.2
2020-10-19,59,48,79.7
2020-10-20,65,50,88.3
2020-10-21,84,87,98.3
2020-10-22,72,47,104.0
2020-10-23,69,74,108.4
2020-10-24,40,61,110.4
2020-10-25,42,72,111.0
2020-10-26,87,69,118.2
2020-10-27,73,59,120.1
2020-10-28,80,86,119.1
2020-10-29,60,42,116.1
2020-10-30,62,99,114.2
2020-10-31,43,62,115.0
2020-11-01,41,66,114.8
2020-11-02,102,65,118.6
2020-11-03,71,56,118.2
2020-11-04,52,60,111.0
2020-11-05,66,100,112.4
2020-11-06,75,57,115.8
2020-11-07,58,72,119.7
2020-11-08,50,55,121.9
2020-11-09,93,70,119.7
2020-11-10,101,50,127.4
2020-11-11,110,50,142.3
2020-11-12,90,133,148.5
2020-11-13,101,150,155.2
2020-11-14,75,68,159.5
2020-11-15,70,89,164.7
2020-11-16,106,0,168.0
2020-11-17,93,109,166.0
2020-11-18,102,65,163.9
2020-11-19,82,76,161.9
2020-11-20,92,70,159.6
2020-11-21,60,120,155.7
2020-11-22,53,119,151.4
2020-11-23,83,82,145.4
2020-11-24,80,41,142.0
2020-11-25,82,101,136.9
2020-11-26,69,64,133.6
2020-11-27,103,74,136.4
2020-11-28,50,68,133.9
2020-11-29,56,69,134.6
2020-11-30,109,43,141.3
2020-12-01,97,79,145.7
2020-12-02,106,118,151.9
2020-12-03,92,71,157.7
2020-12-04,110,108,159.6
2020-12-05,100,97,172.4
2020-12-06,89,114,180.9
2020-12-07,131,94,186.6
2020-12-08,138,62,197.1
2020-12-09,160,122,211.0
2020-12-10,222,173,244.5
2020-12-11,215,188,271.5
2020-12-12,229,158,304.7
2020-12-13,192,170,331.2
2020-12-14,340,214,385.0
2020-12-15,365,180,443.5
2020-12-16,392,286,503.1
2020-12-17,416,295,553.1
2020-12-18,445,281,612.2
2020-12-19,285,338,626.7
2020-12-20,373,438,673.3
2020-12-21,551,335,727.6
2020-12-22,659,376,803.2
2020-12-23,531,371,839.0
2020-12-24,458,362,849.8
2020-12-25,174,489,780.1
2020-12-26,469,521,827.4
2020-12-27,564,473,876.5
2020-12-28,438,530,847.5
2020-12-29,872,545,902.3
2020-12-30,843,574,982.6
2020-12-31,557,483,1008.1
2021-01-01,334,687,1049.2
2021-01-02,586,628,1079.3
2021-01-03,636,605,1097.9
2021-01-04,829,575,1198.5
2021-01-05,630,605,1136.2
2021-01-06,622,693,1079.4
2021-01-07,581,567,1085.5
2021-01-08,535,837,1137.3
2021-01-09,453,641,1103.1
2021-01-10,374,652,1035.6
2021-01-11,558,570,965.8
2021-01-12,482,385,927.8
2021-01-13,466,517,887.6
2021-01-14,459,521,856.2
2021-01-15,397,465,820.7
2021-01-16,296,444,780.3
2021-01-17,242,546,746.4
2021-01-18,386,348,702.1
2021-01-19,331,331,663.2
2021-01-20,343,222,631.6
2021-01-21,262,447,580.9
2021-01-22,265,428,546.9
2021-01-23,168,267,513.9
2021-01-24,147,305,489.5
2021-01-25,211,130,444.5
2021-01-26,199,167,410.5
2021-01-27,205,147,374.9
2021-01-28,171,207,351.6
2021-01-29,149,274,321.7
2021-01-30,102,145,304.7
2021-01-31,106,137,294.1
2021-02-01,141,129,276.1
2021-02-02,126,122,257.3
2021-02-03,121,129,235.8
2021-02-04,129,143,224.9
2021-02-05,97,123,211.5
2021-02-06,79,104,205.7
2021-02-07,68,132,195.9
2021-02-08,67,63,176.8
2021-02-09,66,73,161.4
2021-02-10,67,63,147.5
2021-02-11,55,72,128.4
2021-02-12,65,70,120.2
2021-02-13,33,54,108.3
2021-02-14,38,53,100.6
2021-02-15,55,41,97.6
2021-02-16,59,47,95.7
2021-02-17,54,42,92.3
2021-02-18,65,80,95.0
2021-02-19,58,58,93.2
2021-02-20,38,54,94.5
2021-02-21,32,59,92.9
2021-02-22,39,53,88.8
2021-02-23,43,37,84.7
2021-02-24,27,29,77.8
2021-02-25,49,44,73.6
2021-02-26,22,28,64.3
2021-02-27,15,43,58.4
2021-02-28,21,20,55.6
2021-03-01,29,26,53.0
2021-03-02,40,25,52.3
2021-03-03,16,26,49.4
2021-03-04,18,33,41.4
2021-03-05,14,20,39.4
2021-03-06,13,18,38.9
2021-03-07,20,14,38.6
2021-03-08,26,12,37.8
2021-03-09,20,29,32.6
2021-03-10,18,22,33.2
2021-03-11,24,23,34.8
2021-03-12,26,27,37.8
2021-03-13,9,20,36.8
2021-03-14,18,21,36.3
2021-03-15,16,16,33.7
2021-03-16,15,15,32.5
2021-03-17,11,20,30.6
2021-03-18,10,15,27.0
2021-03-19,10,11,23.0
2021-03-20,11,9,23.4
2021-03-21,11,13,21.6
2021-03-22,16,11,21.6
2021-03-23,9,13,20.0
2021-03-24,14,14,20.8
2021-03-25,10,15,20.8
2021-03-26,14,11,21.8
2021-03-27,12,9,22.1
2021-03-28,5,12,20.6
2021-03-29,16,10,20.6
2021-03-30,7,15,20.1
2021-03-31,6,8,18.1
2021-04-01,4,9,16.5
2021-04-02,7,4,14.7
2021-04-03,8,6,13.7
2021-04-04,7,4,14.2
2021-04-05,4,5,11.1
2021-04-06,10,8,11.9
2021-04-07,12,9,13.3
2021-04-08,10,9,14.9
2021-04-09,12,0,16.2
2021-04-10,7,4,15.9
2021-04-11,3,2,14.9
2021-04-12,5,14,15.2
2021-04-13,7,11,14.4
2021-04-14,10,10,13.9
2021-04-15,3,4,12.1
2021-04-16,4,4,10.0
2021-04-17,5,8,9.5
2021-04-18,11,3,11.6
2021-04-19,20,6,15.4
2021-04-20,11,21,16.4
2021-04-21,11,8,16.8
2021-04-22,12,8,19.1
2021-04-23,3,18,18.8
2021-04-24,5,9,18.8
2021-04-25,8,1,18.0
2021-04-26,12,11,16.0
2021-04-27,13,16,16.5
2021-04-28,9,6,15.9
2021-04-29,6,15,14.4
2021-04-30,16,13,17.8
2021-05-01,7,8,18.3
2021-05-02,4,8,17.2
2021-05-03,8,3,16.2
2021-05-04,10,10,15.5
2021-05-05,11,9,16.0
2021-05-06,13,10,17.7
2021-05-07,18,13,18.3
2021-05-08,9,14,18.8
2021-05-09,13,17,21.1
2021-05-10,22,16,24.7
2021-05-11,15,15,25.9
2021-05-12,14,19,26.8
2021-05-13,14,14,27.1
2021-05-14,11,23,25.2
2021-05-15,11,9,25.7
2021-05-16,21,11,27.8
2021-05-17,24,17,28.3
2021-05-18,20,0,29.6
2021-05-19,25,17,32.4
2021-05-20,32,24,37.0
2021-05-21,15,25,38.1
2021-05-22,12,29,38.4
2021-05-23,15,11,36.8
2021-05-24,25,26,37.1
2021-05-25,26,18,38.6
2021-05-26,36,20,41.4
2021-05-27,31,21,41.2
2021-05-28,23,39,43.2
2021-05-29,26,26,46.8
2021-05-30,23,19,48.9
2021-05-31,31,33,50.4
2021-06-01,26,19,50.5
2021-06-02,41,24,51.7
2021-06-03,29,38,51.2
2021-06-04,35,35,54.3
2021-06-05,36,33,56.9
2021-06-06,40,31,61.3
2021-06-07,51,38,66.4
2021-06-08,34,46,68.4
2021-06-09,52,48,71.3
2021-06-10,33,36,72.3
2021-06-11,35,43,72.3
2021-06-12,22,38,68.7
2021-06-13,24,35,64.6
2021-06-14,43,36,62.5
2021-06-15,46,20,65.7
2021-06-16,38,41,62.1
2021-06-17,51,43,66.7
2021-06-18,40,48,68.0
2021-06-19,40,38,72.6
2021-06-20,36,32,75.6
2021-06-21,53,50,78.3
2021-06-22,58,38,81.3
2021-06-23,55,62,85.7
2021-06-24,48,57,84.9
2021-06-25,61,35,90.3
2021-06-26,60,49,95.4
2021-06-27,80,47,106.8
2021-06-28,89,94,116.0
2021-06-29,113,74,130.2
2021-06-30,109,97,144.1
2021-07-01,126,93,164.2
2021-07-02,102,99,174.8
2021-07-03,111,102,187.9
2021-07-04,97,80,192.3
2021-07-05,123,117,201.0
2021-07-06,172,134,216.2
2021-07-07,174,114,232.9
2021-07-08,169,134,244.0
2021-07-09,149,106,256.0
2021-07-10,120,135,258.4
2021-07-11,143,170,270.2
2021-07-12,209,241,292.4
2021-07-13,212,200,302.7
2021-07-14,263,182,325.5
2021-07-15,338,243,369.0
2021-07-16,285,247,404.1
2021-07-17,187,282,421.3
2021-07-18,165,249,427.0
2021-07-19,254,167,438.5
2021-07-20,228,239,442.6
2021-07-21,205,268,427.8
2021-07-22,199,146,392.0
2021-07-23,164,260,360.8
2021-07-24,137,187,348.0
2021-07-25,105,184,332.5
2021-07-26,164,131,309.4
2021-07-27,148,135,288.8
2021-07-28,162,147,277.7
2021-07-29,149,149,264.8
2021-07-30,159,147,263.5
2021-07-31,120,150,259.1
2021-08-01,117,163,262.2
2021-08-02,196,118,270.5
2021-08-03,198,145,283.3
2021-08-04,220,167,298.2
2021-08-05,213,195,314.8
2021-08-06,166,243,316.6
2021-08-07,117,179,315.8
2021-08-08,107,178,313.2
2021-08-09,193,100,312.4
2021-08-10,177,108,307.1
2021-08-11,217,199,306.3
2021-08-12,200,207,302.9
2021-08-13,170,218,303.9
2021-08-14,139,177,309.6
2021-08-15,128,159,315.0
2021-08-16,228,144,324.0
2021-08-17,184,142,325.8
2021-08-18,184,188,317.3
2021-08-19,181,185,312.4
2021-08-20,188,210,317.1
2021-08-21,155,189,321.2
2021-08-22,152,180,327.4
2021-08-23,178,150,314.5
2021-08-24,168,156,310.3
2021-08-25,179,163,309.1
2021-08-26,157,175,302.9
2021-08-27,159,186,295.4
2021-08-28,116,138,285.4
2021-08-29,105,159,273.3
2021-08-30,130,124,261.0
2021-08-31,199,102,269.0
2021-09-01,182,137,269.7
2021-09-02,177,187,274.9
2021-09-03,174,192,278.8
2021-09-04,152,167,288.0
2021-09-05,139,173,296.7
2021-09-06,166,158,306.0
2021-09-07,163,150,296.7
2021-09-08,151,163,288.8
2021-09-09,128,160,276.1
2021-09-10,147,138,269.1
2021-09-11,110,139,258.4
2021-09-12,89,107,245.6
2021-09-13,130,132,236.2
2021-09-14,94,113,218.5
2021-09-15,123,129,211.3
2021-09-16,105,99,205.4
2021-09-17,100,135,193.3
2021-09-18,90,89,188.1
2021-09-19,104,96,192.0
2021-09-20,142,112,195.1
2021-09-21,153,116,210.3
2021-09-22,141,117,214.9
2021-09-23,128,128,220.8
2021-09-24,105,157,222.1
2021-09-25,111,137,227.5
2021-09-26,111,115,229.3
2021-09-27,141,129,229.0
2021-09-28,96,111,214.4
2021-09-29,116,130,207.9
2021-09-30,121,74,206.1
2021-10-01,91,105,202.6
2021-10-02,67,118,191.2
2021-10-03,104,92,189.4
2021-10-04,138,106,188.7
2021-10-05,111,123,192.5
2021-10-06,115,109,192.3
2021-10-07,110,114,189.5
2021-10-08,107,116,193.5
2021-10-09,116,89,206.2
2021-10-10,123,112,211.0
2021-10-11,146,140,213.1
2021-10-12,144,119,221.5
2021-10-13,132,142,225.9
2021-10-14,135,125,232.4
2021-10-15,122,123,236.3
2021-10-16,115,140,236.0
2021-10-17,122,129,235.7
2021-10-18,196,158,248.6
2021-10-19,164,122,253.8
2021-10-20,146,142,257.4
2021-10-21,146,203,260.1
2021-10-22,129,118,261.9
2021-10-23,103,166,258.9
2021-10-24,109,126,255.6
2021-10-25,130,110,238.6
2021-10-26,127,110,229.0
2021-10-27,136,144,226.4
2021-10-28,133,129,223.2
2021-10-29,130,149,223.4
2021-10-30,121,123,228.0
2021-10-31,132,130,233.9
2021-11-01,167,145,243.4
2021-11-02,144,122,247.9
2021-11-03,128,174,245.8
2021-11-04,122,119,242.9
2021-11-05,109,122,237.6
2021-11-06,87,126,228.8
2021-11-07,110,99,223.2
2021-11-08,155,108,220.1
2021-11-09,144,104,220.0
2021-11-10,131,135,220.8
2021-11-11,165,146,231.9
2021-11-12,116,137,233.7
2021-11-13,123,157,242.9
2021-11-14,97,122,239.6
2021-11-15,193,118,249.3
2021-11-16,182,100,259.2
2021-11-17,178,114,271.3
2021-11-18,158,232,269.5
2021-11-19,158,171,280.2
2021-11-20,138,154,284.1
2021-11-21,171,186,303.1
2021-11-22,227,178,312.0
2021-11-23,239,165,326.6
2021-11-24,235,196,341.3
2021-11-25,235,246,361.0
2021-11-26,184,255,367.8
2021-11-27,169,234,375.8
2021-11-28,162,147,373.5
2021-11-29,312,202,395.3
2021-11-30,317,177,415.4
2021-12-01,316,292,436.2
2021-12-02,272,302,445.8
2021-12-03,286,281,472.0
2021-12-04,246,320,491.8
2021-12-05,220,200,506.7
2021-12-06,377,283,523.4
2021-12-07,369,266,536.8
2021-12-08,425,357,564.9
2021-12-09,435,277,606.8
2021-12-10,444,441,647.5
2021-12-11,371,379,679.7
2021-12-12,463,453,742.2
2021-12-13,799,546,850.9
2021-12-14,979,445,1007.8
2021-12-15,986,790,1152.2
2021-12-16,1087,872,1320.0
2021-12-17,1005,962,1464.4
2021-12-18,903,1031,1601.3
2021-12-19,882,885,1709.2
2021-12-20,1314,1027,1841.6
2021-12-21,1434,886,1958.8
2021-12-22,1459,1344,2080.5
2021-12-23,1467,1084,2178.3
2021-12-24,1114,1176,2206.3
2021-12-25,513,973,2105.9
2021-12-26,821,1516,2090.2
2021-12-27,1140,964,2045.5
2021-12-28,1240,1022,1995.5
2021-12-29,1753,1248,2071.2
2021-12-30,1238,1082,2012.3
2021-12-31,961,1349,1972.9
2022-01-01,554,1334,1983.5
2022-01-02,923,827,2009.7
2022-01-03,1074,908,1992.7
2022-01-04,1267,1143,1999.7
2022-01-05,922,977,1785.8
2022-01-06,814,877,1676.7
2022-01-07,583,951,1579.4
2022-01-08,458,1002,1554.7
2022-01-09,427,719,1427.1
2022-01-10,627,638,1312.0
2022-01-11,490,505,1112.1
2022-01-12,434,595,986.4
2022-01-13,450,534,892.8
2022-01-14,364,480,836.4
2022-01-15,330,411,803.5
2022-01-16,356,367,785.2
2022-01-17,486,383,749.0
2022-01-18,488,398,748.4
2022-01-19,401,473,740.0
2022-01-20,433,491,735.5
2022-01-21,344,452,730.4
2022-01-22,353,384,736.3
2022-01-23,347,350,734.0
2022-01-24,487,390,734.2
2022-01-25,425,420,718.0
2022-01-26,397,482,717.0
2022-01-27,194,376,655.5
2022-01-28,0,459,655.5
2020-03-07,1,0,-24268.9
2020-03-08,0,0,-24358.2
2020-03-09,1,0,-24483.3
2020-03-10,0,0,-24592.7
2020-03-11,5,0,-24693.6
2020-03-12,8,0,-24741.4
2020-03-13,4,0,4.9
2020-03-14,14,0,8.2
2020-03-15,7,0,10.0
2020-03-16,13,0,13.1
2020-03-17,21,0,18.5
2020-03-18,15,0,21.1
2020-03-19,9,0,21.3
2020-03-20,27,0,27.3
2020-03-21,26,0,30.4
2020-03-22,24,0,34.7
2020-03-23,34,0,40.2
2020-03-24,27,0,41.7
2020-03-25,44,0,49.2
2020-03-26,44,0,58.2
2020-03-27,43,0,62.3
2020-03-28,22,0,61.2
2020-03-29,26,0,61.8
2020-03-30,57,0,67.7
2020-03-31,49,0,73.4
2020-04-01,58,0,76.9
2020-04-02,84,0,87.2
2020-04-03,49,0,88.7
2020-04-04,49,0,95.7
2020-04-05,35,0,98.1
2020-04-06,40,0,93.7
2020-04-07,45,0,92.6
2020-04-08,59,0,92.9
2020-04-09,44,0,82.6
2020-04-10,25,0,76.5
2020-04-11,24,0,70.1
2020-04-12,31,0,68.9
2020-04-13,26,0,65.3
