date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,1,0,0.6
2020-03-04,0,0,0.6
2020-03-05,0,0,0.6
2020-03-06,3,0,2.6
2020-03-07,2,0,3.9
2020-03-08,0,0,3.9
2020-03-09,0,0,3.9
2020-03-10,1,0,3.9
2020-03-11,1,0,4.6
2020-03-12,0,0,4.6
2020-03-13,2,0,3.9
2020-03-14,0,0,2.6
2020-03-15,4,0,5.1
2020-03-16,1,0,5.8
2020-03-17,0,0,5.2
2020-03-18,4,0,7.1
2020-03-19,5,0,10.3
2020-03-20,4,0,11.6
2020-03-21,1,0,12.2
2020-03-22,0,0,9.7
2020-03-23,12,0,16.8
2020-03-24,2,0,18.1
2020-03-25,4,0,18.1
2020-03-26,4,0,17.5
2020-03-27,6,0,18.7
2020-03-28,5,0,21.4
2020-03-29,2,0,22.7
2020-03-30,13,0,23.3
2020-03-31,12,0,29.7
2020-04-01,7,0,31.6
2020-04-02,11,0,36.1
2020-04-03,13,0,40.7
2020-04-04,4,0,40.0
2020-04-05,6,0,42.6
2020-04-06,11,0,41.3
2020-04-07,9,0,39.4
2020-04-08,4,0,37.5
2020-04-09,9,0,36.2
2020-04-10,10,0,34.3
2020-04-11,6,0,35.6
2020-04-12,11,0,38.8
2020-04-13,8,0,36.8
2020-04-14,11,0,38.1
2020-04-15,8,0,40.7
2020-04-16,10,0,41.4
2020-04-17,9,0,40.7
2020-04-18,9,0,42.6
2020-04-19,8,0,40.7
2020-04-20,7,0,40.1
2020-04-21,10,0,39.5
2020-04-22,5,6,37.5
2020-04-23,8,1,36.2
2020-04-24,6,6,34.2
2020-04-25,11,7,35.5
2020-04-26,10,0,36.8
2020-04-27,11,1,39.4
2020-04-28,6,7,36.8
2020-04-29,5,2,36.8
2020-04-30,6,8,35.5
2020-05-01,7,6,36.2
2020-05-02,4,11,31.7
2020-05-03,6,1,29.1
2020-05-04,3,2,23.9
2020-05-05,6,2,23.9
2020-05-06,5,2,23.9
2020-05-07,4,6,22.6
2020-05-08,7,2,22.6
2020-05-09,4,7,22.6
2020-05-10,2,0,20.0
2020-05-11,8,0,23.3
2020-05-12,5,6,22.6
2020-05-13,5,3,22.6
2020-05-14,0,1,20
2020-05-15,1,4,16.2
2020-05-16,2,1,14.9
2020-05-17,5,0,16.8
2020-05-18,8,1,16.8
2020-05-19,10,1,20.0
2020-05-20,3,5,18.8
2020-05-21,3,2,20.7
2020-05-22,1,2,20.7
2020-05-23,7,3,23.9
2020-05-24,0,2,20.7
2020-05-25,3,4,17.4
2020-05-26,1,2,11.7
2020-05-27,5,1,12.9
2020-05-28,2,2,12.3
2020-05-29,2,1,12.9
2020-05-30,0,1,8.4
2020-05-31,0,1,8.4
2020-06-01,5,0,9.7
2020-06-02,1,1,9.7
2020-06-03,0,1,6.5
2020-06-04,1,0,5.8
2020-06-05,1,3,5.2
2020-06-06,0,0,5.2
2020-06-07,0,0,5.2
2020-06-08,0,0,2.0
2020-06-09,0,2,1.3
2020-06-10,0,0,1.3
2020-06-11,2,0,2.0
2020-06-12,1,1,1.9
2020-06-13,1,1,2.5
2020-06-14,1,1,3.2
2020-06-15,3,0,5.1
2020-06-16,1,2,5.8
2020-06-17,0,0,5.8
2020-06-18,6,0,8.4
2020-06-19,3,0,9.7
2020-06-20,0,2,9.1
2020-06-21,0,1,8.4
2020-06-22,0,2,6.5
