date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,1.0
2020-03-13,0,0,1.0
2020-03-14,0,0,1.0
2020-03-15,0,0,1.0
2020-03-16,0,0,1.0
2020-03-17,0,0,1.0
2020-03-18,0,0,1.0
2020-03-19,1,0,0.9
2020-03-20,0,0,0.9
2020-03-21,0,0,0.9
2020-03-22,0,0,0.9
2020-03-23,1,0,1.8
2020-03-24,2,0,3.7
2020-03-25,3,0,6.5
2020-03-26,3,0,8.4
2020-03-27,2,0,10.3
2020-03-28,3,0,13.1
2020-03-29,1,0,14.1
2020-03-30,9,0,21.6
2020-03-31,2,0,21.6
2020-04-01,4,0,22.5
2020-04-02,6,0,25.3
2020-04-03,6,0,29.0
2020-04-04,11,0,36.5
2020-04-05,2,0,37.4
2020-04-06,21,0,48.7
2020-04-07,10,0,56.1
2020-04-08,20,0,71.2
2020-04-09,14,0,78.7
2020-04-10,4,0,76.8
2020-04-11,9,0,74.9
2020-04-12,15,0,87.1
2020-04-13,5,0,72.1
2020-04-14,7,0,69.3
2020-04-15,12,0,61.8
2020-04-16,9,0,57.1
2020-04-17,8,12,60.9
2020-04-18,10,0,61.8
2020-04-19,8,9,55.2
2020-04-20,14,9,63.6
2020-04-21,12,2,68.4
2020-04-22,11,14,67.4
2020-04-23,18,5,75.8
2020-04-24,12,10,79.6
2020-04-25,10,5,79.6
2020-04-26,6,9,77.7
2020-04-27,25,7,88.0
2020-04-28,20,5,95.5
2020-04-29,14,9,98.3
2020-04-30,35,16,114.2
2020-05-01,8,12,110.4
2020-05-02,9,6,109.6
2020-05-03,2,10,105.8
2020-05-04,16,4,97.4
2020-05-05,4,2,82.4
2020-05-06,6,3,74.9
2020-05-07,6,13,47.8
2020-05-08,2,4,42.2
2020-05-09,8,3,41.2
2020-05-10,6,0,45.0
2020-05-11,6,4,35.6
2020-05-12,18,3,48.7
2020-05-13,3,7,45.9
2020-05-14,4,5,44.0
2020-05-15,6,5,47.7
2020-05-16,3,1,43.0
2020-05-17,5,0,42.1
2020-05-18,7,1,43.1
2020-05-19,9,2,34.6
2020-05-20,7,0,38.4
2020-05-21,6,4,40.3
2020-05-22,5,4,39.3
2020-05-23,1,4,37.5
2020-05-24,7,2,39.3
2020-05-25,4,0,36.5
2020-05-26,1,4,29.0
2020-05-27,8,3,29.9
2020-05-28,3,1,27.1
2020-05-29,3,6,25.3
2020-05-30,2,4,26.2
2020-05-31,0,3,19.7
2020-06-01,3,0,18.7
2020-06-02,2,2,19.7
2020-06-03,2,0,14.1
2020-06-04,3,2,14.1
2020-06-05,2,0,13.1
2020-06-06,2,2,13.1
2020-06-07,1,1,14.0
2020-06-08,6,0,16.9
2020-06-09,2,3,16.8
2020-06-10,3,1,17.7
2020-06-11,1,1,15.9
2020-06-12,0,0,14.1
2020-06-13,5,0,16.9
2020-06-14,0,3,16.0
2020-06-15,0,0,10.3
2020-06-16,1,2,9.4
2020-06-17,0,0,6.6
2020-06-18,2,0,7.5
2020-06-19,0,0,7.5
2020-06-20,1,0,3.7
2020-06-21,1,1,4.6
2020-06-22,1,1,5.6
2020-06-23,0,2,4.7
2020-06-24,0,0,4.7
2020-06-25,0,0,2.8
2020-06-26,0,0,2.8
2020-06-27,0,0,1.9
2020-06-28,0,0,1.0
2020-06-29,1,0,0.9
2020-06-30,0,0,0.9
2020-07-01,0,192,0.9
2020-07-02,0,0,0.9
2020-07-03,0,0,0.9
2020-07-04,0,0,0.9
2020-07-05,0,0,0.9
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,1,0,1.0
2020-07-09,0,0,1.0
2020-07-10,0,1,1.0
2020-07-11,1,0,1.9
2020-07-12,0,0,1.9
2020-07-13,1,1,2.8
2020-07-14,1,1,3.8
2020-07-15,0,0,2.8
2020-07-16,1,1,3.7
2020-07-17,0,0,3.7
2020-07-18,0,0,2.8
2020-07-19,1,0,3.7
2020-07-20,0,0,2.8
2020-07-21,0,1,1.8
2020-07-22,2,0,3.7
2020-07-23,0,0,2.8
2020-07-24,0,1,2.8
2020-07-25,0,2,2.8
2020-07-26,0,0,1.9
2020-07-27,0,0,1.9
2020-07-28,0,0,1.9
2020-07-29,0,0,0.0
2020-07-30,4,0,3.8
2020-07-31,0,0,3.8
2020-08-01,0,0,3.8
2020-08-02,0,1,3.8
2020-08-03,0,0,3.8
2020-08-04,1,0,4.7
2020-08-05,0,3,4.7
2020-08-06,2,1,2.8
2020-08-07,0,0,2.8
2020-08-08,0,0,2.8
2020-08-09,0,1,2.8
2020-08-10,0,0,2.8
2020-08-11,1,0,2.8
2020-08-12,0,0,2.8
2020-08-13,1,0,1.8
2020-08-14,0,1,1.8
2020-08-15,0,0,1.8
2020-08-16,0,1,1.8
2020-08-17,0,0,1.8
2020-08-18,2,0,2.8
2020-08-19,0,0,2.8
2020-08-20,0,1,1.9
2020-08-21,0,1,1.9
2020-08-22,0,0,1.9
2020-08-23,0,0,1.9
2020-08-24,0,0,1.9
2020-08-25,1,0,0.9
2020-08-26,1,0,1.9
2020-08-27,1,0,2.8
2020-08-28,4,0,6.6
2020-08-29,6,2,12.2
2020-08-30,0,4,12.2
2020-08-31,1,5,13.1
2020-09-01,2,0,14.1
2020-09-02,0,0,13.1
2020-09-03,1,2,13.1
2020-09-04,2,0,11.2
2020-09-05,5,0,10.3
2020-09-06,1,6,11.2
2020-09-07,6,2,15.9
2020-09-08,4,3,17.8
2020-09-09,7,6,24.3
2020-09-10,4,3,27.2
2020-09-11,1,4,26.2
2020-09-12,3,6,24.3
2020-09-13,2,2,25.3
2020-09-14,5,3,24.4
2020-09-15,2,4,22.4
2020-09-16,5,3,20.6
2020-09-17,6,4,22.4
2020-09-18,1,4,22.5
2020-09-19,9,7,28.1
2020-09-20,14,3,39.3
2020-09-21,9,6,43.0
2020-09-22,11,6,51.5
2020-09-23,16,13,61.8
2020-09-24,22,9,76.8
2020-09-25,10,7,85.2
2020-09-26,19,35,94.6
2020-09-27,13,10,93.7
2020-09-28,35,7,118.0
2020-09-29,22,22,128.3
2020-09-30,23,25,134.9
2020-10-01,29,15,141.4
2020-10-02,22,10,152.6
2020-10-03,22,19,155.4
2020-10-04,9,77,151.6
2020-10-05,32,34,148.9
2020-10-06,24,14,150.8
2020-10-07,36,24,162.9
2020-10-08,38,33,171.4
2020-10-09,28,39,177.0
2020-10-10,19,48,174.2
2020-10-11,20,24,184.5
2020-10-12,40,31,191.9
2020-10-13,40,19,206.9
2020-10-14,76,32,244.3
2020-10-15,50,42,255.6
2020-10-16,38,68,264.9
2020-10-17,34,51,279.0
2020-10-18,25,13,283.7
2020-10-19,49,23,292.2
2020-10-20,66,66,316.5
2020-10-21,66,59,307.2
2020-10-22,48,64,305.2
2020-10-23,32,58,299.7
2020-10-24,46,45,310.8
2020-10-25,20,61,306.2
2020-10-26,39,35,296.8
2020-10-27,48,36,279.9
2020-10-28,37,26,252.8
2020-10-29,20,38,226.6
2020-10-30,43,41,236.8
2020-10-31,37,22,228.5
2020-11-01,52,47,258.4
2020-11-02,49,39,267.8
2020-11-03,53,66,272.5
2020-11-04,50,26,284.6
2020-11-05,58,55,320.2
2020-11-06,51,54,327.7
2020-11-07,46,33,336.1
2020-11-08,20,60,306.1
2020-11-09,72,46,327.7
2020-11-10,57,24,331.4
2020-11-11,65,61,345.5
2020-11-12,52,54,339.9
2020-11-13,55,96,343.7
2020-11-14,35,35,333.3
2020-11-15,49,57,360.5
2020-11-16,66,0,354.8
2020-11-17,59,52,356.8
2020-11-18,52,70,344.5
2020-11-19,47,43,339.9
2020-11-20,25,66,311.8
2020-11-21,32,41,309.0
2020-11-22,34,25,295.0
2020-11-23,47,32,277.2
2020-11-24,42,38,261.2
2020-11-25,38,56,248.2
2020-11-26,45,36,246.2
2020-11-27,35,38,255.6
2020-11-28,33,33,256.6
2020-11-29,13,36,236.8
2020-11-30,43,33,233.1
2020-12-01,44,17,235.0
2020-12-02,34,43,231.2
2020-12-03,20,19,207.9
2020-12-04,22,50,195.7
2020-12-05,31,27,193.8
2020-12-06,35,17,214.5
2020-12-07,41,34,212.5
2020-12-08,30,31,199.4
2020-12-09,24,48,190.1
2020-12-10,26,26,195.6
2020-12-11,24,26,197.5
2020-12-12,12,31,179.8
2020-12-13,21,19,166.6
2020-12-14,44,13,169.5
2020-12-15,36,22,175.1
2020-12-16,35,45,185.4
2020-12-17,24,12,183.6
2020-12-18,26,37,185.4
2020-12-19,18,23,191.0
2020-12-20,28,20,197.6
2020-12-21,60,32,212.6
2020-12-22,59,33,234.1
2020-12-23,37,71,235.9
2020-12-24,37,61,248.1
2020-12-25,16,29,238.8
2020-12-26,28,46,248.1
2020-12-27,45,20,264.0
2020-12-28,72,21,275.2
2020-12-29,102,49,315.5
2020-12-30,87,70,362.4
2020-12-31,75,89,397.9
2021-01-01,37,65,417.6
2021-01-02,63,58,450.3
2021-01-03,73,66,476.6
2021-01-04,92,64,495.3
2021-01-05,75,85,470.1
2021-01-06,75,96,458.8
2021-01-07,72,42,456.0
2021-01-08,60,77,477.5
2021-01-09,34,52,450.4
2021-01-10,30,55,410.1
2021-01-11,84,49,402.6
2021-01-12,50,47,379.2
2021-01-13,52,74,357.6
2021-01-14,63,82,349.2
2021-01-15,55,60,344.5
2021-01-16,47,50,356.7
2021-01-17,31,70,357.7
2021-01-18,76,34,350.2
2021-01-19,60,59,359.5
2021-01-20,41,58,349.3
2021-01-21,46,62,333.4
2021-01-22,44,44,323.1
2021-01-23,35,46,311.8
2021-01-24,26,45,307.1
2021-01-25,66,32,297.8
2021-01-26,37,34,276.2
2021-01-27,61,62,294.9
2021-01-28,40,38,289.3
2021-01-29,22,64,268.7
2021-01-30,38,31,271.6
2021-01-31,14,25,260.3
2021-02-01,37,29,233.1
2021-02-02,34,32,230.3
2021-02-03,42,31,212.6
2021-02-04,36,46,208.8
2021-02-05,22,41,208.8
2021-02-06,21,19,192.8
2021-02-07,27,17,205.0
2021-02-08,45,25,212.5
2021-02-09,29,33,207.9
2021-02-10,33,39,199.4
2021-02-11,36,34,199.4
2021-02-12,23,32,200.3
2021-02-13,18,31,197.6
2021-02-14,24,20,194.8
2021-02-15,32,28,182.6
2021-02-16,24,26,177.9
2021-02-17,35,24,179.8
2021-02-18,22,29,166.7
2021-02-19,23,33,166.7
2021-02-20,18,19,166.7
2021-02-21,13,8,156.3
2021-02-22,42,26,165.8
2021-02-23,6,28,148.9
2021-02-24,22,35,136.7
2021-02-25,21,15,135.7
2021-02-26,24,15,136.7
2021-02-27,10,17,129.2
2021-02-28,7,27,123.6
2021-03-01,27,7,109.5
2021-03-02,11,14,114.2
2021-03-03,15,30,107.6
2021-03-04,8,20,95.5
2021-03-05,21,9,92.7
2021-03-06,17,10,99.2
2021-03-07,12,11,103.9
2021-03-08,20,29,97.4
2021-03-09,22,12,107.7
2021-03-10,20,21,112.4
2021-03-11,26,23,129.2
2021-03-12,18,19,126.4
