date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,1,0,0.9
2020-03-10,0,0,0.9
2020-03-11,0,0,0.9
2020-03-12,0,0,0.9
2020-03-13,0,0,0.9
2020-03-14,0,0,0.9
2020-03-15,0,0,0.9
2020-03-16,0,0,0.0
2020-03-17,2,0,1.7
2020-03-18,2,0,3.5
2020-03-19,3,0,6.1
2020-03-20,3,0,8.7
2020-03-21,4,0,12.2
2020-03-22,5,0,16.6
2020-03-23,2,0,18.4
2020-03-24,7,0,22.8
2020-03-25,9,0,28.9
2020-03-26,5,0,30.7
2020-03-27,7,0,34.2
2020-03-28,5,0,35.1
2020-03-29,2,0,32.5
2020-03-30,11,0,40.3
2020-03-31,18,0,50.0
2020-04-01,17,0,57.0
2020-04-02,19,0,69.2
2020-04-03,12,0,73.7
2020-04-04,11,0,78.9
2020-04-05,12,0,87.6
2020-04-06,24,0,99.1
2020-04-07,18,0,99.1
2020-04-08,23,0,104.3
2020-04-09,14,0,100.0
2020-04-10,14,0,101.7
2020-04-11,5,0,96.5
2020-04-12,10,0,94.7
2020-04-13,13,0,85.0
2020-04-14,15,0,82.4
2020-04-15,13,0,73.7
2020-04-16,19,0,78.0
2020-04-17,7,0,71.9
2020-04-18,8,0,74.5
2020-04-19,6,0,71.0
2020-04-20,5,0,64.0
2020-04-21,7,0,57.0
2020-04-22,9,6,53.5
2020-04-23,10,4,45.6
2020-04-24,5,4,43.8
2020-04-25,4,11,40.3
2020-04-26,7,0,41.3
2020-04-27,4,4,40.4
2020-04-28,10,3,42.9
2020-04-29,19,2,51.7
2020-04-30,4,3,46.5
2020-05-01,3,8,44.7
2020-05-02,4,6,44.7
2020-05-03,3,0,41.2
2020-05-04,1,2,38.5
2020-05-05,3,1,32.5
2020-05-06,8,1,22.8
2020-05-07,8,2,26.3
2020-05-08,6,2,29.0
2020-05-09,1,7,26.3
2020-05-10,2,3,25.4
2020-05-11,13,1,36.0
2020-05-12,8,1,40.3
2020-05-13,4,3,36.8
2020-05-14,3,5,32.4
2020-05-15,3,4,29.8
2020-05-16,0,2,29.0
2020-05-17,2,3,28.9
2020-05-18,6,0,22.8
2020-05-19,10,0,24.6
2020-05-20,2,1,22.8
2020-05-21,5,3,24.6
2020-05-22,1,3,22.8
2020-05-23,2,2,24.5
2020-05-24,2,2,24.6
2020-05-25,5,0,23.7
2020-05-26,4,0,18.4
2020-05-27,2,3,18.4
2020-05-28,3,4,16.7
2020-05-29,2,1,17.5
2020-05-30,2,3,17.6
2020-05-31,1,1,16.6
2020-06-01,4,3,15.7
2020-06-02,3,0,14.9
2020-06-03,4,3,16.7
2020-06-04,1,4,14.9
2020-06-05,1,1,14.0
2020-06-06,2,3,14.0
2020-06-07,2,0,14.9
2020-06-08,5,1,15.8
2020-06-09,1,1,14.0
2020-06-10,2,2,12.3
2020-06-11,2,1,13.1
2020-06-12,2,2,14.1
2020-06-13,2,2,14.0
2020-06-14,1,1,13.2
2020-06-15,4,1,12.3
2020-06-16,0,0,11.4
2020-06-17,2,0,11.4
2020-06-18,4,1,13.2
2020-06-19,2,2,13.1
2020-06-20,0,1,11.4
2020-06-21,2,3,12.3
2020-06-22,2,2,10.5
2020-06-23,1,1,11.4
2020-06-24,1,0,10.5
2020-06-25,0,3,7.0
2020-06-26,4,0,8.8
2020-06-27,0,0,8.8
2020-06-28,4,1,10.5
2020-06-29,2,1,10.5
2020-06-30,1,1,10.5
2020-07-01,4,133,13.1
2020-07-02,1,2,14.0
2020-07-03,2,1,12.3
2020-07-04,3,4,14.9
2020-07-05,2,1,13.1
2020-07-06,1,1,12.3
2020-07-07,5,1,15.8
2020-07-08,5,4,16.7
2020-07-09,3,3,18.4
2020-07-10,1,3,17.5
2020-07-11,2,4,16.7
2020-07-12,1,4,15.8
2020-07-13,2,1,16.7
2020-07-14,2,0,14.0
2020-07-15,3,3,12.3
2020-07-16,4,3,13.2
2020-07-17,1,1,13.2
2020-07-18,2,4,13.1
2020-07-19,0,3,12.3
2020-07-20,5,2,14.9
2020-07-21,1,1,14.1
2020-07-22,6,3,16.6
2020-07-23,2,1,14.9
2020-07-24,2,5,15.7
2020-07-25,2,5,15.8
2020-07-26,0,1,15.8
2020-07-27,2,1,13.1
2020-07-28,3,1,14.9
2020-07-29,3,1,12.3
2020-07-30,1,4,11.4
2020-07-31,2,0,11.4
2020-08-01,1,3,10.5
2020-08-02,0,4,10.5
2020-08-03,1,2,9.7
2020-08-04,0,0,7.0
2020-08-05,2,1,6.1
2020-08-06,2,0,7.0
2020-08-07,0,0,5.3
2020-08-08,1,1,5.3
2020-08-09,0,0,5.3
2020-08-10,1,1,5.2
2020-08-11,4,2,8.8
2020-08-12,1,0,7.9
2020-08-13,0,0,6.1
2020-08-14,3,5,8.8
2020-08-15,0,0,7.9
2020-08-16,1,4,8.7
2020-08-17,1,1,8.8
2020-08-18,0,1,5.2
2020-08-19,1,2,5.3
2020-08-20,0,0,5.3
2020-08-21,1,0,3.5
2020-08-22,2,0,5.2
2020-08-23,2,1,6.2
2020-08-24,1,2,6.2
2020-08-25,4,2,9.7
2020-08-26,0,1,8.8
2020-08-27,3,1,11.4
2020-08-28,3,2,13.1
2020-08-29,0,2,11.4
2020-08-30,0,2,9.6
2020-08-31,1,0,9.6
2020-09-01,0,1,6.1
2020-09-02,1,1,7.0
2020-09-03,1,0,5.3
2020-09-04,2,1,4.4
2020-09-05,1,0,5.3
2020-09-06,0,0,5.3
2020-09-07,8,1,11.4
2020-09-08,0,0,11.4
2020-09-09,3,3,13.1
2020-09-10,4,4,15.7
2020-09-11,4,6,17.5
2020-09-12,2,0,18.4
2020-09-13,1,1,19.3
2020-09-14,2,3,14.0
2020-09-15,1,3,14.9
2020-09-16,1,4,13.2
2020-09-17,4,2,13.2
2020-09-18,0,0,9.7
2020-09-19,2,1,9.6
2020-09-20,2,0,10.5
2020-09-21,2,4,10.5
2020-09-22,7,2,15.8
2020-09-23,11,2,24.5
2020-09-24,5,4,25.4
2020-09-25,9,4,33.3
2020-09-26,4,4,35.1
2020-09-27,3,8,35.9
2020-09-28,7,2,40.4
2020-09-29,3,6,36.8
2020-09-30,12,1,37.7
2020-10-01,2,5,35.1
2020-10-02,3,0,29.8
2020-10-03,2,11,28.1
2020-10-04,7,11,31.6
2020-10-05,12,4,35.9
2020-10-06,8,6,40.3
2020-10-07,7,9,36.0
2020-10-08,12,10,44.7
2020-10-09,7,7,48.2
2020-10-10,4,6,49.9
2020-10-11,6,4,49.1
2020-10-12,7,6,44.7
2020-10-13,14,10,50.0
2020-10-14,17,11,58.7
2020-10-15,3,10,50.9
2020-10-16,5,10,49.1
2020-10-17,7,8,51.8
2020-10-18,13,14,57.9
2020-10-19,21,6,70.2
2020-10-20,18,6,73.7
2020-10-21,25,27,80.7
2020-10-22,23,7,98.2
2020-10-23,13,22,105.3
2020-10-24,18,20,114.8
2020-10-25,7,17,109.6
2020-10-26,29,12,116.6
2020-10-27,23,19,121.0
2020-10-28,26,24,121.9
2020-10-29,31,25,128.8
2020-10-30,18,21,133.2
2020-10-31,18,11,133.3
2020-11-01,14,29,139.4
2020-11-02,46,17,154.3
2020-11-03,36,25,165.7
2020-11-04,43,19,180.6
2020-11-05,59,33,205.2
2020-11-06,35,29,220.1
2020-11-07,40,61,239.4
2020-11-08,40,38,262.1
2020-11-09,56,48,271.0
2020-11-10,46,22,279.7
2020-11-11,64,34,298.1
2020-11-12,68,56,306.0
2020-11-13,49,50,318.3
2020-11-14,39,61,317.4
2020-11-15,35,66,313.1
2020-11-16,64,101,320.0
2020-11-17,41,43,315.6
2020-11-18,54,51,306.9
2020-11-19,46,29,287.6
2020-11-20,41,46,280.6
2020-11-21,23,36,266.5
2020-11-22,34,65,265.6
2020-11-23,58,38,260.4
2020-11-24,38,35,257.8
2020-11-25,33,60,239.3
2020-11-26,44,30,237.6
2020-11-27,37,36,234.1
2020-11-28,31,42,241.1
2020-11-29,34,38,241.2
2020-11-30,70,43,251.6
2020-12-01,43,26,256.0
2020-12-02,41,59,263.1
2020-12-03,59,50,276.2
2020-12-04,41,39,279.7
2020-12-05,50,46,296.4
2020-12-06,44,42,305.1
2020-12-07,67,62,302.5
2020-12-08,56,39,313.9
2020-12-09,87,33,354.2
2020-12-10,89,81,380.5
2020-12-11,93,77,426.1
2020-12-12,68,89,441.9
2020-12-13,74,55,468.2
2020-12-14,166,87,555.0
2020-12-15,133,71,622.6
2020-12-16,148,119,676.0
2020-12-17,167,70,744.5
2020-12-18,165,140,807.5
2020-12-19,119,88,852.3
2020-12-20,130,172,901.3
2020-12-21,201,168,932.1
2020-12-22,180,176,973.2
2020-12-23,205,149,1023.3
2020-12-24,127,140,988.1
2020-12-25,60,178,896.1
2020-12-26,162,99,933.8
2020-12-27,210,98,1004.0
2020-12-28,173,195,979.4
2020-12-29,322,242,1103.9
2020-12-30,298,191,1185.4
2020-12-31,152,208,1207.4
2021-01-01,109,205,1250.3
2021-01-02,184,196,1269.6
2021-01-03,176,216,1239.8
2021-01-04,253,169,1309.9
2021-01-05,222,221,1222.3
2021-01-06,182,197,1120.5
2021-01-07,141,119,1110.9
2021-01-08,139,299,1137.2
2021-01-09,106,199,1068.8
2021-01-10,114,139,1014.4
2021-01-11,155,141,928.5
2021-01-12,95,129,817.1
2021-01-13,134,129,775.1
2021-01-14,133,132,768.0
2021-01-15,117,130,748.8
2021-01-16,72,114,719.0
2021-01-17,83,141,691.8
2021-01-18,115,74,656.8
2021-01-19,115,83,674.3
2021-01-20,56,93,605.9
2021-01-21,74,103,554.2
2021-01-22,78,94,520.0
2021-01-23,53,65,503.2
2021-01-24,35,86,461.2
2021-01-25,54,50,407.7
2021-01-26,41,44,342.8
2021-01-27,38,34,327.0
2021-01-28,42,41,299.0
2021-01-29,38,62,263.9
2021-01-30,25,37,239.4
2021-01-31,25,44,230.6
2021-02-01,46,19,223.6
2021-02-02,40,29,222.7
2021-02-03,33,36,218.4
2021-02-04,32,40,209.5
2021-02-05,23,42,196.4
2021-02-06,14,20,186.8
2021-02-07,17,23,179.8
2021-02-08,13,20,150.8
2021-02-09,15,20,128.9
2021-02-10,29,11,125.4
2021-02-11,18,16,113.1
2021-02-12,18,25,108.7
2021-02-13,13,21,107.8
2021-02-14,13,17,104.3
2021-02-15,18,6,108.7
2021-02-16,12,20,106.1
2021-02-17,13,13,92.0
2021-02-18,15,13,89.5
2021-02-19,9,21,81.6
2021-02-20,10,6,78.9
2021-02-21,11,14,77.2
2021-02-22,12,9,71.9
2021-02-23,11,11,71.0
2021-02-24,10,8,68.4
2021-02-25,14,12,67.5
2021-02-26,9,17,67.5
2021-02-27,9,6,66.7
2021-02-28,4,10,60.5
2021-03-01,7,8,56.1
2021-03-02,6,6,51.8
2021-03-03,9,4,50.9
2021-03-04,13,10,50.0
2021-03-05,8,9,49.1
2021-03-06,5,11,45.6
2021-03-07,1,6,42.9
2021-03-08,10,7,45.6
2021-03-09,6,7,45.6
2021-03-10,5,2,42.0
2021-03-11,4,10,34.2
