date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,0,0,0.0
2020-03-11,2,0,2.7
2020-03-12,0,0,2.7
2020-03-13,0,0,2.7
2020-03-14,0,0,2.7
2020-03-15,0,0,2.7
2020-03-16,1,0,4.1
2020-03-17,1,0,5.5
2020-03-18,0,0,2.8
2020-03-19,0,0,2.8
2020-03-20,0,0,2.8
2020-03-21,4,0,8.3
2020-03-22,3,0,12.5
2020-03-23,3,0,15.2
2020-03-24,3,0,18.0
2020-03-25,1,0,19.3
2020-03-26,3,0,23.5
2020-03-27,2,0,26.2
2020-03-28,8,0,31.8
2020-03-29,2,0,30.3
2020-03-30,8,0,37.3
2020-03-31,4,0,38.6
2020-04-01,5,0,44.2
2020-04-02,0,0,40.0
2020-04-03,1,0,38.7
2020-04-04,2,0,30.4
2020-04-05,2,0,30.4
2020-04-06,0,0,19.3
2020-04-07,3,0,18.0
2020-04-08,3,0,15.2
2020-04-09,4,0,20.7
2020-04-10,2,0,22.1
2020-04-11,0,0,19.3
2020-04-12,5,0,23.5
2020-04-13,3,0,27.6
2020-04-14,9,0,35.9
2020-04-15,5,0,38.7
2020-04-16,3,0,37.3
2020-04-17,3,0,38.7
2020-04-18,0,0,38.7
2020-04-19,2,0,34.5
2020-04-20,1,0,31.8
2020-04-21,2,0,22.1
2020-04-22,6,0,23.4
2020-04-23,5,1,26.2
2020-04-24,2,2,24.8
2020-04-25,12,0,41.4
2020-04-26,17,2,62.2
2020-04-27,6,1,69.0
2020-04-28,1,4,67.6
2020-04-29,2,13,62.2
2020-04-30,1,11,56.7
2020-05-01,11,1,69.1
2020-05-02,8,2,63.5
2020-05-03,3,0,44.1
2020-05-04,1,1,37.3
2020-05-05,5,2,42.8
2020-05-06,4,1,45.5
2020-05-07,4,6,49.7
2020-05-08,4,1,40.0
2020-05-09,2,1,31.8
2020-05-10,4,1,33.2
2020-05-11,1,1,33.2
2020-05-12,2,4,29.0
2020-05-13,1,2,24.9
2020-05-14,0,2,19.3
2020-05-15,0,0,13.8
2020-05-16,1,0,12.4
2020-05-17,1,1,8.3
2020-05-18,4,0,12.4
2020-05-19,5,0,16.6
2020-05-20,1,1,16.6
2020-05-21,4,0,22.1
2020-05-22,2,1,24.9
2020-05-23,1,4,24.8
2020-05-24,1,1,24.8
2020-05-25,7,0,29.0
2020-05-26,4,0,27.6
2020-05-27,0,0,26.2
2020-05-28,0,0,20.7
2020-05-29,2,1,20.7
2020-05-30,1,2,20.7
2020-05-31,0,1,19.3
2020-06-01,0,0,9.6
2020-06-02,1,0,5.5
2020-06-03,0,0,5.5
2020-06-04,2,0,8.3
2020-06-05,0,0,5.5
2020-06-06,0,1,4.2
2020-06-07,0,0,4.2
2020-06-08,0,0,4.2
2020-06-09,0,1,2.8
2020-06-10,1,0,4.2
2020-06-11,0,0,1.4
2020-06-12,0,1,1.4
2020-06-13,1,0,2.8
2020-06-14,1,0,4.1
2020-06-15,0,0,4.1
2020-06-16,1,0,5.5
2020-06-17,1,0,5.5
2020-06-18,0,0,5.5
2020-06-19,1,1,6.9
2020-06-20,0,0,5.5
2020-06-21,0,0,4.2
2020-06-22,0,0,4.2
2020-06-23,0,0,2.8
2020-06-24,1,0,2.8
2020-06-25,0,0,2.8
2020-06-26,2,1,4.1
2020-06-27,0,0,4.1
2020-06-28,2,0,6.9
2020-06-29,0,0,6.9
2020-06-30,0,0,6.9
2020-07-01,2,89,8.2
2020-07-02,1,0,9.6
2020-07-03,0,0,6.9
2020-07-04,1,1,8.3
2020-07-05,0,0,5.5
2020-07-06,0,0,5.5
2020-07-07,0,1,5.5
2020-07-08,0,2,2.8
2020-07-09,0,0,1.4
2020-07-10,0,0,1.4
2020-07-11,0,0,0.0
2020-07-12,0,0,0.0
2020-07-13,1,0,1.4
2020-07-14,1,0,2.8
2020-07-15,0,0,2.8
2020-07-16,0,0,2.8
2020-07-17,1,1,4.1
2020-07-18,1,0,5.5
2020-07-19,0,0,5.5
2020-07-20,0,1,4.1
2020-07-21,0,0,2.7
2020-07-22,1,0,4.1
2020-07-23,0,0,4.1
2020-07-24,0,1,2.8
2020-07-25,0,0,1.4
2020-07-26,0,0,1.4
2020-07-27,0,0,1.4
2020-07-28,0,0,1.4
2020-07-29,1,1,1.4
2020-07-30,4,0,6.9
2020-07-31,0,0,6.9
2020-08-01,0,1,6.9
2020-08-02,0,0,6.9
2020-08-03,1,1,8.3
2020-08-04,0,2,8.3
2020-08-05,0,1,6.9
2020-08-06,0,0,1.4
2020-08-07,0,0,1.4
2020-08-08,0,0,1.4
2020-08-09,0,0,1.4
2020-08-10,0,0,0.0
2020-08-11,0,0,0.0
2020-08-12,0,0,0.0
2020-08-13,0,0,0.0
2020-08-14,0,0,0.0
2020-08-15,0,0,0.0
2020-08-16,0,0,0.0
2020-08-17,1,0,1.4
2020-08-18,0,0,1.4
2020-08-19,0,0,1.4
2020-08-20,2,1,4.1
2020-08-21,0,0,4.1
2020-08-22,1,0,5.5
2020-08-23,0,1,5.5
2020-08-24,0,0,4.1
2020-08-25,1,0,5.5
2020-08-26,0,1,5.5
2020-08-27,2,2,5.6
2020-08-28,4,0,11.1
2020-08-29,1,2,11.1
2020-08-30,0,6,11.1
2020-08-31,0,0,11.1
2020-09-01,0,0,9.7
2020-09-02,2,0,12.4
2020-09-03,0,1,9.6
2020-09-04,1,0,5.5
2020-09-05,3,1,8.2
2020-09-06,0,0,8.2
2020-09-07,0,4,8.2
2020-09-08,5,0,15.2
2020-09-09,0,0,12.5
2020-09-10,0,0,12.5
2020-09-11,1,1,12.4
2020-09-12,1,0,9.7
2020-09-13,0,4,9.7
2020-09-14,4,0,15.2
2020-09-15,1,0,9.6
2020-09-16,1,2,11.0
2020-09-17,5,2,17.9
2020-09-18,0,2,16.6
2020-09-19,4,3,20.7
2020-09-20,4,0,26.2
2020-09-21,2,1,23.5
2020-09-22,0,5,22.1
2020-09-23,2,3,23.5
2020-09-24,0,2,16.6
2020-09-25,1,1,18.0
2020-09-26,0,2,12.5
2020-09-27,3,1,11.1
2020-09-28,2,1,11.1
2020-09-29,3,1,15.2
2020-09-30,6,3,20.7
2020-10-01,3,0,24.8
2020-10-02,4,2,28.9
2020-10-03,4,3,34.5
2020-10-04,5,20,37.3
2020-10-05,10,3,48.3
2020-10-06,8,10,55.2
2020-10-07,6,14,55.2
2020-10-08,11,15,66.3
2020-10-09,9,9,73.2
2020-10-10,5,9,74.5
2020-10-11,8,7,78.7
2020-10-12,13,9,82.8
2020-10-13,10,11,85.6
2020-10-14,14,12,96.7
2020-10-15,13,13,99.4
2020-10-16,19,9,113.3
2020-10-17,17,12,129.8
2020-10-18,7,14,128.4
2020-10-19,21,24,139.5
2020-10-20,18,23,150.5
2020-10-21,22,18,161.5
2020-10-22,17,17,167.1
2020-10-23,15,22,161.5
2020-10-24,15,12,158.8
2020-10-25,18,14,174.0
2020-10-26,26,14,180.9
2020-10-27,18,24,180.9
2020-10-28,21,27,179.5
2020-10-29,13,26,174.0
2020-10-30,18,8,178.1
2020-10-31,12,15,174.0
2020-11-01,15,25,169.8
2020-11-02,28,16,172.6
2020-11-03,16,22,169.9
2020-11-04,30,14,182.3
2020-11-05,23,13,196.0
2020-11-06,20,20,198.9
2020-11-07,15,27,203.0
2020-11-08,13,22,200.2
2020-11-09,27,27,198.8
2020-11-10,47,21,241.6
2020-11-11,22,13,230.6
2020-11-12,20,38,226.5
2020-11-13,20,23,226.4
2020-11-14,18,37,230.6
2020-11-15,14,26,232.0
2020-11-16,20,0,222.3
2020-11-17,17,17,180.9
2020-11-18,11,21,165.7
2020-11-19,26,10,174.0
2020-11-20,17,12,169.9
2020-11-21,11,13,160.1
2020-11-22,10,29,154.7
2020-11-23,17,19,150.5
2020-11-24,6,5,135.3
2020-11-25,15,18,140.8
2020-11-26,4,9,110.4
2020-11-27,2,12,89.7
2020-11-28,14,7,93.9
2020-11-29,9,5,92.5
2020-11-30,15,13,89.8
2020-12-01,8,5,92.5
2020-12-02,8,18,82.9
2020-12-03,3,5,81.5
2020-12-04,6,3,87.0
2020-12-05,9,7,80.1
2020-12-06,11,7,82.8
2020-12-07,9,13,74.5
2020-12-08,10,6,77.3
2020-12-09,3,7,70.4
2020-12-10,8,9,77.3
2020-12-11,4,7,74.6
2020-12-12,8,7,73.2
2020-12-13,5,6,64.9
2020-12-14,10,2,66.3
2020-12-15,14,10,71.8
2020-12-16,17,5,91.1
2020-12-17,14,7,99.5
2020-12-18,18,19,118.7
2020-12-19,17,11,131.2
2020-12-20,15,11,145.0
2020-12-21,27,11,168.5
2020-12-22,27,15,186.5
2020-12-23,8,28,174.0
2020-12-24,15,30,175.3
2020-12-25,5,17,157.4
2020-12-26,21,15,162.9
2020-12-27,17,10,165.7
2020-12-28,20,21,156.0
2020-12-29,30,17,160.1
2020-12-30,34,14,196.1
2020-12-31,27,16,212.7
2021-01-01,19,30,232.0
2021-01-02,24,22,236.1
2021-01-03,18,15,237.5
2021-01-04,38,40,262.4
2021-01-05,32,30,265.1
2021-01-06,25,21,252.7
2021-01-07,20,24,243.0
2021-01-08,29,35,256.8
2021-01-09,17,16,247.2
2021-01-10,22,29,252.7
2021-01-11,26,25,236.1
2021-01-12,30,31,233.4
2021-01-13,26,19,234.7
2021-01-14,16,39,229.2
2021-01-15,15,25,209.9
2021-01-16,14,20,205.7
2021-01-17,16,9,197.4
