date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-13,1,0,0.0
2020-03-14,0,0,0.0
2020-03-15,1,0,0.6
2020-03-16,1,0,1.3
2020-03-17,0,0,1.3
2020-03-18,1,0,1.9
2020-03-19,2,0,3.3
2020-03-20,0,0,3.3
2020-03-21,1,0,3.9
2020-03-22,0,0,3.3
2020-03-23,1,0,3.3
2020-03-24,1,0,4.0
2020-03-25,1,0,4.0
2020-03-26,5,0,5.9
2020-03-27,7,0,10.6
2020-03-28,1,0,10.6
2020-03-29,3,0,12.6
2020-03-30,2,0,13.2
2020-03-31,4,0,15.2
2020-04-01,9,0,20.5
2020-04-02,9,0,23.2
2020-04-03,13,0,27.1
2020-04-04,5,0,29.8
2020-04-05,1,0,28.5
2020-04-06,3,0,29.1
2020-04-07,11,0,33.7
2020-04-08,5,0,31.1
2020-04-09,9,0,31.1
2020-04-10,9,0,28.4
2020-04-11,6,0,29.1
2020-04-12,0,0,28.4
2020-04-13,5,0,29.8
2020-04-14,3,0,24.5
2020-04-15,5,0,24.5
2020-04-16,3,0,20.5
2020-04-17,3,0,16.6
2020-04-18,0,0,12.6
2020-04-19,1,0,13.3
2020-04-20,2,0,11.3
2020-04-21,0,0,9.3
2020-04-22,1,0,6.6
2020-04-23,3,0,6.6
2020-04-24,7,0,9.3
2020-04-25,3,0,11.2
2020-04-26,3,0,12.5
2020-04-27,1,0,11.9
2020-04-28,2,0,13.2
2020-04-29,2,0,13.9
2020-04-30,2,0,13.3
2020-05-01,1,0,9.2
2020-05-02,6,0,11.3
2020-05-03,0,0,9.3
2020-05-04,3,0,10.6
2020-05-05,0,0,9.3
2020-05-06,1,0,8.6
2020-05-07,3,0,9.2
2020-05-08,1,0,9.3
2020-05-09,1,0,5.9
2020-05-10,4,0,8.6
2020-05-11,2,0,7.9
2020-05-12,1,0,8.6
2020-05-13,6,0,12.0
2020-05-14,0,0,10.0
2020-05-15,1,0,9.9
2020-05-16,1,0,10.0
2020-05-17,1,0,7.9
2020-05-18,1,0,7.3
2020-05-19,1,0,7.3
2020-05-20,8,0,8.6
2020-05-21,1,0,9.2
2020-05-22,0,0,8.6
2020-05-23,0,0,7.9
2020-05-24,0,0,7.3
2020-05-25,3,0,8.6
2020-05-26,0,0,7.9
2020-05-27,0,0,2.6
2020-05-28,0,0,2.0
2020-05-29,0,0,2.0
2020-05-30,0,0,2.0
2020-05-31,0,0,2.0
2020-06-01,0,0,0.0
2020-06-02,0,0,0.0
2020-06-03,1,0,0.7
2020-06-04,1,0,1.3
2020-06-05,0,0,1.3
2020-06-06,0,0,1.3
2020-06-07,0,0,1.3
2020-06-08,0,0,1.3
2020-06-09,0,0,1.3
2020-06-10,0,0,0.6
2020-06-11,0,0,0.0
2020-06-12,0,0,0.0
2020-06-13,1,0,0.7
2020-06-14,0,0,0.7
2020-06-15,0,0,0.7
2020-06-16,0,0,0.7
2020-06-17,0,0,0.7
2020-06-18,0,0,0.7
2020-06-19,0,0,0.7
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,0,0,0.0
2020-06-26,0,0,0.0
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,0,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,0,0,0.0
2020-07-11,0,0,0.0
2020-07-12,0,0,0.0
2020-07-13,0,0,0.0
2020-07-14,0,0,0.0
2020-07-15,4,0,2.6
2020-07-16,7,0,7.3
2020-07-17,0,0,7.3
2020-07-18,0,0,7.3
2020-07-19,0,0,7.3
2020-07-20,0,0,7.3
2020-07-21,1,0,7.9
2020-07-22,0,0,5.3
2020-07-23,0,0,0.6
2020-07-24,1,0,1.3
2020-07-25,1,0,2.0
2020-07-26,1,0,2.6
2020-07-27,0,0,2.6
2020-07-28,1,0,2.7
2020-07-29,0,0,2.7
2020-07-30,1,0,3.3
2020-07-31,0,0,2.6
2020-08-01,0,0,1.9
2020-08-02,0,0,1.3
2020-08-03,1,0,2.0
2020-08-04,0,0,1.3
2020-08-05,0,0,1.3
2020-08-06,0,0,0.7
2020-08-07,1,0,1.4
2020-08-08,0,0,1.4
