date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,2,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,2,0,0.7
2020-03-17,2,0,1.3
2020-03-18,1,0,1.6
2020-03-19,4,0,2.9
2020-03-20,4,0,4.2
2020-03-21,0,0,4.2
2020-03-22,8,0,6.8
2020-03-23,3,0,7.0
2020-03-24,9,0,9.3
2020-03-25,11,0,12.5
2020-03-26,9,0,14.1
2020-03-27,4,0,14.1
2020-03-28,19,0,20.1
2020-03-29,16,0,22.7
2020-03-30,19,0,27.8
2020-03-31,14,0,29.4
2020-04-01,24,0,33.6
2020-04-02,11,0,34.2
2020-04-03,9,0,35.8
2020-04-04,7,0,32.0
2020-04-05,0,0,26.8
2020-04-06,1,0,21.1
2020-04-07,7,0,18.9
2020-04-08,15,0,16.0
2020-04-09,24,0,20.1
2020-04-10,6,0,19.2
2020-04-11,15,0,21.7
2020-04-12,10,0,24.9
2020-04-13,13,0,28.8
2020-04-14,6,0,28.4
2020-04-15,22,0,30.7
2020-04-16,23,0,30.4
2020-04-17,23,8,35.8
2020-04-18,29,16,40.3
2020-04-19,21,2,43.8
2020-04-20,18,1,45.4
2020-04-21,15,14,48.3
2020-04-22,41,29,54.3
2020-04-23,38,17,59.2
2020-04-24,53,24,68.7
2020-04-25,25,22,67.5
2020-04-26,28,0,69.7
2020-04-27,25,19,71.9
2020-04-28,21,20,73.8
2020-04-29,53,15,77.7
2020-04-30,52,14,82.1
2020-05-01,47,32,80.2
2020-05-02,28,21,81.2
2020-05-03,29,1,81.6
2020-05-04,13,4,77.7
2020-05-05,19,24,77.1
2020-05-06,47,18,75.1
2020-05-07,19,40,64.6
2020-05-08,35,8,60.8
2020-05-09,24,0,59.5
2020-05-10,20,3,56.6
2020-05-11,34,0,63.3
2020-05-12,16,32,62.3
2020-05-13,41,0,60.4
2020-05-14,31,7,64.3
2020-05-15,43,14,66.8
2020-05-16,23,20,66.5
2020-05-17,32,6,70.3
2020-05-18,17,12,64.9
2020-05-19,21,14,66.5
2020-05-20,13,11,57.6
2020-05-21,32,22,57.8
2020-05-22,34,4,55.0
2020-05-23,25,9,55.6
2020-05-24,19,0,51.5
2020-05-25,22,3,53.1
2020-05-26,25,2,54.4
2020-05-27,36,8,61.7
2020-05-28,29,11,60.8
2020-05-29,24,13,57.5
2020-05-30,9,7,52.4
2020-05-31,23,1,53.7
2020-06-01,31,0,56.6
2020-06-02,24,14,56.3
2020-06-03,36,16,56.3
2020-06-04,17,30,52.4
2020-06-05,10,7,48.0
2020-06-06,8,25,47.7
2020-06-07,13,1,44.4
2020-06-08,17,0,40.0
2020-06-09,16,8,37.4
2020-06-10,8,2,28.4
2020-06-11,13,2,27.2
2020-06-12,15,11,28.8
2020-06-13,9,4,29.1
2020-06-14,6,1,26.9
2020-06-15,5,0,23.0
2020-06-16,5,0,19.5
2020-06-17,11,5,20.5
2020-06-18,6,0,18.2
2020-06-19,13,4,17.6
2020-06-20,8,1,17.2
2020-06-21,6,2,17.2
2020-06-22,21,0,22.3
2020-06-23,18,2,26.5
2020-06-24,8,2,25.6
2020-06-25,6,11,25.6
2020-06-26,7,11,23.6
2020-06-27,3,5,22.1
2020-06-28,2,1,20.8
2020-06-29,7,0,16.4
2020-06-30,7,0,12.8
2020-07-01,8,994,12.7
2020-07-02,6,6,12.8
2020-07-03,5,6,12.2
2020-07-04,3,4,12.1
2020-07-05,4,7,12.8
2020-07-06,5,2,12.1
2020-07-07,5,3,11.5
2020-07-08,3,3,10.0
2020-07-09,2,11,8.6
2020-07-10,0,4,7.0
2020-07-11,2,1,6.7
2020-07-12,7,1,7.7
2020-07-13,5,6,7.7
2020-07-14,4,0,7.4
2020-07-15,4,7,7.6
2020-07-16,3,2,8.0
2020-07-17,1,6,8.3
2020-07-18,0,4,7.7
2020-07-19,0,0,5.4
2020-07-20,1,1,4.1
2020-07-21,1,0,3.2
2020-07-22,1,1,2.3
2020-07-23,2,1,1.9
2020-07-24,4,1,2.9
2020-07-25,1,1,3.2
2020-07-26,0,4,3.2
2020-07-27,0,1,2.9
2020-07-28,1,1,2.8
2020-07-29,1,1,2.8
2020-07-30,1,2,2.6
2020-07-31,3,1,2.2
2020-08-01,1,0,2.2
2020-08-02,1,2,2.6
2020-08-03,0,2,2.6
2020-08-04,2,1,2.9
2020-08-05,5,0,4.2
2020-08-06,4,4,5.1
2020-08-07,2,3,4.8
2020-08-08,1,0,4.8
2020-08-09,1,3,4.8
2020-08-10,3,3,5.7
2020-08-11,0,2,5.1
2020-08-12,2,3,4.2
2020-08-13,0,0,2.9
2020-08-14,2,3,2.9
2020-08-15,3,1,3.6
2020-08-16,0,0,3.2
2020-08-17,1,1,2.6
2020-08-18,2,3,3.2
2020-08-19,1,1,2.8
2020-08-20,1,0,3.2
2020-08-21,4,3,3.8
2020-08-22,0,1,2.8
2020-08-23,3,3,3.8
2020-08-24,1,2,3.8
2020-08-25,1,0,3.5
2020-08-26,3,2,4.2
2020-08-27,0,3,3.8
2020-08-28,4,0,3.9
2020-08-29,0,1,3.9
2020-08-30,1,3,3.2
2020-08-31,2,2,3.5
2020-09-01,2,0,3.9
2020-09-02,11,5,6.4
2020-09-03,10,0,9.6
2020-09-04,4,2,9.6
2020-09-05,7,2,11.8
2020-09-06,1,6,11.8
2020-09-07,20,10,17.6
2020-09-08,9,6,19.8
2020-09-09,8,5,18.9
2020-09-10,13,11,19.8
2020-09-11,6,8,20.4
2020-09-12,10,6,21.4
2020-09-13,9,15,24.0
2020-09-14,18,9,23.4
2020-09-15,31,13,30.4
2020-09-16,30,17,37.4
2020-09-17,25,9,41.3
2020-09-18,14,18,43.8
2020-09-19,13,21,44.8
