date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,2,0,0.6
2020-03-10,1,0,0.9
2020-03-11,0,0,0.9
2020-03-12,4,0,2.2
2020-03-13,1,0,2.5
2020-03-14,2,0,3.1
2020-03-15,4,0,4.4
2020-03-16,3,0,4.7
2020-03-17,2,0,5.0
2020-03-18,6,0,6.9
2020-03-19,9,0,8.4
2020-03-20,12,0,11.8
2020-03-21,6,0,13.0
2020-03-22,9,0,14.5
2020-03-23,17,0,18.9
2020-03-24,13,0,22.3
2020-03-25,16,0,25.4
2020-03-26,24,0,30.0
2020-03-27,14,0,30.7
2020-03-28,16,0,33.9
2020-03-29,24,0,38.5
2020-03-30,28,0,41.9
2020-03-31,22,0,44.7
2020-04-01,18,0,45.3
2020-04-02,30,0,47.2
2020-04-03,16,0,47.8
2020-04-04,27,0,51.1
2020-04-05,21,0,50.3
2020-04-06,25,0,49.3
2020-04-07,15,0,47.2
2020-04-08,14,0,45.9
2020-04-09,11,0,40.0
2020-04-10,27,0,43.4
2020-04-11,19,0,41.0
2020-04-12,9,0,37.2
2020-04-13,15,0,34.1
2020-04-14,7,0,31.6
2020-04-15,25,0,35.1
2020-04-16,44,0,45.3
2020-04-17,26,28,45.0
2020-04-18,49,17,54.3
2020-04-19,11,29,54.9
2020-04-20,16,22,55.2
2020-04-21,19,21,58.9
2020-04-22,20,10,57.3
2020-04-23,28,26,52.4
2020-04-24,28,10,53.0
2020-04-25,29,8,46.8
2020-04-26,13,24,47.4
2020-04-27,10,6,45.6
2020-04-28,19,26,45.6
2020-04-29,30,3,48.7
2020-04-30,26,14,48.1
2020-05-01,39,20,51.5
2020-05-02,28,20,51.2
2020-05-03,15,11,51.9
2020-05-04,11,40,52.2
2020-05-05,11,18,49.7
2020-05-06,12,12,44.1
2020-05-07,15,7,40.7
2020-05-08,13,5,32.6
2020-05-09,6,2,25.7
2020-05-10,9,3,23.8
2020-05-11,8,4,22.9
2020-05-12,19,5,25.4
2020-05-13,4,3,23.0
2020-05-14,18,5,23.8
2020-05-15,10,2,22.9
2020-05-16,8,4,23.6
2020-05-17,20,5,27.0
2020-05-18,14,7,28.9
2020-05-19,8,8,25.5
2020-05-20,4,4,25.4
2020-05-21,12,9,23.6
2020-05-22,3,8,21.4
2020-05-23,5,0,20.5
2020-05-24,5,1,15.8
2020-05-25,7,1,13.6
2020-05-26,6,3,13.0
2020-05-27,5,0,13.3
2020-05-28,3,4,10.6
2020-05-29,13,3,13.7
2020-05-30,2,0,12.7
2020-05-31,0,0,11.2
2020-06-01,5,0,10.6
2020-06-02,3,2,9.6
2020-06-03,3,1,9.0
2020-06-04,5,0,9.6
2020-06-05,7,1,7.7
2020-06-06,16,2,12.1
2020-06-07,1,1,12.4
2020-06-08,1,0,11.1
2020-06-09,2,3,10.9
2020-06-10,1,0,10.3
2020-06-11,2,0,9.3
2020-06-12,2,0,7.8
2020-06-13,0,0,2.8
2020-06-14,5,0,4.1
2020-06-15,1,0,4.1
2020-06-16,3,1,4.3
2020-06-17,2,2,4.6
2020-06-18,3,0,4.9
2020-06-19,0,4,4.3
2020-06-20,1,0,4.7
2020-06-21,3,0,4.0
2020-06-22,1,0,4.0
2020-06-23,1,1,3.4
2020-06-24,1,0,3.1
2020-06-25,2,0,2.8
2020-06-26,3,0,3.8
2020-06-27,1,0,3.7
2020-06-28,0,2,2.8
2020-06-29,1,0,2.8
2020-06-30,1,0,2.8
2020-07-01,1,395,2.8
2020-07-02,1,1,2.5
2020-07-03,4,1,2.8
2020-07-04,0,2,2.5
2020-07-05,2,4,3.1
2020-07-06,0,0,2.8
2020-07-07,1,0,2.8
2020-07-08,0,1,2.5
2020-07-09,1,1,2.5
2020-07-10,2,0,1.8
2020-07-11,2,3,2.4
2020-07-12,1,0,2.2
2020-07-13,1,2,2.5
2020-07-14,0,1,2.2
2020-07-15,2,0,2.8
2020-07-16,0,0,2.5
2020-07-17,0,1,1.9
2020-07-18,0,1,1.3
2020-07-19,1,1,1.2
2020-07-20,1,0,1.2
2020-07-21,2,1,1.8
2020-07-22,1,0,1.5
2020-07-23,3,0,2.5
2020-07-24,3,0,3.4
2020-07-25,0,5,3.4
2020-07-26,7,4,5.3
2020-07-27,1,1,5.3
2020-07-28,3,8,5.6
2020-07-29,4,0,6.5
2020-07-30,1,3,5.9
2020-07-31,0,0,5.0
2020-08-01,0,1,5.0
2020-08-02,2,1,3.4
2020-08-03,0,4,3.1
2020-08-04,0,1,2.2
2020-08-05,0,2,1.0
2020-08-06,3,0,1.5
2020-08-07,13,0,5.5
2020-08-08,0,2,5.5
2020-08-09,3,4,5.9
2020-08-10,2,8,6.5
2020-08-11,1,1,6.8
2020-08-12,1,4,7.1
2020-08-13,5,0,7.8
2020-08-14,5,2,5.3
2020-08-15,4,4,6.6
2020-08-16,0,2,5.6
2020-08-17,3,2,5.9
2020-08-18,3,7,6.5
2020-08-19,3,2,7.2
2020-08-20,4,3,6.8
2020-08-21,3,2,6.2
2020-08-22,5,2,6.5
2020-08-23,3,4,7.4
2020-08-24,3,3,7.4
2020-08-25,6,4,8.4
2020-08-26,1,4,7.7
2020-08-27,4,6,7.7
2020-08-28,7,1,9.0
2020-08-29,5,3,9.0
2020-08-30,9,7,10.9
2020-08-31,4,3,11.2
2020-09-01,12,10,13.0
2020-09-02,8,9,15.2
2020-09-03,15,5,18.7
2020-09-04,11,7,19.9
2020-09-05,12,4,22.0
2020-09-06,15,12,23.8
2020-09-07,16,14,27.6
2020-09-08,17,11,29.2
2020-09-09,13,13,30.7
2020-09-10,20,15,32.2
2020-09-11,7,19,31.0
2020-09-12,12,17,31.0
2020-09-13,10,17,29.5
2020-09-14,16,14,29.5
2020-09-15,12,7,27.9
2020-09-16,13,17,27.9
2020-09-17,25,11,29.5
2020-09-18,28,13,36.0
2020-09-19,17,9,37.5
2020-09-20,25,26,42.2
2020-09-21,27,12,45.6
2020-09-22,19,34,47.8
2020-09-23,30,30,53.1
2020-09-24,28,17,54.0
2020-09-25,34,24,55.8
2020-09-26,21,29,57.1
2020-09-27,22,28,56.2
2020-09-28,35,12,58.6
2020-09-29,29,23,61.7
2020-09-30,42,23,65.4
2020-10-01,30,30,66.0
2020-10-02,33,11,65.8
2020-10-03,38,39,71.1
2020-10-04,24,84,71.6
2020-10-05,47,32,75.4
2020-10-06,37,37,77.9
2020-10-07,40,44,77.3
2020-10-08,55,54,85.0
2020-10-09,52,32,90.9
2020-10-10,32,41,89.0
2020-10-11,45,38,95.6
2020-10-12,70,39,102.7
2020-10-13,64,44,111.0
2020-10-14,75,89,121.9
2020-10-15,69,65,126.3
2020-10-16,82,64,135.5
2020-10-17,73,53,148.3
2020-10-18,51,67,150.1
2020-10-19,107,55,161.6
2020-10-20,129,101,181.8
2020-10-21,123,144,196.7
2020-10-22,121,81,212.8
2020-10-23,128,127,227.1
2020-10-24,90,112,232.3
2020-10-25,99,52,247.2
2020-10-26,177,140,268.9
2020-10-27,167,137,280.7
2020-10-28,191,177,301.8
2020-10-29,199,169,326.0
2020-10-30,174,170,340.3
2020-10-31,147,122,358.0
2020-11-01,108,267,360.8
2020-11-02,305,122,400.5
2020-11-03,242,150,423.8
2020-11-04,218,236,432.1
2020-11-05,229,187,441.5
2020-11-06,208,268,452.0
2020-11-07,197,168,467.5
2020-11-08,218,192,501.6
2020-11-09,333,222,510.3
2020-11-10,275,279,520.5
2020-11-11,278,142,539.2
2020-11-12,258,419,548.1
2020-11-13,274,247,568.6
2020-11-14,220,272,575.7
2020-11-15,159,258,557.5
2020-11-16,269,296,537.6
2020-11-17,236,195,525.5
2020-11-18,216,114,506.2
2020-11-19,193,250,486.1
2020-11-20,163,242,451.7
2020-11-21,128,281,423.2
2020-11-22,121,133,411.3
2020-11-23,180,209,383.7
2020-11-24,159,71,359.9
2020-11-25,154,206,340.6
2020-11-26,148,177,326.6
2020-11-27,133,135,317.3
2020-11-28,87,118,304.6
2020-11-29,69,106,288.5
2020-11-30,115,162,268.4
2020-12-01,98,115,249.4
2020-12-02,103,79,233.6
2020-12-03,85,76,214.1
2020-12-04,101,111,204.1
2020-12-05,63,91,196.7
2020-12-06,81,108,200.4
2020-12-07,89,95,192.3
2020-12-08,99,50,192.6
2020-12-09,108,82,194.2
2020-12-10,108,102,201.3
2020-12-11,104,116,202.3
2020-12-12,71,77,204.7
2020-12-13,71,109,201.6
2020-12-14,119,79,210.9
2020-12-15,138,69,223.0
2020-12-16,107,108,222.7
2020-12-17,139,68,232.4
2020-12-18,112,113,234.8
2020-12-19,113,64,247.9
2020-12-20,112,199,260.6
2020-12-21,193,111,283.6
2020-12-22,156,125,289.2
2020-12-23,166,230,307.5
2020-12-24,124,111,302.7
2020-12-25,62,167,287.3
2020-12-26,166,136,303.7
2020-12-27,195,68,329.4
2020-12-28,172,119,322.9
2020-12-29,367,278,388.3
2020-12-30,421,194,467.4
2020-12-31,276,314,514.7
2021-01-01,214,161,561.7
2021-01-02,377,455,627.2
2021-01-03,288,233,656.1
2021-01-04,437,423,738.3
2021-01-05,374,309,740.5
2021-01-06,291,371,700.2
2021-01-07,295,316,706.0
2021-01-08,250,306,717.3
2021-01-09,263,298,681.8
2021-01-10,239,231,666.7
2021-01-11,373,341,646.8
2021-01-12,330,315,633.2
2021-01-13,348,280,650.8
2021-01-14,300,278,652.4
2021-01-15,306,513,669.7
2021-01-16,252,301,666.4
2021-01-17,248,242,669.1
2021-01-18,422,313,684.3
2021-01-19,321,279,681.5
2021-01-20,262,323,654.9
2021-01-21,238,357,635.6
2021-01-22,234,278,613.3
2021-01-23,171,245,588.1
2021-01-24,85,229,537.6
2021-01-25,243,164,482.1
2021-01-26,265,91,464.7
2021-01-27,181,250,439.5
2021-01-28,199,261,427.5
2021-01-29,205,210,418.4
2021-01-30,120,207,402.7
2021-01-31,103,196,408.2
2021-02-01,167,104,384.6
2021-02-02,123,114,340.6
2021-02-03,129,162,324.5
2021-02-04,106,125,295.6
2021-02-05,91,102,260.3
2021-02-06,77,113,246.9
2021-02-07,75,105,238.3
2021-02-08,104,113,218.7
2021-02-09,93,59,209.4
2021-02-10,105,92,201.9
2021-02-11,84,99,195.1
2021-02-12,91,99,195.1
2021-02-13,64,99,191.1
2021-02-14,65,94,188.0
2021-02-15,114,52,191.1
2021-02-16,82,76,187.7
2021-02-17,94,112,184.3
2021-02-18,71,69,180.2
2021-02-19,65,90,172.2
2021-02-20,53,68,168.7
2021-02-21,65,61,168.7
2021-02-22,82,74,158.8
2021-02-23,54,58,150.1
2021-02-24,45,68,135.0
2021-02-25,59,70,131.3
2021-02-26,53,47,127.5
2021-02-27,30,64,120.4
2021-02-28,37,53,111.7
2021-03-01,42,33,99.3
2021-03-02,53,38,99.0
2021-03-03,35,35,95.8
2021-03-04,21,59,84.0
2021-03-05,25,43,75.4
2021-03-06,18,21,71.7
2021-03-07,27,26,68.5
2021-03-08,33,18,65.8
2021-03-09,21,29,55.8
2021-03-10,23,26,52.1
2021-03-11,15,32,50.3
2021-03-12,27,18,50.9
2021-03-13,15,23,49.9
2021-03-14,28,14,50.3
2021-03-15,47,27,54.6
2021-03-16,53,37,64.5
2021-03-17,37,53,68.9
2021-03-18,39,55,76.3
2021-03-19,32,31,77.8
2021-03-20,26,34,81.3
2021-03-21,33,30,82.8
2021-03-22,43,35,81.6
2021-03-23,41,35,77.9
2021-03-24,47,45,81.0
2021-03-25,31,51,78.5
2021-03-26,31,33,78.2
2021-03-27,21,31,76.6
2021-03-28,42,32,79.4
2021-03-29,30,37,75.3
2021-03-30,20,31,68.8
2021-03-31,24,26,61.7
2021-04-01,16,23,57.1
2021-04-02,11,22,50.9
2021-04-03,11,16,47.8
2021-04-04,18,10,40.4
2021-04-05,15,16,35.7
2021-04-06,18,15,35.1
2021-04-07,10,11,30.7
2021-04-08,13,22,29.7
2021-04-09,9,0,29.1
2021-04-10,4,11,27.0
2021-04-11,11,5,24.8
2021-04-12,18,15,25.8
2021-04-13,14,11,24.5
2021-04-14,10,13,24.5
2021-04-15,14,16,24.8
2021-04-16,9,14,24.8
2021-04-17,8,8,26.0
2021-04-18,16,9,27.6
2021-04-19,4,19,23.2
2021-04-20,5,9,20.5
2021-04-21,11,3,20.8
2021-04-22,9,9,19.3
2021-04-23,7,11,18.7
2021-04-24,6,9,18.0
2021-04-25,8,4,15.5
2021-04-26,8,5,16.8
2021-04-27,12,17,18.9
2021-04-28,9,6,18.3
2021-04-29,3,14,16.4
2021-04-30,5,7,15.8
2021-05-01,4,5,15.2
2021-05-02,6,5,14.6
2021-05-03,11,8,15.5
2021-05-04,10,11,14.9
2021-05-05,13,12,16.1
2021-05-06,4,13,16.5
2021-05-07,10,6,18.0
2021-05-08,8,10,19.2
2021-05-09,9,5,20.1
2021-05-10,17,11,22.0
2021-05-11,12,15,22.6
2021-05-12,11,12,22.0
2021-05-13,14,13,25.1
2021-05-14,5,17,23.5
2021-05-15,7,11,23.3
2021-05-16,7,7,22.7
2021-05-17,9,9,20.2
2021-05-18,12,0,20.2
2021-05-19,10,1,19.9
2021-05-20,10,22,18.6
2021-05-21,8,6,19.6
2021-05-22,5,8,18.9
2021-05-23,9,8,19.5
2021-05-24,12,8,20.4
2021-05-25,14,9,21.1
2021-05-26,14,18,22.3
2021-05-27,9,5,22.0
2021-05-28,10,12,22.6
2021-05-29,15,12,25.8
2021-05-30,10,7,26.1
2021-05-31,10,17,25.5
2021-06-01,14,13,25.4
2021-06-02,9,12,23.9
2021-06-03,11,11,24.5
2021-06-04,11,7,24.8
2021-06-05,16,9,25.1
2021-06-06,18,8,27.6
2021-06-07,30,20,33.8
2021-06-08,22,23,36.3
2021-06-09,18,24,39.1
2021-06-10,26,22,43.8
2021-06-11,24,23,47.8
2021-06-12,11,24,46.2
2021-06-13,23,14,47.8
2021-06-14,12,18,42.2
2021-06-15,24,18,42.8
2021-06-16,20,13,43.4
2021-06-17,27,28,43.7
2021-06-18,27,28,44.7
2021-06-19,22,23,48.1
2021-06-20,24,25,48.4
2021-06-21,51,20,60.5
2021-06-22,58,35,71.1
2021-06-23,54,42,81.6
2021-06-24,55,55,90.3
2021-06-25,44,37,95.5
2021-06-26,61,68,107.7
2021-06-27,80,46,125.0
2021-06-28,104,76,141.4
2021-06-29,118,90,160.0
2021-06-30,80,97,168.2
2021-07-01,82,100,176.5
2021-07-02,82,81,188.3
2021-07-03,94,76,198.5
2021-07-04,96,94,203.5
2021-07-05,124,97,209.7
2021-07-06,134,99,214.7
2021-07-07,149,105,236.0
2021-07-08,152,132,257.8
2021-07-09,141,139,276.1
2021-07-10,127,146,286.3
2021-07-11,150,139,303.0
2021-07-12,246,147,341.0
2021-07-13,233,175,371.6
2021-07-14,265,150,407.6
2021-07-15,400,313,484.5
2021-07-16,329,297,542.9
2021-07-17,211,337,568.9
2021-07-18,233,263,594.7
2021-07-19,268,230,601.5
2021-07-20,185,240,586.6
2021-07-21,202,259,567.1
2021-07-22,188,198,501.3
2021-07-23,141,237,443.0
2021-07-24,104,214,409.8
2021-07-25,140,134,381.0
2021-07-26,145,129,342.7
2021-07-27,107,139,318.6
2021-07-28,178,129,311.1
2021-07-29,114,147,288.2
2021-07-30,112,153,279.1
2021-07-31,115,137,282.6
2021-08-01,107,85,272.3
2021-08-02,173,123,281.1
2021-08-03,145,97,292.9
2021-08-04,165,186,288.8
2021-08-05,132,148,294.4
2021-08-06,124,142,298.2
2021-08-07,102,113,294.1
2021-08-08,120,158,298.1
2021-08-09,163,127,295.0
2021-08-10,172,108,303.3
2021-08-11,158,169,301.3
2021-08-12,140,143,303.7
2021-08-13,131,168,305.8
2021-08-14,128,142,313.9
2021-08-15,116,118,312.7
2021-08-16,184,139,319.2
2021-08-17,157,159,314.6
2021-08-18,147,161,311.1
2021-08-19,25,174,275.5
2021-08-20,0,125,275.5
2020-03-07,1,0,-10987.9
2020-03-08,0,0,-11023.9
2020-03-09,2,0,-11080.4
2020-03-10,1,0,-11128.8
2020-03-11,0,0,-11174.4
2020-03-12,4,0,-11180.9
2020-03-13,1,0,2.8
2020-03-14,2,0,3.1
2020-03-15,4,0,4.4
2020-03-16,3,0,4.7
2020-03-17,2,0,5.0
2020-03-18,6,0,6.9
2020-03-19,9,0,8.4
2020-03-20,12,0,11.8
2020-03-21,6,0,13.0
2020-03-22,9,0,14.5
2020-03-23,17,0,18.9
2020-03-24,13,0,22.3
2020-03-25,16,0,25.4
2020-03-26,24,0,30.0
2020-03-27,14,0,30.7
2020-03-28,16,0,33.9
2020-03-29,24,0,38.5
2020-03-30,28,0,41.9
2020-03-31,22,0,44.7
2020-04-01,18,0,45.3
2020-04-02,30,0,47.2
2020-04-03,16,0,47.8
2020-04-04,27,0,51.1
2020-04-05,21,0,50.3
2020-04-06,25,0,49.3
2020-04-07,15,0,47.2
2020-04-08,14,0,45.9
2020-04-09,11,0,40.0
2020-04-10,27,0,43.4
2020-04-11,19,0,41.0
2020-04-12,9,0,37.2
2020-04-13,15,0,34.1
2020-04-14,7,0,31.6
2020-04-15,25,0,35.1
2020-04-16,44,0,45.3
2020-04-17,26,0,45.0
2020-04-18,49,0,54.3
2020-04-19,11,0,54.9
2020-04-20,16,0,55.2
2020-04-21,19,0,58.9
2020-04-22,20,10,57.3
2020-04-23,28,26,52.4
2020-04-24,28,10,53.0
2020-04-25,29,8,46.8
2020-04-26,13,24,47.4
2020-04-27,10,6,45.6
2020-04-28,19,26,45.6
2020-04-29,30,3,48.7
2020-04-30,26,14,48.1
2020-05-01,39,20,51.5
2020-05-02,28,20,51.2
2020-05-03,15,11,51.9
2020-05-04,11,40,52.2
2020-05-05,11,18,49.7
2020-05-06,12,12,44.1
2020-05-07,15,7,40.7
2020-05-08,13,5,32.6
2020-05-09,6,2,25.7
2020-05-10,9,3,23.8
2020-05-11,8,4,22.9
2020-05-12,19,5,25.4
2020-05-13,4,3,23.0
2020-05-14,18,5,23.8
2020-05-15,10,2,22.9
2020-05-16,8,4,23.6
2020-05-17,20,5,27.0
2020-05-18,14,7,28.9
2020-05-19,8,8,25.5
2020-05-20,4,4,25.4
2020-05-21,12,9,23.6
2020-05-22,3,8,21.4
2020-05-23,5,0,20.5
2020-05-24,5,1,15.8
2020-05-25,7,1,13.6
2020-05-26,6,3,13.0
2020-05-27,5,0,13.3
2020-05-28,3,4,10.6
2020-05-29,13,3,13.7
2020-05-30,2,0,12.7
2020-05-31,0,0,11.2
2020-06-01,5,0,10.6
2020-06-02,3,2,9.6
2020-06-03,3,1,9.0
2020-06-04,5,0,9.6
2020-06-05,7,1,7.7
2020-06-06,16,2,12.1
2020-06-07,1,1,12.4
2020-06-08,1,0,11.1
2020-06-09,2,3,10.9
2020-06-10,1,0,10.3
2020-06-11,2,0,9.3
2020-06-12,2,0,7.8
2020-06-13,0,0,2.8
2020-06-14,5,0,4.1
2020-06-15,1,0,4.1
2020-06-16,3,1,4.3
2020-06-17,2,2,4.6
2020-06-18,3,0,4.9
2020-06-19,0,4,4.3
2020-06-20,1,0,4.7
2020-06-21,3,0,4.0
2020-06-22,1,0,4.0
2020-06-23,1,1,3.4
2020-06-24,1,0,3.1
2020-06-25,2,0,2.8
2020-06-26,3,0,3.8
2020-06-27,1,0,3.7
2020-06-28,0,2,2.8
2020-06-29,1,0,2.8
2020-06-30,1,0,2.8
2020-07-01,1,395,2.8
2020-07-02,1,1,2.5
2020-07-03,4,1,2.8
2020-07-04,0,2,2.5
2020-07-05,2,4,3.1
2020-07-06,0,0,2.8
2020-07-07,1,0,2.8
2020-07-08,0,1,2.5
2020-07-09,1,1,2.5
2020-07-10,2,0,1.8
2020-07-11,2,3,2.4
2020-07-12,1,0,2.2
2020-07-13,1,2,2.5
2020-07-14,0,1,2.2
2020-07-15,2,0,2.8
2020-07-16,0,0,2.5
2020-07-17,0,1,1.9
2020-07-18,0,1,1.3
2020-07-19,1,1,1.2
2020-07-20,1,0,1.2
2020-07-21,2,1,1.8
2020-07-22,1,0,1.5
2020-07-23,3,0,2.5
2020-07-24,3,0,3.4
2020-07-25,0,5,3.4
2020-07-26,7,4,5.3
2020-07-27,1,1,5.3
2020-07-28,3,8,5.6
2020-07-29,4,0,6.5
2020-07-30,1,3,5.9
2020-07-31,0,0,5.0
2020-08-01,0,1,5.0
2020-08-02,2,1,3.4
2020-08-03,0,4,3.1
2020-08-04,0,1,2.2
2020-08-05,0,2,1.0
2020-08-06,3,0,1.5
2020-08-07,13,0,5.5
2020-08-08,0,2,5.5
2020-08-09,3,4,5.9
2020-08-10,2,8,6.5
2020-08-11,1,1,6.8
2020-08-12,1,4,7.1
2020-08-13,5,0,7.8
2020-08-14,5,2,5.3
2020-08-15,4,4,6.6
2020-08-16,0,2,5.6
2020-08-17,3,2,5.9
2020-08-18,3,7,6.5
2020-08-19,3,2,7.2
2020-08-20,4,3,6.8
2020-08-21,3,2,6.2
2020-08-22,5,2,6.5
2020-08-23,3,4,7.4
2020-08-24,3,3,7.4
2020-08-25,6,4,8.4
2020-08-26,1,4,7.7
2020-08-27,4,6,7.7
2020-08-28,7,1,9.0
2020-08-29,5,3,9.0
2020-08-30,9,7,10.9
2020-08-31,4,3,11.2
2020-09-01,12,10,13.0
2020-09-02,8,9,15.2
2020-09-03,15,5,18.7
2020-09-04,11,7,19.9
2020-09-05,12,4,22.0
2020-09-06,15,12,23.8
2020-09-07,16,14,27.6
2020-09-08,17,11,29.2
2020-09-09,13,13,30.7
2020-09-10,20,15,32.2
2020-09-11,7,19,31.0
2020-09-12,12,17,31.0
2020-09-13,10,17,29.5
2020-09-14,16,14,29.5
2020-09-15,12,7,27.9
2020-09-16,13,17,27.9
2020-09-17,25,11,29.5
2020-09-18,28,13,36.0
2020-09-19,17,9,37.5
2020-09-20,25,26,42.2
2020-09-21,27,12,45.6
2020-09-22,19,34,47.8
2020-09-23,30,30,53.1
2020-09-24,28,17,54.0
2020-09-25,34,24,55.8
