date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,3,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,6,0,4.0
2020-03-13,0,0,4.0
2020-03-14,1,0,4.7
2020-03-15,1,0,5.4
2020-03-16,1,0,6.1
2020-03-17,1,0,6.7
2020-03-18,2,0,8.1
2020-03-19,1,0,4.8
2020-03-20,6,0,8.8
2020-03-21,4,0,10.8
2020-03-22,3,0,12.1
2020-03-23,8,0,16.8
2020-03-24,10,0,22.9
2020-03-25,13,0,30.2
2020-03-26,12,0,37.6
2020-03-27,27,0,51.7
2020-03-28,6,0,53.1
2020-03-29,7,0,55.8
2020-03-30,21,0,64.5
2020-03-31,39,0,84.0
2020-04-01,28,0,94.1
2020-04-02,32,0,107.5
2020-04-03,45,0,119.6
2020-04-04,20,0,129.0
2020-04-05,9,0,130.3
2020-04-06,44,0,145.8
2020-04-07,24,0,135.7
2020-04-08,30,0,137.1
2020-04-09,27,0,133.7
2020-04-10,27,0,121.7
2020-04-11,7,0,112.9
2020-04-12,4,0,109.5
2020-04-13,32,0,101.4
2020-04-14,13,0,94.1
2020-04-15,23,0,89.3
2020-04-16,19,0,84.0
2020-04-17,17,0,77.2
2020-04-18,14,0,81.9
2020-04-19,2,0,80.7
2020-04-20,17,0,70.6
2020-04-21,31,0,82.6
2020-04-22,21,0,81.3
2020-04-23,12,0,76.6
2020-04-24,18,0,77.3
2020-04-25,1,0,68.6
2020-04-26,1,0,67.8
2020-04-27,23,0,71.9
2020-04-28,23,0,66.6
2020-04-29,17,0,63.9
2020-04-30,13,0,64.5
2020-05-01,8,0,57.8
2020-05-02,8,0,62.5
2020-05-03,3,0,63.9
2020-05-04,10,0,55.1
2020-05-05,13,0,48.3
2020-05-06,8,0,42.3
2020-05-07,7,0,38.3
2020-05-08,11,0,40.3
2020-05-09,5,0,38.3
2020-05-10,4,0,39.0
2020-05-11,8,0,37.6
2020-05-12,17,0,40.4
2020-05-13,9,0,41.0
2020-05-14,24,0,52.4
2020-05-15,1,0,45.7
2020-05-16,4,0,45.0
2020-05-17,1,0,43.0
2020-05-18,8,0,43.0
2020-05-19,5,0,34.9
2020-05-20,7,0,33.6
2020-05-21,4,0,20.2
2020-05-22,1,0,20.2
2020-05-23,1,0,18.1
2020-05-24,0,0,17.4
2020-05-25,5,0,15.5
2020-05-26,7,0,16.8
2020-05-27,1,0,12.8
2020-05-28,2,0,11.4
2020-05-29,1,0,11.4
2020-05-30,0,0,10.8
2020-05-31,0,0,10.8
2020-06-01,0,0,7.4
2020-06-02,0,0,2.7
2020-06-03,0,0,2.0
2020-06-04,2,0,2.0
