date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-01,1,0,0.0
2020-03-02,0,0,0.0
2020-03-03,2,0,1.3
2020-03-04,0,0,1.3
2020-03-05,0,0,1.3
2020-03-06,0,0,1.3
2020-03-07,0,0,1.3
2020-03-08,0,0,1.3
2020-03-09,0,0,1.3
2020-03-10,1,0,0.6
2020-03-11,2,0,2.0
2020-03-12,1,0,2.6
2020-03-13,0,0,2.6
2020-03-14,1,0,3.3
2020-03-15,0,0,3.3
2020-03-16,1,0,3.9
2020-03-17,0,0,3.3
2020-03-18,1,0,2.6
2020-03-19,3,0,4.0
2020-03-20,0,0,4.0
2020-03-21,2,0,4.6
2020-03-22,0,0,4.6
2020-03-23,3,0,6.0
2020-03-24,12,0,13.9
2020-03-25,5,0,16.5
2020-03-26,2,0,15.8
2020-03-27,9,0,21.7
2020-03-28,2,0,21.7
2020-03-29,5,0,25.0
2020-03-30,7,0,27.6
2020-03-31,3,0,21.7
2020-04-01,7,0,23.0
2020-04-02,11,0,29.0
2020-04-03,8,0,28.3
2020-04-04,3,0,29.0
2020-04-05,2,0,27.0
2020-04-06,8,0,27.7
2020-04-07,8,0,31.0
2020-04-08,10,0,33.0
2020-04-09,5,0,29.0
2020-04-10,11,0,31.0
2020-04-11,4,0,31.6
2020-04-12,5,0,33.6
2020-04-13,8,0,33.6
2020-04-14,9,0,34.2
2020-04-15,4,0,30.3
2020-04-16,4,0,29.6
2020-04-17,11,0,29.6
2020-04-18,8,0,32.3
2020-04-19,6,0,33.0
2020-04-20,9,0,33.6
2020-04-21,5,0,31.0
2020-04-22,9,4,34.2
2020-04-23,12,4,39.5
2020-04-24,8,2,37.6
2020-04-25,4,2,34.9
2020-04-26,5,2,34.2
2020-04-27,5,3,31.6
2020-04-28,14,6,37.5
2020-04-29,12,4,39.6
2020-04-30,7,3,36.3
2020-05-01,9,2,36.9
2020-05-02,3,4,36.3
2020-05-03,5,3,36.3
2020-05-04,5,7,36.3
2020-05-05,2,3,28.4
2020-05-06,5,7,23.7
2020-05-07,8,5,24.3
2020-05-08,4,5,21.1
2020-05-09,5,2,22.4
2020-05-10,1,2,19.7
2020-05-11,7,2,21.0
2020-05-12,12,1,27.6
2020-05-13,6,1,28.3
2020-05-14,2,0,24.4
2020-05-15,5,0,25.0
2020-05-16,0,2,21.7
2020-05-17,0,10,21.1
2020-05-18,2,1,17.8
2020-05-19,1,0,10.6
2020-05-20,10,0,13.2
2020-05-21,2,0,13.2
2020-05-22,1,5,10.6
2020-05-23,3,2,12.5
2020-05-24,0,0,12.5
2020-05-25,2,0,12.5
2020-05-26,2,1,13.2
2020-05-27,1,0,7.2
2020-05-28,0,0,5.9
2020-05-29,1,1,5.9
2020-05-30,0,0,4.0
2020-05-31,0,0,4.0
2020-06-01,2,0,4.0
2020-06-02,0,0,2.6
2020-06-03,2,0,3.3
2020-06-04,0,0,3.3
2020-06-05,4,1,5.3
2020-06-06,0,1,5.3
2020-06-07,0,0,5.3
2020-06-08,2,0,5.3
2020-06-09,1,0,5.9
2020-06-10,3,0,6.6
2020-06-11,0,0,6.6
2020-06-12,0,0,3.9
2020-06-13,1,0,4.6
2020-06-14,0,1,4.6
2020-06-15,0,0,3.3
2020-06-16,0,0,2.7
2020-06-17,0,0,0.7
2020-06-18,0,0,0.7
2020-06-19,0,1,0.7
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,1,0,0.6
2020-06-26,0,0,0.6
2020-06-27,0,0,0.6
2020-06-28,0,0,0.6
2020-06-29,0,0,0.6
2020-06-30,1,0,1.3
2020-07-01,0,137,1.3
2020-07-02,1,1,1.3
2020-07-03,1,0,2.0
2020-07-04,0,0,2.0
2020-07-05,0,0,2.0
2020-07-06,2,0,3.3
2020-07-07,0,0,2.6
2020-07-08,0,4,2.6
2020-07-09,0,0,2.0
2020-07-10,0,0,1.3
2020-07-11,0,0,1.3
2020-07-12,0,0,1.3
2020-07-13,1,0,0.7
2020-07-14,1,0,1.3
2020-07-15,0,0,1.3
2020-07-16,0,0,1.3
2020-07-17,1,1,2.0
2020-07-18,2,1,3.3
2020-07-19,0,1,3.3
2020-07-20,0,2,2.6
2020-07-21,0,0,2.0
2020-07-22,0,0,2.0
2020-07-23,1,0,2.7
2020-07-24,0,0,2.0
2020-07-25,0,0,0.7
2020-07-26,0,0,0.7
2020-07-27,0,1,0.7
2020-07-28,3,0,2.6
2020-07-29,0,0,2.6
2020-07-30,0,1,1.9
2020-07-31,0,1,1.9
2020-08-01,0,1,1.9
2020-08-02,0,0,1.9
2020-08-03,0,1,1.9
2020-08-04,1,1,0.7
2020-08-05,4,0,3.3
2020-08-06,1,0,4.0
2020-08-07,0,1,4.0
2020-08-08,0,1,4.0
2020-08-09,0,4,4.0
2020-08-10,2,0,5.3
2020-08-11,0,0,4.6
2020-08-12,1,0,2.7
2020-08-13,1,0,2.6
2020-08-14,1,3,3.3
2020-08-15,2,0,4.6
2020-08-16,0,2,4.6
2020-08-17,0,1,3.3
2020-08-18,2,1,4.6
2020-08-19,1,0,4.6
2020-08-20,3,0,6.0
2020-08-21,2,3,6.6
2020-08-22,0,3,5.3
2020-08-23,3,0,7.3
2020-08-24,5,2,10.6
2020-08-25,2,4,10.6
2020-08-26,5,2,13.2
2020-08-27,3,2,13.1
2020-08-28,3,5,13.8
2020-08-29,2,4,15.1
2020-08-30,0,5,13.1
2020-08-31,2,2,11.2
2020-09-01,0,0,9.9
2020-09-02,3,2,8.5
2020-09-03,4,0,9.3
2020-09-04,2,2,8.6
2020-09-05,4,2,9.9
2020-09-06,0,2,9.9
2020-09-07,0,2,8.5
2020-09-08,9,1,14.4
2020-09-09,1,1,13.2
2020-09-10,2,4,11.8
2020-09-11,1,2,11.2
2020-09-12,1,4,9.2
2020-09-13,1,2,9.9
2020-09-14,5,1,13.2
2020-09-15,5,2,10.6
2020-09-16,3,0,11.9
2020-09-17,2,1,11.9
2020-09-18,2,5,12.5
2020-09-19,4,5,14.5
2020-09-20,8,0,19.1
2020-09-21,5,1,19.1
2020-09-22,6,8,19.8
2020-09-23,3,10,19.7
2020-09-24,5,4,21.7
2020-09-25,7,3,25.0
2020-09-26,5,4,25.7
2020-09-27,9,3,26.4
2020-09-28,7,7,27.7
2020-09-29,17,7,34.9
2020-09-30,25,6,49.4
2020-10-01,14,12,55.4
2020-10-02,16,11,61.3
2020-10-03,16,13,68.5
2020-10-04,15,28,72.4
2020-10-05,21,14,81.7
2020-10-06,29,20,89.6
2020-10-07,15,22,83.1
2020-10-08,24,35,89.6
2020-10-09,21,20,92.9
2020-10-10,5,27,85.7
2020-10-11,7,6,80.4
2020-10-12,26,14,83.6
2020-10-13,17,23,75.7
2020-10-14,22,23,80.3
2020-10-15,20,32,77.7
2020-10-16,15,21,73.8
2020-10-17,10,13,77.1
2020-10-18,13,24,81.0
2020-10-19,26,31,81.1
2020-10-20,31,10,90.3
2020-10-21,27,33,93.6
2020-10-22,22,22,94.9
2020-10-23,25,25,101.4
2020-10-24,12,25,102.8
2020-10-25,19,19,106.8
2020-10-26,21,27,103.4
2020-10-27,26,22,100.1
2020-10-28,31,19,102.8
2020-10-29,20,25,101.4
2020-10-30,12,26,92.9
2020-10-31,19,19,97.5
2020-11-01,27,14,102.7
2020-11-02,33,17,110.7
2020-11-03,35,28,116.6
2020-11-04,31,34,116.6
2020-11-05,18,23,115.3
2020-11-06,31,23,127.9
2020-11-07,32,20,136.3
2020-11-08,36,22,142.4
2020-11-09,38,44,145.6
2020-11-10,37,27,147.0
2020-11-11,62,30,167.3
2020-11-12,37,55,179.9
2020-11-13,40,52,185.7
2020-11-14,37,20,189.1
2020-11-15,43,43,193.6
2020-11-16,43,0,197.0
2020-11-17,28,55,191.0
2020-11-18,42,32,177.9
2020-11-19,22,39,168.0
2020-11-20,15,10,151.6
2020-11-21,19,44,139.7
2020-11-22,17,31,122.6
2020-11-23,39,14,119.9
2020-11-24,26,20,118.6
2020-11-25,36,38,114.6
2020-11-26,24,35,115.9
2020-11-27,29,27,125.1
2020-11-28,24,21,128.5
2020-11-29,23,31,132.4
2020-11-30,56,28,143.6
2020-12-01,34,32,148.9
2020-12-02,37,35,149.6
2020-12-03,20,41,147.0
2020-12-04,28,35,146.3
2020-12-05,22,17,144.9
2020-12-06,35,45,152.9
2020-12-07,35,20,139.0
2020-12-08,50,26,149.6
2020-12-09,40,22,151.5
2020-12-10,42,51,166.0
2020-12-11,42,43,175.2
2020-12-12,47,35,191.7
2020-12-13,53,46,203.5
2020-12-14,90,55,239.8
2020-12-15,64,53,249.0
2020-12-16,86,79,279.3
2020-12-17,87,40,309.0
2020-12-18,102,76,348.6
2020-12-19,61,48,357.8
2020-12-20,125,111,405.2
2020-12-21,165,72,454.6
2020-12-22,148,121,509.9
2020-12-23,138,122,544.2
2020-12-24,134,167,575.1
2020-12-25,32,128,529.0
2020-12-26,140,131,581.0
2020-12-27,163,73,606.1
2020-12-28,120,109,576.5
2020-12-29,303,185,678.6
2020-12-30,199,154,718.8
2020-12-31,134,192,718.8
2021-01-01,85,198,753.7
2021-01-02,146,104,757.7
2021-01-03,131,144,736.6
2021-01-04,242,135,816.9
2021-01-05,147,169,714.2
2021-01-06,138,190,674.0
2021-01-07,111,147,658.8
2021-01-08,118,195,680.6
2021-01-09,82,144,638.4
2021-01-10,66,146,595.6
