date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,1,0,0.8
2020-03-10,0,0,0.8
2020-03-11,0,0,0.8
2020-03-12,3,0,3.3
2020-03-13,0,0,3.3
2020-03-14,0,0,3.3
2020-03-15,3,0,5.8
2020-03-16,2,0,6.7
2020-03-17,1,0,7.6
2020-03-18,2,0,9.2
2020-03-19,2,0,8.4
2020-03-20,1,0,9.2
2020-03-21,3,0,11.7
2020-03-22,4,0,12.6
2020-03-23,4,0,14.2
2020-03-24,4,0,16.7
2020-03-25,5,0,19.2
2020-03-26,5,0,21.7
2020-03-27,2,0,22.6
2020-03-28,5,0,24.2
2020-03-29,7,0,26.7
2020-03-30,8,0,30.1
2020-03-31,5,0,30.8
2020-04-01,5,0,30.9
2020-04-02,4,0,30.1
2020-04-03,9,0,35.9
2020-04-04,15,0,44.3
2020-04-05,2,0,40.1
2020-04-06,0,0,33.4
2020-04-07,14,0,41.0
2020-04-08,9,0,44.3
2020-04-09,3,0,43.4
2020-04-10,8,0,42.6
2020-04-11,7,0,35.9
2020-04-12,5,0,38.4
2020-04-13,5,0,42.6
2020-04-14,8,0,37.5
2020-04-15,12,0,40.1
2020-04-16,7,0,43.4
2020-04-17,9,0,44.2
2020-04-18,10,0,46.8
2020-04-19,11,0,51.8
2020-04-20,5,0,51.7
2020-04-21,14,0,56.8
2020-04-22,15,9,59.3
2020-04-23,15,11,66.0
2020-04-24,22,10,76.8
2020-04-25,9,6,76.0
2020-04-26,9,7,74.3
2020-04-27,9,4,77.7
2020-04-28,7,17,71.8
2020-04-29,10,5,67.6
2020-04-30,7,9,60.9
2020-05-01,21,3,60.2
2020-05-02,11,3,61.8
2020-05-03,6,2,59.3
2020-05-04,6,6,56.8
2020-05-05,7,3,56.8
2020-05-06,6,1,53.4
2020-05-07,5,7,51.8
2020-05-08,7,2,40.1
2020-05-09,1,4,31.7
2020-05-10,2,2,28.4
2020-05-11,4,1,26.7
2020-05-12,4,0,24.2
2020-05-13,0,0,19.2
2020-05-14,3,1,17.5
2020-05-15,3,3,14.1
2020-05-16,1,0,14.2
2020-05-17,3,1,15.0
2020-05-18,6,0,16.7
2020-05-19,4,1,16.7
2020-05-20,11,1,25.9
2020-05-21,5,1,27.6
2020-05-22,2,2,26.8
2020-05-23,6,1,30.9
2020-05-24,4,0,31.7
2020-05-25,3,2,29.2
2020-05-26,7,0,31.8
2020-05-27,3,3,25.1
2020-05-28,2,0,22.5
2020-05-29,4,2,24.2
2020-05-30,3,1,21.7
2020-05-31,3,1,20.9
2020-06-01,3,1,20.9
2020-06-02,2,1,16.7
2020-06-03,3,0,16.7
2020-06-04,2,0,16.7
2020-06-05,4,0,16.7
2020-06-06,0,0,14.2
2020-06-07,1,0,12.5
2020-06-08,4,0,13.4
2020-06-09,0,2,11.7
2020-06-10,7,0,15.0
2020-06-11,1,2,14.2
2020-06-12,0,0,10.8
2020-06-13,3,1,13.3
2020-06-14,2,2,14.2
2020-06-15,1,0,11.7
2020-06-16,4,0,15.0
2020-06-17,2,0,10.9
2020-06-18,3,4,12.6
2020-06-19,4,1,15.9
2020-06-20,1,2,14.2
2020-06-21,0,2,12.5
2020-06-22,2,0,13.3
