date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-05,1,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,1.0
2020-03-13,1,0,1.9
2020-03-14,0,0,1.9
2020-03-15,0,0,1.9
2020-03-16,0,0,1.9
2020-03-17,0,0,1.9
2020-03-18,1,0,2.9
2020-03-19,1,0,2.9
2020-03-20,0,0,2.0
2020-03-21,1,0,3.0
2020-03-22,1,0,4.0
2020-03-23,1,0,4.9
2020-03-24,3,0,7.9
2020-03-25,2,0,8.8
2020-03-26,0,0,7.8
2020-03-27,2,0,9.8
2020-03-28,2,0,10.8
2020-03-29,3,0,12.7
2020-03-30,5,0,16.7
2020-03-31,0,0,13.7
2020-04-01,2,0,13.7
2020-04-02,9,0,22.6
2020-04-03,6,0,26.4
2020-04-04,2,0,26.4
2020-04-05,6,0,29.4
2020-04-06,2,0,26.4
2020-04-07,4,0,30.4
2020-04-08,4,0,32.4
2020-04-09,4,0,27.4
2020-04-10,10,0,31.4
2020-04-11,4,0,33.3
2020-04-12,8,0,35.2
2020-04-13,3,0,36.3
2020-04-14,6,0,38.2
2020-04-15,2,0,36.2
2020-04-16,5,0,37.2
2020-04-17,3,0,30.4
2020-04-18,3,0,29.4
2020-04-19,6,0,27.5
2020-04-20,3,0,27.4
2020-04-21,5,0,26.4
2020-04-22,6,4,30.4
2020-04-23,1,3,26.5
2020-04-24,6,5,29.3
2020-04-25,1,3,27.4
2020-04-26,5,1,26.4
2020-04-27,10,2,33.3
2020-04-28,15,4,43.1
2020-04-29,11,2,48.0
2020-04-30,6,1,52.9
2020-05-01,15,4,61.8
2020-05-02,14,3,74.5
2020-05-03,10,3,79.4
2020-05-04,16,1,85.3
2020-05-05,7,7,77.4
2020-05-06,11,3,77.4
2020-05-07,15,2,86.2
2020-05-08,5,2,76.4
2020-05-09,10,8,72.5
2020-05-10,6,0,68.6
2020-05-11,6,0,58.7
2020-05-12,8,3,59.8
2020-05-13,17,5,65.6
2020-05-14,4,6,54.8
2020-05-15,7,3,56.8
2020-05-16,3,2,49.9
2020-05-17,2,0,46.0
2020-05-18,5,1,45.1
2020-05-19,5,0,42.1
2020-05-20,15,6,40.2
2020-05-21,16,2,52.0
2020-05-22,7,2,51.9
2020-05-23,0,1,49.0
2020-05-24,1,1,48.0
2020-05-25,0,0,43.1
2020-05-26,1,0,39.2
2020-05-27,0,5,24.5
2020-05-28,3,0,11.7
2020-05-29,5,0,9.8
2020-05-30,3,1,12.7
2020-05-31,1,0,12.7
2020-06-01,3,1,15.7
2020-06-02,0,2,14.7
2020-06-03,6,0,20.5
2020-06-04,1,1,18.6
2020-06-05,1,1,14.7
2020-06-06,0,0,11.8
2020-06-07,3,0,13.7
2020-06-08,3,0,13.7
2020-06-09,17,14,30.3
2020-06-10,0,0,24.5
2020-06-11,2,0,25.5
2020-06-12,0,0,24.5
2020-06-13,0,0,24.5
2020-06-14,0,0,21.6
2020-06-15,2,0,20.6
2020-06-16,3,1,6.9
2020-06-17,1,0,7.9
2020-06-18,1,0,6.9
2020-06-19,3,0,9.8
2020-06-20,4,0,13.7
2020-06-21,4,0,17.6
2020-06-22,4,0,19.5
2020-06-23,2,0,18.6
2020-06-24,2,2,19.6
2020-06-25,0,0,18.6
2020-06-26,1,1,16.6
2020-06-27,1,0,13.7
2020-06-28,0,0,9.8
2020-06-29,1,0,6.9
2020-06-30,0,12,4.9
2020-07-01,0,256,2.9
2020-07-02,2,1,4.9
2020-07-03,1,0,4.9
2020-07-04,1,2,4.9
2020-07-05,1,0,5.9
2020-07-06,2,2,6.9
2020-07-07,0,0,6.9
2020-07-08,0,2,6.9
2020-07-09,1,0,5.8
2020-07-10,1,1,5.9
2020-07-11,1,2,5.9
2020-07-12,1,0,5.9
2020-07-13,4,1,7.8
2020-07-14,1,1,8.8
2020-07-15,1,3,9.8
2020-07-16,0,1,8.9
2020-07-17,1,1,8.8
2020-07-18,1,0,8.8
2020-07-19,0,0,7.8
2020-07-20,1,2,4.9
2020-07-21,1,0,4.9
2020-07-22,1,0,4.9
2020-07-23,2,0,6.8
2020-07-24,4,2,9.8
2020-07-25,0,2,8.8
