date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,1,0,0.8
2020-02-22,0,0,0.8
2020-02-23,0,0,0.8
2020-02-24,0,0,0.8
2020-02-25,0,0,0.8
2020-02-26,0,0,0.8
2020-02-27,0,0,0.8
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,3,0,2.6
2020-03-12,0,0,2.6
2020-03-13,1,0,3.4
2020-03-14,2,0,5.1
2020-03-15,0,0,5.1
2020-03-16,0,0,5.1
2020-03-17,1,0,6.0
2020-03-18,3,0,5.9
2020-03-19,4,0,9.3
2020-03-20,3,0,11.1
2020-03-21,2,0,11.1
2020-03-22,2,0,12.8
2020-03-23,4,0,16.2
2020-03-24,5,0,19.5
2020-03-25,6,0,22.1
2020-03-26,6,0,23.8
2020-03-27,3,0,23.7
2020-03-28,4,0,25.4
2020-03-29,3,0,26.3
2020-03-30,6,0,27.9
2020-03-31,6,0,28.8
2020-04-01,5,0,28.0
2020-04-02,9,0,30.5
2020-04-03,3,0,30.6
2020-04-04,6,0,32.2
2020-04-05,5,0,33.9
2020-04-06,5,0,33.1
2020-04-07,6,0,33.1
2020-04-08,3,0,31.4
2020-04-09,10,0,32.2
2020-04-10,0,0,29.6
2020-04-11,3,0,27.2
2020-04-12,6,0,28.0
2020-04-13,8,0,30.6
2020-04-14,12,0,35.6
2020-04-15,9,0,40.7
2020-04-16,7,0,38.2
2020-04-17,8,0,45.0
2020-04-18,3,0,44.9
2020-04-19,3,0,42.4
2020-04-20,2,0,37.3
2020-04-21,3,0,29.7
2020-04-22,9,3,29.7
2020-04-23,9,2,31.4
2020-04-24,6,0,29.7
2020-04-25,8,6,34.0
2020-04-26,4,2,34.8
2020-04-27,7,3,39
2020-04-28,7,0,42.4
2020-04-29,14,0,46.6
2020-04-30,9,10,46.6
2020-05-01,4,6,44.9
2020-05-02,1,7,39.0
2020-05-03,2,1,37.3
2020-05-04,4,1,34.8
2020-05-05,5,1,33.1
2020-05-06,0,2,21.2
2020-05-07,3,2,16.2
2020-05-08,3,0,15.3
2020-05-09,1,1,15.3
2020-05-10,2,4,15.2
2020-05-11,2,0,13.5
2020-05-12,7,0,15.3
2020-05-13,5,2,19.5
2020-05-14,5,0,21.2
2020-05-15,4,1,22.1
2020-05-16,2,1,22.9
2020-05-17,0,1,21.3
2020-05-18,5,1,23.8
2020-05-19,2,1,19.5
2020-05-20,4,0,18.7
2020-05-21,4,0,17.8
2020-05-22,1,2,15.2
2020-05-23,0,1,13.5
2020-05-24,1,0,14.4
2020-05-25,0,1,10.2
2020-05-26,1,0,9.3
2020-05-27,2,0,7.6
2020-05-28,4,2,7.6
2020-05-29,4,0,10.2
2020-05-30,4,1,13.6
2020-05-31,0,3,12.7
2020-06-01,6,0,17.8
2020-06-02,1,0,17.8
2020-06-03,4,1,19.5
2020-06-04,4,0,19.5
2020-06-05,4,0,19.5
2020-06-06,2,1,17.8
2020-06-07,0,0,17.8
2020-06-08,1,0,13.6
2020-06-09,2,1,14.5
2020-06-10,0,0,11.1
2020-06-11,0,1,7.7
2020-06-12,1,0,5.1
2020-06-13,1,1,4.3
2020-06-14,0,0,4.3
2020-06-15,0,0,3.4
2020-06-16,1,0,2.5
2020-06-17,0,0,2.5
2020-06-18,0,0,2.5
2020-06-19,2,0,3.4
2020-06-20,3,0,5.0
