date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-08,1,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,1,0,0.7
2020-03-17,2,0,2.3
2020-03-18,0,0,2.3
2020-03-19,1,0,3.1
2020-03-20,1,0,3.8
2020-03-21,4,0,6.9
2020-03-22,4,0,10.0
2020-03-23,0,0,9.3
2020-03-24,2,0,9.3
2020-03-25,2,0,10.8
2020-03-26,4,0,13.1
2020-03-27,4,0,15.5
2020-03-28,7,0,17.9
2020-03-29,3,0,17.1
2020-03-30,6,0,21.7
2020-03-31,9,0,27.1
2020-04-01,6,0,30.2
2020-04-02,6,0,31.8
2020-04-03,4,0,31.8
2020-04-04,18,0,40.2
2020-04-05,0,0,37.9
2020-04-06,10,0,41.1
2020-04-07,10,0,41.8
2020-04-08,18,0,51.2
2020-04-09,7,0,51.9
2020-04-10,14,0,59.6
2020-04-11,11,0,54.2
2020-04-12,6,0,58.9
2020-04-13,13,0,61.2
2020-04-14,11,0,62.0
2020-04-15,11,0,56.5
2020-04-16,18,0,65.0
2020-04-17,12,0,63.5
2020-04-18,12,0,64.3
2020-04-19,17,0,72.8
2020-04-20,6,0,67.3
2020-04-21,13,0,68.9
2020-04-22,7,5,65.8
2020-04-23,14,12,62.8
2020-04-24,18,7,67.4
2020-04-25,21,11,74.4
2020-04-26,3,6,63.5
2020-04-27,14,3,69.7
2020-04-28,17,15,72.8
2020-04-29,11,6,75.9
2020-04-30,9,12,72.0
2020-05-01,21,14,74.3
2020-05-02,14,9,68.9
2020-05-03,10,2,74.3
2020-05-04,8,4,69.7
2020-05-05,6,12,61.2
2020-05-06,12,0,62.0
2020-05-07,8,9,61.2
2020-05-08,14,8,55.8
2020-05-09,2,4,46.4
2020-05-10,2,0,40.3
2020-05-11,7,0,39.5
2020-05-12,3,0,37.1
2020-05-13,8,1,34.0
2020-05-14,5,3,31.7
2020-05-15,4,1,24.0
2020-05-16,3,4,24.8
2020-05-17,2,2,24.8
2020-05-18,0,1,19.4
2020-05-19,3,2,19.4
2020-05-20,0,1,13.2
2020-05-21,0,0,9.3
2020-05-22,2,0,7.8
2020-05-23,0,0,5.5
2020-05-24,0,1,3.9
2020-05-25,2,1,5.4
2020-05-26,1,0,3.9
2020-05-27,0,1,3.9
2020-05-28,1,1,4.6
2020-05-29,0,0,3.0
2020-05-30,1,0,3.8
2020-05-31,1,1,4.6
2020-06-01,0,0,3.1
2020-06-02,1,0,3.1
2020-06-03,0,0,3.1
2020-06-04,0,0,2.4
2020-06-05,0,0,2.4
2020-06-06,0,0,1.6
2020-06-07,0,0,0.8
2020-06-08,0,0,0.8
2020-06-09,0,0,0.0
2020-06-10,1,0,0.7
2020-06-11,0,0,0.7
2020-06-12,0,0,0.7
2020-06-13,0,0,0.7
2020-06-14,1,0,1.5
2020-06-15,1,1,2.3
2020-06-16,0,0,2.3
2020-06-17,0,0,1.6
2020-06-18,1,0,2.4
2020-06-19,0,0,2.4
2020-06-20,0,0,2.4
2020-06-21,1,0,2.3
2020-06-22,0,0,1.5
2020-06-23,0,0,1.5
2020-06-24,0,0,1.5
2020-06-25,0,0,0.7
2020-06-26,0,0,0.7
2020-06-27,0,0,0.7
2020-06-28,0,0,0.0
2020-06-29,1,0,0.8
2020-06-30,1,2,1.6
2020-07-01,0,127,1.6
2020-07-02,0,0,1.6
2020-07-03,0,0,1.6
2020-07-04,0,1,1.6
2020-07-05,1,0,2.4
2020-07-06,0,0,1.6
2020-07-07,1,0,1.5
2020-07-08,0,0,1.5
2020-07-09,0,2,1.5
2020-07-10,0,0,1.5
2020-07-11,0,0,1.5
2020-07-12,0,0,0.7
2020-07-13,1,0,1.5
2020-07-14,0,0,0.8
