date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,1,0,0.9
2020-03-15,0,0,0.9
2020-03-16,2,0,2.8
2020-03-17,0,0,2.8
2020-03-18,0,0,2.8
2020-03-19,1,0,3.7
2020-03-20,1,0,4.7
2020-03-21,0,0,3.8
2020-03-22,1,0,4.7
2020-03-23,1,0,3.7
2020-03-24,2,0,5.6
2020-03-25,4,0,9.4
2020-03-26,8,0,15.9
2020-03-27,13,0,27.1
2020-03-28,2,0,29.0
2020-03-29,6,0,33.7
2020-03-30,1,0,33.7
2020-03-31,7,0,38.4
2020-04-01,11,0,44.8
2020-04-02,6,0,43.1
2020-04-03,11,0,41.1
2020-04-04,10,0,48.6
2020-04-05,6,0,48.6
2020-04-06,12,0,58.9
2020-04-07,19,0,70.1
2020-04-08,5,0,64.6
2020-04-09,4,0,62.6
2020-04-10,7,0,59.0
2020-04-11,6,0,55.2
2020-04-12,8,0,57.0
2020-04-13,6,0,51.5
2020-04-14,5,0,38.3
2020-04-15,14,0,46.7
2020-04-16,7,0,49.6
2020-04-17,10,0,52.3
2020-04-18,4,0,50.5
2020-04-19,6,0,48.7
2020-04-20,7,0,49.5
2020-04-21,7,0,51.5
2020-04-22,4,6,42.1
2020-04-23,6,4,41.1
2020-04-24,8,6,39.3
2020-04-25,2,3,37.4
2020-04-26,6,3,37.4
2020-04-27,5,1,35.5
2020-04-28,9,4,37.4
2020-04-29,9,1,42.1
2020-04-30,7,4,43
2020-05-01,9,1,43.9
2020-05-02,4,3,45.8
2020-05-03,4,2,43.9
2020-05-04,7,2,45.9
2020-05-05,5,4,42.0
2020-05-06,5,0,38.3
2020-05-07,8,5,39.3
2020-05-08,12,2,42.1
2020-05-09,3,2,41.1
2020-05-10,4,1,41.2
2020-05-11,16,1,49.5
2020-05-12,6,1,50.5
2020-05-13,17,0,61.7
2020-05-14,4,3,58.0
2020-05-15,9,6,55.2
2020-05-16,1,2,53.3
2020-05-17,2,2,51.4
2020-05-18,6,1,42.1
2020-05-19,4,4,40.3
2020-05-20,6,1,30.0
2020-05-21,0,4,26.2
2020-05-22,2,1,19.6
2020-05-23,4,2,22.5
2020-05-24,3,3,23.4
2020-05-25,2,1,19.6
2020-05-26,3,0,18.7
2020-05-27,6,1,18.7
2020-05-28,9,3,27.1
2020-05-29,2,1,27.1
2020-05-30,3,1,26.2
2020-05-31,4,2,27.1
2020-06-01,6,3,30.9
2020-06-02,2,0,29.9
2020-06-03,8,3,31.8
2020-06-04,4,2,27.1
2020-06-05,8,0,32.8
2020-06-06,6,4,35.5
2020-06-07,0,1,31.8
2020-06-08,11,3,36.5
2020-06-09,3,4,37.4
2020-06-10,2,2,31.8
2020-06-11,1,3,29.0
2020-06-12,3,6,24.3
2020-06-13,1,4,19.6
2020-06-14,0,1,19.6
2020-06-15,3,1,12.1
2020-06-16,1,0,10.3
2020-06-17,1,0,9.3
2020-06-18,1,4,9.3
2020-06-19,4,1,10.3
2020-06-20,2,0,11.2
2020-06-21,3,3,14.1
2020-06-22,2,0,13.1
2020-06-23,1,4,13.1
