date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,2,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,1,0,0.7
2020-03-09,0,0,0.7
2020-03-10,0,0,0.7
2020-03-11,2,0,2.0
2020-03-12,3,0,4.0
2020-03-13,2,0,5.4
2020-03-14,0,0,5.4
2020-03-15,0,0,4.7
2020-03-16,5,0,8.0
2020-03-17,3,0,10.0
2020-03-18,2,0,10.0
2020-03-19,5,0,11.3
2020-03-20,3,0,11.9
2020-03-21,2,0,13.3
2020-03-22,2,0,14.6
2020-03-23,3,0,13.3
2020-03-24,1,0,11.9
2020-03-25,4,0,13.3
2020-03-26,0,0,10.0
2020-03-27,2,0,9.3
2020-03-28,3,0,9.9
2020-03-29,5,0,12.0
2020-03-30,14,0,19.3
2020-03-31,4,0,21.3
2020-04-01,7,0,23.3
2020-04-02,8,0,28.6
2020-04-03,7,0,32.0
2020-04-04,18,0,41.9
2020-04-05,11,0,45.8
2020-04-06,13,0,45.2
2020-04-07,20,0,55.9
2020-04-08,11,0,58.5
2020-04-09,4,0,55.9
2020-04-10,13,0,59.8
2020-04-11,6,0,51.9
2020-04-12,13,0,53.3
2020-04-13,15,0,54.5
2020-04-14,21,0,55.2
2020-04-15,16,0,58.5
2020-04-16,11,0,63.2
2020-04-17,12,0,62.5
2020-04-18,3,0,60.5
2020-04-19,13,0,60.5
2020-04-20,5,0,53.9
2020-04-21,18,0,51.9
2020-04-22,7,2,45.9
2020-04-23,14,1,47.8
2020-04-24,8,22,45.3
2020-04-25,12,5,51.2
2020-04-26,1,6,43.2
2020-04-27,6,7,43.9
2020-04-28,7,3,36.6
2020-04-29,10,2,38.6
2020-04-30,9,3,35.3
2020-05-01,7,8,34.6
2020-05-02,8,1,32.0
2020-05-03,6,4,35.3
2020-05-04,1,2,31.9
2020-05-05,9,8,33.2
2020-05-06,4,6,29.3
2020-05-07,15,0,33.3
2020-05-08,0,5,28.6
2020-05-09,2,4,24.6
2020-05-10,0,3,20.6
2020-05-11,7,1,24.6
2020-05-12,6,0,22.6
2020-05-13,6,0,23.9
2020-05-14,13,2,22.6
2020-05-15,2,0,23.9
2020-05-16,10,1,29.2
2020-05-17,7,3,33.9
2020-05-18,5,1,32.6
2020-05-19,3,1,30.6
2020-05-20,7,3,31.3
2020-05-21,3,3,24.6
2020-05-22,2,2,24.6
2020-05-23,1,0,18.7
2020-05-24,3,2,16.0
2020-05-25,5,1,16.0
2020-05-26,3,1,16.0
2020-05-27,0,0,11.3
2020-05-28,2,1,10.6
2020-05-29,0,2,9.3
2020-05-30,1,0,9.3
2020-05-31,2,0,8.6
2020-06-01,1,0,6.0
2020-06-02,2,1,5.3
2020-06-03,0,0,5.3
2020-06-04,0,0,4.0
2020-06-05,1,1,4.7
2020-06-06,1,1,4.6
2020-06-07,0,0,3.3
2020-06-08,0,0,2.6
2020-06-09,0,0,1.3
2020-06-10,2,0,2.7
2020-06-11,3,0,4.7
2020-06-12,1,0,4.6
2020-06-13,0,0,4.0
2020-06-14,1,2,4.7
2020-06-15,0,3,4.7
2020-06-16,0,0,4.7
2020-06-17,1,0,4.0
2020-06-18,0,0,2.0
2020-06-19,0,0,1.4
2020-06-20,0,0,1.4
2020-06-21,0,0,0.7
2020-06-22,0,0,0.7
2020-06-23,1,0,1.3
2020-06-24,0,0,0.6
2020-06-25,1,0,1.3
2020-06-26,0,0,1.3
2020-06-27,1,0,2.0
2020-06-28,0,0,2.0
2020-06-29,1,0,2.6
2020-06-30,1,0,2.7
2020-07-01,1,157,3.3
2020-07-02,2,0,4.0
2020-07-03,0,0,4.0
2020-07-04,0,1,3.3
2020-07-05,0,0,3.3
2020-07-06,1,0,3.3
2020-07-07,0,0,2.6
2020-07-08,0,2,2.0
2020-07-09,1,0,1.3
2020-07-10,2,0,2.6
2020-07-11,0,1,2.6
2020-07-12,0,2,2.6
2020-07-13,1,0,2.7
2020-07-14,0,0,2.7
2020-07-15,0,1,2.7
2020-07-16,1,0,2.7
2020-07-17,0,0,1.4
2020-07-18,2,2,2.7
2020-07-19,1,0,3.4
2020-07-20,1,1,3.3
2020-07-21,0,0,3.3
2020-07-22,0,1,3.3
2020-07-23,0,2,2.6
2020-07-24,1,0,3.3
2020-07-25,1,1,2.7
2020-07-26,0,0,2.0
2020-07-27,0,2,1.4
2020-07-28,0,0,1.4
2020-07-29,1,0,2.0
2020-07-30,0,0,2.0
2020-07-31,0,0,1.3
2020-08-01,2,0,2.0
2020-08-02,0,1,2.0
2020-08-03,0,2,2.0
2020-08-04,0,0,2.0
2020-08-05,2,0,2.7
2020-08-06,3,0,4.7
2020-08-07,0,2,4.7
2020-08-08,0,2,3.3
2020-08-09,0,1,3.3
2020-08-10,4,0,5.9
2020-08-11,1,0,6.6
2020-08-12,2,2,6.6
2020-08-13,3,0,6.6
2020-08-14,2,5,8.0
2020-08-15,1,1,8.6
2020-08-16,1,1,9.3
2020-08-17,8,0,12.0
2020-08-18,3,3,13.3
2020-08-19,4,7,14.7
2020-08-20,0,2,12.7
2020-08-21,3,4,13.3
