date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,0.6
2020-03-15,0,0,0.6
2020-03-16,0,0,0.6
2020-03-17,0,0,0.6
2020-03-18,2,0,1.9
2020-03-19,1,0,2.5
2020-03-20,5,0,5.6
2020-03-21,2,0,6.2
2020-03-22,0,0,6.2
2020-03-23,3,0,8.1
2020-03-24,1,0,8.7
2020-03-25,6,0,11.1
2020-03-26,3,0,12.4
2020-03-27,3,0,11.1
2020-03-28,1,0,10.6
2020-03-29,6,0,14.3
2020-03-30,6,0,16.1
2020-03-31,3,0,17.3
2020-04-01,10,0,19.8
2020-04-02,3,0,19.8
2020-04-03,9,0,23.6
2020-04-04,6,0,26.6
2020-04-05,5,0,26.0
2020-04-06,3,0,24.1
2020-04-07,8,0,27.3
2020-04-08,6,0,24.8
2020-04-09,7,0,27.2
2020-04-10,5,0,24.7
2020-04-11,3,0,22.9
2020-04-12,5,0,22.9
2020-04-13,5,0,24.2
2020-04-14,4,0,21.6
2020-04-15,9,0,23.5
2020-04-16,8,0,24.2
2020-04-17,7,0,25.4
2020-04-18,11,0,30.3
2020-04-19,14,0,35.9
2020-04-20,15,0,42.1
2020-04-21,4,0,42.1
2020-04-22,10,8,42.7
2020-04-23,11,7,44.5
2020-04-24,13,6,48.3
2020-04-25,6,7,45.2
2020-04-26,11,6,43.3
2020-04-27,11,8,40.8
2020-04-28,18,7,49.6
2020-04-29,18,5,54.5
2020-04-30,11,11,54.5
2020-05-01,6,4,50.1
2020-05-02,8,6,51.4
2020-05-03,12,2,52.0
2020-05-04,4,5,47.7
2020-05-05,10,5,42.7
2020-05-06,18,3,42.7
2020-05-07,17,7,46.4
2020-05-08,8,6,47.7
2020-05-09,5,11,45.8
2020-05-10,3,0,40.2
2020-05-11,9,2,43.3
2020-05-12,24,1,52.0
2020-05-13,3,1,42.7
2020-05-14,7,2,36.6
2020-05-15,2,8,32.8
2020-05-16,3,1,31.6
2020-05-17,3,2,31.6
2020-05-18,2,0,27.2
2020-05-19,6,1,16.1
2020-05-20,3,2,16.1
2020-05-21,20,0,24.1
2020-05-22,2,0,24.1
2020-05-23,14,0,30.9
2020-05-24,3,3,31.0
2020-05-25,12,0,37.2
2020-05-26,8,5,38.3
2020-05-27,14,2,45.2
2020-05-28,13,1,40.9
2020-05-29,10,7,45.8
2020-05-30,9,1,42.7
2020-05-31,9,1,46.4
2020-06-01,2,2,40.2
2020-06-02,4,0,37.8
2020-06-03,4,2,31.6
2020-06-04,2,0,24.7
2020-06-05,5,1,21.7
2020-06-06,0,0,16.1
2020-06-07,3,1,12.4
2020-06-08,1,0,11.8
2020-06-09,2,4,10.5
2020-06-10,10,0,14.2
2020-06-11,6,1,16.7
2020-06-12,5,0,16.7
2020-06-13,13,6,24.8
2020-06-14,3,0,24.7
2020-06-15,14,3,32.8
2020-06-16,5,1,34.7
2020-06-17,8,0,33.4
2020-06-18,3,2,31.6
2020-06-19,3,0,30.4
2020-06-20,4,1,24.7
2020-06-21,7,0,27.3
2020-06-22,6,0,22.3
2020-06-23,4,0,21.7
2020-06-24,3,0,18.6
2020-06-25,3,0,18.6
2020-06-26,0,0,16.7
2020-06-27,1,0,14.9
2020-06-28,1,0,11.1
2020-06-29,3,0,9.3
2020-06-30,1,0,7.4
2020-07-01,1,367,6.2
2020-07-02,1,2,4.9
2020-07-03,0,2,4.9
2020-07-04,0,1,4.3
2020-07-05,1,0,4.3
2020-07-06,1,1,3.1
2020-07-07,2,0,3.7
2020-07-08,2,2,4.3
2020-07-09,1,0,4.4
2020-07-10,1,2,5.0
2020-07-11,0,1,5.0
2020-07-12,1,2,5.0
2020-07-13,2,0,5.5
2020-07-14,0,0,4.3
2020-07-15,0,1,3.1
2020-07-16,1,3,3.0
2020-07-17,1,0,3.1
2020-07-18,1,1,3.7
2020-07-19,0,0,3.1
2020-07-20,0,0,1.9
2020-07-21,0,0,1.9
2020-07-22,4,0,4.4
2020-07-23,1,2,4.4
2020-07-24,4,2,6.2
2020-07-25,2,2,6.8
2020-07-26,1,2,7.4
2020-07-27,1,3,8.0
2020-07-28,2,2,9.3
2020-07-29,5,0,9.9
2020-07-30,1,1,9.9
2020-07-31,0,3,7.4
2020-08-01,0,3,6.2
