date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-16,1,0,0.0
2020-03-17,0,0,0.0
2020-03-18,1,0,1.0
2020-03-19,0,0,1.0
2020-03-20,1,0,2.1
2020-03-21,0,0,2.1
2020-03-22,0,0,2.1
2020-03-23,0,0,2.1
2020-03-24,0,0,2.1
2020-03-25,2,0,3.2
2020-03-26,1,0,4.3
2020-03-27,2,0,5.3
2020-03-28,3,0,8.5
2020-03-29,1,0,9.6
2020-03-30,5,0,14.9
2020-03-31,3,0,18.1
2020-04-01,3,0,19.2
2020-04-02,2,0,20.2
2020-04-03,5,0,23.5
2020-04-04,6,0,26.7
2020-04-05,3,0,28.8
2020-04-06,9,0,33.1
2020-04-07,11,0,41.6
2020-04-08,5,0,43.7
2020-04-09,10,0,52.3
2020-04-10,4,0,51.1
2020-04-11,4,0,49.0
2020-04-12,6,0,52.2
2020-04-13,4,0,46.8
2020-04-14,8,0,43.7
2020-04-15,9,0,48.0
2020-04-16,10,0,47.9
2020-04-17,4,0,48.0
2020-04-18,26,2,71.4
2020-04-19,12,3,77.8
2020-04-20,11,5,85.3
2020-04-21,11,6,88.4
2020-04-22,12,3,91.6
2020-04-23,22,15,104.5
2020-04-24,13,18,114.0
2020-04-25,14,18,101.2
2020-04-26,14,10,103.3
2020-04-27,9,6,101.2
2020-04-28,18,0,108.7
2020-04-29,20,2,117.2
2020-04-30,10,13,104.4
2020-05-01,8,12,99.1
2020-05-02,8,5,92.7
2020-05-03,7,0,85.3
2020-05-04,9,4,85.3
2020-05-05,6,9,72.5
2020-05-06,15,6,67.2
2020-05-07,17,10,74.6
2020-05-08,6,4,72.5
2020-05-09,9,0,73.6
2020-05-10,15,1,82.1
2020-05-11,10,0,83.1
2020-05-12,16,3,93.8
2020-05-13,10,11,88.4
2020-05-14,18,36,89.5
2020-05-15,8,14,91.6
2020-05-16,5,0,87.4
2020-05-17,3,0,74.6
2020-05-18,13,0,77.8
2020-05-19,4,9,65.0
2020-05-20,5,15,59.7
2020-05-21,2,0,42.6
2020-05-22,5,1,39.5
2020-05-23,1,2,35.1
2020-05-24,1,0,33.0
2020-05-25,0,0,19.2
2020-05-26,7,0,22.4
2020-05-27,5,1,22.4
2020-05-28,1,1,21.3
2020-05-29,5,4,21.3
2020-05-30,2,3,22.4
2020-05-31,1,0,22.4
2020-06-01,5,0,27.7
2020-06-02,2,0,22.3
2020-06-03,8,2,25.6
2020-06-04,2,5,26.7
2020-06-05,4,2,25.6
2020-06-06,1,1,24.5
2020-06-07,2,0,25.6
2020-06-08,2,0,22.4
2020-06-09,2,4,22.4
2020-06-10,1,2,14.9
2020-06-11,3,1,16.0
2020-06-12,2,1,13.8
2020-06-13,3,1,16.0
2020-06-14,2,0,15.9
2020-06-15,1,0,14.9
2020-06-16,1,3,13.9
2020-06-17,1,0,13.8
2020-06-18,0,0,10.6
2020-06-19,0,0,8.5
2020-06-20,0,1,5.3
2020-06-21,0,0,3.2
2020-06-22,3,0,5.3
2020-06-23,2,0,6.4
2020-06-24,1,0,6.4
2020-06-25,0,0,6.4
2020-06-26,0,2,6.4
2020-06-27,0,0,6.4
2020-06-28,0,0,6.4
2020-06-29,0,0,3.2
2020-06-30,0,0,1.0
2020-07-01,1,235,1.1
2020-07-02,1,0,2.2
2020-07-03,0,0,2.2
2020-07-04,0,2,2.2
2020-07-05,0,0,2.2
2020-07-06,0,0,2.2
2020-07-07,1,0,3.2
2020-07-08,0,0,2.1
2020-07-09,1,0,2.1
2020-07-10,0,0,2.1
2020-07-11,0,2,2.1
2020-07-12,0,0,2.1
2020-07-13,0,0,2.1
2020-07-14,0,0,1.1
2020-07-15,2,0,3.2
2020-07-16,0,0,2.1
2020-07-17,1,1,3.2
2020-07-18,0,2,3.2
2020-07-19,3,1,6.4
2020-07-20,2,1,8.5
2020-07-21,2,0,10.6
2020-07-22,2,2,10.7
2020-07-23,1,4,11.7
2020-07-24,2,1,12.8
2020-07-25,2,1,14.9
2020-07-26,1,2,12.8
2020-07-27,0,0,10.7
2020-07-28,1,2,9.6
2020-07-29,2,1,9.6
2020-07-30,1,3,9.6
2020-07-31,1,1,8.5
2020-08-01,0,0,6.4
2020-08-02,1,1,6.4
2020-08-03,5,1,11.7
2020-08-04,0,0,10.7
2020-08-05,0,3,8.5
2020-08-06,1,0,8.6
2020-08-07,2,2,9.6
2020-08-08,0,0,9.6
2020-08-09,1,0,9.6
2020-08-10,3,1,7.5
2020-08-11,2,0,9.6
2020-08-12,0,2,9.6
2020-08-13,3,0,11.7
2020-08-14,1,2,10.6
2020-08-15,0,2,10.6
2020-08-16,0,2,9.5
2020-08-17,2,0,8.5
2020-08-18,1,0,7.4
2020-08-19,3,0,10.6
2020-08-20,1,1,8.5
2020-08-21,1,0,8.6
2020-08-22,0,2,8.6
2020-08-23,1,3,9.6
2020-08-24,1,1,8.5
2020-08-25,2,0,9.6
2020-08-26,2,0,8.6
2020-08-27,2,3,9.6
2020-08-28,3,4,11.7
2020-08-29,3,1,14.9
2020-08-30,4,3,18.2
2020-08-31,5,3,22.4
2020-09-01,7,4,27.7
2020-09-02,12,4,38.3
2020-09-03,10,4,46.9
2020-09-04,11,10,55.4
2020-09-05,3,5,55.4
2020-09-06,4,11,55.4
2020-09-07,11,2,61.8
2020-09-08,10,5,65.1
2020-09-09,7,11,59.7
2020-09-10,12,7,61.8
2020-09-11,5,8,55.4
2020-09-12,8,8,60.8
2020-09-13,3,6,59.7
2020-09-14,3,2,51.1
2020-09-15,7,5,47.9
2020-09-16,10,12,51.2
2020-09-17,7,6,45.8
2020-09-18,14,8,55.4
2020-09-19,13,8,60.7
2020-09-20,24,5,83.1
2020-09-21,13,19,93.8
2020-09-22,20,26,107.6
2020-09-23,12,16,109.7
2020-09-24,23,19,126.8
2020-09-25,12,13,124.7
2020-09-26,18,13,130.0
2020-09-27,32,14,138.5
2020-09-28,31,5,157.8
2020-09-29,27,27,165.2
2020-09-30,29,35,183.3
2020-10-01,33,19,194.0
2020-10-02,36,26,219.6
2020-10-03,29,41,231.3
2020-10-04,35,57,234.5
2020-10-05,39,30,242.9
2020-10-06,26,53,241.9
2020-10-07,45,37,259.0
2020-10-08,40,38,266.4
2020-10-09,37,23,267.5
2020-10-10,40,30,279.2
2020-10-11,26,26,269.6
2020-10-12,79,52,312.3
2020-10-13,63,40,351.7
2020-10-14,52,65,359.1
2020-10-15,31,60,349.6
2020-10-16,45,37,358.0
2020-10-17,31,60,348.5
2020-10-18,24,16,346.3
2020-10-19,60,37,326.1
2020-10-20,64,65,327.2
2020-10-21,56,63,331.5
2020-10-22,51,50,352.7
2020-10-23,37,63,344.2
2020-10-24,27,47,339.9
2020-10-25,36,30,352.8
2020-10-26,46,30,337.8
2020-10-27,54,45,327.1
2020-10-28,43,43,313.3
2020-10-29,49,41,311.2
2020-10-30,48,44,322.9
2020-10-31,44,55,341.0
2020-11-01,35,48,339.9
2020-11-02,69,39,364.5
2020-11-03,59,64,369.8
2020-11-04,62,40,390.0
2020-11-05,51,55,392.2
2020-11-06,67,59,412.5
2020-11-07,55,46,424.2
2020-11-08,75,66,466.8
2020-11-09,102,48,501.9
2020-11-10,78,51,522.2
2020-11-11,80,131,541.4
2020-11-12,98,93,591.4
2020-11-13,90,80,615.9
2020-11-14,55,76,615.9
2020-11-15,52,102,591.5
2020-11-16,80,7,568.0
2020-11-17,77,80,567.0
2020-11-18,53,62,538.2
2020-11-19,44,43,480.6
2020-11-20,41,78,428.4
2020-11-21,25,59,396.5
2020-11-22,29,31,371.9
2020-11-23,32,30,320.8
2020-11-24,48,25,289.8
2020-11-25,45,33,281.3
2020-11-26,36,48,272.9
2020-11-27,43,38,275.0
2020-11-28,23,45,272.8
2020-11-29,34,30,278.1
2020-11-30,30,22,276.0
2020-12-01,31,45,257.9
2020-12-02,35,24,247.2
2020-12-03,37,31,248.3
2020-12-04,32,36,236.6
2020-12-05,23,36,236.6
2020-12-06,25,32,227.0
2020-12-07,47,20,245.1
2020-12-08,33,18,247.3
2020-12-09,31,23,243.0
2020-12-10,28,54,233.4
2020-12-11,30,35,231.2
2020-12-12,28,38,236.6
2020-12-13,32,31,244.1
2020-12-14,54,19,251.5
2020-12-15,73,24,294.1
2020-12-16,46,32,310.1
2020-12-17,42,39,325.0
2020-12-18,63,26,360.2
2020-12-19,40,23,373.0
2020-12-20,62,31,404.9
2020-12-21,75,98,427.4
2020-12-22,81,95,435.9
2020-12-23,73,68,464.7
2020-12-24,39,70,461.4
2020-12-25,21,65,416.7
2020-12-26,89,50,468.9
2020-12-27,119,48,529.7
2020-12-28,114,67,571.2
2020-12-29,159,106,654.3
2020-12-30,145,160,731.0
2020-12-31,85,105,780.1
2021-01-01,61,85,822.7
2021-01-02,144,79,881.3
2021-01-03,113,84,874.9
2021-01-04,157,163,920.7
2021-01-05,120,82,879.2
2021-01-06,78,158,807.8
2021-01-07,96,85,819.5
2021-01-08,71,69,830.2
2021-01-09,73,99,754.5
2021-01-10,61,65,699.1
2021-01-11,93,83,630.9
2021-01-12,84,85,592.5
2021-01-13,62,127,575.5
2021-01-14,78,67,556.3
2021-01-15,51,126,535.0
2021-01-16,41,76,500.9
2021-01-17,30,48,467.8
2021-01-18,70,35,443.3
2021-01-19,47,37,403.9
2021-01-20,43,65,383.6
2021-01-21,39,53,342.1
2021-01-22,33,34,322.9
2021-01-23,43,44,325.0
2021-01-24,34,30,329.3
2021-01-25,69,23,328.3
2021-01-26,53,53,334.6
2021-01-27,41,53,332.5
2021-01-28,42,60,335.7
2021-01-29,43,63,346.3
2021-01-30,34,29,336.8
2021-01-31,26,40,328.3
2021-02-01,41,33,298.4
2021-02-02,22,28,265.4
2021-02-03,29,34,252.6
2021-02-04,22,36,231.3
2021-02-05,34,18,221.7
2021-02-06,26,26,213.1
2021-02-07,25,26,212.0
2021-02-08,19,21,188.6
2021-02-09,25,35,191.8
2021-02-10,27,11,189.7
2021-02-11,20,20,187.5
2021-02-12,23,27,175.8
2021-02-13,22,24,171.6
2021-02-14,17,14,163.1
2021-02-15,36,16,181.2
2021-02-16,34,30,190.8
2021-02-17,20,43,183.3
2021-02-18,30,20,194.0
2021-02-19,21,25,191.9
2021-02-20,16,27,185.4
2021-02-21,18,8,186.5
2021-02-22,35,26,185.4
2021-02-23,21,27,171.6
2021-02-24,22,22,173.7
2021-02-25,27,22,170.5
2021-02-26,14,20,163.0
2021-02-27,13,29,159.9
2021-02-28,5,12,146.0
2021-03-01,20,12,130.0
2021-03-02,27,13,136.4
2021-03-03,16,18,130.0
2021-03-04,12,24,114.0
2021-03-05,20,11,120.4
2021-03-06,11,23,118.2
2021-03-07,7,10,120.4
2021-03-08,23,11,123.6
2021-03-09,17,28,112.9
2021-03-10,14,16,110.9
2021-03-11,14,9,113.0
2021-03-12,20,27,113.0
2021-03-13,11,16,113.0
2021-03-14,8,7,114.0
2021-03-15,9,11,99.1
2021-03-16,13,5,94.9
2021-03-17,9,13,89.5
2021-03-18,16,13,91.6
2021-03-19,16,9,87.4
2021-03-20,12,21,88.5
2021-03-21,17,11,98.1
2021-03-22,20,12,109.8
2021-03-23,9,18,105.5
2021-03-24,5,19,101.2
2021-03-25,22,22,107.7
2021-03-26,13,28,104.4
2021-03-27,6,0,98.0
2021-03-28,12,0,92.7
2021-03-29,14,32,86.3
2021-03-30,12,5,89.5
2021-03-31,11,17,95.9
2021-04-01,12,18,85.2
2021-04-02,3,4,74.6
2021-04-03,3,11,71.4
2021-04-04,8,5,67.1
2021-04-05,16,5,69.3
2021-04-06,11,2,68.2
2021-04-07,4,15,60.8
2021-04-08,6,10,54.4
2021-04-09,4,0,55.4
2021-04-10,2,5,54.4
2021-04-11,9,1,55.4
2021-04-12,1,16,39.4
2021-04-13,8,3,36.2
2021-04-14,7,1,39.4
2021-04-15,7,8,40.5
2021-04-16,7,2,43.7
2021-04-17,11,13,53.2
2021-04-18,1,6,44.8
2021-04-19,6,8,50.1
2021-04-20,3,2,44.8
2021-04-21,7,9,44.8
2021-04-22,3,6,40.5
2021-04-23,7,2,40.5
2021-04-24,1,3,29.9
2021-04-25,5,5,34.1
2021-04-26,4,2,32.0
2021-04-27,4,4,33.0
2021-04-28,4,7,29.8
2021-04-29,2,3,28.7
2021-04-30,2,3,23.5
2021-05-01,1,2,23.4
2021-05-02,2,2,20.3
2021-05-03,2,1,18.1
2021-05-04,2,2,16.0
2021-05-05,1,4,12.8
2021-05-06,2,0,12.8
2021-05-07,2,0,12.7
2021-05-08,2,3,13.9
2021-05-09,1,4,12.7
2021-05-10,4,0,14.9
2021-05-11,2,2,14.9
2021-05-12,1,3,14.9
2021-05-13,1,2,13.9
2021-05-14,0,1,11.8
2021-05-15,2,1,11.7
2021-05-16,3,0,13.9
2021-05-17,1,4,10.7
2021-05-18,2,0,10.7
2021-05-19,0,2,9.6
2021-05-20,0,0,8.5
2021-05-21,0,0,8.5
2021-05-22,1,1,7.5
2021-05-23,2,0,6.4
2021-05-24,1,2,6.4
2021-05-25,1,1,5.3
2021-05-26,3,3,8.5
2021-05-27,1,1,9.6
2021-05-28,1,3,10.7
2021-05-29,0,0,9.6
2021-05-30,0,0,7.5
2021-05-31,1,0,7.4
2021-06-01,0,1,6.4
2021-06-02,1,1,4.3
2021-06-03,0,0,3.2
2021-06-04,2,1,4.2
2021-06-05,3,1,7.4
2021-06-06,4,3,11.7
2021-06-07,6,3,17.1
2021-06-08,9,4,26.7
2021-06-09,4,8,29.8
2021-06-10,16,8,46.9
2021-06-11,14,7,59.7
2021-06-12,8,17,65.0
2021-06-13,8,9,69.2
2021-06-14,9,9,72.4
2021-06-15,8,1,71.4
2021-06-16,6,11,73.6
2021-06-17,9,6,66.0
2021-06-18,9,12,60.7
2021-06-19,13,7,66.1
2021-06-20,7,6,65.1
2021-06-21,20,17,76.8
2021-06-22,22,16,91.6
2021-06-23,29,18,116.1
2021-06-24,44,17,153.5
2021-06-25,33,31,179.1
2021-06-26,40,38,207.8
