date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-16,1,0,0.0
2020-03-17,0,0,0.0
2020-03-18,0,0,0.0
2020-03-19,0,0,0.0
2020-03-20,0,0,0.0
2020-03-21,0,0,0.0
2020-03-22,0,0,0.0
2020-03-23,0,0,0.0
2020-03-24,1,0,1.1
2020-03-25,0,0,1.1
2020-03-26,2,0,3.2
2020-03-27,2,0,5.4
2020-03-28,1,0,6.5
2020-03-29,4,0,10.8
2020-03-30,0,0,10.8
2020-03-31,0,0,9.7
2020-04-01,3,0,12.9
2020-04-02,2,0,13.0
2020-04-03,2,0,12.9
2020-04-04,1,0,12.9
2020-04-05,1,0,9.7
2020-04-06,4,0,14.0
2020-04-07,2,0,16.2
2020-04-08,2,0,15.1
2020-04-09,1,0,14.0
2020-04-10,0,0,11.9
2020-04-11,1,0,11.9
2020-04-12,2,0,12.9
2020-04-13,3,0,11.9
2020-04-14,2,0,11.8
2020-04-15,0,0,9.7
2020-04-16,0,0,8.6
2020-04-17,1,0,9.7
2020-04-18,3,0,11.8
2020-04-19,0,0,9.7
2020-04-20,2,0,8.6
2020-04-21,1,0,7.6
2020-04-22,1,1,8.7
2020-04-23,3,1,11.9
2020-04-24,1,1,11.9
2020-04-25,2,0,10.8
2020-04-26,3,0,14.1
2020-04-27,2,2,14.0
2020-04-28,5,0,18.3
2020-04-29,2,1,19.4
2020-04-30,3,2,19.4
2020-05-01,1,1,19.4
2020-05-02,0,0,17.3
2020-05-03,3,0,17.2
2020-05-04,3,0,18.4
2020-05-05,2,1,15.1
2020-05-06,4,1,17.3
2020-05-07,2,1,16.2
2020-05-08,5,0,20.5
2020-05-09,0,0,20.5
2020-05-10,0,0,17.3
2020-05-11,0,0,14.0
2020-05-12,1,0,13.0
2020-05-13,6,1,15.1
2020-05-14,3,0,16.2
2020-05-15,0,1,10.8
2020-05-16,2,2,13.0
2020-05-17,2,0,15.1
2020-05-18,2,1,17.3
2020-05-19,1,0,17.3
2020-05-20,2,0,12.9
2020-05-21,3,0,13.0
2020-05-22,5,1,18.3
2020-05-23,0,0,16.1
2020-05-24,2,3,16.2
2020-05-25,0,0,14.0
2020-05-26,2,0,15.1
2020-05-27,2,0,15.1
2020-05-28,3,0,15.1
2020-05-29,1,0,10.8
2020-05-30,0,2,10.8
2020-05-31,0,0,8.6
2020-06-01,0,0,8.6
2020-06-02,1,0,7.5
2020-06-03,0,0,5.4
2020-06-04,1,0,3.2
2020-06-05,0,0,2.2
2020-06-06,0,0,2.2
2020-06-07,0,0,2.2
2020-06-08,1,0,3.3
2020-06-09,1,0,3.3
2020-06-10,0,0,3.3
2020-06-11,0,0,2.2
2020-06-12,0,0,2.2
2020-06-13,1,0,3.2
2020-06-14,0,0,3.2
2020-06-15,0,0,2.1
2020-06-16,0,0,1.0
2020-06-17,0,0,1.0
2020-06-18,0,3,1.0
2020-06-19,0,0,1.0
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,0,0,0.0
2020-06-26,1,0,1.1
2020-06-27,0,0,1.1
2020-06-28,0,0,1.1
2020-06-29,1,0,2.2
2020-06-30,0,0,2.2
2020-07-01,0,68,2.2
2020-07-02,0,0,2.2
2020-07-03,0,0,1.1
2020-07-04,0,1,1.1
2020-07-05,0,0,1.1
2020-07-06,1,0,1.1
2020-07-07,1,0,2.2
2020-07-08,0,0,2.2
2020-07-09,0,0,2.2
2020-07-10,0,1,2.2
2020-07-11,0,0,2.2
2020-07-12,0,0,2.2
2020-07-13,1,0,2.1
2020-07-14,0,0,1.0
2020-07-15,1,0,2.1
2020-07-16,1,0,3.2
2020-07-17,0,0,3.2
2020-07-18,0,0,3.2
2020-07-19,1,2,4.3
2020-07-20,0,0,3.3
2020-07-21,0,0,3.3
2020-07-22,1,1,3.3
2020-07-23,1,0,3.2
2020-07-24,1,0,4.3
2020-07-25,0,0,4.3
2020-07-26,0,1,3.2
2020-07-27,0,0,3.2
2020-07-28,1,1,4.3
2020-07-29,1,1,4.3
2020-07-30,0,0,3.3
2020-07-31,0,1,2.2
2020-08-01,0,0,2.2
2020-08-02,2,0,4.3
2020-08-03,0,1,4.3
2020-08-04,0,2,3.2
2020-08-05,0,0,2.1
2020-08-06,0,0,2.1
2020-08-07,0,0,2.1
2020-08-08,0,0,2.1
2020-08-09,0,0,0.0
2020-08-10,0,0,0.0
2020-08-11,0,0,0.0
2020-08-12,1,0,1.1
2020-08-13,1,0,2.2
2020-08-14,1,1,3.3
2020-08-15,0,0,3.3
2020-08-16,0,1,3.3
2020-08-17,0,0,3.3
2020-08-18,0,1,3.3
2020-08-19,1,0,3.2
2020-08-20,1,0,3.2
2020-08-21,4,0,6.4
2020-08-22,2,0,8.6
2020-08-23,0,0,8.6
2020-08-24,1,1,9.7
2020-08-25,3,3,12.9
2020-08-26,4,1,16.2
2020-08-27,1,7,16.2
2020-08-28,2,2,14.1
2020-08-29,0,0,11.9
2020-08-30,3,0,15.1
2020-08-31,0,2,14.0
2020-09-01,1,3,11.9
2020-09-02,0,3,7.6
2020-09-03,5,0,11.9
2020-09-04,4,1,14.0
2020-09-05,1,3,15.1
2020-09-06,0,0,11.9
2020-09-07,4,1,16.2
2020-09-08,3,4,18.3
2020-09-09,4,2,22.6
2020-09-10,0,0,17.2
2020-09-11,0,6,12.9
2020-09-12,1,2,12.9
2020-09-13,0,1,12.9
2020-09-14,0,2,8.6
2020-09-15,3,2,8.7
2020-09-16,0,0,4.4
2020-09-17,1,0,5.4
2020-09-18,1,1,6.5
2020-09-19,2,0,7.6
2020-09-20,2,0,9.7
2020-09-21,3,3,13.0
2020-09-22,2,2,11.8
2020-09-23,0,1,11.8
2020-09-24,2,3,13.0
2020-09-25,0,1,11.9
2020-09-26,4,2,14.0
2020-09-27,2,1,14.1
2020-09-28,6,2,17.2
2020-09-29,6,4,21.6
2020-09-30,9,4,31.3
2020-10-01,5,2,34.5
2020-10-02,5,3,39.9
2020-10-03,5,6,41.0
2020-10-04,3,6,42.1
2020-10-05,4,6,40.0
2020-10-06,10,6,44.3
2020-10-07,5,7,40.0
2020-10-08,10,7,45.4
2020-10-09,2,11,42.1
2020-10-10,5,10,42.1
2020-10-11,0,1,38.8
2020-10-12,3,5,37.7
2020-10-13,5,1,32.3
2020-10-14,7,7,34.5
2020-10-15,6,2,30.2
2020-10-16,5,6,33.5
2020-10-17,4,5,32.4
2020-10-18,4,6,36.7
2020-10-19,9,8,43.2
2020-10-20,4,2,42.1
2020-10-21,5,13,39.9
2020-10-22,6,5,39.9
2020-10-23,12,4,47.5
2020-10-24,5,3,48.6
2020-10-25,6,4,50.7
2020-10-26,9,9,50.7
2020-10-27,7,11,54.0
2020-10-28,5,15,54.0
2020-10-29,6,10,54.0
2020-10-30,3,2,44.2
2020-10-31,2,6,41.0
2020-11-01,6,1,41.0
2020-11-02,4,1,35.7
2020-11-03,8,7,36.7
2020-11-04,3,3,34.5
2020-11-05,5,5,33.4
2020-11-06,7,5,37.8
2020-11-07,11,5,47.4
2020-11-08,8,7,49.7
2020-11-09,16,6,62.5
2020-11-10,11,9,65.8
2020-11-11,11,14,74.5
2020-11-12,11,16,81.0
2020-11-13,15,11,89.5
2020-11-14,17,12,96.1
2020-11-15,12,18,100.3
2020-11-16,20,0,104.7
2020-11-17,16,11,110.1
2020-11-18,17,16,116.5
2020-11-19,12,17,117.6
2020-11-20,12,8,114.4
2020-11-21,10,19,106.8
2020-11-22,7,17,101.5
2020-11-23,14,14,95.0
2020-11-24,12,7,90.6
2020-11-25,11,14,84.2
2020-11-26,6,12,77.7
2020-11-27,12,4,77.7
2020-11-28,5,9,72.3
2020-11-29,5,9,70.1
2020-11-30,24,5,80.9
2020-12-01,27,8,97.2
2020-12-02,29,17,116.6
2020-12-03,42,26,155.4
2020-12-04,38,27,183.5
2020-12-05,30,34,210.5
2020-12-06,54,45,263.4
2020-12-07,58,31,300.1
2020-12-08,71,37,347.5
2020-12-09,51,47,371.2
2020-12-10,65,63,396.1
2020-12-11,92,59,454.4
2020-12-12,80,90,508.3
2020-12-13,127,92,587.0
2020-12-14,149,62,685.3
2020-12-15,117,100,734.9
2020-12-16,115,113,804.0
2020-12-17,145,111,890.3
2020-12-18,153,94,956.1
2020-12-19,95,92,972.4
2020-12-20,131,216,976.7
2020-12-21,195,152,1026.3
2020-12-22,197,152,1112.7
2020-12-23,119,110,1117.0
2020-12-24,107,110,1076.0
2020-12-25,27,141,940.0
2020-12-26,108,151,954.0
2020-12-27,84,68,903.3
2020-12-28,90,102,789.9
2020-12-29,237,151,833.1
2020-12-30,127,78,841.8
2020-12-31,84,146,816.9
2021-01-01,86,168,880.6
2021-01-02,108,56,880.6
2021-01-03,97,102,894.7
2021-01-04,170,169,981.0
2021-01-05,102,107,835.3
2021-01-06,124,107,832.0
2021-01-07,84,113,832.1
2021-01-08,83,114,828.9
2021-01-09,55,117,771.6
2021-01-10,54,116,725.2
2021-01-11,103,47,653.0
2021-01-12,84,91,633.5
2021-01-13,80,76,586.1
2021-01-14,61,91,561.2
2021-01-15,49,76,524.5
2021-01-16,28,75,495.4
2021-01-17,37,48,477.0
2021-01-18,72,42,443.5
2021-01-19,66,57,424.1
2021-01-20,78,42,421.9
2021-01-21,38,62,397.1
2021-01-22,42,92,389.6
2021-01-23,30,54,391.7
2021-01-24,24,45,377.7
2021-01-25,41,20,344.3
2021-01-26,45,23,321.6
2021-01-27,27,50,266.6
2021-01-28,49,35,278.5
2021-01-29,29,39,264.4
2021-01-30,19,39,252.6
2021-01-31,19,24,247.2
2021-02-01,44,15,250.4
2021-02-02,14,41,217.0
2021-02-03,20,27,209.3
2021-02-04,20,17,178.0
2021-02-05,18,26,166.2
2021-02-06,18,22,165.1
2021-02-07,15,13,160.8
2021-02-08,23,17,138.1
2021-02-09,22,21,146.7
2021-02-10,7,20,132.8
2021-02-11,15,9,127.4
2021-02-12,10,24,118.7
2021-02-13,6,20,105.7
2021-02-14,4,10,93.9
2021-02-15,14,5,84.2
2021-02-16,10,4,71.3
2021-02-17,10,10,74.5
2021-02-18,5,13,63.7
2021-02-19,8,9,61.5
2021-02-20,7,6,62.6
2021-02-21,8,8,66.9
2021-02-22,15,6,68.0
2021-02-23,18,9,76.6
2021-02-24,6,16,72.3
2021-02-25,8,19,75.5
2021-02-26,6,9,73.4
2021-02-27,5,7,71.3
2021-02-28,3,6,65.8
2021-03-01,6,3,56.1
2021-03-02,5,4,42.1
2021-03-03,2,5,37.7
2021-03-04,3,2,32.4
2021-03-05,5,5,31.3
2021-03-06,1,5,26.9
2021-03-07,6,4,30.2
2021-03-08,5,1,29.1
2021-03-09,2,4,25.9
2021-03-10,5,6,29.2
2021-03-11,1,4,27.0
2021-03-12,1,4,22.6
2021-03-13,0,3,21.6
2021-03-14,2,0,17.3
2021-03-15,1,2,13.0
2021-03-16,2,4,12.9
2021-03-17,2,3,9.7
2021-03-18,3,2,11.8
2021-03-19,1,1,11.9
2021-03-20,0,1,11.9
2021-03-21,2,1,11.9
2021-03-22,0,1,10.8
2021-03-23,4,2,13.0
2021-03-24,0,1,10.8
2021-03-25,1,4,8.7
2021-03-26,0,1,7.6
2021-03-27,0,0,7.6
2021-03-28,2,0,7.5
2021-03-29,1,1,8.6
2021-03-30,0,0,4.3
2021-03-31,2,1,6.5
2021-04-01,2,0,7.5
2021-04-02,0,3,7.5
2021-04-03,0,1,7.5
2021-04-04,1,0,6.5
2021-04-05,0,0,5.4
2021-04-06,0,1,5.4
2021-04-07,1,0,4.3
2021-04-08,1,1,3.2
2021-04-09,0,0,3.2
2021-04-10,2,2,5.4
2021-04-11,0,0,4.3
2021-04-12,2,2,6.5
2021-04-13,2,1,8.6
2021-04-14,0,0,7.5
2021-04-15,2,2,8.7
2021-04-16,1,2,9.8
2021-04-17,1,2,8.6
2021-04-18,0,1,8.6
2021-04-19,1,0,7.5
2021-04-20,0,2,5.4
2021-04-21,2,0,7.6
2021-04-22,1,1,6.5
2021-04-23,1,1,6.4
2021-04-24,2,1,7.6
2021-04-25,2,1,9.8
2021-04-26,3,2,11.9
2021-04-27,2,3,14.0
2021-04-28,2,0,14.0
2021-04-29,0,3,12.9
2021-04-30,1,4,13.0
2021-05-01,5,3,16.2
2021-05-02,1,2,15.1
2021-05-03,5,2,17.3
2021-05-04,0,4,15.2
2021-05-05,0,2,13.0
2021-05-06,1,3,14.0
2021-05-07,1,2,14.0
2021-05-08,0,1,8.6
2021-05-09,0,1,7.5
2021-05-10,2,2,4.3
2021-05-11,0,3,4.3
2021-05-12,0,0,4.3
2021-05-13,1,1,4.4
2021-05-14,0,1,3.3
2021-05-15,0,0,3.3
2021-05-16,0,0,3.3
2021-05-17,0,0,1.1
2021-05-18,0,0,1.1
2021-05-19,0,0,1.1
2021-05-20,3,1,3.2
2021-05-21,2,2,5.3
2021-05-22,1,1,6.4
2021-05-23,0,1,6.4
2021-05-24,1,0,7.5
2021-05-25,1,1,8.6
2021-05-26,3,1,11.8
2021-05-27,5,3,14.0
2021-05-28,0,2,11.9
2021-05-29,1,4,11.9
2021-05-30,0,0,11.9
2021-05-31,1,0,11.9
2021-06-01,1,0,11.9
2021-06-02,1,1,9.7
2021-06-03,1,2,5.4
2021-06-04,2,0,7.6
2021-06-05,1,1,7.6
2021-06-06,1,1,8.6
2021-06-07,0,2,7.5
2021-06-08,1,2,7.5
2021-06-09,3,0,9.8
2021-06-10,3,2,11.9
2021-06-11,5,2,15.1
2021-06-12,4,3,18.3
2021-06-13,3,7,20.5
2021-06-14,4,2,24.9
2021-06-15,6,3,30.2
2021-06-16,4,4,31.2
2021-06-17,5,8,33.4
2021-06-18,6,3,34.5
2021-06-19,3,4,33.5
2021-06-20,6,6,36.7
2021-06-21,8,6,41.0
2021-06-22,9,3,44.3
2021-06-23,28,12,70.2
2021-06-24,23,12,89.6
2021-06-25,17,19,101.5
2021-06-26,7,18,105.7
