date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,1,0,0.3
2020-03-03,0,0,0.3
2020-03-04,1,0,0.7
2020-03-05,2,0,1.3
2020-03-06,0,0,1.3
2020-03-07,0,0,1.3
2020-03-08,2,0,2
2020-03-09,0,0,1.7
2020-03-10,2,0,2.3
2020-03-11,2,0,2.6
2020-03-12,4,0,3.3
2020-03-13,3,0,4.2
2020-03-14,1,0,4.6
2020-03-15,5,0,5.5
2020-03-16,9,0,8.4
2020-03-17,16,0,13.0
2020-03-18,5,0,14.0
2020-03-19,13,0,16.9
2020-03-20,11,0,19.6
2020-03-21,9,0,22.1
2020-03-22,10,0,23.8
2020-03-23,17,0,26.4
2020-03-24,18,0,27.1
2020-03-25,17,0,30.9
2020-03-26,20,0,33.2
2020-03-27,26,0,38.1
2020-03-28,11,0,38.8
2020-03-29,18,0,41.4
2020-03-30,19,0,42.1
2020-03-31,33,0,46.9
2020-04-01,22,0,48.6
2020-04-02,18,0,47.9
2020-04-03,44,0,53.8
2020-04-04,17,0,55.7
2020-04-05,16,0,55.0
2020-04-06,23,0,56.3
2020-04-07,27,0,54.4
2020-04-08,18,0,53.1
2020-04-09,32,0,57.7
2020-04-10,21,0,50.2
2020-04-11,17,0,50.2
2020-04-12,12,0,48.9
2020-04-13,17,0,47.0
2020-04-14,17,0,43.7
2020-04-15,22,0,45.0
2020-04-16,19,0,40.8
2020-04-17,33,17,44.6
2020-04-18,21,16,46.0
2020-04-19,24,15,49.9
2020-04-20,25,21,52.4
2020-04-21,14,12,51.5
2020-04-22,16,20,49.5
2020-04-23,21,12,50.1
2020-04-24,13,13,43.7
2020-04-25,11,14,40.4
2020-04-26,14,4,37.1
2020-04-27,18,3,34.9
2020-04-28,13,6,34.5
2020-04-29,9,4,32.3
2020-04-30,13,6,29.7
2020-05-01,15,5,30.3
2020-05-02,12,4,30.6
2020-05-03,5,3,27.7
2020-05-04,13,6,26.1
2020-05-05,7,2,24.1
2020-05-06,12,1,25.1
2020-05-07,12,6,24.8
2020-05-08,1,6,20.2
2020-05-09,5,0,17.9
2020-05-10,2,6,17.0
2020-05-11,3,0,13.7
2020-05-12,10,4,14.7
2020-05-13,5,0,12.3
2020-05-14,9,0,11.4
2020-05-15,3,3,12
2020-05-16,5,3,12.1
2020-05-17,2,3,12.0
2020-05-18,1,2,11.4
2020-05-19,5,1,9.8
2020-05-20,3,1,9.2
2020-05-21,7,0,8.4
2020-05-22,1,1,7.9
2020-05-23,1,1,6.5
2020-05-24,4,0,7.2
2020-05-25,3,1,7.8
2020-05-26,1,0,6.5
2020-05-27,2,4,6.2
2020-05-28,3,0,4.9
2020-05-29,2,1,5.2
2020-05-30,0,1,4.9
2020-05-31,2,0,4.2
2020-06-01,3,0,4.2
2020-06-02,0,2,3.9
2020-06-03,4,1,4.5
2020-06-04,1,0,3.9
2020-06-05,0,1,3.2
2020-06-06,0,0,3.2
2020-06-07,0,1,2.6
2020-06-08,6,0,3.6
2020-06-09,2,1,4.3
2020-06-10,5,0,4.6
2020-06-11,1,5,4.6
2020-06-12,3,1,5.6
2020-06-13,2,2,6.2
2020-06-14,1,3,6.6
2020-06-15,0,1,4.6
2020-06-16,4,0,5.2
2020-06-17,0,0,3.6
2020-06-18,0,0,3.3
2020-06-19,1,3,2.6
2020-06-20,1,0,2.3
2020-06-21,2,0,2.6
2020-06-22,5,1,4.2
