date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-13,1,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,1,0,0.5
2020-03-17,0,0,0.5
2020-03-18,4,0,2.8
2020-03-19,0,0,2.8
2020-03-20,2,0,3.9
2020-03-21,5,0,6.7
2020-03-22,1,0,7.2
2020-03-23,4,0,9.0
2020-03-24,3,0,10.6
2020-03-25,6,0,11.7
2020-03-26,3,0,13.4
2020-03-27,5,0,15.1
2020-03-28,2,0,13.4
2020-03-29,3,0,14.5
2020-03-30,6,0,15.6
2020-03-31,6,0,17.4
2020-04-01,3,0,15.6
2020-04-02,4,0,16.2
2020-04-03,6,0,16.7
2020-04-04,5,0,18.4
2020-04-05,3,0,18.5
2020-04-06,4,0,17.3
2020-04-07,7,0,17.8
2020-04-08,9,0,21.3
2020-04-09,11,0,25.1
2020-04-10,9,0,26.8
2020-04-11,3,0,25.7
2020-04-12,2,0,25.1
2020-04-13,6,0,26.3
2020-04-14,3,0,24.1
2020-04-15,2,0,20.1
2020-04-16,9,0,19.0
2020-04-17,8,0,18.5
2020-04-18,5,0,19.6
2020-04-19,7,0,22.4
2020-04-20,10,0,24.6
2020-04-21,11,0,29.0
2020-04-22,9,9,32.9
2020-04-23,10,20,33.5
2020-04-24,9,9,34.1
2020-04-25,15,6,39.6
2020-04-26,15,1,44.1
2020-04-27,11,1,44.7
2020-04-28,32,13,56.4
2020-04-29,27,10,66.5
2020-04-30,25,0,74.9
2020-05-01,30,19,86.6
2020-05-02,21,8,90.0
2020-05-03,15,13,90.0
2020-05-04,12,2,90.5
2020-05-05,12,9,79.4
2020-05-06,17,9,73.8
2020-05-07,16,18,68.7
2020-05-08,19,7,62.5
2020-05-09,7,5,54.7
2020-05-10,18,1,56.4
2020-05-11,51,0,78.2
2020-05-12,16,1,80.4
2020-05-13,19,19,81.5
2020-05-14,24,14,86.1
2020-05-15,14,22,83.3
2020-05-16,8,10,83.8
2020-05-17,14,1,81.6
2020-05-18,15,1,61.4
2020-05-19,21,0,64.3
2020-05-20,16,13,62.6
2020-05-21,16,10,58.1
2020-05-22,17,10,59.8
2020-05-23,12,10,62.1
2020-05-24,7,1,58.1
2020-05-25,4,0,52.0
2020-05-26,4,0,42.4
2020-05-27,5,33,36.3
2020-05-28,7,2,31.2
2020-05-29,15,0,30.1
2020-05-30,7,9,27.3
2020-05-31,2,2,24.6
2020-06-01,4,2,24.6
2020-06-02,22,13,34.7
2020-06-03,3,0,33.6
2020-06-04,5,2,32.4
2020-06-05,1,16,24.6
2020-06-06,3,2,22.4
2020-06-07,2,0,22.3
2020-06-08,4,0,22.3
2020-06-09,2,54,11.2
2020-06-10,6,0,12.8
2020-06-11,3,0,11.8
2020-06-12,2,2,12.3
2020-06-13,1,1,11.2
2020-06-14,3,0,11.7
2020-06-15,1,0,10.1
2020-06-16,1,0,9.5
2020-06-17,0,1,6.2
2020-06-18,0,0,4.5
2020-06-19,0,1,3.4
2020-06-20,2,0,3.9
2020-06-21,0,0,2.3
2020-06-22,1,0,2.2
2020-06-23,0,0,1.6
2020-06-24,3,0,3.3
2020-06-25,5,0,6.1
2020-06-26,4,1,8.3
2020-06-27,0,0,7.2
2020-06-28,0,0,7.2
2020-06-29,1,0,7.3
2020-06-30,0,12,7.3
2020-07-01,1,373,6.2
2020-07-02,2,2,4.5
2020-07-03,0,3,2.3
2020-07-04,0,1,2.3
2020-07-05,0,0,2.3
2020-07-06,0,0,1.7
2020-07-07,1,2,2.2
2020-07-08,0,0,1.6
2020-07-09,0,1,0.5
2020-07-10,1,0,1.1
2020-07-11,0,1,1.1
2020-07-12,1,1,1.6
2020-07-13,1,0,2.2
2020-07-14,3,0,3.4
2020-07-15,2,0,4.5
2020-07-16,3,2,6.2
2020-07-17,1,3,6.1
2020-07-18,0,3,6.1
2020-07-19,0,1,5.6
2020-07-20,2,0,6.1
2020-07-21,1,2,5.0
2020-07-22,8,1,8.4
2020-07-23,1,1,7.2
2020-07-24,0,6,6.7
2020-07-25,0,0,6.7
2020-07-26,0,1,6.7
2020-07-27,1,0,6.2
2020-07-28,0,2,5.6
2020-07-29,2,1,2.2
2020-07-30,2,1,2.8
2020-07-31,4,0,5.1
2020-08-01,1,4,5.6
2020-08-02,1,0,6.2
2020-08-03,2,2,6.7
2020-08-04,2,5,7.8
2020-08-05,0,1,6.7
2020-08-06,2,0,6.7
2020-08-07,4,0,6.7
2020-08-08,4,2,8.4
