date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,1,0,1.3
2020-03-16,0,0,1.3
2020-03-17,0,0,1.3
2020-03-18,1,0,2.5
2020-03-19,0,0,2.5
2020-03-20,0,0,2.5
2020-03-21,0,0,2.5
2020-03-22,0,0,1.2
2020-03-23,0,0,1.2
2020-03-24,0,0,1.2
2020-03-25,1,0,1.2
2020-03-26,1,0,2.5
2020-03-27,2,0,4.9
2020-03-28,2,0,7.4
2020-03-29,1,0,8.6
2020-03-30,4,0,13.6
2020-03-31,2,0,16.0
2020-04-01,2,0,17.3
2020-04-02,8,0,25.9
2020-04-03,2,0,25.9
2020-04-04,3,0,27.2
2020-04-05,4,0,30.9
2020-04-06,9,0,37.0
2020-04-07,4,0,39.5
2020-04-08,3,0,40.7
2020-04-09,10,0,43.2
2020-04-10,3,0,44.5
2020-04-11,3,0,44.4
2020-04-12,3,0,43.2
2020-04-13,3,0,35.8
2020-04-14,0,0,30.9
2020-04-15,2,0,29.6
2020-04-16,4,0,22.2
2020-04-17,3,0,22.2
2020-04-18,5,0,24.7
2020-04-19,9,0,32.1
2020-04-20,3,0,32.1
2020-04-21,4,0,37.0
2020-04-22,6,5,42.0
2020-04-23,12,3,51.8
2020-04-24,5,3,54.3
2020-04-25,4,3,53.0
2020-04-26,3,7,45.6
2020-04-27,3,2,45.6
2020-04-28,6,0,48.1
2020-04-29,5,3,46.9
2020-04-30,4,1,37.0
2020-05-01,6,1,38.2
2020-05-02,4,5,38.3
2020-05-03,6,1,42.0
2020-05-04,5,3,44.4
2020-05-05,2,0,39.5
2020-05-06,5,1,39.5
2020-05-07,3,4,38.3
2020-05-08,10,2,43.2
2020-05-09,2,3,40.7
2020-05-10,3,2,37.0
2020-05-11,6,4,38.3
2020-05-12,16,0,55.5
2020-05-13,5,2,55.5
2020-05-14,2,0,54.3
2020-05-15,5,3,48.1
2020-05-16,13,0,61.7
2020-05-17,6,0,65.4
2020-05-18,3,2,61.7
2020-05-19,1,2,43.2
2020-05-20,5,2,43.2
2020-05-21,1,0,41.9
2020-05-22,2,1,38.3
2020-05-23,1,0,23.4
2020-05-24,3,1,19.7
2020-05-25,6,0,23.4
2020-05-26,3,0,25.9
2020-05-27,2,0,22.2
2020-05-28,3,0,24.7
2020-05-29,0,1,22.2
2020-05-30,2,0,23.5
2020-05-31,4,0,24.7
2020-06-01,0,0,17.3
2020-06-02,3,1,17.3
2020-06-03,3,0,18.5
2020-06-04,0,0,14.8
2020-06-05,0,0,14.8
2020-06-06,2,1,14.8
2020-06-07,2,0,12.3
2020-06-08,2,1,14.8
2020-06-09,0,0,11.1
2020-06-10,4,2,12.3
2020-06-11,3,0,16.0
2020-06-12,1,0,17.3
2020-06-13,0,1,14.8
2020-06-14,0,2,12.4
2020-06-15,2,0,12.3
2020-06-16,2,0,14.8
2020-06-17,1,1,11.1
2020-06-18,1,0,8.7
2020-06-19,1,1,8.6
2020-06-20,0,0,8.6
2020-06-21,1,0,9.8
2020-06-22,0,1,7.4
2020-06-23,0,0,4.9
2020-06-24,0,0,3.7
2020-06-25,0,0,2.4
2020-06-26,0,0,1.2
2020-06-27,0,0,1.2
2020-06-28,1,0,1.3
2020-06-29,0,0,1.3
2020-06-30,0,0,1.3
2020-07-01,0,156,1.3
2020-07-02,0,1,1.3
2020-07-03,1,0,2.5
2020-07-04,0,0,2.5
2020-07-05,0,1,1.2
2020-07-06,0,0,1.2
2020-07-07,1,0,2.5
2020-07-08,2,0,4.9
2020-07-09,0,1,4.9
2020-07-10,1,0,5.0
2020-07-11,0,1,5.0
2020-07-12,0,2,5.0
2020-07-13,1,0,6.2
2020-07-14,2,0,7.4
2020-07-15,10,1,17.3
2020-07-16,5,1,23.5
2020-07-17,3,4,25.9
2020-07-18,7,8,34.5
2020-07-19,4,3,39.4
2020-07-20,5,8,44.4
2020-07-21,5,6,48.1
2020-07-22,11,4,49.3
2020-07-23,1,6,44.4
2020-07-24,0,10,40.7
2020-07-25,2,2,34.6
2020-07-26,2,2,32.1
2020-07-27,2,1,28.4
2020-07-28,1,3,23.4
2020-07-29,3,1,13.6
2020-07-30,3,1,16.0
2020-07-31,2,2,18.5
2020-08-01,5,1,22.2
