date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-23,1,0,0.0
2020-02-24,0,0,0.0
2020-02-25,0,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,1,0,0.4
2020-03-09,0,0,0.4
2020-03-10,2,0,1.2
2020-03-11,2,0,2.0
2020-03-12,10,0,6.0
2020-03-13,6,0,8.5
2020-03-14,5,0,10.5
2020-03-15,6,0,12.5
2020-03-16,5,0,14.5
2020-03-17,7,0,16.5
2020-03-18,8,0,19.0
2020-03-19,9,0,18.6
2020-03-20,3,0,17.3
2020-03-21,8,0,18.5
2020-03-22,8,0,19.3
2020-03-23,23,0,26.6
2020-03-24,20,0,31.9
2020-03-25,11,0,33.0
2020-03-26,7,0,32.2
2020-03-27,15,0,37.1
2020-03-28,7,0,36.7
2020-03-29,12,0,38.3
2020-03-30,17,0,35.9
2020-03-31,18,0,35.0
2020-04-01,17,0,37.5
2020-04-02,18,0,41.9
2020-04-03,15,0,41.9
2020-04-04,16,0,45.5
2020-04-05,5,0,42.8
2020-04-06,8,0,39.1
2020-04-07,13,0,37.1
2020-04-08,12,0,35.1
2020-04-09,11,0,32.3
2020-04-10,4,0,27.8
2020-04-11,4,0,23.0
2020-04-12,7,0,23.7
2020-04-13,6,0,23.0
2020-04-14,6,0,20.2
2020-04-15,10,0,19.3
2020-04-16,6,0,17.3
2020-04-17,12,15,20.6
2020-04-18,4,9,20.6
2020-04-19,1,5,18.2
2020-04-20,8,7,18.9
2020-04-21,4,4,18.1
2020-04-22,3,0,15.3
2020-04-23,8,10,16.1
2020-04-24,4,2,12.9
2020-04-25,1,4,11.7
2020-04-26,7,4,14.1
2020-04-27,7,4,13.7
2020-04-28,4,0,13.7
2020-04-29,2,5,13.3
2020-04-30,5,3,12.1
2020-05-01,5,1,12.4
2020-05-02,1,4,12.5
2020-05-03,4,3,11.3
2020-05-04,4,2,10.1
2020-05-05,2,4,9.3
2020-05-06,2,3,9.3
2020-05-07,2,2,8.1
2020-05-08,6,1,8.5
2020-05-09,4,1,9.6
2020-05-10,0,1,8.0
2020-05-11,5,2,8.4
2020-05-12,2,6,8.4
2020-05-13,4,1,9.3
2020-05-14,1,2,8.9
2020-05-15,4,2,8.1
2020-05-16,2,8,7.3
2020-05-17,2,2,8.1
2020-05-18,1,0,6.5
2020-05-19,3,0,6.9
2020-05-20,1,0,5.6
2020-05-21,1,0,5.6
2020-05-22,2,0,4.8
2020-05-23,1,4,4.4
2020-05-24,0,0,3.6
2020-05-25,2,0,4.0
2020-05-26,1,2,3.2
2020-05-27,1,1,3.2
2020-05-28,0,0,2.8
2020-05-29,1,0,2.4
2020-05-30,1,0,2.4
2020-05-31,0,1,2.4
2020-06-01,1,0,2.0
2020-06-02,1,0,2.0
2020-06-03,1,0,2.0
2020-06-04,0,0,2.0
2020-06-05,3,0,2.8
2020-06-06,0,0,2.4
2020-06-07,1,0,2.9
2020-06-08,0,0,2.5
2020-06-09,0,1,2.1
2020-06-10,1,0,2.1
2020-06-11,3,0,3.3
2020-06-12,1,1,2.5
2020-06-13,1,0,2.9
2020-06-14,1,2,2.8
2020-06-15,0,0,2.8
2020-06-16,1,0,3.2
2020-06-17,1,1,3.2
2020-06-18,3,0,3.2
2020-06-19,0,0,2.8
2020-06-20,1,3,2.8
2020-06-21,0,0,2.4
2020-06-22,0,0,2.4
2020-06-23,0,0,2.0
2020-06-24,1,2,2.0
2020-06-25,0,0,0.8
2020-06-26,0,0,0.8
2020-06-27,1,0,0.8
2020-06-28,0,0,0.8
2020-06-29,2,0,1.6
2020-06-30,1,1,2.0
2020-07-01,1,70,2.0
2020-07-02,1,0,2.4
2020-07-03,1,1,2.8
2020-07-04,0,2,2.4
2020-07-05,2,2,3.2
2020-07-06,1,1,2.8
2020-07-07,1,0,2.8
2020-07-08,0,1,2.4
2020-07-09,2,1,2.8
2020-07-10,0,0,2.4
2020-07-11,0,1,2.4
2020-07-12,2,1,2.4
2020-07-13,1,1,2.4
2020-07-14,2,0,2.9
2020-07-15,1,1,3.3
2020-07-16,2,2,3.3
2020-07-17,1,0,3.7
2020-07-18,2,3,4.5
2020-07-19,0,2,3.7
2020-07-20,2,2,4.1
2020-07-21,3,0,4.4
2020-07-22,1,1,4.4
2020-07-23,2,2,4.4
2020-07-24,3,4,5.2
2020-07-25,1,1,4.8
2020-07-26,2,3,5.6
2020-07-27,2,2,5.6
2020-07-28,2,2,5.2
2020-07-29,1,0,5.2
2020-07-30,1,4,4.8
2020-07-31,2,0,4.4
2020-08-01,2,2,4.8
2020-08-02,0,0,4.0
2020-08-03,2,2,4.0
2020-08-04,2,2,4.1
2020-08-05,2,2,4.5
2020-08-06,5,1,6.1
2020-08-07,3,3,6.5
2020-08-08,0,5,5.7
2020-08-09,0,2,5.7
2020-08-10,1,0,5.3
2020-08-11,3,3,5.6
2020-08-12,2,2,5.6
2020-08-13,0,0,3.6
2020-08-14,1,1,2.8
2020-08-15,2,1,3.6
2020-08-16,0,2,3.6
2020-08-17,5,0,5.2
2020-08-18,2,2,4.8
2020-08-19,3,1,5.2
2020-08-20,4,6,6.9
2020-08-21,8,2,9.7
2020-08-22,2,4,9.7
2020-08-23,1,5,10.1
2020-08-24,7,3,10.9
2020-08-25,4,1,11.7
2020-08-26,2,4,11.3
2020-08-27,6,8,12.0
2020-08-28,3,3,10.1
2020-08-29,3,1,10.5
2020-08-30,1,2,10.5
2020-08-31,3,3,8.9
2020-09-01,7,4,10.1
2020-09-02,12,5,14.1
2020-09-03,9,1,15.4
2020-09-04,11,6,18.5
2020-09-05,8,3,20.5
2020-09-06,8,13,23.3
2020-09-07,14,6,27.8
2020-09-08,8,14,28.2
2020-09-09,8,10,26.6
2020-09-10,4,7,24.5
2020-09-11,7,7,23.0
2020-09-12,6,9,22.2
2020-09-13,1,6,19.4
2020-09-14,7,6,16.5
2020-09-15,12,5,18.1
2020-09-16,13,5,20.2
2020-09-17,6,2,21.0
2020-09-18,4,16,19.7
2020-09-19,11,10,21.7
2020-09-20,7,6,24.2
2020-09-21,14,12,27.0
2020-09-22,15,3,28.3
2020-09-23,14,9,28.6
2020-09-24,13,18,31.4
2020-09-25,16,15,36.3
2020-09-26,14,13,37.5
2020-09-27,14,14,40.3
2020-09-28,31,12,47.2
2020-09-29,16,11,47.5
2020-09-30,47,18,60.9
2020-10-01,29,18,67.3
2020-10-02,25,6,70.9
2020-10-03,17,38,72.2
2020-10-04,25,53,76.6
2020-10-05,34,18,77.8
2020-10-06,36,28,85.9
2020-10-07,35,32,81.0
2020-10-08,33,22,82.7
2020-10-09,42,41,89.5
2020-10-10,25,21,92.7
2020-10-11,23,19,91.8
2020-10-12,42,19,95.1
2020-10-13,40,39,96.7
2020-10-14,42,47,99.5
2020-10-15,55,51,108.4
2020-10-16,44,45,109.2
2020-10-17,36,24,113.6
2020-10-18,28,53,115.7
2020-10-19,61,51,123.3
2020-10-20,61,43,131.8
2020-10-21,74,62,144.7
2020-10-22,72,31,151.5
2020-10-23,43,48,151.2
2020-10-24,36,62,151.2
2020-10-25,29,53,151.6
2020-10-26,59,39,150.7
2020-10-27,51,48,146.7
2020-10-28,45,69,135.0
2020-10-29,43,52,123.4
2020-10-30,42,58,122.9
2020-10-31,31,32,120.9
2020-11-01,25,52,119.3
2020-11-02,52,33,116.5
2020-11-03,53,31,117.3
2020-11-04,44,58,116.9
2020-11-05,64,31,125.3
2020-11-06,57,49,131.4
2020-11-07,48,44,138.2
2020-11-08,48,44,147.5
2020-11-09,92,52,163.7
2020-11-10,61,59,166.8
2020-11-11,71,53,177.8
2020-11-12,55,100,174.1
2020-11-13,60,70,175.3
2020-11-14,41,49,172.5
2020-11-15,29,43,164.8
2020-11-16,62,79,152.7
2020-11-17,53,39,149.6
2020-11-18,55,49,143.0
2020-11-19,39,42,136.6
2020-11-20,43,37,129.8
2020-11-21,30,54,125.4
2020-11-22,29,67,125.4
2020-11-23,51,32,120.9
2020-11-24,37,29,114.4
2020-11-25,30,31,104.4
2020-11-26,39,47,104.4
2020-11-27,40,27,103.2
2020-11-28,28,45,102.3
2020-11-29,41,22,107.2
2020-11-30,61,49,111.3
2020-12-01,51,42,116.9
2020-12-02,39,56,120.5
2020-12-03,32,44,117.7
2020-12-04,50,41,121.7
2020-12-05,48,29,129.8
2020-12-06,43,56,130.6
2020-12-07,62,56,130.9
2020-12-08,76,41,141.1
2020-12-09,81,32,158.0
2020-12-10,127,81,196.3
2020-12-11,119,88,224.1
2020-12-12,83,90,238.2
2020-12-13,99,92,260.7
2020-12-14,207,110,319.2
2020-12-15,216,84,375.6
2020-12-16,251,153,444.2
2020-12-17,246,102,492.1
2020-12-18,260,153,548.9
2020-12-19,192,181,592.9
2020-12-20,193,244,630.8
2020-12-21,275,281,658.2
2020-12-22,320,251,700.1
2020-12-23,273,233,708.9
2020-12-24,155,238,672.3
2020-12-25,87,201,602.5
2020-12-26,281,140,638.4
2020-12-27,286,211,675.9
2020-12-28,206,255,648.1
2020-12-29,404,341,681.9
2020-12-30,389,303,728.7
2020-12-31,249,225,766.6
2021-01-01,147,360,790.8
2021-01-02,259,222,781.9
2021-01-03,328,279,798.8
2021-01-04,380,178,868.9
2021-01-05,317,304,833.9
2021-01-06,325,413,808.1
2021-01-07,221,202,796.8
2021-01-08,214,346,823.8
2021-01-09,174,284,789.6
2021-01-10,136,370,712.2
2021-01-11,274,184,669.5
2021-01-12,223,167,631.6
2021-01-13,170,220,569.1
2021-01-14,178,208,551.7
2021-01-15,227,216,557.0
2021-01-16,100,204,527.1
2021-01-17,96,257,511.0
2021-01-18,160,81,465.1
2021-01-19,108,110,418.7
2021-01-20,135,136,404.6
2021-01-21,102,113,374.1
2021-01-22,105,163,324.9
2021-01-23,90,105,320.8
2021-01-24,64,128,307.9
2021-01-25,113,68,289.0
2021-01-26,93,101,283.0
2021-01-27,80,80,260.8
2021-01-28,78,91,251.0
2021-01-29,56,111,231.3
2021-01-30,49,60,214.9
2021-01-31,36,57,203.6
2021-02-01,65,48,184.2
2021-02-02,49,48,166.4
2021-02-03,54,50,156.0
2021-02-04,30,68,136.7
2021-02-05,49,45,133.8
2021-02-06,34,36,127.7
