date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-27,1,0,0.0
2020-02-28,1,0,0.7
2020-02-29,0,0,0.7
2020-03-01,0,0,0.7
2020-03-02,4,0,3.2
2020-03-03,0,0,3.2
2020-03-04,4,0,5.8
2020-03-05,6,0,9.6
2020-03-06,0,0,8.9
2020-03-07,1,0,9.5
2020-03-08,2,0,10.8
2020-03-09,4,0,10.9
2020-03-10,10,0,17.2
2020-03-11,10,0,21.0
2020-03-12,6,0,21.0
2020-03-13,3,0,22.9
2020-03-14,5,0,25.5
2020-03-15,1,0,24.9
2020-03-16,6,0,26.1
2020-03-17,7,0,24.3
2020-03-18,8,0,23.0
2020-03-19,5,0,22.3
2020-03-20,5,0,23.6
2020-03-21,6,0,24.3
2020-03-22,6,0,27.4
2020-03-23,9,0,29.3
2020-03-24,8,0,29.9
2020-03-25,14,0,33.7
2020-03-26,24,0,45.9
2020-03-27,20,0,55.5
2020-03-28,9,0,57.3
2020-03-29,9,0,59.3
2020-03-30,23,0,68.2
2020-03-31,20,0,75.9
2020-04-01,17,0,77.8
2020-04-02,22,0,76.5
2020-04-03,15,0,73.3
2020-04-04,8,0,72.7
2020-04-05,6,0,70.7
2020-04-06,11,0,63.1
2020-04-07,19,0,62.5
2020-04-08,20,0,64.4
2020-04-09,18,0,61.9
2020-04-10,11,0,59.3
2020-04-11,4,0,56.7
2020-04-12,3,0,54.9
2020-04-13,7,0,52.3
2020-04-14,8,0,45.2
2020-04-15,6,0,36.3
2020-04-16,10,0,31.2
2020-04-17,8,13,29.3
2020-04-18,5,8,30.0
2020-04-19,1,10,28.6
2020-04-20,7,5,28.7
2020-04-21,7,5,28.1
2020-04-22,17,2,35.1
2020-04-23,6,4,32.5
2020-04-24,0,6,27.4
2020-04-25,5,18,27.4
2020-04-26,3,4,28.7
2020-04-27,5,0,27.4
2020-04-28,3,3,24.8
2020-04-29,2,2,15.3
2020-04-30,5,3,14.7
2020-05-01,5,2,17.9
2020-05-02,2,1,16.0
2020-05-03,3,0,16.0
2020-05-04,1,1,13.4
2020-05-05,1,9,12.1
2020-05-06,3,1,12.8
2020-05-07,4,2,12.1
2020-05-08,2,1,10.2
2020-05-09,2,0,10.2
2020-05-10,0,5,8.3
2020-05-11,1,0,8.3
2020-05-12,2,1,9.0
2020-05-13,1,0,7.6
2020-05-14,0,0,5.1
2020-05-15,1,0,4.4
2020-05-16,0,3,3.1
2020-05-17,2,1,4.4
2020-05-18,3,1,5.7
2020-05-19,0,1,4.4
2020-05-20,1,0,4.5
2020-05-21,5,0,7.7
2020-05-22,0,0,7.1
2020-05-23,1,0,7.7
2020-05-24,1,4,7.0
2020-05-25,0,3,5.1
2020-05-26,1,2,5.8
2020-05-27,0,0,5.1
2020-05-28,1,0,2.5
2020-05-29,2,0,3.8
2020-05-30,1,1,3.8
2020-05-31,0,1,3.2
2020-06-01,1,1,3.9
2020-06-02,0,0,3.2
2020-06-03,0,2,3.2
2020-06-04,0,0,2.6
2020-06-05,0,0,1.3
2020-06-06,1,0,1.3
2020-06-07,3,0,3.2
2020-06-08,1,0,3.1
2020-06-09,0,3,3.1
2020-06-10,0,0,3.1
2020-06-11,0,1,3.1
2020-06-12,1,0,3.8
2020-06-13,0,0,3.2
2020-06-14,2,2,2.6
2020-06-15,0,0,2.0
2020-06-16,1,0,2.6
2020-06-17,6,0,6.4
2020-06-18,0,1,6.4
2020-06-19,1,1,6.4
2020-06-20,0,5,6.4
2020-06-21,0,2,5.1
2020-06-22,2,0,6.3
2020-06-23,2,2,7.0
2020-06-24,3,1,5.1
2020-06-25,1,4,5.8
2020-06-26,0,0,5.1
2020-06-27,0,5,5.1
2020-06-28,0,0,5.1
2020-06-29,0,1,3.9
2020-06-30,1,0,3.2
2020-07-01,0,34,1.3
2020-07-02,0,0,0.6
2020-07-03,1,0,1.2
2020-07-04,0,1,1.2
2020-07-05,0,1,1.2
2020-07-06,1,0,1.9
2020-07-07,1,0,1.9
2020-07-08,1,1,2.5
2020-07-09,0,0,2.5
2020-07-10,1,1,2.6
2020-07-11,0,1,2.6
2020-07-12,0,1,2.6
2020-07-13,0,0,1.9
2020-07-14,0,1,1.3
2020-07-15,3,0,2.6
2020-07-16,1,0,3.2
2020-07-17,1,3,3.2
2020-07-18,0,6,3.2
2020-07-19,1,1,3.8
2020-07-20,2,0,5.1
2020-07-21,3,0,7.0
2020-07-22,2,3,6.4
2020-07-23,0,3,5.8
2020-07-24,4,3,7.6
2020-07-25,1,0,8.3
2020-07-26,1,3,8.3
2020-07-27,1,1,7.6
2020-07-28,3,3,7.6
2020-07-29,2,1,7.6
2020-07-30,0,0,7.6
2020-07-31,3,1,7.0
2020-08-01,1,4,7.0
2020-08-02,1,0,7.0
2020-08-03,1,2,7.0
2020-08-04,1,0,5.8
2020-08-05,1,4,5.1
2020-08-06,3,0,7.0
2020-08-07,1,1,5.8
2020-08-08,3,0,7.0
2020-08-09,4,3,8.9
2020-08-10,4,3,10.9
2020-08-11,3,2,12.1
2020-08-12,5,1,14.7
2020-08-13,5,0,16.0
2020-08-14,1,8,15.9
2020-08-15,1,3,14.6
2020-08-16,2,4,13.4
2020-08-17,4,3,13.4
2020-08-18,2,2,12.7
2020-08-19,4,1,12.1
2020-08-20,8,3,14.0
2020-08-21,3,3,15.3
2020-08-22,2,4,16.0
2020-08-23,3,3,16.6
2020-08-24,12,2,21.6
2020-08-25,6,7,24.3
2020-08-26,5,5,24.9
2020-08-27,8,7,24.9
2020-08-28,6,6,26.8
2020-08-29,2,6,26.8
2020-08-30,6,8,28.7
2020-08-31,5,2,24.3
2020-09-01,8,7,25.5
2020-09-02,10,1,28.6
2020-09-03,9,12,29.3
2020-09-04,7,10,29.9
2020-09-05,4,2,31.2
2020-09-06,7,9,31.9
2020-09-07,9,8,34.4
2020-09-08,3,11,31.2
2020-09-09,10,6,31.3
2020-09-10,9,3,31.2
2020-09-11,10,8,33.2
2020-09-12,2,12,31.9
2020-09-13,0,8,27.4
2020-09-14,5,3,24.9
2020-09-15,11,4,30.0
2020-09-16,5,4,26.8
2020-09-17,5,0,24.2
2020-09-18,6,7,21.7
2020-09-19,2,5,21.6
2020-09-20,6,7,25.5
2020-09-21,6,3,26.1
2020-09-22,5,2,22.3
2020-09-23,11,6,26.1
2020-09-24,7,7,27.5
2020-09-25,4,6,26.1
2020-09-26,6,5,28.7
2020-09-27,5,6,28.0
2020-09-28,15,7,33.8
2020-09-29,17,2,41.4
2020-09-30,18,7,45.9
2020-10-01,17,10,52.2
2020-10-02,30,10,68.9
2020-10-03,21,18,78.4
2020-10-04,14,24,84.2
2020-10-05,24,7,89.9
2020-10-06,27,19,96.3
2020-10-07,32,34,105.2
2020-10-08,30,32,113.5
2020-10-09,23,24,109.0
2020-10-10,10,27,102.0
2020-10-11,8,12,98.1
2020-10-12,37,8,106.4
2020-10-13,31,27,109.0
2020-10-14,30,21,107.7
2020-10-15,49,24,119.9
2020-10-16,31,31,124.9
2020-10-17,24,32,133.9
2020-10-18,20,33,141.6
2020-10-19,44,42,146.0
2020-10-20,57,27,162.6
2020-10-21,44,42,171.5
2020-10-22,38,38,164.4
2020-10-23,34,31,166.4
2020-10-24,26,44,167.7
2020-10-25,21,25,168.3
2020-10-26,33,30,161.3
2020-10-27,29,34,143.4
2020-10-28,38,43,139.6
2020-10-29,39,21,140.3
2020-10-30,25,37,134.5
2020-10-31,18,32,129.4
2020-11-01,18,24,127.5
2020-11-02,38,29,130.7
2020-11-03,30,19,131.3
2020-11-04,21,30,120.5
2020-11-05,23,25,110.3
2020-11-06,27,21,111.6
2020-11-07,20,26,112.8
2020-11-08,31,21,121.1
2020-11-09,42,25,123.7
2020-11-10,25,15,120.5
2020-11-11,47,40,137.1
2020-11-12,41,56,148.5
2020-11-13,24,45,146.6
2020-11-14,27,49,151.1
2020-11-15,24,35,146.6
2020-11-16,39,38,144.7
2020-11-17,38,36,153.0
2020-11-18,24,23,138.3
2020-11-19,29,34,130.7
2020-11-20,35,22,137.7
2020-11-21,15,34,130.1
2020-11-22,21,47,128.1
2020-11-23,25,17,119.2
2020-11-24,32,12,115.4
2020-11-25,25,31,116.0
2020-11-26,24,45,112.8
2020-11-27,17,21,101.4
2020-11-28,19,25,103.9
2020-11-29,17,12,101.4
2020-11-30,43,23,112.8
2020-12-01,17,12,103.3
2020-12-02,25,17,103.3
2020-12-03,25,39,103.9
2020-12-04,31,31,112.8
2020-12-05,22,22,114.7
2020-12-06,28,44,121.8
2020-12-07,37,21,118.0
2020-12-08,44,28,135.1
2020-12-09,33,26,140.2
2020-12-10,34,36,146.0
2020-12-11,60,36,164.5
2020-12-12,49,27,181.7
2020-12-13,53,40,197.6
2020-12-14,106,51,241.6
2020-12-15,93,41,272.9
2020-12-16,104,68,318.2
2020-12-17,104,76,362.8
2020-12-18,131,82,408.0
2020-12-19,82,108,429.0
2020-12-20,84,121,448.8
2020-12-21,173,100,491.5
2020-12-22,152,86,529.1
2020-12-23,141,98,552.7
2020-12-24,105,158,553.3
2020-12-25,31,116,489.6
2020-12-26,121,105,514.5
2020-12-27,142,63,551.4
2020-12-28,154,153,539.3
2020-12-29,201,123,570.5
2020-12-30,175,167,592.2
2020-12-31,143,117,616.5
2021-01-01,72,195,642.6
2021-01-02,135,150,651.5
2021-01-03,142,159,651.5
2021-01-04,184,115,670.6
2021-01-05,145,148,635.0
2021-01-06,192,150,645.8
2021-01-07,176,120,666.8
2021-01-08,139,222,709.5
2021-01-09,102,163,688.5
2021-01-10,92,191,656.7
2021-01-11,148,104,633.7
2021-01-12,118,119,616.4
2021-01-13,104,119,560.3
2021-01-14,90,120,505.5
2021-01-15,90,110,474.3
2021-01-16,76,121,457.7
2021-01-17,59,111,436.6
2021-01-18,106,75,409.9
2021-01-19,59,65,372.3
2021-01-20,64,53,346.8
2021-01-21,63,85,329.6
2021-01-22,63,90,312.4
2021-01-23,47,66,293.9
2021-01-24,35,61,278.6
2021-01-25,58,47,248.0
2021-01-26,42,46,237.2
2021-01-27,53,42,230.2
2021-01-28,51,71,222.5
2021-01-29,50,54,214.2
2021-01-30,30,43,203.4
2021-01-31,26,38,197.7
2021-02-01,40,35,186.2
2021-02-02,37,32,182.9
2021-02-03,37,36,172.7
2021-02-04,32,48,160.6
2021-02-05,32,34,149.1
2021-02-06,22,37,144.1
2021-02-07,15,25,137.0
2021-02-08,24,21,126.8
2021-02-09,19,26,115.4
2021-02-10,20,26,104.6
2021-02-11,20,20,96.9
2021-02-12,31,27,96.3
2021-02-13,14,20,91.1
2021-02-14,9,23,87.4
2021-02-15,17,21,82.9
2021-02-16,15,11,80.4
2021-02-17,21,13,80.9
2021-02-18,13,18,76.5
2021-02-19,11,22,63.7
2021-02-20,10,16,61.2
2021-02-21,9,12,61.2
2021-02-22,8,7,55.5
2021-02-23,10,13,52.2
2021-02-24,11,10,45.9
2021-02-25,10,15,44.0
2021-02-26,12,5,44.7
2021-02-27,6,13,42.1
2021-02-28,6,9,40.1
2021-03-01,7,6,39.5
2021-03-02,6,0,37.0
2021-03-03,7,11,34.5
2021-03-04,3,5,30.0
2021-03-05,7,3,26.7
2021-03-06,3,13,24.9
2021-03-07,2,0,22.3
2021-03-08,8,7,22.9
2021-03-09,7,12,23.6
2021-03-10,10,2,25.5
2021-03-11,4,2,26.1
2021-03-12,7,9,26.2
