date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-28,2,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,1,0,0.1
2020-03-05,0,0,0.1
2020-03-06,0,0,0.1
2020-03-07,2,0,0.3
2020-03-08,0,0,0.3
2020-03-09,3,0,0.7
2020-03-10,0,0,0.7
2020-03-11,3,0,1.0
2020-03-12,1,0,1.1
2020-03-13,0,0,1.1
2020-03-14,0,0,0.9
2020-03-15,2,0,1.2
2020-03-16,1,0,0.9
2020-03-17,3,0,1.3
2020-03-18,4,0,1.4
2020-03-19,6,0,2.0
2020-03-20,8,0,3.0
2020-03-21,6,0,3.8
2020-03-22,11,0,4.9
2020-03-23,18,0,7.1
2020-03-24,18,0,8.9
2020-03-25,11,0,9.8
2020-03-26,20,0,11.6
2020-03-27,21,0,13.3
2020-03-28,26,0,15.8
2020-03-29,21,0,17.0
2020-03-30,27,0,18.1
2020-03-31,24,0,18.9
2020-04-01,31,0,21.4
2020-04-02,30,0,22.7
2020-04-03,37,0,24.7
2020-04-04,17,0,23.5
2020-04-05,36,0,25.5
2020-04-06,50,0,28.4
2020-04-07,65,0,33.6
2020-04-08,44,0,35.2
2020-04-09,44,0,37.0
2020-04-10,47,0,38.2
2020-04-11,41,0,41.3
2020-04-12,40,0,41.7
2020-04-13,28,0,38.9
2020-04-14,38,0,35.5
2020-04-15,78,0,39.9
2020-04-16,94,0,46.1
2020-04-17,65,41,48.4
2020-04-18,53,56,49.9
2020-04-19,87,53,55.9
2020-04-20,62,37,60.2
2020-04-21,78,28,65.2
2020-04-22,108,52,68.9
2020-04-23,79,39,67.1
2020-04-24,101,62,71.6
2020-04-25,44,60,70.5
2020-04-26,46,38,65.3
2020-04-27,70,64,66.3
2020-04-28,70,35,65.3
2020-04-29,83,14,62.2
2020-04-30,52,45,58.7
2020-05-01,87,27,57.0
2020-05-02,49,40,57.6
2020-05-03,34,29,56.1
2020-05-04,48,16,53.3
2020-05-05,53,34,51.2
2020-05-06,53,21,47.4
2020-05-07,83,21,51.4
2020-05-08,48,23,46.4
2020-05-09,25,20,43.4
2020-05-10,46,37,44.9
2020-05-11,59,5,46.3
2020-05-12,36,21,44.1
2020-05-13,53,1,44.1
2020-05-14,39,16,38.5
2020-05-15,28,18,36.1
2020-05-16,38,15,37.7
2020-05-17,43,11,37.3
2020-05-18,39,12,34.8
2020-05-19,39,11,35.2
2020-05-20,41,11,33.7
