date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,1,0,0.0
2020-03-12,1,0,0.3
2020-03-13,1,0,0.5
2020-03-14,0,0,0.5
2020-03-15,0,0,0.5
2020-03-16,2,0,1.1
2020-03-17,3,0,2.0
2020-03-18,5,0,3.4
2020-03-19,6,0,4.8
2020-03-20,2,0,5.1
2020-03-21,5,0,6.5
2020-03-22,7,0,8.5
2020-03-23,11,0,11.0
2020-03-24,20,0,15.8
2020-03-25,5,0,15.8
2020-03-26,13,0,17.8
2020-03-27,8,0,19.5
2020-03-28,11,0,21.2
2020-03-29,1,0,19.5
2020-03-30,5,0,17.8
2020-03-31,27,0,19.7
2020-04-01,33,0,27.7
2020-04-02,24,0,30.7
2020-04-03,26,0,35.9
2020-04-04,15,0,37.0
2020-04-05,20,0,42.4
2020-04-06,26,0,48.3
2020-04-07,25,0,47.8
2020-04-08,20,0,44.0
2020-04-09,31,0,46.1
2020-04-10,20,0,44.3
2020-04-11,17,0,44.9
2020-04-12,24,0,46.0
2020-04-13,10,0,41.5
2020-04-14,14,0,38.4
2020-04-15,15,0,37.0
2020-04-16,10,0,31.1
2020-04-17,12,15,28.8
2020-04-18,18,13,29.1
2020-04-19,27,8,30.0
2020-04-20,28,12,35.1
2020-04-21,19,21,36.4
2020-04-22,30,24,40.7
2020-04-23,23,25,44.3
2020-04-24,37,15,51.5
2020-04-25,21,19,52.3
2020-04-26,7,13,46.6
2020-04-27,35,14,48.6
2020-04-28,32,14,52.3
2020-04-29,37,10,54.2
2020-04-30,42,18,59.6
2020-05-01,16,16,53.6
2020-05-02,11,12,50.8
2020-05-03,18,0,53.9
2020-05-04,37,14,54.5
2020-05-05,25,6,52.5
2020-05-06,55,18,57.7
2020-05-07,30,9,54.2
2020-05-08,34,7,59.3
2020-05-09,18,15,61.3
2020-05-10,27,13,63.9
2020-05-11,33,4,62.7
2020-05-12,40,8,67.0
2020-05-13,38,10,62.1
2020-05-14,29,9,61.9
2020-05-15,44,7,64.7
2020-05-16,60,5,76.6
2020-05-17,34,11,78.5
2020-05-18,33,12,78.5
2020-05-19,45,7,79.9
2020-05-20,41,5,80.8
2020-05-21,49,4,86.4
2020-05-22,23,8,80.5
2020-05-23,30,7,72.0
2020-05-24,21,4,68.3
2020-05-25,26,5,66.4
2020-05-26,24,4,60.5
2020-05-27,31,3,57.6
2020-05-28,34,7,53.4
2020-05-29,25,6,54.0
2020-05-30,22,7,51.7
2020-05-31,26,5,53.1
2020-06-01,44,4,58.2
2020-06-02,69,7,70.8
2020-06-03,29,4,70.3
2020-06-04,38,4,71.5
2020-06-05,28,3,72.3
2020-06-06,24,7,72.9
2020-06-07,47,3,78.8
2020-06-08,59,5,83.0
2020-06-09,65,1,82.0
2020-06-10,60,3,90.7
2020-06-11,76,4,101.4
2020-06-12,56,15,109.3
2020-06-13,58,7,118.9
2020-06-14,63,5,123.5
2020-06-15,77,5,128.5
2020-06-16,72,7,130.5
2020-06-17,68,8,132.8
2020-06-18,74,2,132.2
2020-06-19,80,6,139.0
2020-06-20,66,9,141.2
2020-06-21,65,3,141.8
2020-06-22,93,3,146.3
2020-06-23,92,3,151.9
2020-06-24,98,2,160.4
2020-06-25,74,12,160.4
2020-06-26,71,4,157.9
2020-06-27,52,14,153.9
2020-06-28,37,6,146.0
2020-06-29,80,4,142.4
2020-06-30,60,3,133.3
2020-07-01,71,2568,125.7
2020-07-02,58,46,121.2
2020-07-03,64,62,119.2
2020-07-04,40,59,115.8
2020-07-05,80,56,127.9
2020-07-06,81,37,128.2
2020-07-07,58,77,127.7
2020-07-08,62,72,125.1
2020-07-09,44,74,121.1
2020-07-10,67,39,122.0
2020-07-11,60,49,127.7
2020-07-12,26,67,112.5
2020-07-13,52,59,104.3
2020-07-14,39,31,98.9
2020-07-15,39,41,92.4
2020-07-16,47,43,93.3
2020-07-17,36,49,84.4
2020-07-18,35,43,77.4
2020-07-19,19,48,75.4
2020-07-20,32,41,69.7
2020-07-21,28,16,66.6
2020-07-22,48,33,69.2
2020-07-23,42,26,67.7
2020-07-24,30,39,66.1
2020-07-25,14,34,60.2
2020-07-26,18,36,59.9
2020-07-27,45,23,63.6
2020-07-28,19,8,61.0
2020-07-29,39,48,58.5
2020-07-30,42,22,58.5
2020-07-31,18,33,55.1
2020-08-01,29,25,59.3
2020-08-02,13,23,57.9
2020-08-03,33,42,54.5
2020-08-04,27,26,56.8
2020-08-05,48,30,59.3
2020-08-06,46,20,60.5
2020-08-07,39,39,66.4
2020-08-08,39,15,69.2
2020-08-09,20,34,71.1
2020-08-10,36,38,72.0
2020-08-11,30,57,72.9
2020-08-12,27,42,66.9
2020-08-13,34,0,63.5
2020-08-14,29,37,60.7
2020-08-15,17,35,54.5
2020-08-16,11,21,52.0
2020-08-17,49,17,55.7
2020-08-18,35,25,57.0
2020-08-19,20,28,55.1
2020-08-20,21,53,51.4
2020-08-21,24,16,50.0
2020-08-22,9,25,47.7
2020-08-23,10,21,47.5
2020-08-24,19,15,38.9
2020-08-25,11,11,32.2
2020-08-26,12,12,29.9
2020-08-27,12,26,27.4
2020-08-28,19,10,26.0
2020-08-29,9,8,26.0
2020-08-30,10,24,26.0
2020-08-31,15,11,24.9
2020-09-01,34,10,31.4
2020-09-02,46,17,41.0
2020-09-03,30,19,46.1
2020-09-04,39,24,51.7
2020-09-05,30,26,57.7
2020-09-06,26,36,62.1
2020-09-07,60,29,74.8
2020-09-08,56,34,81.1
2020-09-09,57,34,84.2
2020-09-10,40,37,87.0
2020-09-11,50,53,90.1
2020-09-12,41,60,93.2
2020-09-13,30,39,94.3
2020-09-14,50,41,91.6
2020-09-15,60,57,92.6
2020-09-16,55,57,92.0
2020-09-17,66,47,99.4
2020-09-18,77,63,107.0
2020-09-19,78,44,117.5
2020-09-20,35,62,119.0
2020-09-21,68,45,124.0
2020-09-22,68,58,126.3
2020-09-23,62,81,128.3
2020-09-24,52,92,124.3
2020-09-25,48,41,116.1
2020-09-26,58,39,110.4
2020-09-27,37,38,111.0
2020-09-28,48,21,105.3
2020-09-29,82,65,109.3
2020-09-30,88,24,116.6
2020-10-01,87,47,126.5
2020-10-02,106,63,142.9
2020-10-03,64,100,144.6
2020-10-04,72,181,154.5
