date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,2,0,1.9
2020-03-18,0,0,1.9
2020-03-19,1,0,2.9
2020-03-20,0,0,2.9
2020-03-21,3,0,5.8
2020-03-22,1,0,6.7
2020-03-23,1,0,7.7
2020-03-24,1,0,6.8
2020-03-25,5,0,11.6
2020-03-26,2,0,12.5
2020-03-27,2,0,14.5
2020-03-28,3,0,14.5
2020-03-29,2,0,15.5
2020-03-30,5,0,19.3
2020-03-31,9,0,27.0
2020-04-01,3,0,25.1
2020-04-02,4,0,27.1
2020-04-03,6,0,30.9
2020-04-04,11,0,38.6
2020-04-05,3,0,39.6
2020-04-06,4,0,38.7
2020-04-07,6,0,35.7
2020-04-08,3,0,35.7
2020-04-09,9,0,40.5
2020-04-10,6,0,40.5
2020-04-11,3,0,32.8
2020-04-12,3,0,32.8
2020-04-13,3,0,31.8
2020-04-14,1,0,27.1
2020-04-15,5,0,29.0
2020-04-16,7,0,27.1
2020-04-17,10,0,30.9
2020-04-18,8,0,35.8
2020-04-19,6,0,38.7
2020-04-20,3,0,38.7
2020-04-21,12,0,49.3
2020-04-22,8,2,52.2
2020-04-23,6,3,51.2
2020-04-24,7,3,48.3
2020-04-25,7,1,47.3
2020-04-26,2,2,43.4
2020-04-27,2,3,42.5
2020-04-28,4,0,34.7
2020-04-29,6,7,32.8
2020-04-30,4,1,30.9
2020-05-01,4,1,28.1
2020-05-02,7,2,28.0
2020-05-03,8,3,33.8
2020-05-04,12,7,43.4
2020-05-05,2,4,41.6
2020-05-06,7,9,42.5
2020-05-07,5,1,43.5
2020-05-08,3,0,42.5
2020-05-09,1,0,36.7
2020-05-10,11,0,39.6
2020-05-11,6,0,33.8
2020-05-12,3,0,34.7
2020-05-13,6,1,33.8
2020-05-14,2,1,30.9
2020-05-15,1,1,28.9
2020-05-16,0,1,28.0
2020-05-17,1,2,18.4
2020-05-18,2,0,14.5
2020-05-19,1,1,12.6
2020-05-20,2,0,8.7
2020-05-21,1,1,7.7
2020-05-22,0,2,6.8
2020-05-23,1,0,7.8
2020-05-24,6,0,12.6
2020-05-25,12,0,22.2
2020-05-26,3,0,24.1
2020-05-27,4,6,26.1
2020-05-28,1,5,26.1
2020-05-29,4,0,29.9
2020-05-30,1,2,29.9
2020-05-31,1,1,25.1
2020-06-01,3,1,16.5
2020-06-02,3,0,16.5
2020-06-03,2,0,14.5
2020-06-04,0,4,13.5
2020-06-05,2,0,11.6
2020-06-06,1,0,11.6
2020-06-07,0,0,10.6
2020-06-08,0,1,7.7
2020-06-09,2,0,6.7
2020-06-10,3,0,7.7
2020-06-11,1,0,8.7
2020-06-12,1,1,7.8
2020-06-13,0,0,6.8
2020-06-14,2,0,8.7
2020-06-15,2,0,10.6
2020-06-16,2,2,10.7
2020-06-17,3,0,10.7
2020-06-18,0,4,9.7
2020-06-19,1,0,9.6
2020-06-20,0,1,9.6
2020-06-21,3,0,10.6
2020-06-22,0,0,8.7
2020-06-23,0,1,6.7
2020-06-24,0,0,3.8
2020-06-25,2,0,5.7
2020-06-26,1,0,5.8
2020-06-27,1,0,6.8
2020-06-28,0,0,3.9
2020-06-29,0,0,3.9
2020-06-30,0,0,3.9
2020-07-01,1,138,4.8
2020-07-02,2,1,4.9
2020-07-03,1,2,4.8
2020-07-04,0,2,3.8
2020-07-05,0,1,3.8
2020-07-06,0,0,3.8
2020-07-07,0,0,3.8
2020-07-08,0,0,2.9
2020-07-09,4,0,4.8
2020-07-10,3,0,6.8
2020-07-11,0,4,6.8
2020-07-12,0,3,6.8
2020-07-13,0,0,6.8
2020-07-14,0,0,6.8
2020-07-15,2,0,8.7
2020-07-16,1,0,5.8
2020-07-17,1,1,3.9
2020-07-18,1,0,4.8
2020-07-19,0,1,4.8
2020-07-20,0,1,4.8
2020-07-21,1,1,5.8
2020-07-22,2,1,5.8
2020-07-23,1,0,5.8
2020-07-24,0,2,4.8
2020-07-25,0,1,3.9
2020-07-26,0,0,3.9
2020-07-27,0,1,3.9
2020-07-28,0,0,2.9
2020-07-29,2,0,2.9
2020-07-30,0,0,1.9
2020-07-31,0,0,1.9
2020-08-01,0,0,1.9
