date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-11,1,0,0.0
2020-02-12,0,0,0.0
2020-02-13,0,0,0.0
2020-02-14,0,0,0.0
2020-02-15,0,0,0.0
2020-02-16,0,0,0.0
2020-02-17,0,0,0.0
2020-02-18,0,0,0.0
2020-02-19,0,0,0.0
2020-02-20,0,0,0.0
2020-02-21,0,0,0.0
2020-02-22,0,0,0.0
2020-02-23,0,0,0.0
2020-02-24,0,0,0.0
2020-02-25,0,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,1,0,0.4
2020-03-05,0,0,0.4
2020-03-06,0,0,0.4
2020-03-07,1,0,0.7
2020-03-08,0,0,0.7
2020-03-09,0,0,0.7
2020-03-10,1,0,1.0
2020-03-11,5,0,2.2
2020-03-12,9,0,5.2
2020-03-13,3,0,6.2
2020-03-14,2,0,6.5
2020-03-15,6,0,8.5
2020-03-16,11,0,12.1
2020-03-17,8,0,14.4
2020-03-18,9,0,15.8
2020-03-19,16,0,18.0
2020-03-20,22,0,24.2
2020-03-21,8,0,26.2
2020-03-22,19,0,30.5
2020-03-23,27,0,35.7
2020-03-24,15,0,38.0
2020-03-25,24,0,42.9
2020-03-26,26,0,46.2
2020-03-27,34,0,50.1
2020-03-28,21,0,54.4
2020-03-29,25,0,56.3
2020-03-30,28,0,56.7
2020-03-31,38,0,64.2
2020-04-01,37,0,68.4
2020-04-02,56,0,78.3
2020-04-03,51,0,83.9
2020-04-04,29,0,86.5
2020-04-05,32,0,88.8
2020-04-06,46,0,94.6
2020-04-07,31,0,92.4
2020-04-08,28,0,89.4
2020-04-09,33,0,81.9
2020-04-10,13,0,69.4
2020-04-11,15,0,64.8
2020-04-12,19,0,60.6
2020-04-13,29,0,55.1
2020-04-14,16,0,50.1
2020-04-15,25,0,49.2
2020-04-16,17,0,43.8
2020-04-17,30,20,49.5
2020-04-18,6,14,46.5
2020-04-19,11,44,43.8
2020-04-20,14,4,38.9
2020-04-21,30,12,43.6
