date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,1,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,0.9
2020-03-15,2,0,2.8
2020-03-16,1,0,3.7
2020-03-17,0,0,3.7
2020-03-18,0,0,3.7
2020-03-19,2,0,5.5
2020-03-20,0,0,5.5
2020-03-21,2,0,6.4
2020-03-22,0,0,4.5
2020-03-23,0,0,3.6
2020-03-24,3,0,6.4
2020-03-25,1,0,7.3
2020-03-26,7,0,11.9
2020-03-27,7,0,18.3
2020-03-28,3,0,19.2
2020-03-29,5,0,23.8
2020-03-30,7,0,30.2
2020-03-31,7,0,33.8
2020-04-01,2,0,34.7
2020-04-02,4,0,32.0
2020-04-03,4,0,29.3
2020-04-04,3,0,29.3
2020-04-05,1,0,25.6
2020-04-06,9,0,27.4
2020-04-07,4,0,24.7
2020-04-08,1,0,23.8
2020-04-09,5,0,24.7
2020-04-10,1,0,21.9
2020-04-11,0,0,19.2
2020-04-12,5,0,22.9
2020-04-13,1,0,15.6
2020-04-14,0,0,11.9
2020-04-15,2,0,12.8
2020-04-16,4,0,11.9
2020-04-17,5,0,15.5
2020-04-18,1,0,16.5
2020-04-19,3,0,14.6
2020-04-20,3,0,16.5
2020-04-21,7,0,22.9
2020-04-22,10,2,30.2
2020-04-23,6,1,32.0
2020-04-24,2,1,29.3
2020-04-25,5,3,32.9
2020-04-26,0,0,30.2
2020-04-27,9,0,35.6
2020-04-28,3,0,32.0
2020-04-29,5,0,27.4
2020-04-30,7,7,28.3
2020-05-01,3,3,29.3
2020-05-02,5,0,29.2
2020-05-03,2,2,31.1
2020-05-04,9,0,31.1
2020-05-05,5,2,32.9
2020-05-06,4,2,32.0
2020-05-07,0,1,25.6
2020-05-08,4,2,26.5
2020-05-09,0,0,22.0
2020-05-10,1,1,21.0
2020-05-11,4,0,16.5
2020-05-12,8,0,19.2
2020-05-13,3,0,18.3
2020-05-14,4,2,22.0
2020-05-15,2,2,20.1
2020-05-16,0,0,20.1
2020-05-17,4,1,22.9
2020-05-18,1,0,20.1
2020-05-19,2,1,14.6
2020-05-20,4,0,15.6
2020-05-21,5,2,16.4
2020-05-22,6,3,20.1
2020-05-23,2,1,22.0
2020-05-24,0,0,18.3
2020-05-25,3,5,20.1
2020-05-26,3,0,21.0
2020-05-27,3,0,20.1
2020-05-28,5,0,20.2
2020-05-29,2,1,16.5
2020-05-30,6,0,20.1
2020-05-31,1,2,21.0
2020-06-01,25,2,41.2
2020-06-02,2,1,40.3
2020-06-03,0,0,37.5
2020-06-04,2,0,34.7
2020-06-05,2,0,34.7
2020-06-06,1,0,30.2
2020-06-07,3,0,32.0
2020-06-08,3,0,11.8
2020-06-09,3,0,12.8
2020-06-10,3,0,15.5
2020-06-11,1,0,14.6
2020-06-12,1,0,13.8
2020-06-13,4,0,16.4
2020-06-14,1,0,14.6
2020-06-15,3,0,14.7
2020-06-16,1,2,12.8
2020-06-17,1,0,11.0
2020-06-18,4,1,13.8
2020-06-19,4,0,16.4
2020-06-20,0,0,12.8
2020-06-21,7,1,18.3
2020-06-22,1,0,16.4
2020-06-23,4,0,19.2
2020-06-24,1,1,19.2
2020-06-25,0,1,15.5
2020-06-26,0,0,11.9
2020-06-27,1,0,12.8
2020-06-28,0,0,6.4
2020-06-29,1,0,6.4
2020-06-30,0,0,2.7
2020-07-01,0,202,1.8
2020-07-02,0,1,1.8
2020-07-03,0,0,1.8
2020-07-04,0,0,0.9
2020-07-05,0,0,0.9
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,0,0,0.0
2020-07-11,0,0,0.0
