date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-14,1,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,1,0,0.7
2020-03-19,0,0,0.7
2020-03-20,2,0,2.1
2020-03-21,1,0,2.8
2020-03-22,2,0,4.3
2020-03-23,1,0,5.0
2020-03-24,2,0,6.4
2020-03-25,7,0,10.6
2020-03-26,7,0,15.6
2020-03-27,7,0,19.1
2020-03-28,10,0,25.5
2020-03-29,14,0,33.9
2020-03-30,17,0,45.3
2020-03-31,15,0,54.5
2020-04-01,23,0,65.9
2020-04-02,13,0,70.1
2020-04-03,26,0,83.6
2020-04-04,21,0,91.3
2020-04-05,21,0,96.3
2020-04-06,17,0,96.2
2020-04-07,25,0,103.3
2020-04-08,5,0,90.6
2020-04-09,18,0,94.1
2020-04-10,17,0,87.7
2020-04-11,15,0,83.5
2020-04-12,14,0,78.6
2020-04-13,19,0,80.0
2020-04-14,21,0,77.2
2020-04-15,15,0,84.2
2020-04-16,13,0,80.7
2020-04-17,20,21,82.8
2020-04-18,28,8,92.1
2020-04-19,12,13,90.5
2020-04-20,17,27,89.2
2020-04-21,18,13,87.0
2020-04-22,28,6,96.2
2020-04-23,13,14,96.2
2020-04-24,14,24,92.1
2020-04-25,14,21,82.1
2020-04-26,4,9,76.5
2020-04-27,25,15,82.1
2020-04-28,27,13,88.5
2020-04-29,12,0,77.2
2020-04-30,26,32,86.4
2020-05-01,15,13,87.0
2020-05-02,10,5,84.2
2020-05-03,14,7,91.3
2020-05-04,14,16,83.5
2020-05-05,21,6,79.3
2020-05-06,9,1,77.1
2020-05-07,10,11,65.8
2020-05-08,8,15,60.9
2020-05-09,5,4,57.3
2020-05-10,5,5,51.0
2020-05-11,15,2,51.7
2020-05-12,9,2,43.1
2020-05-13,5,2,40.4
2020-05-14,2,1,34.7
2020-05-15,0,1,29.0
2020-05-16,6,1,29.7
2020-05-17,5,1,29.7
2020-05-18,12,0,27.6
2020-05-19,20,4,35.4
2020-05-20,8,7,37.5
2020-05-21,13,7,45.3
2020-05-22,10,4,52.4
2020-05-23,2,3,49.6
2020-05-24,4,6,48.8
2020-05-25,3,2,42.4
2020-05-26,7,1,33.3
2020-05-27,1,2,28.3
2020-05-28,0,3,19.1
2020-05-29,3,3,14.1
2020-05-30,4,0,15.6
2020-05-31,2,0,14.2
2020-06-01,2,1,13.5
2020-06-02,11,1,16.3
2020-06-03,6,0,19.8
2020-06-04,5,1,23.4
2020-06-05,2,1,22.7
2020-06-06,6,3,24.0
2020-06-07,2,2,24.0
2020-06-08,2,0,24.1
2020-06-09,1,2,17.0
2020-06-10,3,1,14.9
2020-06-11,3,0,13.4
2020-06-12,3,1,14.1
2020-06-13,8,2,15.6
2020-06-14,0,0,14.2
2020-06-15,8,0,18.4
2020-06-16,1,1,18.4
2020-06-17,1,2,17.0
2020-06-18,0,0,14.9
2020-06-19,0,0,12.8
2020-06-20,0,1,7.1
2020-06-21,0,0,7.1
2020-06-22,4,0,4.2
2020-06-23,1,2,4.2
2020-06-24,1,0,4.2
2020-06-25,1,1,4.9
2020-06-26,1,1,5.6
2020-06-27,1,0,6.3
2020-06-28,0,0,6.3
2020-06-29,0,1,3.5
2020-06-30,0,0,2.8
2020-07-01,0,248,2.1
2020-07-02,2,0,2.9
2020-07-03,2,0,3.6
2020-07-04,0,3,2.9
2020-07-05,0,0,2.9
2020-07-06,2,2,4.3
2020-07-07,0,0,4.3
2020-07-08,0,2,4.3
2020-07-09,0,0,2.8
2020-07-10,1,0,2.1
2020-07-11,1,0,2.8
2020-07-12,0,1,2.8
2020-07-13,0,0,1.4
2020-07-14,3,0,3.5
2020-07-15,2,0,4.9
2020-07-16,1,0,5.7
2020-07-17,1,3,5.7
2020-07-18,1,2,5.7
2020-07-19,0,2,5.7
2020-07-20,1,0,6.4
2020-07-21,2,1,5.7
2020-07-22,2,0,5.7
2020-07-23,0,2,4.9
2020-07-24,0,3,4.2
2020-07-25,0,0,3.5
2020-07-26,1,0,4.2
2020-07-27,0,0,3.5
2020-07-28,2,1,3.5
2020-07-29,1,0,2.8
2020-07-30,0,1,2.8
2020-07-31,1,1,3.5
2020-08-01,2,1,5.0
2020-08-02,2,1,5.7
2020-08-03,6,3,9.9
2020-08-04,5,2,12.1
2020-08-05,13,6,20.6
2020-08-06,4,5,23.4
2020-08-07,4,14,25.5
2020-08-08,1,5,24.7
2020-08-09,4,4,26.2
2020-08-10,4,1,24.8
2020-08-11,7,4,26.2
2020-08-12,5,5,20.5
2020-08-13,8,0,23.4
2020-08-14,1,8,21.3
2020-08-15,0,8,20.6
2020-08-16,1,1,18.4
2020-08-17,0,2,15.6
2020-08-18,1,1,11.3
2020-08-19,8,0,13.4
2020-08-20,2,0,9.2
2020-08-21,8,6,14.1
2020-08-22,3,2,16.2
2020-08-23,4,4,18.4
2020-08-24,6,5,22.6
2020-08-25,9,2,28.3
2020-08-26,6,8,26.9
2020-08-27,2,8,26.9
2020-08-28,2,5,22.7
2020-08-29,6,0,24.8
2020-08-30,8,6,27.6
2020-08-31,15,7,34.0
2020-09-01,4,12,30.4
2020-09-02,11,15,34.0
2020-09-03,14,5,42.4
2020-09-04,8,10,46.7
2020-09-05,11,7,50.3
2020-09-06,10,11,51.6
2020-09-07,9,7,47.4
2020-09-08,16,3,55.9
2020-09-09,8,15,53.8
2020-09-10,6,11,48.1
2020-09-11,5,8,46.0
2020-09-12,4,5,41.0
2020-09-13,4,12,36.8
2020-09-14,7,0,35.4
2020-09-15,7,12,29.1
2020-09-16,6,7,27.6
2020-09-17,20,7,37.6
2020-09-18,9,8,40.3
2020-09-19,15,17,48.1
2020-09-20,12,10,53.8
2020-09-21,30,12,70.1
2020-09-22,25,18,82.8
2020-09-23,24,28,95.6
2020-09-24,30,22,102.6
2020-09-25,26,15,114.7
2020-09-26,24,31,121.1
2020-09-27,27,17,131.7
2020-09-28,50,14,145.8
2020-09-29,30,37,149.3
2020-09-30,39,31,159.9
2020-10-01,65,7,184.7
2020-10-02,60,18,208.8
2020-10-03,60,64,234.3
2020-10-04,43,133,245.6
2020-10-05,45,51,242.0
2020-10-06,76,52,274.6
2020-10-07,56,61,286.7
2020-10-08,75,82,293.8
2020-10-09,56,48,290.9
2020-10-10,39,57,276.0
2020-10-11,33,59,269.0
2020-10-12,67,68,284.6
2020-10-13,79,44,286.7
2020-10-14,76,52,300.8
2020-10-15,68,85,295.8
2020-10-16,69,50,305.0
2020-10-17,77,59,331.9
2020-10-18,52,50,345.4
2020-10-19,78,55,353.2
2020-10-20,96,103,365.2
2020-10-21,115,131,392.8
2020-10-22,76,93,398.5
2020-10-23,58,99,390.7
2020-10-24,54,72,374.5
2020-10-25,35,54,362.3
2020-10-26,73,60,358.8
2020-10-27,65,59,336.9
2020-10-28,66,61,302.2
2020-10-29,51,61,284.5
2020-10-30,75,66,296.6
2020-10-31,70,76,307.9
2020-11-01,41,64,312.2
