date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,1,0,0.0
2020-03-11,2,0,2.3
2020-03-12,3,0,5.8
2020-03-13,0,0,5.8
2020-03-14,4,0,10.4
2020-03-15,1,0,11.5
2020-03-16,0,0,11.5
2020-03-17,2,0,13.8
2020-03-18,3,0,14.9
2020-03-19,2,0,13.7
2020-03-20,2,0,16.0
2020-03-21,2,0,13.7
2020-03-22,1,0,13.8
2020-03-23,4,0,18.3
2020-03-24,8,0,25.2
2020-03-25,6,0,28.7
2020-03-26,1,0,27.5
2020-03-27,3,0,28.7
2020-03-28,3,0,29.8
2020-03-29,2,0,30.9
2020-03-30,11,0,39.0
2020-03-31,7,0,37.8
2020-04-01,7,0,39.0
2020-04-02,6,0,44.7
2020-04-03,8,0,50.4
2020-04-04,5,0,52.7
2020-04-05,3,0,53.9
2020-04-06,12,0,55.0
2020-04-07,12,0,60.8
2020-04-08,10,0,64.2
2020-04-09,14,0,73.4
2020-04-10,3,0,67.6
2020-04-11,3,0,65.4
2020-04-12,6,0,68.8
2020-04-13,12,0,68.8
2020-04-14,6,0,61.9
2020-04-15,11,0,63.0
2020-04-16,6,0,53.9
2020-04-17,11,0,63.1
2020-04-18,2,0,61.9
2020-04-19,5,0,60.7
2020-04-20,10,0,58.5
2020-04-21,6,0,58.4
2020-04-22,6,5,52.7
2020-04-23,6,4,52.7
2020-04-24,5,12,45.8
2020-04-25,5,1,49.3
2020-04-26,3,3,47.0
2020-04-27,2,1,37.8
2020-04-28,2,3,33.3
2020-04-29,2,0,28.7
2020-04-30,1,7,22.9
2020-05-01,1,1,18.4
2020-05-02,3,1,16.0
2020-05-03,1,0,13.7
2020-05-04,3,0,14.9
2020-05-05,2,0,14.9
2020-05-06,0,4,12.6
2020-05-07,0,0,11.5
2020-05-08,1,2,11.4
2020-05-09,0,0,8.0
2020-05-10,2,1,9.2
2020-05-11,0,0,5.7
2020-05-12,1,1,4.6
2020-05-13,19,0,26.3
2020-05-14,1,1,27.5
2020-05-15,2,0,28.7
2020-05-16,0,0,28.7
2020-05-17,1,0,27.5
2020-05-18,2,1,29.8
2020-05-19,2,0,30.9
2020-05-20,1,0,10.4
2020-05-21,1,0,10.3
2020-05-22,3,1,11.4
2020-05-23,2,2,13.7
2020-05-24,2,0,14.9
2020-05-25,3,0,16.1
2020-05-26,1,0,14.9
2020-05-27,0,1,13.7
2020-05-28,0,2,12.6
2020-05-29,3,0,12.7
2020-05-30,0,2,10.4
2020-05-31,0,0,8.1
2020-06-01,1,1,5.7
2020-06-02,3,1,8.0
2020-06-03,1,0,9.2
2020-06-04,0,1,9.2
2020-06-05,0,1,5.7
2020-06-06,0,0,5.7
2020-06-07,1,0,6.8
2020-06-08,0,1,5.7
2020-06-09,0,0,2.3
2020-06-10,1,0,2.3
2020-06-11,0,1,2.3
2020-06-12,0,0,2.3
2020-06-13,0,0,2.3
2020-06-14,1,0,2.3
2020-06-15,1,0,3.5
2020-06-16,0,0,3.5
2020-06-17,0,0,2.3
2020-06-18,0,1,2.3
2020-06-19,0,0,2.3
2020-06-20,0,1,2.3
2020-06-21,0,0,1.2
2020-06-22,1,0,1.1
2020-06-23,0,2,1.1
2020-06-24,0,1,1.1
2020-06-25,0,1,1.1
2020-06-26,0,3,1.1
2020-06-27,0,0,1.1
2020-06-28,0,0,1.1
2020-06-29,0,0,0.0
2020-06-30,1,0,1.2
2020-07-01,3,85,4.6
2020-07-02,0,2,4.6
2020-07-03,0,1,4.6
2020-07-04,0,0,4.6
2020-07-05,0,0,4.6
2020-07-06,0,1,4.6
2020-07-07,0,0,3.4
2020-07-08,0,0,0.0
2020-07-09,1,0,1.1
2020-07-10,0,0,1.1
2020-07-11,0,0,1.1
2020-07-12,0,0,1.1
2020-07-13,0,1,1.1
2020-07-14,0,1,1.1
2020-07-15,0,0,1.1
2020-07-16,0,0,0.0
2020-07-17,0,0,0.0
2020-07-18,0,0,0.0
2020-07-19,0,0,0.0
2020-07-20,2,0,2.3
2020-07-21,0,0,2.3
2020-07-22,0,0,2.3
2020-07-23,0,2,2.3
2020-07-24,0,0,2.3
2020-07-25,0,0,2.3
2020-07-26,0,1,2.3
2020-07-27,0,0,0.0
2020-07-28,3,0,3.5
2020-07-29,0,1,3.5
2020-07-30,0,0,3.5
2020-07-31,0,0,3.5
2020-08-01,0,2,3.5
2020-08-02,0,0,3.5
2020-08-03,0,1,3.5
2020-08-04,1,0,1.1
2020-08-05,1,0,2.3
2020-08-06,0,0,2.3
2020-08-07,0,1,2.3
2020-08-08,0,1,2.3
2020-08-09,0,0,2.3
2020-08-10,0,2,2.3
2020-08-11,0,0,1.2
2020-08-12,0,0,0.0
2020-08-13,0,0,0.0
2020-08-14,0,0,0.0
2020-08-15,1,0,1.1
2020-08-16,0,0,1.1
2020-08-17,1,1,2.3
2020-08-18,0,0,2.3
2020-08-19,3,1,5.7
2020-08-20,1,0,6.8
2020-08-21,0,3,6.8
2020-08-22,1,1,6.9
2020-08-23,2,0,9.2
2020-08-24,0,1,8.0
2020-08-25,3,2,11.4
2020-08-26,1,0,9.2
2020-08-27,4,1,12.7
2020-08-28,2,1,14.9
2020-08-29,3,1,17.2
2020-08-30,1,4,16.0
2020-08-31,1,4,17.2
2020-09-01,3,3,17.2
2020-09-02,3,1,19.5
2020-09-03,0,0,14.9
2020-09-04,4,3,17.2
2020-09-05,0,0,13.7
2020-09-06,0,0,12.6
2020-09-07,0,1,11.4
2020-09-08,4,1,12.6
2020-09-09,2,1,11.4
2020-09-10,2,5,13.7
2020-09-11,3,0,12.6
2020-09-12,1,1,13.8
2020-09-13,0,2,13.8
2020-09-14,0,2,13.8
2020-09-15,0,1,9.2
2020-09-16,0,1,6.9
2020-09-17,0,1,4.6
2020-09-18,3,0,4.6
2020-09-19,1,1,4.6
2020-09-20,0,0,4.6
2020-09-21,1,3,5.7
2020-09-22,1,1,6.9
2020-09-23,3,2,10.3
2020-09-24,1,1,11.5
2020-09-25,0,4,8.1
2020-09-26,2,0,9.1
2020-09-27,1,0,10.3
2020-09-28,4,1,13.8
2020-09-29,3,1,16.0
2020-09-30,8,2,21.8
2020-10-01,5,4,26.3
2020-10-02,8,6,35.5
2020-10-03,7,3,41.3
2020-10-04,7,14,48.1
2020-10-05,13,4,58.4
2020-10-06,9,10,65.4
2020-10-07,12,13,69.9
2020-10-08,2,16,66.5
2020-10-09,16,15,75.6
2020-10-10,6,11,74.5
2020-10-11,6,7,73.4
2020-10-12,8,4,67.7
2020-10-13,8,14,66.4
2020-10-14,10,16,64.2
2020-10-15,7,15,69.9
2020-10-16,17,8,71.1
2020-10-17,11,8,76.8
2020-10-18,6,10,76.8
2020-10-19,13,17,82.5
2020-10-20,10,9,84.8
2020-10-21,21,12,97.4
2020-10-22,23,20,115.8
2020-10-23,15,6,113.5
2020-10-24,11,14,113.5
2020-10-25,17,24,126.1
2020-10-26,14,12,127.2
2020-10-27,16,22,134.2
2020-10-28,24,22,137.6
2020-10-29,43,14,160.4
2020-10-30,32,26,179.9
2020-10-31,19,21,189.1
2020-11-01,15,40,186.8
2020-11-02,36,38,212.1
2020-11-03,26,15,223.5
2020-11-04,28,27,228.1
2020-11-05,21,32,202.9
2020-11-06,12,23,180.0
2020-11-07,14,24,174.2
2020-11-08,19,18,178.8
2020-11-09,22,10,162.7
2020-11-10,23,18,159.3
2020-11-11,27,26,158.1
2020-11-12,19,33,155.9
2020-11-13,13,20,157.0
2020-11-14,9,16,151.3
2020-11-15,7,17,137.5
2020-11-16,22,0,137.6
2020-11-17,16,12,129.5
2020-11-18,8,14,107.8
2020-11-19,13,10,100.9
2020-11-20,9,11,96.3
2020-11-21,10,10,97.5
2020-11-22,7,20,97.5
2020-11-23,15,9,89.4
2020-11-24,19,8,92.8
2020-11-25,14,11,99.7
2020-11-26,15,16,102.0
2020-11-27,16,15,110.0
2020-11-28,16,20,116.9
2020-11-29,18,14,129.5
2020-11-30,19,10,134.1
2020-12-01,11,25,125.0
2020-12-02,8,21,118.1
2020-12-03,11,10,113.5
2020-12-04,6,5,102.0
2020-12-05,13,10,98.5
2020-12-06,15,8,95.1
2020-12-07,7,15,81.4
2020-12-08,13,9,83.7
2020-12-09,25,8,103.1
2020-12-10,30,9,124.9
2020-12-11,28,33,150.2
2020-12-12,19,37,157.1
2020-12-13,31,14,175.4
2020-12-14,34,21,206.3
2020-12-15,36,17,232.6
2020-12-16,44,26,254.5
2020-12-17,38,47,263.6
2020-12-18,55,25,294.6
2020-12-19,29,30,306.0
2020-12-20,38,55,314.1
2020-12-21,72,35,357.6
2020-12-22,64,24,389.7
2020-12-23,82,30,433.2
2020-12-24,61,58,459.6
2020-12-25,11,58,409.2
2020-12-26,77,36,464.2
2020-12-27,64,56,494.0
2020-12-28,67,77,488.3
2020-12-29,100,52,529.6
2020-12-30,66,52,511.2
2020-12-31,74,109,526.2
2021-01-01,50,74,570.8
2021-01-02,99,87,596.0
2021-01-03,86,78,621.2
2021-01-04,77,66,632.7
2021-01-05,95,110,627.0
2021-01-06,82,84,645.3
2021-01-07,89,58,662.5
2021-01-08,64,117,678.5
2021-01-09,52,87,624.7
2021-01-10,43,96,575.4
2021-01-11,64,37,560.5
2021-01-12,56,61,515.7
2021-01-13,52,67,481.4
2021-01-14,46,39,432.1
2021-01-15,30,55,393.2
2021-01-16,31,33,369.1
2021-01-17,34,58,358.8
2021-01-18,63,34,357.6
2021-01-19,47,49,347.3
2021-01-20,29,26,321.0
2021-01-21,28,71,300.3
2021-01-22,33,49,303.7
2021-01-23,22,33,293.4
2021-01-24,21,36,278.5
2021-01-25,36,19,247.5
2021-01-26,25,19,222.4
2021-01-27,33,21,226.9
2021-01-28,19,34,216.6
2021-01-29,20,46,201.7
2021-01-30,10,14,188.0
2021-01-31,10,13,175.4
2021-02-01,18,9,154.8
2021-02-02,12,12,139.8
2021-02-03,11,18,114.6
2021-02-04,13,12,107.7
2021-02-05,15,14,102.0
2021-02-06,11,10,103.1
2021-02-07,10,13,103.1
2021-02-08,17,10,102.0
2021-02-09,22,11,113.5
2021-02-10,14,19,117.0
2021-02-11,9,11,112.4
2021-02-12,13,20,110.1
2021-02-13,0,16,97.5
2021-02-14,5,11,91.7
2021-02-15,7,4,80.2
2021-02-16,9,2,65.3
2021-02-17,11,10,61.9
2021-02-18,5,7,57.3
2021-02-19,8,13,51.6
2021-02-20,9,8,61.9
2021-02-21,6,7,63.0
2021-02-22,7,7,63.1
2021-02-23,4,5,57.4
2021-02-24,5,12,50.4
2021-02-25,3,6,48.1
2021-02-26,5,2,44.7
2021-02-27,2,2,36.6
2021-02-28,5,3,35.6
2021-03-01,5,8,33.2
2021-03-02,4,18,33.2
2021-03-03,4,6,32.1
2021-03-04,2,5,31.0
2021-03-05,3,7,28.6
2021-03-06,3,1,29.8
2021-03-07,3,4,27.5
2021-03-08,4,1,26.4
2021-03-09,4,3,26.4
2021-03-10,4,6,26.3
2021-03-11,4,2,28.6
2021-03-12,5,8,31.0
2021-03-13,9,4,37.9
2021-03-14,2,4,36.7
2021-03-15,1,4,33.2
2021-03-16,2,8,30.9
2021-03-17,3,1,29.8
2021-03-18,4,5,29.8
2021-03-19,3,3,27.5
2021-03-20,0,1,17.2
2021-03-21,2,2,17.2
2021-03-22,2,1,18.4
2021-03-23,2,2,18.3
2021-03-24,2,3,17.2
2021-03-25,1,2,13.8
2021-03-26,0,3,10.3
2021-03-27,4,2,14.9
2021-03-28,5,0,18.3
2021-03-29,1,6,17.1
2021-03-30,2,2,17.2
2021-03-31,1,2,16.1
2021-04-01,2,1,17.2
2021-04-02,2,1,19.5
2021-04-03,4,2,19.5
2021-04-04,1,5,14.9
2021-04-05,0,1,13.8
2021-04-06,2,0,13.8
2021-04-07,0,2,12.6
2021-04-08,6,0,17.2
2021-04-09,2,0,17.2
2021-04-10,0,3,12.6
2021-04-11,1,2,12.6
2021-04-12,1,0,13.8
2021-04-13,1,1,12.6
2021-04-14,2,3,14.9
2021-04-15,2,2,10.3
2021-04-16,0,1,8.0
2021-04-17,2,2,10.3
2021-04-18,3,0,12.6
2021-04-19,4,3,16.0
2021-04-20,0,2,14.9
2021-04-21,3,4,16.0
2021-04-22,4,2,18.3
2021-04-23,0,5,18.3
2021-04-24,0,2,16.0
2021-04-25,0,0,12.6
2021-04-26,3,0,11.5
2021-04-27,0,2,11.5
2021-04-28,2,2,10.4
2021-04-29,2,0,8.0
2021-04-30,1,1,9.2
2021-05-01,1,3,10.3
2021-05-02,0,1,10.3
2021-05-03,1,0,8.0
2021-05-04,4,2,12.6
2021-05-05,0,5,10.3
2021-05-06,1,0,9.2
2021-05-07,1,2,9.2
2021-05-08,0,0,8.1
2021-05-09,3,1,11.5
2021-05-10,0,3,10.3
2021-05-11,0,1,5.7
2021-05-12,1,0,6.8
2021-05-13,1,0,6.9
2021-05-14,0,2,6.9
