date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,1,0,1
2020-03-02,0,0,1
2020-03-03,0,0,1
2020-03-04,1,0,2.1
2020-03-05,0,0,2.1
2020-03-06,0,0,2.1
2020-03-07,0,0,2.1
2020-03-08,0,0,1.1
2020-03-09,0,0,1.1
2020-03-10,0,0,1.1
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,0,0,0.0
2020-03-19,0,0,0.0
2020-03-20,0,0,0.0
2020-03-21,0,0,0.0
2020-03-22,0,0,0.0
2020-03-23,0,0,0.0
2020-03-24,0,0,0.0
2020-03-25,0,0,0.0
2020-03-26,2,0,2.1
2020-03-27,0,0,2.1
2020-03-28,1,0,3.1
2020-03-29,1,0,4.2
2020-03-30,0,0,4.2
2020-03-31,1,0,5.2
2020-04-01,2,0,7.3
2020-04-02,2,0,7.3
2020-04-03,0,0,7.3
2020-04-04,0,0,6.3
2020-04-05,0,0,5.2
2020-04-06,2,0,7.3
2020-04-07,0,0,6.3
2020-04-08,1,0,5.2
2020-04-09,3,0,6.2
2020-04-10,3,0,9.4
2020-04-11,2,0,11.5
2020-04-12,0,0,11.5
2020-04-13,1,0,10.4
2020-04-14,1,0,11.4
2020-04-15,0,0,10.4
2020-04-16,2,0,9.4
2020-04-17,2,0,8.3
2020-04-18,2,0,8.3
2020-04-19,0,0,8.3
2020-04-20,0,0,7.3
2020-04-21,2,0,8.4
2020-04-22,0,0,8.4
2020-04-23,1,0,7.3
2020-04-24,1,0,6.3
2020-04-25,1,0,5.2
2020-04-26,1,0,6.3
2020-04-27,1,0,7.3
2020-04-28,2,0,7.3
2020-04-29,0,0,7.3
2020-04-30,2,0,8.4
2020-05-01,1,0,8.3
2020-05-02,0,0,7.3
2020-05-03,0,0,6.2
2020-05-04,3,0,8.4
2020-05-05,3,0,9.4
2020-05-06,4,0,13.6
2020-05-07,0,0,11.5
2020-05-08,1,0,11.5
2020-05-09,4,0,15.7
2020-05-10,3,0,18.8
2020-05-11,5,0,20.8
2020-05-12,5,0,23.0
2020-05-13,5,0,24.0
2020-05-14,2,0,26.1
2020-05-15,2,0,27.1
2020-05-16,0,0,22.9
2020-05-17,0,0,19.8
2020-05-18,2,0,16.7
2020-05-19,2,0,13.5
2020-05-20,0,0,8.3
2020-05-21,0,0,6.2
2020-05-22,2,0,6.3
2020-05-23,0,0,6.3
2020-05-24,0,0,6.3
2020-05-25,0,0,4.2
2020-05-26,1,0,3.2
2020-05-27,0,0,3.2
2020-05-28,0,0,3.2
2020-05-29,0,0,1.1
2020-05-30,0,0,1.1
2020-05-31,0,0,1.1
2020-06-01,0,0,1.1
2020-06-02,0,0,0.0
2020-06-03,0,0,0.0
2020-06-04,0,0,0.0
2020-06-05,0,0,0.0
2020-06-06,0,0,0.0
2020-06-07,0,0,0.0
2020-06-08,0,0,0.0
2020-06-09,0,0,0.0
2020-06-10,0,0,0.0
2020-06-11,0,0,0.0
2020-06-12,0,0,0.0
2020-06-13,0,0,0.0
2020-06-14,0,0,0.0
2020-06-15,0,0,0.0
2020-06-16,0,0,0.0
2020-06-17,0,0,0.0
2020-06-18,0,0,0.0
2020-06-19,0,0,0.0
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
