date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,6,0,4.1
2020-03-11,3,0,6.2
2020-03-12,2,0,7.6
2020-03-13,1,0,8.3
2020-03-14,0,0,8.3
2020-03-15,1,0,9.0
2020-03-16,0,0,9.0
2020-03-17,1,0,5.6
2020-03-18,1,0,4.2
2020-03-19,1,0,3.5
2020-03-20,2,0,4.2
2020-03-21,3,0,6.2
2020-03-22,3,0,7.6
2020-03-23,1,0,8.3
2020-03-24,1,0,8.3
2020-03-25,1,0,8.3
2020-03-26,6,0,11.7
2020-03-27,14,0,20.0
2020-03-28,6,0,22.2
2020-03-29,6,0,24.3
2020-03-30,22,0,38.8
2020-03-31,14,0,47.8
2020-04-01,8,0,52.6
2020-04-02,13,0,57.5
2020-04-03,17,0,59.6
2020-04-04,16,0,66.5
2020-04-05,20,0,76.1
2020-04-06,9,0,67.2
2020-04-07,23,0,73.4
2020-04-08,19,0,81.1
2020-04-09,14,0,81.8
2020-04-10,23,0,85.9
2020-04-11,9,0,81.0
2020-04-12,17,0,79.0
2020-04-13,16,0,83.8
2020-04-14,15,0,78.3
2020-04-15,25,0,82.4
2020-04-16,25,0,90.0
2020-04-17,19,0,87.3
2020-04-18,15,0,91.4
2020-04-19,10,0,86.6
2020-04-20,16,0,86.5
2020-04-21,11,0,83.8
2020-04-22,15,0,76.9
2020-04-23,6,0,63.7
2020-04-24,13,0,59.5
2020-04-25,13,0,58.2
2020-04-26,7,0,56.1
2020-04-27,5,0,48.5
2020-04-28,3,0,42.9
2020-04-29,4,0,35.3
2020-04-30,9,0,37.4
2020-05-01,7,0,33.3
2020-05-02,1,0,25.0
2020-05-03,2,0,21.4
2020-05-04,0,0,18.0
2020-05-05,1,0,16.6
2020-05-06,4,0,16.6
2020-05-07,4,0,13.2
2020-05-08,8,0,13.8
2020-05-09,2,0,14.5
2020-05-10,8,0,18.7
2020-05-11,2,0,20.1
2020-05-12,3,0,21.5
2020-05-13,4,0,21.5
2020-05-14,3,0,20.7
2020-05-15,4,0,18.0
2020-05-16,27,0,35.3
2020-05-17,2,0,31.2
2020-05-18,2,0,31.2
2020-05-19,5,0,32.6
2020-05-20,0,0,29.8
2020-05-21,2,0,29.1
2020-05-22,3,0,28.4
2020-05-23,1,0,10.4
2020-05-24,1,0,9.7
2020-05-25,0,0,8.3
2020-05-26,6,0,9.0
2020-05-27,1,0,9.6
2020-05-28,0,0,8.3
2020-05-29,2,3,7.6
2020-05-30,1,1,7.6
2020-05-31,0,0,6.9
2020-06-01,1,1,7.6
2020-06-02,2,2,4.8
2020-06-03,2,0,5.6
2020-06-04,1,0,6.3
2020-06-05,0,3,4.9
2020-06-06,1,0,4.9
2020-06-07,0,1,4.9
2020-06-08,2,0,5.6
2020-06-09,1,1,4.9
2020-06-10,2,0,4.8
2020-06-11,3,0,6.2
2020-06-12,1,2,6.9
2020-06-13,2,2,7.6
2020-06-14,2,0,9.0
2020-06-15,1,1,8.3
2020-06-16,0,2,7.6
2020-06-17,2,2,7.7
2020-06-18,2,0,6.9
2020-06-19,1,2,6.9
2020-06-20,0,0,5.5
2020-06-21,1,2,4.8
2020-06-22,0,0,4.1
2020-06-23,0,2,4.1
2020-06-24,0,1,2.7
2020-06-25,0,2,1.4
2020-06-26,0,0,0.7
2020-06-27,0,0,0.7
2020-06-28,1,0,0.7
2020-06-29,0,0,0.7
2020-06-30,2,0,2.1
2020-07-01,0,1,2.1
2020-07-02,0,1,2.1
2020-07-03,1,2,2.8
2020-07-04,0,0,2.8
2020-07-05,0,0,2.1
2020-07-06,2,0,3.5
2020-07-07,2,0,3.5
2020-07-08,0,0,3.5
2020-07-09,0,2,3.5
2020-07-10,0,0,2.8
2020-07-11,0,0,2.8
2020-07-12,2,0,4.2
2020-07-13,1,0,3.4
2020-07-14,1,18,2.7
2020-07-15,1,2,3.4
2020-07-16,1,1,4.1
2020-07-17,0,2,4.1
2020-07-18,1,0,4.8
2020-07-19,1,0,4.1
2020-07-20,1,1,4.2
2020-07-21,5,1,7.0
2020-07-22,0,1,6.3
2020-07-23,1,2,6.3
2020-07-24,0,4,6.3
2020-07-25,0,0,5.6
2020-07-26,0,0,4.9
2020-07-27,1,1,4.8
2020-07-28,0,0,1.3
2020-07-29,0,0,1.3
2020-07-30,4,1,3.4
2020-07-31,0,0,3.4
2020-08-01,0,0,3.4
2020-08-02,0,0,3.4
2020-08-03,0,3,2.8
2020-08-04,1,1,3.5
2020-08-05,1,0,4.2
2020-08-06,1,0,2.1
2020-08-07,0,0,2.1
2020-08-08,0,1,2.1
2020-08-09,0,2,2.1
2020-08-10,1,0,2.8
2020-08-11,0,0,2.1
2020-08-12,0,1,1.4
2020-08-13,0,0,0.7
2020-08-14,0,0,0.7
2020-08-15,1,0,1.4
2020-08-16,0,0,1.4
2020-08-17,1,0,1.4
2020-08-18,2,1,2.8
2020-08-19,0,0,2.8
2020-08-20,2,1,4.1
2020-08-21,0,2,4.1
2020-08-22,0,0,3.4
2020-08-23,0,1,3.4
2020-08-24,0,0,2.7
2020-08-25,4,0,4.1
2020-08-26,0,1,4.1
2020-08-27,0,0,2.8
2020-08-28,1,1,3.5
2020-08-29,0,0,3.5
2020-08-30,0,2,3.5
2020-08-31,0,1,3.5
2020-09-01,3,0,2.8
2020-09-02,4,0,5.6
2020-09-03,8,0,11.1
2020-09-04,9,0,16.6
2020-09-05,4,1,19.4
2020-09-06,1,3,20.1
2020-09-07,6,6,24.2
2020-09-08,0,11,22.1
2020-09-09,3,8,21.4
2020-09-10,7,2,20.8
2020-09-11,3,6,16.7
2020-09-12,1,3,14.5
2020-09-13,1,3,14.5
2020-09-14,3,3,12.5
2020-09-15,4,0,15.3
2020-09-16,4,4,16.0
2020-09-17,3,3,13.1
2020-09-18,5,4,14.5
2020-09-19,4,1,16.7
2020-09-20,5,3,19.4
2020-09-21,10,6,24.3
2020-09-22,14,3,31.2
2020-09-23,9,4,34.6
2020-09-24,7,8,37.4
2020-09-25,12,19,42.2
2020-09-26,15,10,49.8
2020-09-27,13,8,55.4
2020-09-28,13,9,57.4
2020-09-29,13,15,56.7
2020-09-30,20,12,64.4
2020-10-01,23,11,75.5
2020-10-02,32,15,89.4
2020-10-03,29,22,99.1
2020-10-04,21,9,104.6
2020-10-05,42,36,124.7
2020-10-06,27,14,134.4
2020-10-07,30,29,141.3
2020-10-08,37,24,151.0
2020-10-09,39,43,155.8
2020-10-10,22,17,151.0
2020-10-11,36,28,161.4
2020-10-12,26,8,150.3
2020-10-13,37,32,157.2
2020-10-14,40,40,164.1
2020-10-15,48,42,171.8
2020-10-16,53,50,181.5
2020-10-17,60,36,207.7
2020-10-18,45,30,214.0
2020-10-19,54,45,233.4
2020-10-20,69,69,255.6
2020-10-21,85,62,286.8
2020-10-22,65,72,298.5
2020-10-23,108,25,336.6
2020-10-24,68,88,342.2
2020-10-25,46,73,342.8
2020-10-26,75,77,357.4
2020-10-27,87,85,369.8
2020-10-28,106,65,384.3
2020-10-29,92,77,403.1
2020-10-30,63,89,371.9
2020-10-31,46,128,356.7
2020-11-01,48,54,358.1
2020-11-02,104,102,378.1
2020-11-03,72,42,367.8
2020-11-04,47,66,326.9
2020-11-05,36,77,288.1
2020-11-06,40,87,272.2
2020-11-07,45,55,271.4
2020-11-08,84,25,296.4
2020-11-09,107,34,298.5
2020-11-10,53,30,285.3
2020-11-11,51,49,288.2
2020-11-12,58,98,303.3
2020-11-13,49,82,309.6
2020-11-14,37,52,304.1
2020-11-15,40,81,273.6
2020-11-16,70,54,248.0
2020-11-17,72,47,261.1
2020-11-18,86,48,285.3
2020-11-19,60,67,286.8
2020-11-20,54,61,290.2
2020-11-21,44,87,295.0
2020-11-22,57,63,306.8
2020-11-23,73,40,308.9
2020-11-24,93,49,323.5
2020-11-25,102,50,334.5
2020-11-26,69,107,340.7
2020-11-27,90,63,365.7
2020-11-28,76,63,387.9
2020-11-29,80,142,403.8
2020-11-30,185,52,481.3
2020-12-01,115,89,496.6
2020-12-02,175,107,547.2
2020-12-03,159,132,609.5
2020-12-04,136,141,641.3
2020-12-05,120,139,671.8
2020-12-06,152,145,721.7
2020-12-07,197,203,730.0
2020-12-08,163,65,763.2
2020-12-09,185,171,770.1
2020-12-10,198,179,797.2
2020-12-11,224,145,858.1
2020-12-12,178,222,898.3
2020-12-13,198,0,930.1
2020-12-14,233,117,955.1
2020-12-15,211,58,988.3
2020-12-16,206,59,1002.9
2020-12-17,199,542,1003.5
2020-12-18,141,185,946.1
2020-12-19,158,244,932.2
2020-12-20,166,255,910.1
2020-12-21,177,227,871.3
2020-12-22,169,185,842.2
2020-12-23,143,202,798.6
2020-12-24,84,137,718.9
2020-12-25,39,0,648.2
2020-12-26,104,174,610.9
2020-12-27,117,274,576.9
2020-12-28,103,123,525.6
2020-12-29,200,121,547.2
2020-12-30,84,83,506.2
2020-12-31,84,89,506.3
2021-01-01,50,0,513.9
2021-01-02,88,155,502.8
2021-01-03,91,137,484.8
2021-01-04,89,86,475.2
2021-01-05,102,61,407.2
2021-01-06,73,143,399.7
2021-01-07,72,100,391.3
2021-01-08,52,87,392.7
2021-01-09,42,88,360.8
2021-01-10,48,62,331.1
2021-01-11,53,83,306.1
2021-01-12,60,58,277.0
2021-01-13,53,30,263.1
2021-01-14,70,43,261.8
2021-01-15,51,79,261.1
2021-01-16,48,49,265.3
2021-01-17,27,45,250.7
2021-01-18,59,67,254.9
2021-01-19,52,49,249.4
2021-01-20,32,42,234.8
2021-01-21,29,51,206.4
2021-01-22,23,47,187.0
2021-01-23,21,31,168.3
2021-01-24,17,26,161.4
2021-01-25,33,39,143.3
2021-01-26,16,24,118.4
2021-01-27,25,19,113.6
2021-01-28,18,20,106.0
2021-01-29,22,15,105.3
2021-01-30,16,23,101.8
2021-01-31,23,19,105.9
2021-02-01,18,19,95.6
2021-02-02,21,26,99.0
2021-02-03,19,20,94.9
2021-02-04,12,16,90.7
2021-02-05,21,10,90.1
2021-02-06,17,25,90.7
2021-02-07,21,7,89.4
2021-02-08,17,34,88.6
2021-02-09,15,11,84.5
2021-02-10,18,23,83.8
2021-02-11,30,14,96.3
2021-02-12,17,29,93.5
2021-02-13,15,31,92.1
2021-02-14,10,10,84.5
2021-02-15,17,18,84.5
2021-02-16,14,12,83.8
2021-02-17,12,11,79.6
2021-02-18,9,9,65.1
2021-02-19,14,22,63.0
2021-02-20,9,7,58.9
2021-02-21,10,16,58.8
2021-02-22,16,10,58.2
2021-02-23,19,7,61.7
2021-02-24,5,10,56.8
2021-02-25,14,22,60.2
2021-02-26,12,12,58.8
2021-02-27,6,11,56.8
2021-02-28,3,14,52.0
2021-03-01,10,3,47.8
2021-03-02,7,8,39.5
2021-03-03,4,6,38.8
2021-03-04,8,7,34.7
2021-03-05,3,8,28.4
2021-03-06,3,8,26.3
2021-03-07,7,3,29.1
2021-03-08,14,3,31.9
2021-03-09,7,6,31.8
2021-03-10,7,10,34.0
2021-03-11,7,11,33.2
2021-03-12,5,7,34.7
2021-03-13,6,6,36.7
2021-03-14,10,7,38.8
2021-03-15,15,8,39.4
2021-03-16,10,8,41.6
2021-03-17,10,12,43.6
2021-03-18,9,8,45.0
2021-03-19,7,12,46.4
2021-03-20,11,10,49.9
2021-03-21,11,11,50.5
2021-03-22,11,5,47.8
2021-03-23,13,12,49.8
2021-03-24,12,12,51.2
2021-03-25,10,9,52.0
2021-03-26,26,15,65.1
2021-03-27,7,11,62.3
2021-03-28,6,19,58.9
2021-03-29,9,16,57.5
2021-03-30,5,6,52.0
2021-03-31,6,3,47.8
2021-04-01,3,12,42.9
2021-04-02,7,0,29.8
2021-04-03,5,2,28.4
2021-04-04,3,0,26.3
2021-04-05,1,15,20.8
2021-04-06,4,7,20.1
2021-04-07,4,2,18.7
2021-04-08,4,3,19.4
2021-04-09,0,2,14.5
2021-04-10,2,7,12.5
2021-04-11,1,0,11.1
2021-04-12,11,2,18.0
2021-04-13,5,0,18.7
2021-04-14,5,3,19.4
2021-04-15,2,10,18.0
2021-04-16,1,4,18.7
2021-04-17,2,0,18.7
2021-04-18,4,6,20.8
2021-04-19,6,2,17.3
2021-04-20,3,5,15.9
2021-04-21,2,5,13.9
2021-04-22,4,2,15.2
2021-04-23,3,2,16.6
2021-04-24,2,0,16.6
2021-04-25,3,4,15.9
2021-04-26,2,7,13.2
2021-04-27,2,3,12.5
2021-04-28,2,1,12.4
2021-04-29,1,2,10.4
2021-04-30,1,2,9.0
2021-05-01,2,0,9.0
2021-05-02,1,2,7.6
2021-05-03,1,0,6.9
2021-05-04,2,3,6.9
2021-05-05,0,2,5.6
2021-05-06,0,1,4.9
2021-05-07,3,1,6.3
2021-05-08,1,0,5.6
2021-05-09,1,0,5.5
2021-05-10,0,4,4.8
2021-05-11,1,1,4.1
2021-05-12,4,0,6.9
2021-05-13,4,1,9.7
2021-05-14,0,1,7.6
2021-05-15,1,0,7.6
2021-05-16,2,3,8.4
2021-05-17,4,4,11.1
2021-05-18,2,3,11.8
2021-05-19,1,4,9.7
2021-05-20,3,0,9.0
2021-05-21,3,1,11.1
2021-05-22,3,0,12.4
2021-05-23,1,3,11.7
2021-05-24,5,7,12.5
2021-05-25,3,1,13.2
2021-05-26,2,3,13.9
2021-05-27,4,2,14.5
2021-05-28,0,5,12.4
2021-05-29,0,0,10.4
2021-05-30,2,1,11.1
2021-05-31,4,0,10.4
2021-06-01,2,4,9.7
2021-06-02,4,5,11.0
2021-06-03,3,1,10.4
2021-06-04,1,2,11.1
2021-06-05,4,0,13.9
2021-06-06,5,5,15.9
2021-06-07,5,3,16.6
2021-06-08,3,0,17.3
2021-06-09,9,12,20.8
2021-06-10,7,3,23.6
2021-06-11,2,8,24.3
2021-06-12,5,0,24.9
2021-06-13,3,7,23.6
2021-06-14,3,7,22.2
2021-06-15,4,3,22.8
2021-06-16,8,3,22.2
2021-06-17,5,3,20.7
2021-06-18,8,3,24.9
2021-06-19,2,0,22.9
2021-06-20,6,10,24.9
2021-06-21,6,13,27.0
2021-06-22,15,2,34.7
2021-06-23,6,4,33.2
2021-06-24,11,16,37.4
2021-06-25,2,7,33.2
2021-06-26,8,0,37.4
2021-06-27,7,11,38.1
2021-06-28,16,9,45.0
2021-06-29,15,10,45.0
2021-06-30,9,10,47.1
2021-07-01,12,9,47.8
2021-07-02,15,14,56.8
2021-07-03,13,0,60.2
2021-07-04,12,10,63.7
2021-07-05,27,27,71.3
2021-07-06,25,20,78.3
2021-07-07,23,14,88.0
2021-07-08,12,25,88.0
2021-07-09,11,20,85.2
2021-07-10,8,0,81.8
2021-07-11,13,16,82.5
2021-07-12,27,22,82.5
2021-07-13,24,11,81.7
2021-07-14,25,30,83.1
2021-07-15,27,18,93.5
2021-07-16,19,19,99.1
2021-07-17,11,0,101.1
2021-07-18,14,27,101.8
2021-07-19,16,43,94.1
2021-07-20,22,8,92.8
2021-07-21,38,22,101.8
2021-07-22,22,15,98.3
2021-07-23,19,19,98.3
2021-07-24,16,0,101.8
2021-07-25,21,54,106.6
2021-07-26,29,28,115.7
2021-07-27,31,27,121.9
2021-07-28,21,15,110.1
2021-07-29,34,27,118.5
2021-07-30,22,37,120.5
2021-07-31,11,0,117.0
2021-08-01,24,24,119.1
2021-08-02,20,45,112.9
2021-08-03,29,6,111.5
2021-08-04,21,33,111.5
2021-08-05,34,21,111.5
2021-08-06,21,24,110.8
2021-08-07,35,0,127.5
2021-08-08,27,35,129.6
2021-08-09,38,63,142.0
2021-08-10,55,9,160.0
2021-08-11,74,0,196.7
2021-08-12,47,89,205.7
2021-08-13,70,68,239.7
2021-08-14,43,0,245.1
2021-08-15,59,43,267.3
2021-08-16,91,137,304.0
2021-08-17,89,20,327.6
2021-08-18,122,94,360.9
2021-08-19,113,76,406.5
2021-08-20,94,99,423.1
2021-08-21,67,0,439.8
2021-08-22,80,92,454.3
2021-08-23,125,193,477.9
2021-08-24,127,57,504.2
2021-08-25,133,113,511.8
2021-08-26,164,173,547.2
2021-08-27,143,85,581.1
2021-08-28,95,0,600.5
2021-08-29,97,159,612.3
2021-08-30,134,0,618.5
2021-08-31,178,298,653.8
2021-09-01,153,236,667.6
2021-09-02,167,129,669.7
2021-09-03,127,122,658.7
2021-09-04,109,0,668.4
2021-09-05,124,118,687.0
2021-09-06,191,337,726.5
2021-09-07,163,110,716.1
2021-09-08,148,142,712.7
2021-09-09,164,174,710.6
2021-09-10,111,145,699.5
2021-09-11,118,0,705.7
2021-09-12,152,190,725.2
2021-09-13,211,253,739.0
2021-09-14,201,140,765.3
2021-09-15,204,199,804.1
2021-09-16,206,217,833.2
2021-09-17,149,164,859.5
2021-09-18,134,0,870.6
2021-09-19,183,224,892.0
2021-09-20,228,318,903.8
2021-09-21,214,163,912.9
2021-09-22,220,171,923.9
2021-09-23,206,182,923.9
2021-09-24,164,141,934.3
2021-09-25,126,0,928.7
2021-09-26,143,221,901.1
2021-09-27,169,356,860.2
2021-09-28,146,149,813.0
2021-09-29,107,208,734.9
2021-09-30,96,180,658.6
2021-10-01,74,149,596.3
2021-10-02,83,0,566.6
2021-10-03,79,82,522.2
2021-10-04,137,170,500.1
2021-10-05,200,74,537.5
2021-10-06,171,96,581.7
2021-10-07,83,169,572.8
2021-10-08,50,0,556.1
2021-10-09,70,353,547.1
2021-10-10,75,0,544.4
2021-10-11,67,130,495.9
2021-10-12,233,64,518.7
2021-10-13,169,52,517.4
2021-10-14,245,91,629.6
2021-10-15,206,195,737.7
2021-10-16,227,0,846.4
2021-10-17,188,202,924.6
2021-10-18,223,422,1032.6
2021-10-19,195,246,1006.4
2021-10-20,170,198,1007.0
2021-10-21,156,225,945.4
2021-10-22,130,192,892.7
2021-10-23,121,0,819.3
2021-10-24,132,169,780.5
2021-10-25,154,0,732.8
2021-10-26,119,412,680.1
2021-10-27,157,117,671.1
2021-10-28,125,153,649.6
2021-10-29,119,147,642.0
2021-10-30,107,0,632.3
2021-10-31,109,167,616.4
2021-11-01,168,232,626.1
2021-11-02,105,80,616.4
2021-11-03,142,153,606.0
2021-11-04,106,148,592.9
2021-11-05,109,89,586.0
2021-11-06,100,0,581.1
2021-11-07,95,152,571.4
2021-11-08,127,238,543.0
2021-11-09,127,95,558.2
2021-11-10,120,86,543.0
2021-11-11,114,120,548.5
2021-11-12,91,135,536.0
2021-11-13,77,0,520.1
2021-11-14,82,110,511.1
2021-11-15,118,189,504.9
2021-11-16,123,107,502.2
2021-11-17,91,95,482.1
2021-11-18,113,102,481.3
2021-11-19,71,110,467.5
2021-11-20,56,0,453.0
2021-11-21,71,94,445.4
2021-11-22,98,189,431.4
2021-11-23,91,66,409.3
2021-11-24,33,82,369.1
2021-11-25,2,80,292.3
2021-11-26,0,90,292.3
2020-03-07,1,0,-18210.9
2020-03-08,0,0,-18260.1
2020-03-09,0,0,-18327.9
2020-03-10,6,0,-18386.9
2020-03-11,3,0,-18407.6
2020-03-12,2,0,-18407.6
2020-03-13,1,0,9.0
2020-03-14,0,0,8.3
2020-03-15,1,0,9.0
2020-03-16,0,0,9.0
2020-03-17,1,0,5.6
2020-03-18,1,0,4.2
2020-03-19,1,0,3.5
2020-03-20,2,0,4.2
2020-03-21,3,0,6.2
2020-03-22,3,0,7.6
2020-03-23,1,0,8.3
2020-03-24,1,0,8.3
2020-03-25,1,0,8.3
2020-03-26,6,0,11.7
2020-03-27,14,0,20.0
2020-03-28,6,0,22.2
2020-03-29,6,0,24.3
2020-03-30,22,0,38.8
2020-03-31,14,0,47.8
2020-04-01,8,0,52.6
2020-04-02,13,0,57.5
2020-04-03,17,0,59.6
2020-04-04,16,0,66.5
2020-04-05,20,0,76.1
2020-04-06,9,0,67.2
2020-04-07,23,0,73.4
2020-04-08,19,0,81.1
2020-04-09,14,0,81.8
2020-04-10,23,0,85.9
2020-04-11,9,0,81.0
2020-04-12,17,0,79.0
2020-04-13,16,0,83.8
2020-04-14,15,0,78.3
2020-04-15,25,0,82.4
2020-04-16,25,0,90.0
2020-04-17,19,0,87.3
2020-04-18,15,0,91.4
2020-04-19,10,0,86.6
2020-04-20,16,0,86.5
2020-04-21,11,0,83.8
2020-04-22,15,0,76.9
2020-04-23,6,0,63.7
2020-04-24,13,0,59.5
2020-04-25,13,0,58.2
2020-04-26,7,0,56.1
2020-04-27,5,0,48.5
2020-04-28,3,0,42.9
2020-04-29,4,0,35.3
2020-04-30,9,0,37.4
2020-05-01,7,0,33.3
2020-05-02,1,0,25.0
2020-05-03,2,0,21.4
2020-05-04,0,0,18.0
2020-05-05,1,0,16.6
2020-05-06,4,0,16.6
2020-05-07,4,0,13.2
2020-05-08,8,0,13.8
2020-05-09,2,0,14.5
2020-05-10,8,0,18.7
2020-05-11,2,0,20.1
2020-05-12,3,0,21.5
2020-05-13,4,0,21.5
2020-05-14,3,0,20.7
2020-05-15,4,0,18.0
2020-05-16,27,0,35.3
2020-05-17,2,0,31.2
2020-05-18,2,0,31.2
2020-05-19,5,0,32.6
2020-05-20,0,0,29.8
2020-05-21,2,0,29.1
2020-05-22,3,0,28.4
2020-05-23,1,0,10.4
2020-05-24,1,0,9.7
2020-05-25,0,0,8.3
2020-05-26,6,0,9.0
2020-05-27,1,0,9.6
2020-05-28,0,0,8.3
2020-05-29,2,3,7.6
2020-05-30,1,1,7.6
2020-05-31,0,0,6.9
2020-06-01,1,1,7.6
2020-06-02,2,2,4.8
2020-06-03,2,0,5.6
2020-06-04,1,0,6.3
2020-06-05,0,3,4.9
2020-06-06,1,0,4.9
2020-06-07,0,1,4.9
2020-06-08,2,0,5.6
2020-06-09,1,1,4.9
2020-06-10,2,0,4.8
2020-06-11,3,0,6.2
2020-06-12,1,2,6.9
2020-06-13,2,2,7.6
2020-06-14,2,0,9.0
2020-06-15,1,1,8.3
2020-06-16,0,2,7.6
2020-06-17,2,2,7.7
2020-06-18,2,0,6.9
2020-06-19,1,2,6.9
