date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-08,1,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,1,0,0.7
2020-03-12,0,0,0.7
2020-03-13,3,0,2.6
2020-03-14,3,0,4.5
2020-03-15,13,0,12.8
2020-03-16,11,0,19.9
2020-03-17,11,0,26.9
2020-03-18,6,0,30.0
2020-03-19,8,0,35.1
2020-03-20,18,0,44.7
2020-03-21,16,0,53.1
2020-03-22,15,0,54.4
2020-03-23,26,0,63.9
2020-03-24,22,0,70.9
2020-03-25,37,0,90.8
2020-03-26,24,0,101.0
2020-03-27,15,0,99.1
2020-03-28,25,0,104.8
2020-03-29,22,0,109.3
2020-03-30,32,0,113.1
2020-03-31,27,0,116.4
2020-04-01,34,0,114.4
2020-04-02,28,0,117.0
2020-04-03,22,0,121.5
2020-04-04,16,0,115.7
2020-04-05,4,0,104.1
2020-04-06,15,0,93.3
2020-04-07,23,0,90.7
2020-04-08,25,0,85.0
2020-04-09,17,0,78.0
2020-04-10,18,0,75.4
2020-04-11,10,0,71.6
2020-04-12,7,0,73.6
2020-04-13,9,0,69.7
2020-04-14,13,0,63.3
2020-04-15,9,0,53.1
2020-04-16,11,0,49.2
2020-04-17,10,0,44.1
2020-04-18,9,0,43.4
2020-04-19,4,0,41.5
2020-04-20,10,0,42.2
2020-04-21,17,0,44.8
2020-04-22,10,0,45.4
2020-04-23,6,0,42.2
2020-04-24,7,0,40.3
2020-04-25,4,0,37.1
2020-04-26,6,0,38.4
2020-04-27,6,0,35.8
2020-04-28,3,0,26.8
2020-04-29,9,0,26.2
2020-04-30,11,0,29.4
2020-05-01,9,0,30.6
2020-05-02,12,0,35.8
2020-05-03,6,0,35.7
2020-05-04,7,0,36.4
2020-05-05,7,0,39.0
2020-05-06,19,0,45.3
2020-05-07,11,0,45.4
2020-05-08,11,0,46.7
2020-05-09,5,0,42.2
2020-05-10,2,0,39.7
2020-05-11,3,0,37.1
2020-05-12,3,0,34.5
2020-05-13,3,0,24.3
2020-05-14,2,0,18.5
2020-05-15,2,0,12.8
2020-05-16,2,0,10.9
2020-05-17,0,0,9.6
2020-05-18,8,0,12.8
2020-05-19,3,0,12.8
2020-05-20,2,0,12.2
2020-05-21,3,0,12.8
2020-05-22,4,0,14.0
2020-05-23,3,0,14.7
2020-05-24,0,0,14.7
2020-05-25,1,0,10.2
2020-05-26,4,0,10.9
2020-05-27,3,0,11.5
2020-05-28,3,0,11.5
2020-05-29,2,4,10.3
2020-05-30,0,3,8.3
2020-05-31,2,5,9.6
2020-06-01,0,0,9.0
2020-06-02,0,0,6.4
2020-06-03,3,1,6.4
2020-06-04,1,0,5.1
2020-06-05,0,0,3.8
2020-06-06,1,0,4.5
2020-06-07,0,4,3.2
2020-06-08,1,0,3.8
2020-06-09,3,0,5.7
2020-06-10,1,1,4.4
2020-06-11,1,0,4.5
2020-06-12,1,2,5.1
2020-06-13,2,1,5.7
2020-06-14,0,0,5.7
2020-06-15,3,0,7.0
2020-06-16,0,3,5.1
2020-06-17,0,0,4.5
2020-06-18,0,2,3.8
2020-06-19,0,0,3.2
2020-06-20,0,0,1.9
2020-06-21,0,0,1.9
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,1,0,0.7
2020-06-26,0,0,0.7
2020-06-27,2,0,1.9
2020-06-28,0,1,1.9
2020-06-29,1,0,2.6
2020-06-30,0,1,2.6
2020-07-01,0,0,2.6
2020-07-02,0,1,1.9
2020-07-03,0,0,1.9
2020-07-04,0,0,0.7
2020-07-05,0,0,0.7
2020-07-06,1,0,0.6
2020-07-07,2,0,1.9
2020-07-08,0,1,1.9
2020-07-09,0,1,1.9
2020-07-10,1,0,2.5
2020-07-11,0,0,2.5
2020-07-12,0,0,2.5
2020-07-13,0,1,1.9
2020-07-14,0,14,0.6
