date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,1,0,0.4
2020-03-01,0,0,0.4
2020-03-02,0,0,0.4
2020-03-03,1,0,0.9
2020-03-04,0,0,0.9
2020-03-05,1,0,1.3
2020-03-06,0,0,1.3
2020-03-07,0,0,0.9
2020-03-08,0,0,0.9
2020-03-09,0,0,0.9
2020-03-10,0,0,0.4
2020-03-11,0,0,0.4
2020-03-12,0,0,0.0
2020-03-13,1,0,0.5
2020-03-14,1,0,0.9
2020-03-15,0,0,0.9
2020-03-16,1,0,1.4
2020-03-17,0,0,1.4
2020-03-18,0,0,1.4
2020-03-19,4,0,3.2
2020-03-20,1,0,3.1
2020-03-21,2,0,3.6
2020-03-22,5,0,5.8
2020-03-23,2,0,6.2
2020-03-24,5,0,8.4
2020-03-25,18,0,16.4
2020-03-26,9,0,18.7
2020-03-27,5,0,20.5
2020-03-28,5,0,21.8
2020-03-29,10,0,24.1
2020-03-30,15,0,29.8
2020-03-31,10,0,32.1
2020-04-01,16,0,31.2
2020-04-02,18,0,35.1
2020-04-03,19,0,41.4
2020-04-04,20,0,48.1
2020-04-05,12,0,48.9
2020-04-06,22,0,52.1
2020-04-07,12,0,53.0
2020-04-08,20,0,54.8
2020-04-09,17,0,54.3
2020-04-10,9,0,49.8
2020-04-11,15,0,47.6
2020-04-12,10,0,46.8
2020-04-13,9,0,41.0
2020-04-14,15,0,42.3
2020-04-15,15,0,40.0
2020-04-16,11,0,37.4
2020-04-17,12,0,38.8
2020-04-18,14,0,38.3
2020-04-19,11,0,38.7
2020-04-20,4,0,36.5
2020-04-21,0,0,29.8
2020-04-22,5,18,25.4
2020-04-23,4,0,22.3
2020-04-24,10,0,21.4
2020-04-25,9,1,19.2
2020-04-26,12,0,19.6
2020-04-27,22,0,27.6
2020-04-28,12,1,32.9
2020-04-29,13,0,36.5
2020-04-30,8,1,38.3
2020-05-01,15,3,40.5
2020-05-02,10,3,40.9
2020-05-03,8,1,39.2
2020-05-04,12,1,34.7
2020-05-05,6,0,32.1
2020-05-06,18,1,34.3
2020-05-07,19,0,39.2
2020-05-08,24,10,43.2
2020-05-09,8,0,42.3
2020-05-10,10,1,43.2
2020-05-11,21,0,47.2
2020-05-12,13,1,50.3
2020-05-13,22,0,52.1
2020-05-14,9,9,47.6
2020-05-15,17,21,44.5
2020-05-16,10,8,45.4
2020-05-17,13,4,46.7
2020-05-18,12,7,42.8
2020-05-19,10,6,41.4
2020-05-20,6,9,34.3
2020-05-21,10,2,34.7
2020-05-22,9,2,31.1
2020-05-23,16,4,33.9
2020-05-24,16,4,35.2
2020-05-25,10,5,34.2
2020-05-26,11,3,34.7
2020-05-27,15,3,38.7
2020-05-28,12,5,39.7
2020-05-29,11,5,40.6
2020-05-30,11,3,38.3
2020-05-31,10,4,35.6
2020-06-01,15,4,37.9
2020-06-02,4,8,34.8
2020-06-03,12,8,33.4
2020-06-04,6,2,30.7
2020-06-05,7,0,28.9
2020-06-06,6,7,26.7
2020-06-07,8,1,25.8
2020-06-08,6,0,21.8
2020-06-09,8,4,23.6
2020-06-10,13,3,24.0
2020-06-11,14,1,27.6
2020-06-12,3,9,25.8
2020-06-13,5,3,25.3
2020-06-14,6,1,24.5
2020-06-15,6,4,24.5
2020-06-16,7,5,24.0
2020-06-17,2,2,19.2
2020-06-18,6,7,15.6
2020-06-19,3,1,15.6
2020-06-20,8,4,17.0
2020-06-21,2,1,15.1
