date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,0,0,0.0
2020-03-19,0,0,0.0
2020-03-20,0,0,0.0
2020-03-21,2,0,1.6
2020-03-22,2,0,3.1
2020-03-23,3,0,5.5
2020-03-24,0,0,5.5
2020-03-25,4,0,8.7
2020-03-26,3,0,11.0
2020-03-27,3,0,13.4
2020-03-28,2,0,13.4
2020-03-29,1,0,12.7
2020-03-30,5,0,14.2
2020-03-31,4,0,17.4
2020-04-01,3,0,16.5
2020-04-02,6,0,19.0
2020-04-03,9,0,23.7
2020-04-04,4,0,25.2
2020-04-05,10,0,32.3
2020-04-06,13,0,38.7
2020-04-07,6,0,40.2
2020-04-08,4,0,41.1
2020-04-09,13,0,46.5
2020-04-10,15,0,51.3
2020-04-11,14,0,59.2
2020-04-12,1,0,52.1
2020-04-13,3,0,44.2
2020-04-14,5,0,43.4
2020-04-15,9,0,47.3
2020-04-16,7,0,42.6
2020-04-17,9,0,37.8
2020-04-18,3,0,29.2
2020-04-19,2,0,30.0
2020-04-20,8,0,33.9
2020-04-21,7,0,35.5
2020-04-22,9,0,35.5
2020-04-23,5,0,33.9
2020-04-24,3,0,29.2
2020-04-25,4,0,30.0
2020-04-26,3,0,30.7
2020-04-27,6,0,29.2
2020-04-28,0,0,23.7
2020-04-29,10,0,24.5
2020-04-30,3,0,22.9
2020-05-01,5,0,24.5
2020-05-02,1,0,22.1
2020-05-03,0,0,19.8
2020-05-04,2,0,16.5
2020-05-05,7,0,22.1
2020-05-06,6,0,18.9
2020-05-07,2,0,18.2
2020-05-08,3,0,16.5
2020-05-09,3,0,18.1
2020-05-10,1,0,18.9
2020-05-11,3,0,19.8
2020-05-12,3,0,16.5
2020-05-13,3,0,14.2
2020-05-14,4,0,15.7
2020-05-15,3,0,15.8
2020-05-16,2,0,15.0
2020-05-17,1,0,15.0
2020-05-18,3,0,14.9
2020-05-19,1,0,13.4
2020-05-20,0,0,11.0
2020-05-21,0,0,7.9
2020-05-22,0,0,5.5
2020-05-23,1,0,4.7
2020-05-24,0,0,3.9
2020-05-25,0,0,1.6
2020-05-26,0,0,0.8
2020-05-27,0,0,0.8
2020-05-28,1,0,1.6
2020-05-29,0,0,1.6
2020-05-30,0,0,0.8
2020-05-31,0,0,0.8
2020-06-01,0,0,0.8
2020-06-02,0,1,0.8
2020-06-03,0,0,0.8
2020-06-04,0,0,0.0
2020-06-05,0,0,0.0
2020-06-06,0,0,0.0
2020-06-07,1,0,0.8
2020-06-08,2,0,2.4
2020-06-09,0,1,2.4
2020-06-10,0,0,2.4
2020-06-11,1,0,3.2
2020-06-12,0,1,3.2
2020-06-13,2,2,4.8
2020-06-14,0,0,4.0
2020-06-15,0,0,2.4
2020-06-16,0,2,2.4
2020-06-17,0,0,2.4
2020-06-18,1,0,2.3
2020-06-19,0,1,2.3
2020-06-20,0,0,0.7
2020-06-21,0,0,0.7
2020-06-22,1,0,1.5
2020-06-23,2,0,3.1
2020-06-24,0,0,3.1
2020-06-25,0,0,2.4
2020-06-26,0,0,2.4
2020-06-27,0,0,2.4
2020-06-28,1,0,3.2
2020-06-29,0,0,2.4
2020-06-30,0,0,0.8
2020-07-01,0,1,0.8
2020-07-02,0,0,0.8
2020-07-03,0,0,0.8
2020-07-04,0,0,0.8
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,2,0,1.6
2020-07-08,1,0,2.4
2020-07-09,0,1,2.4
2020-07-10,0,0,2.4
2020-07-11,0,0,2.4
2020-07-12,0,0,2.4
2020-07-13,1,0,3.2
2020-07-14,0,6,1.6
2020-07-15,0,1,0.8
2020-07-16,0,0,0.8
2020-07-17,0,0,0.8
2020-07-18,0,0,0.8
2020-07-19,0,0,0.8
2020-07-20,0,0,0.0
2020-07-21,2,0,1.5
2020-07-22,2,0,3.1
2020-07-23,0,2,3.1
2020-07-24,0,0,3.1
2020-07-25,0,2,3.1
2020-07-26,0,0,3.1
2020-07-27,1,0,3.9
2020-07-28,0,0,2.4
2020-07-29,1,1,1.6
2020-07-30,0,0,1.6
2020-07-31,0,0,1.6
2020-08-01,0,0,1.6
