date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,2,0,2.2
2020-03-19,0,0,2.2
2020-03-20,0,0,2.2
2020-03-21,0,0,2.2
2020-03-22,1,0,3.3
2020-03-23,2,0,5.4
2020-03-24,7,0,13
2020-03-25,0,0,10.8
2020-03-26,2,0,13.0
2020-03-27,3,0,16.3
2020-03-28,4,0,20.6
2020-03-29,2,0,21.7
2020-03-30,5,0,25.0
2020-03-31,3,0,20.7
2020-04-01,6,0,27.2
2020-04-02,4,0,29.3
2020-04-03,5,0,31.4
2020-04-04,6,0,33.7
2020-04-05,3,0,34.7
2020-04-06,7,0,36.9
2020-04-07,3,0,36.9
2020-04-08,7,0,38.0
2020-04-09,4,0,38.0
2020-04-10,4,0,37.0
2020-04-11,4,0,34.7
2020-04-12,3,0,34.8
2020-04-13,5,0,32.6
2020-04-14,3,0,32.5
2020-04-15,6,0,31.4
2020-04-16,7,0,34.7
2020-04-17,6,0,36.9
2020-04-18,5,0,38.0
2020-04-19,6,0,41.2
2020-04-20,3,0,39.1
2020-04-21,4,0,40.2
2020-04-22,5,5,39.1
2020-04-23,16,4,48.9
2020-04-24,5,1,47.7
2020-04-25,3,3,45.6
2020-04-26,3,4,42.3
2020-04-27,3,4,42.3
2020-04-28,3,2,41.3
2020-04-29,6,1,42.4
2020-04-30,9,2,34.7
2020-05-01,3,2,32.6
2020-05-02,7,2,36.9
2020-05-03,6,1,40.2
2020-05-04,2,2,39.1
2020-05-05,6,2,42.3
2020-05-06,2,1,38.0
2020-05-07,6,1,34.8
2020-05-08,2,2,33.7
2020-05-09,9,3,35.8
2020-05-10,7,2,36.9
2020-05-11,11,6,46.7
2020-05-12,5,1,45.6
2020-05-13,5,1,48.8
2020-05-14,6,1,48.8
2020-05-15,3,1,49.9
2020-05-16,9,3,50.0
2020-05-17,3,4,45.6
2020-05-18,3,0,36.9
2020-05-19,19,1,52.1
2020-05-20,6,2,53.2
2020-05-21,3,0,50.0
2020-05-22,0,1,46.7
2020-05-23,2,1,39.0
2020-05-24,2,2,38.0
2020-05-25,5,0,40.1
2020-05-26,2,0,21.7
2020-05-27,3,0,18.5
2020-05-28,1,0,16.3
2020-05-29,3,1,19.5
2020-05-30,2,2,19.6
2020-05-31,2,0,19.6
2020-06-01,3,0,17.4
2020-06-02,0,0,15.2
2020-06-03,1,0,13.0
2020-06-04,4,1,16.2
2020-06-05,0,1,13.0
2020-06-06,0,1,10.8
2020-06-07,1,1,9.7
2020-06-08,5,0,12.0
2020-06-09,2,0,14.1
2020-06-10,2,0,15.2
2020-06-11,3,2,14.2
2020-06-12,1,0,15.2
2020-06-13,2,2,17.4
2020-06-14,6,0,22.8
2020-06-15,1,0,18.4
2020-06-16,5,0,21.7
2020-06-17,5,0,25.0
2020-06-18,6,0,28.2
2020-06-19,9,1,37.0
2020-06-20,9,1,44.5
2020-06-21,2,1,40.2
2020-06-22,3,0,42.4
2020-06-23,5,1,42.4
2020-06-24,1,0,38.0
