date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,1,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,2,0,1.4
2020-03-18,0,0,1.4
2020-03-19,1,0,2.1
2020-03-20,0,0,2.1
2020-03-21,1,0,2.8
2020-03-22,3,0,4.9
2020-03-23,2,0,6.3
2020-03-24,1,0,5.6
2020-03-25,1,0,6.3
2020-03-26,2,0,7.0
2020-03-27,4,0,9.8
2020-03-28,7,0,14.0
2020-03-29,7,0,16.8
2020-03-30,10,0,22.3
2020-03-31,14,0,31.4
2020-04-01,10,0,37.7
2020-04-02,9,0,42.6
2020-04-03,16,0,51.0
2020-04-04,7,0,51.0
2020-04-05,8,0,51.7
2020-04-06,8,0,50.3
2020-04-07,6,0,44.7
2020-04-08,10,0,44.7
2020-04-09,13,0,47.5
2020-04-10,15,0,46.8
2020-04-11,15,0,52.4
2020-04-12,9,0,53.1
2020-04-13,11,0,55.2
2020-04-14,12,0,59.4
2020-04-15,13,0,61.5
2020-04-16,10,0,59.4
2020-04-17,13,0,58.0
2020-04-18,11,0,55.2
2020-04-19,11,0,56.5
2020-04-20,14,0,58.7
2020-04-21,15,0,60.8
2020-04-22,27,11,70.6
2020-04-23,20,13,77.5
2020-04-24,24,9,85.2
2020-04-25,17,11,89.4
2020-04-26,8,11,87.4
2020-04-27,8,13,83.2
2020-04-28,13,7,81.7
2020-04-29,14,2,72.6
2020-04-30,37,2,84.6
2020-05-01,12,6,76.2
2020-05-02,18,5,76.8
2020-05-03,12,6,79.6
2020-05-04,15,4,84.5
2020-05-05,11,2,83.2
2020-05-06,13,4,82.5
2020-05-07,12,8,64.9
2020-05-08,13,5,65.6
2020-05-09,8,0,58.7
2020-05-10,8,4,55.9
2020-05-11,24,2,62.2
2020-05-12,44,1,85.2
2020-05-13,10,1,83.1
2020-05-14,15,1,85.3
2020-05-15,22,3,91.6
2020-05-16,23,3,102.0
2020-05-17,13,5,105.5
2020-05-18,15,2,99.2
2020-05-19,31,6,90.1
2020-05-20,24,5,99.9
2020-05-21,27,4,108.3
2020-05-22,13,6,102.0
2020-05-23,11,13,93.6
2020-05-24,14,0,94.3
2020-05-25,21,3,98.5
2020-05-26,22,3,92.3
2020-05-27,17,2,87.3
2020-05-28,7,2,73.3
2020-05-29,18,4,76.8
2020-05-30,7,4,74.1
2020-05-31,10,0,71.3
2020-06-01,13,4,65.7
2020-06-02,3,4,52.4
2020-06-03,11,2,48.2
2020-06-04,11,4,51.0
2020-06-05,5,1,41.9
2020-06-06,4,9,39.8
2020-06-07,9,4,39.1
2020-06-08,10,0,37.0
2020-06-09,13,5,44.0
2020-06-10,6,1,40.6
2020-06-11,4,1,35.7
2020-06-12,3,1,34.3
2020-06-13,2,1,32.9
2020-06-14,1,3,27.3
2020-06-15,6,0,24.4
2020-06-16,8,1,20.9
2020-06-17,5,0,20.2
2020-06-18,12,1,25.8
2020-06-19,11,0,31.4
2020-06-20,6,1,34.2
2020-06-21,4,2,36.3
2020-06-22,3,0,34.3
2020-06-23,2,0,30.1
2020-06-24,4,1,29.4
2020-06-25,3,0,23.1
2020-06-26,4,1,18.2
2020-06-27,4,0,16.8
2020-06-28,3,2,16.1
2020-06-29,2,2,15.3
2020-06-30,3,1,16.0
2020-07-01,2,652,14.6
2020-07-02,2,4,13.9
2020-07-03,0,1,11.1
2020-07-04,2,1,9.7
2020-07-05,3,1,9.7
2020-07-06,1,0,9.1
2020-07-07,1,4,7.7
2020-07-08,1,2,7.0
2020-07-09,3,0,7.7
2020-07-10,1,2,8.4
2020-07-11,1,4,7.7
2020-07-12,2,1,7.0
2020-07-13,2,1,7.7
2020-07-14,1,3,7.7
2020-07-15,2,1,8.4
2020-07-16,3,0,8.4
2020-07-17,1,2,8.4
2020-07-18,4,2,10.5
2020-07-19,1,1,9.8
2020-07-20,5,5,11.9
2020-07-21,1,3,11.9
2020-07-22,4,2,13.3
2020-07-23,3,2,13.3
2020-07-24,4,4,15.4
2020-07-25,9,1,18.9
2020-07-26,4,6,21.0
2020-07-27,4,9,20.3
2020-07-28,3,4,21.6
2020-07-29,18,4,31.4
2020-07-30,9,1,35.6
2020-07-31,3,15,34.9
2020-08-01,3,11,30.7
