date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-08,1,0,0.0
2020-03-09,0,0,0.0
2020-03-10,1,0,0.6
2020-03-11,0,0,0.6
2020-03-12,1,0,1.3
2020-03-13,0,0,1.3
2020-03-14,3,0,3.1
2020-03-15,2,0,4.4
2020-03-16,1,0,5.0
2020-03-17,2,0,5.7
2020-03-18,4,0,8.2
2020-03-19,1,0,8.1
2020-03-20,1,0,8.7
2020-03-21,3,0,8.8
2020-03-22,2,0,8.7
2020-03-23,4,0,10.6
2020-03-24,2,0,10.6
2020-03-25,8,0,13.1
2020-03-26,7,0,16.8
2020-03-27,3,0,18.1
2020-03-28,10,0,22.4
2020-03-29,10,0,27.5
2020-03-30,10,0,31.2
2020-03-31,5,0,33.0
2020-04-01,14,0,36.8
2020-04-02,10,0,38.7
2020-04-03,9,0,42.4
2020-04-04,14,0,44.9
2020-04-05,8,0,43.6
2020-04-06,5,0,40.5
2020-04-07,13,0,45.5
2020-04-08,13,0,44.9
2020-04-09,15,0,48.0
2020-04-10,14,0,51.1
2020-04-11,9,0,48.1
2020-04-12,26,0,59.3
2020-04-13,27,0,73.0
2020-04-14,37,0,88.0
2020-04-15,24,0,94.8
2020-04-16,29,0,103.5
2020-04-17,20,17,107.3
2020-04-18,7,0,106.0
2020-04-19,8,45,94.8
2020-04-20,17,0,88.6
2020-04-21,22,54,79.2
2020-04-22,16,7,74.2
2020-04-23,11,1,63.0
2020-04-24,13,33,58.6
2020-04-25,12,8,61.7
2020-04-26,16,16,66.7
2020-04-27,21,11,69.2
2020-04-28,18,11,66.7
2020-04-29,16,6,66.7
2020-04-30,9,6,65.5
2020-05-01,7,14,61.8
2020-05-02,8,6,59.3
2020-05-03,9,16,54.9
2020-05-04,11,5,48.7
2020-05-05,8,6,42.4
2020-05-06,10,7,38.7
2020-05-07,5,3,36.2
2020-05-08,5,12,34.9
2020-05-09,5,7,33.0
2020-05-10,7,0,31.8
2020-05-11,10,5,31.1
2020-05-12,7,2,30.6
2020-05-13,5,2,27.4
2020-05-14,5,2,27.4
2020-05-15,4,4,26.8
2020-05-16,4,1,26.2
2020-05-17,2,6,23.1
2020-05-18,9,6,22.5
2020-05-19,10,4,24.3
2020-05-20,5,0,24.3
2020-05-21,2,3,22.5
2020-05-22,3,3,21.9
2020-05-23,3,3,21.2
2020-05-24,2,3,21.2
2020-05-25,3,1,17.5
2020-05-26,1,1,11.9
2020-05-27,8,3,13.8
2020-05-28,4,1,15.0
2020-05-29,1,0,13.7
2020-05-30,3,1,13.8
2020-05-31,2,1,13.7
2020-06-01,9,0,17.4
2020-06-02,4,0,19.3
2020-06-03,3,2,16.2
2020-06-04,4,0,16.2
2020-06-05,0,1,15.6
2020-06-06,1,3,14.3
2020-06-07,0,0,13.1
2020-06-08,4,1,10.0
2020-06-09,0,0,7.5
2020-06-10,2,0,6.8
2020-06-11,2,2,5.6
2020-06-12,0,0,5.6
2020-06-13,1,0,5.6
2020-06-14,0,0,5.6
2020-06-15,1,1,3.7
2020-06-16,1,1,4.4
2020-06-17,1,0,3.8
2020-06-18,0,1,2.5
2020-06-19,0,1,2.5
2020-06-20,0,0,1.9
2020-06-21,0,0,1.9
2020-06-22,0,0,1.3
2020-06-23,2,0,1.8
2020-06-24,1,1,1.9
2020-06-25,1,0,2.5
2020-06-26,0,0,2.5
2020-06-27,3,0,4.3
2020-06-28,2,1,5.6
2020-06-29,0,0,5.6
2020-06-30,1,1,5.0
2020-07-01,2,164,5.6
2020-07-02,0,3,5.0
2020-07-03,0,1,5.0
2020-07-04,0,2,3.2
2020-07-05,1,0,2.5
2020-07-06,0,1,2.5
2020-07-07,3,0,3.8
2020-07-08,1,0,3.1
2020-07-09,1,1,3.7
2020-07-10,2,3,5.0
2020-07-11,0,2,5.0
2020-07-12,2,1,5.6
2020-07-13,1,0,6.2
2020-07-14,0,1,4.3
