date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-19,1,0,0.0
2020-03-20,0,0,0.0
2020-03-21,1,0,1.2
2020-03-22,1,0,2.3
2020-03-23,1,0,3.5
2020-03-24,1,0,4.6
2020-03-25,7,0,12.6
2020-03-26,3,0,16.0
2020-03-27,3,0,19.4
2020-03-28,3,0,21.7
2020-03-29,5,0,26.3
2020-03-30,1,0,26.2
2020-03-31,5,0,30.8
2020-04-01,6,0,29.7
2020-04-02,10,0,37.7
2020-04-03,6,0,41.1
2020-04-04,6,0,44.5
2020-04-05,3,0,42.2
2020-04-06,7,0,49.1
2020-04-07,4,0,47.9
2020-04-08,2,0,43.3
2020-04-09,3,0,35.4
2020-04-10,3,0,32.0
2020-04-11,3,0,28.5
2020-04-12,2,0,27.4
2020-04-13,3,0,22.8
2020-04-14,2,0,20.6
2020-04-15,0,0,18.3
2020-04-16,2,0,17.1
2020-04-17,4,0,18.2
2020-04-18,2,0,17.1
2020-04-19,3,0,18.2
2020-04-20,2,0,17.1
2020-04-21,2,0,17.1
2020-04-22,4,1,21.7
2020-04-23,6,3,26.2
2020-04-24,3,1,25.1
2020-04-25,5,4,28.6
2020-04-26,4,2,29.7
2020-04-27,3,4,30.8
2020-04-28,13,0,43.4
2020-04-29,6,6,45.6
2020-04-30,5,1,44.5
2020-05-01,4,1,45.7
2020-05-02,4,4,44.5
2020-05-03,6,2,46.8
2020-05-04,5,0,49.1
2020-05-05,3,2,37.6
2020-05-06,3,2,34.3
2020-05-07,4,1,33.1
2020-05-08,3,1,31.9
2020-05-09,7,1,35.3
2020-05-10,2,3,30.8
2020-05-11,2,2,27.4
2020-05-12,0,2,24.0
2020-05-13,6,9,27.3
2020-05-14,1,4,24.0
2020-05-15,1,1,21.7
2020-05-16,4,2,18.3
2020-05-17,1,2,17.1
2020-05-18,1,1,16.0
2020-05-19,2,1,18.3
2020-05-20,1,0,12.6
2020-05-21,2,0,13.7
2020-05-22,1,0,13.7
2020-05-23,5,1,14.8
2020-05-24,0,0,13.7
2020-05-25,2,0,14.8
2020-05-26,0,0,12.5
2020-05-27,2,4,13.7
2020-05-28,2,2,13.7
2020-05-29,2,1,14.9
2020-05-30,1,1,10.3
2020-05-31,0,1,10.3
2020-06-01,2,0,10.3
2020-06-02,1,0,11.4
2020-06-03,0,0,9.1
2020-06-04,6,0,13.7
2020-06-05,2,0,13.7
2020-06-06,0,0,12.6
2020-06-07,0,3,12.6
2020-06-08,0,0,10.3
2020-06-09,1,1,10.3
2020-06-10,2,0,12.6
2020-06-11,1,0,6.8
2020-06-12,4,1,9.1
2020-06-13,8,0,18.2
2020-06-14,5,1,23.9
2020-06-15,9,1,34.2
2020-06-16,4,0,37.7
2020-06-17,2,1,37.6
2020-06-18,1,1,37.7
2020-06-19,0,10,33.1
2020-06-20,0,3,24.0
2020-06-21,0,5,18.3
2020-06-22,0,0,8.0
2020-06-23,0,0,3.4
2020-06-24,2,0,3.5
2020-06-25,2,0,4.5
2020-06-26,1,0,5.7
2020-06-27,0,0,5.7
